Frank Churchill	E
Anna Weston	E
Augusta Elton	E
Emma Woodhouse	E
George Knightley	E
Harriet Smith	E
Isabella Knightley	E
Jane Fairfax	E
John Knightley	E
Miss Bates	E
Mr. Perry	E
Mr. Weston	E
Mr. Woodhouse	E
Mrs. Bates	E
Mrs. Cole	E
Philip Elton	E
Robert Martin	E
Dr. Grant	MP
Edmund Bertram	MP
Fanny Price	MP
Henry Crawford	MP
Julia Bertram	MP
Lady Bertram	MP
Lieutenant Price	MP
Maria Bertram	MP
Mary Crawford	MP
Mr. Rushworth	MP
Mr. Yates	MP
Mrs. Grant	MP
Mrs. Norris	MP
Mrs. Price	MP
Mrs. Rushworth	MP
Sir Thomas Bertram	MP
Susan Price	MP
Tom Bertram	MP
William Price	MP
Catherine Morland	N
Eleanor Tilney	N
Frederick Tilney	N
General Tilney	N
Henry Tilney	N
Isabella Thorpe	N
James Morland	N
John Thorpe	N
Mr. Allen	N
Mrs. Allen	N
Mrs. Morland	N
Mrs. Thorpe	N
Admiral Croft	P
Anne Elliot	P
Captain Benwick	P
Captain Harville	P
Captain Wentworth	P
Charles Hayter	P
Charles Musgrove	P
Elizabeth Elliot	P
Henrietta Musgrove	P
Lady Russell	P
Louisa Musgrove	P
Mary Musgrove	P
Mr. Musgrove	P
Mr. Shepherd	P
Mrs. Clay	P
Mrs. Croft	P
Mrs. Harville	P
Mrs. Musgrove	P
Mrs. Smith	P
Sir Walter Elliot	P
William Elliot	P
Anne de Bourgh	P&P
Caroline Bingley	P&P
Charles Bingley	P&P
Charlotte Lucas	P&P
Colonel Fitzwilliam	P&P
Elizabeth Bennet	P&P
Fitzwilliam Darcy	P&P
George Wickham	P&P
Georgiana Darcy	P&P
Jane Bennet	P&P
Kitty Bennet	P&P
Lady Catherine de Bourgh	P&P
Lady Lucas	P&P
Lydia Bennet	P&P
Mary Bennet	P&P
Mr. Bennet	P&P
Mr. Gardiner	P&P
Mr. Hurst	P&P
Mrs. Bennet	P&P
Mrs. Gardiner	P&P
Mrs. Hurst	P&P
Mrs. Jenkins	P&P
Mrs. Phillips	P&P
Sir William Lucas	P&P
William Collins	P&P
Anne Steele	S&S
Charlotte Palmer	S&S
Colonel Brandon	S&S
Edward Ferrars	S&S
Elinor Dashwood	S&S
Fanny Dashwood	S&S
John Dashwood	S&S
John Willoughby	S&S
Lady Middleton	S&S
Lucy Steele	S&S
Margaret Dashwood	S&S
Marianne Dashwood	S&S
Mrs. Dashwood	S&S
Mrs. Ferrars	S&S
Mrs. Jennings	S&S
Robert Ferrars	S&S
Sir John Middleton	S&S
Thomas Palmer	S&S
