Character	Role	Event	Context
Emma Woodhouse	agent	seemed	Emma Woodhouse , handsome , clever , and rich , with a comfortable home and happy disposition , seemed to unite some of the best blessings of existence ; and had lived nearly twenty - one years in the world with very little to distress or vex her . She was the youngest of the two daughters of a most affectionate , indulgent father ; and had , in consequence of her sister 's marriage , been mistress of his house from a very early period . 
Emma Woodhouse	agent	lived	Emma Woodhouse , handsome , clever , and rich , with a comfortable home and happy disposition , seemed to unite some of the best blessings of existence ; and had lived nearly twenty - one years in the world with very little to distress or vex her . She was the youngest of the two daughters of a most affectionate , indulgent father ; and had , in consequence of her sister 's marriage , been mistress of his house from a very early period . 
Emma Woodhouse	agent	have	Her mother had died too long ago for her to have more than an indistinct remembrance of her caresses ; and her place had been supplied by an excellent woman as governess , who had fallen little short of a mother in affection . 
Emma Woodhouse	agent	doing	Even before Miss Taylor had ceased to hold the nominal office of governess , the mildness of her temper had hardly allowed her to impose any restraint ; and the shadow of authority being now long passed away , they had been living together as friend and friend very mutually attached , and Emma doing just what she liked ; highly esteeming Miss Taylor 's judgment , but directed chiefly by her own . 
Emma Woodhouse	agent	liked	Even before Miss Taylor had ceased to hold the nominal office of governess , the mildness of her temper had hardly allowed her to impose any restraint ; and the shadow of authority being now long passed away , they had been living together as friend and friend very mutually attached , and Emma doing just what she liked ; highly esteeming Miss Taylor 's judgment , but directed chiefly by her own . 
Emma Woodhouse	agent	sat	It was on the wedding - day of this beloved friend that Emma first sat in mournful thought of any continuance . 
Emma Woodhouse	agent	had	The wedding over , and the bride - people gone , her father and herself were left to dine together , with no prospect of a third to cheer a long evening . Her father composed himself to sleep after dinner , as usual , and she had then only to sit and think of what she had lost . 
Emma Woodhouse	agent	lost	The wedding over , and the bride - people gone , her father and herself were left to dine together , with no prospect of a third to cheer a long evening . Her father composed himself to sleep after dinner , as usual , and she had then only to sit and think of what she had lost . 
Emma Woodhouse	agent	wished	Mr. Weston was a man of unexceptionable character , easy fortune , suitable age , and pleasant manners ; and there was some satisfaction in considering with what self - denying , generous friendship she had always wished and promoted the match ; but it was a black morning 's work for her . 
Emma Woodhouse	agent	recalled	She recalled her past kindness -- the kindness , the affection of sixteen years -- how she had taught and how she had played with her from five years old -- how she had devoted all her powers to attach and amuse her in health -- and how nursed her through the various illnesses of childhood . 
Emma Woodhouse	agent	devoted	She recalled her past kindness -- the kindness , the affection of sixteen years -- how she had taught and how she had played with her from five years old -- how she had devoted all her powers to attach and amuse her in health -- and how nursed her through the various illnesses of childhood . 
Emma Woodhouse	agent	taught	She recalled her past kindness -- the kindness , the affection of sixteen years -- how she had taught and how she had played with her from five years old -- how she had devoted all her powers to attach and amuse her in health -- and how nursed her through the various illnesses of childhood . 
Emma Woodhouse	agent	played	She recalled her past kindness -- the kindness , the affection of sixteen years -- how she had taught and how she had played with her from five years old -- how she had devoted all her powers to attach and amuse her in health -- and how nursed her through the various illnesses of childhood . 
Emma Woodhouse	agent	played	She recalled her past kindness -- the kindness , the affection of sixteen years -- how she had taught and how she had played with her from five years old -- how she had devoted all her powers to attach and amuse her in health -- and how nursed her through the various illnesses of childhood . 
Emma Woodhouse	agent	devoted	She recalled her past kindness -- the kindness , the affection of sixteen years -- how she had taught and how she had played with her from five years old -- how she had devoted all her powers to attach and amuse her in health -- and how nursed her through the various illnesses of childhood . 
Emma Woodhouse	agent	nursed	She recalled her past kindness -- the kindness , the affection of sixteen years -- how she had taught and how she had played with her from five years old -- how she had devoted all her powers to attach and amuse her in health -- and how nursed her through the various illnesses of childhood . 
Emma Woodhouse	agent	speak	the intercourse of the last seven years , the equal footing and perfect unreserve which had soon followed Isabella 's marriage , on their being left to each other , was yet a dearer , tenderer recollection . She had been a friend and companion such as few possessed : intelligent , well - informed , useful , gentle , knowing all the ways of the family , interested in all its concerns , and peculiarly interested in herself , in every pleasure , every scheme of hers -- one to whom she could speak every thought as it arose , and who had such an affection for her as could never find fault . How was she to bear the change?--It 
Emma Woodhouse	agent	loved	She dearly loved her father , but he was no companion for her . He could not meet her in conversation , rational or playful . 
Emma Woodhouse	agent	smiled	"Emma smiled and chatted as cheerfully as she could , to keep him from such thoughts ; but when tea came , it was impossible for him not to say exactly as he had said at dinner , "" Poor Miss Taylor!--I wish she were here again . "
Emma Woodhouse	agent	chatted	"Emma smiled and chatted as cheerfully as she could , to keep him from such thoughts ; but when tea came , it was impossible for him not to say exactly as he had said at dinner , "" Poor Miss Taylor!--I wish she were here again . "
Emma Woodhouse	agent	spared	Emma spared no exertions to maintain this happier flow of ideas , and hoped , by the help of backgammon , to get her father tolerably through the evening , and be attacked by no regrets but her own . 
Emma Woodhouse	agent	hoped	Emma spared no exertions to maintain this happier flow of ideas , and hoped , by the help of backgammon , to get her father tolerably through the evening , and be attacked by no regrets but her own . 
Emma Woodhouse	agent	said	"I have a great regard for you and Emma ; but when it comes to the question of dependence or independence!--At any rate , it must be better to have only one to please than two . "" "" Especially when _ one _ of those two is such a fanciful , troublesome creature ! "" said Emma playfully . "
Emma Woodhouse	agent	know	""" That is what you have in your head , I know -- and what you would certainly say if my father were not by . "" "" "
Emma Woodhouse	agent	knew	"Mr. Knightley , in fact , was one of the few people who could see faults in Emma Woodhouse , and the only one who ever told her of them : and though this was not particularly agreeable to Emma herself , she knew it would be so much less so to her father , that she would not have him really suspect such a circumstance as her not being thought perfect by every body . "" Emma knows I never flatter her , "" said Mr. Knightley , "" but I meant no reflection on any body . Miss Taylor has been used to have two persons to please ; she will now have but one . "
Emma Woodhouse	agent	knows	"Mr. Knightley , in fact , was one of the few people who could see faults in Emma Woodhouse , and the only one who ever told her of them : and though this was not particularly agreeable to Emma herself , she knew it would be so much less so to her father , that she would not have him really suspect such a circumstance as her not being thought perfect by every body . "" Emma knows I never flatter her , "" said Mr. Knightley , "" but I meant no reflection on any body . Miss Taylor has been used to have two persons to please ; she will now have but one . "
Emma Woodhouse	agent	meant	"Mr. Knightley , in fact , was one of the few people who could see faults in Emma Woodhouse , and the only one who ever told her of them : and though this was not particularly agreeable to Emma herself , she knew it would be so much less so to her father , that she would not have him really suspect such a circumstance as her not being thought perfect by every body . "" Emma knows I never flatter her , "" said Mr. Knightley , "" but I meant no reflection on any body . Miss Taylor has been used to have two persons to please ; she will now have but one . "
Emma Woodhouse	agent	said	""" "" Well , "" said Emma , willing to let it pass--""you want to hear about the wedding ; and I shall be happy to tell you , for we all behaved charmingly . "
Emma Woodhouse	agent	bears	""" "" Dear Emma bears every thing so well , "" said her father . "
Emma Woodhouse	agent	turned	Emma turned away her head , divided between tears and smiles . 
Emma Woodhouse	agent	miss	""" It is impossible that Emma should not miss such a companion , "" said Mr. Knightley . "
Emma Woodhouse	agent	said	""" We should not like her so well as we do , sir , if we could suppose it ; but she knows how much the marriage is to Miss Taylor 's advantage ; she knows how very acceptable it must be , at Miss Taylor 's time of life , to be settled in a home of her own , and how important to her to be secure of a comfortable provision , and therefore can not allow herself to feel so much pain as pleasure . Every friend of Miss Taylor must be glad to have her so happily married . "" "" And you have forgotten one matter of joy to me , "" said Emma , "" and a very considerable one -- that I made the match myself . I made the match , you know , four years ago ; and to have it take place , and be proved in the right , when so many people said Mr. Weston would never marry again , may comfort me for any thing . "" Mr. Knightley shook his head at her . "
Emma Woodhouse	agent	made	""" We should not like her so well as we do , sir , if we could suppose it ; but she knows how much the marriage is to Miss Taylor 's advantage ; she knows how very acceptable it must be , at Miss Taylor 's time of life , to be settled in a home of her own , and how important to her to be secure of a comfortable provision , and therefore can not allow herself to feel so much pain as pleasure . Every friend of Miss Taylor must be glad to have her so happily married . "" "" And you have forgotten one matter of joy to me , "" said Emma , "" and a very considerable one -- that I made the match myself . I made the match , you know , four years ago ; and to have it take place , and be proved in the right , when so many people said Mr. Weston would never marry again , may comfort me for any thing . "" Mr. Knightley shook his head at her . "
Emma Woodhouse	agent	made	""" We should not like her so well as we do , sir , if we could suppose it ; but she knows how much the marriage is to Miss Taylor 's advantage ; she knows how very acceptable it must be , at Miss Taylor 's time of life , to be settled in a home of her own , and how important to her to be secure of a comfortable provision , and therefore can not allow herself to feel so much pain as pleasure . Every friend of Miss Taylor must be glad to have her so happily married . "" "" And you have forgotten one matter of joy to me , "" said Emma , "" and a very considerable one -- that I made the match myself . I made the match , you know , four years ago ; and to have it take place , and be proved in the right , when so many people said Mr. Weston would never marry again , may comfort me for any thing . "" Mr. Knightley shook his head at her . "
Emma Woodhouse	agent	thinks	"You are more likely to have done harm to yourself , than good to them , by interference . "" "" Emma never thinks of herself , if she can do good to others , "" rejoined Mr. Woodhouse , understanding but in part . "
Emma Woodhouse	agent	do	"You are more likely to have done harm to yourself , than good to them , by interference . "" "" Emma never thinks of herself , if she can do good to others , "" rejoined Mr. Woodhouse , understanding but in part . "
Emma Woodhouse	agent	losing	Mrs. Weston had , of course , formed a very favourable idea of the young man ; and such a pleasing attention was an irresistible proof of his great good sense , and a most welcome addition to every source and every expression of congratulation which her marriage had already secured . She felt herself a most fortunate woman ; and she had lived long enough to know how fortunate she might well be thought , where the only regret was for a partial separation from friends whose friendship for her had never cooled , and who could ill bear to part with her . She knew that at times she must be missed ; and could not think , without pain , of Emma 's losing a single pleasure , or suffering an hour 's ennui , from the want of her companionableness : but dear Emma was of no feeble character ; she was more equal to her situation than most girls would have been , and had sense , and energy , and spirits that might be hoped would bear her well and happily through its little difficulties and privations . And then there was such comfort in the very easy distance of Randalls from Hartfield , so convenient for even solitary female walking , and in Mr. Weston 's disposition and circumstances , which would make the approaching season no hindrance to their spending half the evenings in the week together . Her situation was altogether the subject of hours of gratitude to Mrs. Weston , and of moments only of regret ; and her satisfaction -- her more than satisfaction -- her cheerful enjoyment , was so just and so apparent , that Emma , well as she knew her father , was sometimes taken by surprize at his being still able to pity ` poor Miss Taylor , ' when they left her at Randalls in the centre of every domestic comfort , or saw her go away in the evening attended by her pleasant husband to a carriage of her own . 
Emma Woodhouse	agent	suffering	Mrs. Weston had , of course , formed a very favourable idea of the young man ; and such a pleasing attention was an irresistible proof of his great good sense , and a most welcome addition to every source and every expression of congratulation which her marriage had already secured . She felt herself a most fortunate woman ; and she had lived long enough to know how fortunate she might well be thought , where the only regret was for a partial separation from friends whose friendship for her had never cooled , and who could ill bear to part with her . She knew that at times she must be missed ; and could not think , without pain , of Emma 's losing a single pleasure , or suffering an hour 's ennui , from the want of her companionableness : but dear Emma was of no feeble character ; she was more equal to her situation than most girls would have been , and had sense , and energy , and spirits that might be hoped would bear her well and happily through its little difficulties and privations . And then there was such comfort in the very easy distance of Randalls from Hartfield , so convenient for even solitary female walking , and in Mr. Weston 's disposition and circumstances , which would make the approaching season no hindrance to their spending half the evenings in the week together . Her situation was altogether the subject of hours of gratitude to Mrs. Weston , and of moments only of regret ; and her satisfaction -- her more than satisfaction -- her cheerful enjoyment , was so just and so apparent , that Emma , well as she knew her father , was sometimes taken by surprize at his being still able to pity ` poor Miss Taylor , ' when they left her at Randalls in the centre of every domestic comfort , or saw her go away in the evening attended by her pleasant husband to a carriage of her own . 
Emma Woodhouse	agent	knew	Mrs. Weston had , of course , formed a very favourable idea of the young man ; and such a pleasing attention was an irresistible proof of his great good sense , and a most welcome addition to every source and every expression of congratulation which her marriage had already secured . She felt herself a most fortunate woman ; and she had lived long enough to know how fortunate she might well be thought , where the only regret was for a partial separation from friends whose friendship for her had never cooled , and who could ill bear to part with her . She knew that at times she must be missed ; and could not think , without pain , of Emma 's losing a single pleasure , or suffering an hour 's ennui , from the want of her companionableness : but dear Emma was of no feeble character ; she was more equal to her situation than most girls would have been , and had sense , and energy , and spirits that might be hoped would bear her well and happily through its little difficulties and privations . And then there was such comfort in the very easy distance of Randalls from Hartfield , so convenient for even solitary female walking , and in Mr. Weston 's disposition and circumstances , which would make the approaching season no hindrance to their spending half the evenings in the week together . Her situation was altogether the subject of hours of gratitude to Mrs. Weston , and of moments only of regret ; and her satisfaction -- her more than satisfaction -- her cheerful enjoyment , was so just and so apparent , that Emma , well as she knew her father , was sometimes taken by surprize at his being still able to pity ` poor Miss Taylor , ' when they left her at Randalls in the centre of every domestic comfort , or saw her go away in the evening attended by her pleasant husband to a carriage of her own . 
