Character	Role	Event	Context
Fanny Price	agent	spoke	She was small of her age , with no glow of complexion , nor any other striking beauty ; exceedingly timid and shy , and shrinking from notice ; but her air , though awkward , was not vulgar , her voice was sweet , and when she spoke her countenance was pretty . 
Fanny Price	agent	needed	Sir Thomas and Lady Bertram received her very kindly ; and Sir Thomas , seeing how much she needed encouragement , tried to be all that was conciliating : but he had to work against a most untoward gravity of deportment ; and Lady Bertram , without taking half so much trouble , or speaking one word where he spoke ten , by the mere aid of a good - humoured smile , became immediately the less awful character of the two . 
Fanny Price	agent	left	Afraid of everybody , ashamed of herself , and longing for the home she had left , she knew not how to look up , and could scarcely speak to be heard , or without crying . 
Fanny Price	agent	knew	Afraid of everybody , ashamed of herself , and longing for the home she had left , she knew not how to look up , and could scarcely speak to be heard , or without crying . 
Fanny Price	agent	speak	Afraid of everybody , ashamed of herself , and longing for the home she had left , she knew not how to look up , and could scarcely speak to be heard , or without crying . 
Fanny Price	agent	swallow	In vain were the well - meant condescensions of Sir Thomas , and all the officious prognostications of Mrs. Norris that she would be a good girl ; in vain did Lady Bertram smile and make her sit on the sofa with herself and pug , and vain was even the sight of a gooseberry tart towards giving her comfort ; she could scarcely swallow two mouthfuls before tears interrupted her , and sleep seeming to be her likeliest friend , she was taken to finish her sorrows in bed 
Fanny Price	agent	taken	In vain were the well - meant condescensions of Sir Thomas , and all the officious prognostications of Mrs. Norris that she would be a good girl ; in vain did Lady Bertram smile and make her sit on the sofa with herself and pug , and vain was even the sight of a gooseberry tart towards giving her comfort ; she could scarcely swallow two mouthfuls before tears interrupted her , and sleep seeming to be her likeliest friend , she was taken to finish her sorrows in bed 
Fanny Price	agent	behaved	“ After all that I said to her as we came along , I thought she would have behaved better ; I told her how much might depend upon her acquitting herself well at first . 
Fanny Price	agent	acquitting	“ After all that I said to her as we came along , I thought she would have behaved better ; I told her how much might depend upon her acquitting herself well at first . 
Fanny Price	agent	understand	I do not know that her being sorry to leave her home is really against her , for , with all its faults , it _ was _ her home , and she can not as yet understand how much she has changed for the better ; but then there is moderation in all things . 
Fanny Price	agent	has	I do not know that her being sorry to leave her home is really against her , for , with all its faults , it _ was _ her home , and she can not as yet understand how much she has changed for the better ; but then there is moderation in all things . 
Fanny Price	agent	disheartened	She was disheartened by Lady Bertram ’s silence , awed by Sir Thomas ’s grave looks , and quite overcome by Mrs. Norris ’s admonitions . 
Fanny Price	agent	awed	She was disheartened by Lady Bertram ’s silence , awed by Sir Thomas ’s grave looks , and quite overcome by Mrs. Norris ’s admonitions . 
Fanny Price	agent	move	The rooms were too large for her to move in with ease : whatever she touched she expected to injure , and she crept about in constant terror of something or other ; often retreating towards her own chamber to cry ; and the little girl who was spoken of in the drawing - room when she left it at night as seeming so desirably sensible of her peculiar good fortune , ended every day ’s sorrows by sobbing herself to sleep . 
Fanny Price	agent	touched	The rooms were too large for her to move in with ease : whatever she touched she expected to injure , and she crept about in constant terror of something or other ; often retreating towards her own chamber to cry ; and the little girl who was spoken of in the drawing - room when she left it at night as seeming so desirably sensible of her peculiar good fortune , ended every day ’s sorrows by sobbing herself to sleep . 
Fanny Price	agent	expected	The rooms were too large for her to move in with ease : whatever she touched she expected to injure , and she crept about in constant terror of something or other ; often retreating towards her own chamber to cry ; and the little girl who was spoken of in the drawing - room when she left it at night as seeming so desirably sensible of her peculiar good fortune , ended every day ’s sorrows by sobbing herself to sleep . 
Fanny Price	agent	crept	The rooms were too large for her to move in with ease : whatever she touched she expected to injure , and she crept about in constant terror of something or other ; often retreating towards her own chamber to cry ; and the little girl who was spoken of in the drawing - room when she left it at night as seeming so desirably sensible of her peculiar good fortune , ended every day ’s sorrows by sobbing herself to sleep . 
