Character	Role	Event	Context
Catherine Morland	agent	grows	“ Catherine grows quite a good - looking girl — she is almost pretty to - day , ” were words which caught her ears now and then ; and how welcome were the sounds ! 
Catherine Morland	agent	wrap	“ I beg , Catherine , you will always wrap yourself up very warm about the throat , when you come from the Rooms at night ; and I wish you would try to keep some account of the money you spend ; I will give you this little book on purpose . 
Catherine Morland	agent	come	“ I beg , Catherine , you will always wrap yourself up very warm about the throat , when you come from the Rooms at night ; and I wish you would try to keep some account of the money you spend ; I will give you this little book on purpose . 
Catherine Morland	agent	try	“ I beg , Catherine , you will always wrap yourself up very warm about the throat , when you come from the Rooms at night ; and I wish you would try to keep some account of the money you spend ; I will give you this little book on purpose . 
Catherine Morland	agent	spend	“ I beg , Catherine , you will always wrap yourself up very warm about the throat , when you come from the Rooms at night ; and I wish you would try to keep some account of the money you spend ; I will give you this little book on purpose . 
Catherine Morland	agent	made	Catherine too made some purchases herself , and when all these matters were arranged , the important evening came which was to usher her into the Upper Rooms . 
Catherine Morland	agent	came	Catherine too made some purchases herself , and when all these matters were arranged , the important evening came which was to usher her into the Upper Rooms . 
Catherine Morland	agent	hoped	With such encouragement , Catherine hoped at least to pass uncensured through the crowd . 
Catherine Morland	agent	dance	Mrs. Allen did all that she could do in such a case by saying very placidly , every now and then , “ I wish you could dance , my dear — I wish you could get a partner . ” 
Catherine Morland	agent	grew	; but they were repeated so often , and proved so totally ineffectual , that Catherine grew tired at last , and would thank her no more . They were not long able , however , to enjoy the repose of the eminence they had so laboriously gained . 
Catherine Morland	agent	thank	; but they were repeated so often , and proved so totally ineffectual , that Catherine grew tired at last , and would thank her no more . They were not long able , however , to enjoy the repose of the eminence they had so laboriously gained . 
Catherine Morland	agent	began	Catherine began to feel something of disappointment — she was tired of being continually pressed against by people , the generality of whose faces possessed nothing to interest , and with all of whom she was so wholly unacquainted that she could not relieve the irksomeness of imprisonment by the exchange of a 
Catherine Morland	agent	whispered	“ How uncomfortable it is , ” whispered Catherine , “ not to have a single acquaintance here ! ” 
Catherine Morland	agent	wish	“ I wish we had _ any;_—it would be somebody to go to . ” “ Very true , my dear ; and if we knew anybody we would join them directly . 
Catherine Morland	agent	think	I think you _ must _ know somebody . ” 
Catherine Morland	agent	felt	His address was good , and Catherine felt herself in high luck . 
Catherine Morland	agent	replied	“ About a week , sir , ” replied Catherine , trying not to laugh . 
Catherine Morland	agent	turned	Catherine turned away her head , not knowing whether she might venture to laugh . “ I see what you think of me , ” said he gravely—“I shall make but a poor figure in your journal to - morrow . ” 
Catherine Morland	agent	think	Catherine turned away her head , not knowing whether she might venture to laugh . “ I see what you think of me , ” said he gravely—“I shall make but a poor figure in your journal to - morrow . ” 
Catherine Morland	agent	say	“ Yes , I know exactly what you will say : Friday , went to the Lower Rooms ; wore my sprigged muslin robe with blue trimmings — plain black shoes — appeared to much advantage ; but was strangely harassed by a queer , half - witted man , who would make me dance with him , and distressed me by his nonsense . ” 
Catherine Morland	agent	please	“ Indeed I shall say no such thing . ” “ Shall I tell you what you ought to say ? ” “ If you please . ” 
Catherine Morland	agent	thought	“ I have sometimes thought , ” said Catherine , doubtingly , “ whether ladies do write so much better letters than gentlemen ! 
Catherine Morland	agent	said	“ I have sometimes thought , ” said Catherine , doubtingly , “ whether ladies do write so much better letters than gentlemen ! 
Catherine Morland	agent	said	“ How can you , ” said Catherine , laughing , “ be so — ” 
Catherine Morland	agent	feared	Catherine feared , as she listened to their discourse , that he indulged himself a little too much with the foibles of others . 
Catherine Morland	agent	coloured	Catherine coloured , and said , “ I was not thinking of anything . ” 
Catherine Morland	agent	said	Catherine coloured , and said , “ I was not thinking of anything . ” 
Catherine Morland	agent	thinking	Catherine coloured , and said , “ I was not thinking of anything . ” 
Catherine Morland	agent	hasten	CHAPTER 4 With more than usual eagerness did Catherine hasten to the pump - room the next day , secure within herself of seeing Mr. Tilney there before the morning were over , and ready to meet him with a smile ; but no smile was demanded — Mr. Tilney did not appear . 
Catherine Morland	agent	appear	CHAPTER 4 With more than usual eagerness did Catherine hasten to the pump - room the next day , secure within herself of seeing Mr. Tilney there before the morning were over , and ready to meet him with a smile ; but no smile was demanded — Mr. Tilney did not appear . 
Catherine Morland	agent	heard	The whole being explained , many obliging things were said by the Miss Thorpes of their wish of being better acquainted with her ; of being considered as already friends , through the friendship of their brothers , etc . , which Catherine heard with pleasure , and answered with all the pretty expressions she could command ; and , as the first proof of amity , she was soon invited to accept an arm of the eldest Miss Thorpe , and take a turn with her about the room . 
Catherine Morland	agent	answered	The whole being explained , many obliging things were said by the Miss Thorpes of their wish of being better acquainted with her ; of being considered as already friends , through the friendship of their brothers , etc . , which Catherine heard with pleasure , and answered with all the pretty expressions she could command ; and , as the first proof of amity , she was soon invited to accept an arm of the eldest Miss Thorpe , and take a turn with her about the room . 
Catherine Morland	agent	invited	The whole being explained , many obliging things were said by the Miss Thorpes of their wish of being better acquainted with her ; of being considered as already friends , through the friendship of their brothers , etc . , which Catherine heard with pleasure , and answered with all the pretty expressions she could command ; and , as the first proof of amity , she was soon invited to accept an arm of the eldest Miss Thorpe , and take a turn with her about the room . 
Catherine Morland	agent	ran	Catherine then ran directly upstairs , and watched Miss Thorpe ’s progress down the street from the drawing - room window ; admired the graceful spirit of her walk , the fashionable air of her figure and dress ; and felt grateful , as well she might , for the chance which had procured her such a friend . 
Catherine Morland	agent	watched	Catherine then ran directly upstairs , and watched Miss Thorpe ’s progress down the street from the drawing - room window ; admired the graceful spirit of her walk , the fashionable air of her figure and dress ; and felt grateful , as well she might , for the chance which had procured her such a friend . 
Catherine Morland	agent	admired	Catherine then ran directly upstairs , and watched Miss Thorpe ’s progress down the street from the drawing - room window ; admired the graceful spirit of her walk , the fashionable air of her figure and dress ; and felt grateful , as well she might , for the chance which had procured her such a friend . 
Catherine Morland	agent	tasted	Here Catherine and Isabella , arm in arm , again tasted the sweets of friendship in an unreserved conversation ; they talked much , and with much enjoyment ; but again was Catherine disappointed in her hope of reseeing her partner . 
Catherine Morland	agent	cried	“ Oh , dear ! ” cried Catherine , colouring . 
Catherine Morland	agent	know	“ I know you very well ; you have so much animation , which is exactly what Miss Andrews wants , for I must confess there is something amazingly insipid about her . 
Catherine Morland	agent	confess	“ I know you very well ; you have so much animation , which is exactly what Miss Andrews wants , for I must confess there is something amazingly insipid about her . 
Catherine Morland	agent	tell	i must tell you , that just after we parted yesterday , I saw a young man looking at you so earnestly — I am sure he is in love with you . ” 
Catherine Morland	agent	saw	i must tell you , that just after we parted yesterday , I saw a young man looking at you so earnestly — I am sure he is in love with you . ” 
Catherine Morland	agent	coloured	Catherine coloured , and disclaimed again . 
Catherine Morland	agent	disclaimed	Catherine coloured , and disclaimed again . 
Catherine Morland	agent	know	Where the heart is really attached , I know very well how little one can be pleased with the attention of anybody else . 
Catherine Morland	agent	suppose	“ It is so odd to me , that you should never have read Udolpho before ; but I suppose Mrs. Morland objects to novels . ” 
