Character	Role	Event	Context
Anne Elliot	agent	wanted	"What will he be doing , in fact , but what very many of our first families have done , or ought to do ? There will be nothing singular in his case ; and it is singularity which often makes the worst part of our suffering , as it always does of our conduct . I have great hope of prevailing . We must be serious and decided ; for after all , the person who has contracted debts must pay them ; and though a great deal is due to the feelings of the gentleman , and the head of a house , like your father , there is still more due to the character of an honest man . "" This was the principle on which Anne wanted her father to be proceeding , his friends to be urging him . She considered it as an act of indispensable duty to clear away the claims of creditors with all the expedition which the most comprehensive retrenchments could secure , and saw no dignity in anything short of it . She wanted it to be prescribed , and felt as a duty . She rated Lady Russell 's influence highly ; and as to the severe degree of self - denial which her own conscience prompted , she believed there might be little more difficulty in persuading them to a complete , than to half a reformation . "
Anne Elliot	agent	considered	"What will he be doing , in fact , but what very many of our first families have done , or ought to do ? There will be nothing singular in his case ; and it is singularity which often makes the worst part of our suffering , as it always does of our conduct . I have great hope of prevailing . We must be serious and decided ; for after all , the person who has contracted debts must pay them ; and though a great deal is due to the feelings of the gentleman , and the head of a house , like your father , there is still more due to the character of an honest man . "" This was the principle on which Anne wanted her father to be proceeding , his friends to be urging him . She considered it as an act of indispensable duty to clear away the claims of creditors with all the expedition which the most comprehensive retrenchments could secure , and saw no dignity in anything short of it . She wanted it to be prescribed , and felt as a duty . She rated Lady Russell 's influence highly ; and as to the severe degree of self - denial which her own conscience prompted , she believed there might be little more difficulty in persuading them to a complete , than to half a reformation . "
Anne Elliot	agent	saw	"What will he be doing , in fact , but what very many of our first families have done , or ought to do ? There will be nothing singular in his case ; and it is singularity which often makes the worst part of our suffering , as it always does of our conduct . I have great hope of prevailing . We must be serious and decided ; for after all , the person who has contracted debts must pay them ; and though a great deal is due to the feelings of the gentleman , and the head of a house , like your father , there is still more due to the character of an honest man . "" This was the principle on which Anne wanted her father to be proceeding , his friends to be urging him . She considered it as an act of indispensable duty to clear away the claims of creditors with all the expedition which the most comprehensive retrenchments could secure , and saw no dignity in anything short of it . She wanted it to be prescribed , and felt as a duty . She rated Lady Russell 's influence highly ; and as to the severe degree of self - denial which her own conscience prompted , she believed there might be little more difficulty in persuading them to a complete , than to half a reformation . "
Anne Elliot	agent	wanted	"What will he be doing , in fact , but what very many of our first families have done , or ought to do ? There will be nothing singular in his case ; and it is singularity which often makes the worst part of our suffering , as it always does of our conduct . I have great hope of prevailing . We must be serious and decided ; for after all , the person who has contracted debts must pay them ; and though a great deal is due to the feelings of the gentleman , and the head of a house , like your father , there is still more due to the character of an honest man . "" This was the principle on which Anne wanted her father to be proceeding , his friends to be urging him . She considered it as an act of indispensable duty to clear away the claims of creditors with all the expedition which the most comprehensive retrenchments could secure , and saw no dignity in anything short of it . She wanted it to be prescribed , and felt as a duty . She rated Lady Russell 's influence highly ; and as to the severe degree of self - denial which her own conscience prompted , she believed there might be little more difficulty in persuading them to a complete , than to half a reformation . "
Anne Elliot	agent	felt	"What will he be doing , in fact , but what very many of our first families have done , or ought to do ? There will be nothing singular in his case ; and it is singularity which often makes the worst part of our suffering , as it always does of our conduct . I have great hope of prevailing . We must be serious and decided ; for after all , the person who has contracted debts must pay them ; and though a great deal is due to the feelings of the gentleman , and the head of a house , like your father , there is still more due to the character of an honest man . "" This was the principle on which Anne wanted her father to be proceeding , his friends to be urging him . She considered it as an act of indispensable duty to clear away the claims of creditors with all the expedition which the most comprehensive retrenchments could secure , and saw no dignity in anything short of it . She wanted it to be prescribed , and felt as a duty . She rated Lady Russell 's influence highly ; and as to the severe degree of self - denial which her own conscience prompted , she believed there might be little more difficulty in persuading them to a complete , than to half a reformation . "
Anne Elliot	agent	rated	"What will he be doing , in fact , but what very many of our first families have done , or ought to do ? There will be nothing singular in his case ; and it is singularity which often makes the worst part of our suffering , as it always does of our conduct . I have great hope of prevailing . We must be serious and decided ; for after all , the person who has contracted debts must pay them ; and though a great deal is due to the feelings of the gentleman , and the head of a house , like your father , there is still more due to the character of an honest man . "" This was the principle on which Anne wanted her father to be proceeding , his friends to be urging him . She considered it as an act of indispensable duty to clear away the claims of creditors with all the expedition which the most comprehensive retrenchments could secure , and saw no dignity in anything short of it . She wanted it to be prescribed , and felt as a duty . She rated Lady Russell 's influence highly ; and as to the severe degree of self - denial which her own conscience prompted , she believed there might be little more difficulty in persuading them to a complete , than to half a reformation . "
Anne Elliot	agent	believed	"What will he be doing , in fact , but what very many of our first families have done , or ought to do ? There will be nothing singular in his case ; and it is singularity which often makes the worst part of our suffering , as it always does of our conduct . I have great hope of prevailing . We must be serious and decided ; for after all , the person who has contracted debts must pay them ; and though a great deal is due to the feelings of the gentleman , and the head of a house , like your father , there is still more due to the character of an honest man . "" This was the principle on which Anne wanted her father to be proceeding , his friends to be urging him . She considered it as an act of indispensable duty to clear away the claims of creditors with all the expedition which the most comprehensive retrenchments could secure , and saw no dignity in anything short of it . She wanted it to be prescribed , and felt as a duty . She rated Lady Russell 's influence highly ; and as to the severe degree of self - denial which her own conscience prompted , she believed there might be little more difficulty in persuading them to a complete , than to half a reformation . "
Anne Elliot	agent	disliked	All Anne 's wishes had been for the latter . A small house in their own neighbourhood , where they might still have Lady Russell 's society , still be near Mary , and still have the pleasure of sometimes seeing the lawns and groves of Kellynch , was the object of her ambition . But the usual fate of Anne attended her , in having something very opposite from her inclination fixed on . She disliked Bath , and did not think it agreed with her ; and Bath was to be her home . 
Anne Elliot	agent	think	All Anne 's wishes had been for the latter . A small house in their own neighbourhood , where they might still have Lady Russell 's society , still be near Mary , and still have the pleasure of sometimes seeing the lawns and groves of Kellynch , was the object of her ambition . But the usual fate of Anne attended her , in having something very opposite from her inclination fixed on . She disliked Bath , and did not think it agreed with her ; and Bath was to be her home . 
Anne Elliot	agent	found	It would be too much to expect Sir Walter to descend into a small house in his own neighbourhood . Anne herself would have found the mortifications of it more than she foresaw , and to Sir Walter 's feelings they must have been dreadful . 
Anne Elliot	agent	foresaw	It would be too much to expect Sir Walter to descend into a small house in his own neighbourhood . Anne herself would have found the mortifications of it more than she foresaw , and to Sir Walter 's feelings they must have been dreadful . 
Anne Elliot	agent	happening	And with regard to Anne 's dislike of Bath , she considered it as a prejudice and mistake arising , first , from the circumstance of her having been three years at school there , after her mother 's death ; and secondly , from her happening to be not in perfectly good spirits the only winter which she had afterwards spent there with herself . Lady Russell was fond of Bath , in short , and disposed to think it must suit them all ; and as to her young friend 's health , by passing all the warm months with her at Kellynch Lodge , every danger would be avoided ; and it was in fact , a change which must do both health and spirits good . 
Anne Elliot	agent	spent	And with regard to Anne 's dislike of Bath , she considered it as a prejudice and mistake arising , first , from the circumstance of her having been three years at school there , after her mother 's death ; and secondly , from her happening to be not in perfectly good spirits the only winter which she had afterwards spent there with herself . Lady Russell was fond of Bath , in short , and disposed to think it must suit them all ; and as to her young friend 's health , by passing all the warm months with her at Kellynch Lodge , every danger would be avoided ; and it was in fact , a change which must do both health and spirits good . 
Anne Elliot	agent	included	She had never received from her more than outward attention , nothing beyond the observances of complaisance ; had never succeeded in any point which she wanted to carry , against previous inclination . She had been repeatedly very earnest in trying to get Anne included in the visit to London , sensibly open to all the injustice and all the discredit of the selfish arrangements which shut her out , and on many lesser occasions had endeavoured to give Elizabeth the advantage of her own better judgement and experience ; but always in vain : Elizabeth would go her own way ; and never had she pursued it in more decided opposition to Lady Russell than in this selection of Mrs Clay ; turning from the society of so deserving a sister , to bestow her affection and confidence on one who ought to have been nothing to her but the object of distant civility . 
Anne Elliot	agent	spoke--	"I venture to hint , that Sir Walter Elliot can not be half so jealous for his own , as John Shepherd will be for him . "" Here Anne spoke-- "" The navy , I think , who have done so much for us , have at least an equal claim with any other set of men , for all the comforts and all the privileges which any home can give . "
Anne Elliot	agent	think	"I venture to hint , that Sir Walter Elliot can not be half so jealous for his own , as John Shepherd will be for him . "" Here Anne spoke-- "" The navy , I think , who have done so much for us , have at least an equal claim with any other set of men , for all the comforts and all the privileges which any home can give . "
Anne Elliot	agent	says	"What Miss Anne says , is very true , "" was Mr Shepherd 's rejoinder , and "" Oh ! certainly , "" was his daughter 's "
Anne Elliot	agent	have	""" Yes ; it is in two points offensive to me ; I have two strong grounds of objection to it . "
Anne Elliot	agent	observed	First , as being the means of bringing persons of obscure birth into undue distinction , and raising men to honours which their fathers and grandfathers never dreamt of ; and secondly , as it cuts up a man 's youth and vigour most horribly ; a sailor grows old sooner than any other man . I have observed it all my life . 
Anne Elliot	agent	talking	A man is in greater danger in the navy of being insulted by the rise of one whose father , his father might have disdained to speak to , and of becoming prematurely an object of disgust himself , than in any other line . One day last spring , in town , I was in company with two men , striking instances of what I am talking of ; Lord St Ives , whose father we all know to have been a country curate , without bread to eat ; I was to give place to Lord St Ives , and a certain Admiral Baldwin , the most deplorable - looking personage you can imagine ; his face the colour of mahogany , rough and rugged to the last degree ; all lines and wrinkles , nine grey hairs of a side , and nothing but a dab of powder at top . ` In the name of heaven , who is that old fellow ? ' said I to a friend of mine who was standing near , ( Sir Basil Morley ) . ` Old fellow ! ' cried Sir Basil , ` it is Admiral Baldwin . What do you take his age to be ? ' 
Anne Elliot	agent	said	A man is in greater danger in the navy of being insulted by the rise of one whose father , his father might have disdained to speak to , and of becoming prematurely an object of disgust himself , than in any other line . One day last spring , in town , I was in company with two men , striking instances of what I am talking of ; Lord St Ives , whose father we all know to have been a country curate , without bread to eat ; I was to give place to Lord St Ives , and a certain Admiral Baldwin , the most deplorable - looking personage you can imagine ; his face the colour of mahogany , rough and rugged to the last degree ; all lines and wrinkles , nine grey hairs of a side , and nothing but a dab of powder at top . ` In the name of heaven , who is that old fellow ? ' said I to a friend of mine who was standing near , ( Sir Basil Morley ) . ` Old fellow ! ' cried Sir Basil , ` it is Admiral Baldwin . What do you take his age to be ? ' 
Anne Elliot	agent	said	` Sixty , ' said I , ` or perhaps sixty - two . 
Anne Elliot	agent	forget	' ` Forty , ' replied Sir Basil , ` forty , and no more . ' Picture to yourselves my amazement ; I shall not easily forget Admiral Baldwin . 
Anne Elliot	agent	saw	I never saw quite so wretched an example of what a sea - faring life can do ; but to a degree , I know it is the same with them all : they are all knocked about , and exposed to every climate , and every weather , till they are not fit to be seen . 
