Character	Role	Event	Context
Elizabeth Bennet	agent	has	“ They have none of them much to recommend them , ” replied he : “ they are all silly and ignorant like other girls ; but Lizzy has something more of quickness than her sisters . ” “ Mr. Bennet , how can you abuse your own children in such a way ? 
Elizabeth Bennet	agent	said	“ But you forget , mamma , ” said Elizabeth , “ that we shall meet him at the assemblies , and that Mrs. Long has promised to introduce him . ” “ I do not believe Mrs. Long will do any such thing . 
Elizabeth Bennet	agent	overhear	Elizabeth Bennet had been obliged , by the scarcity of gentlemen , to sit down for two dances ; and during part of that time , Mr. Darcy had been standing near enough for her to overhear a conversation between him and Mr. Bingley , who came from the dance for a few minutes to press his friend to join it . 
Elizabeth Bennet	agent	mean	_ ] ] “ Which do you mean ? ” 
Elizabeth Bennet	agent	return	You had better return to your partner and enjoy her smiles , for you are wasting your time with me . 
Elizabeth Bennet	agent	enjoy	You had better return to your partner and enjoy her smiles , for you are wasting your time with me . 
Elizabeth Bennet	agent	wasting	You had better return to your partner and enjoy her smiles , for you are wasting your time with me . 
Elizabeth Bennet	agent	told	She told the story , however , with great spirit among her friends ; for she had a lively , playful disposition , which delighted in anything ridiculous . 
Elizabeth Bennet	agent	had	She told the story , however , with great spirit among her friends ; for she had a lively , playful disposition , which delighted in anything ridiculous . 
Elizabeth Bennet	agent	felt	Elizabeth felt Jane ’s pleasure . 
Elizabeth Bennet	agent	lose	“ But I can assure you , ” she added , “ that Lizzy does not lose much by not suiting _ his _ fancy ; for he is a most disagreeable , horrid man , not at all worth pleasing . 
Elizabeth Bennet	agent	replied	“ He is just what a young - man ought to be , ” said she , “ sensible , good - humoured , lively ; and I never saw such happy manners ! so much ease , with such perfect good breeding ! ” “ He is also handsome , ” replied Elizabeth , “ which a young man ought likewise to be if he possibly can . 
Elizabeth Bennet	agent	did	_ I _ did for you . 
Elizabeth Bennet	agent	give	Well , he certainly is very agreeable , and I give you leave to like him . 
Elizabeth Bennet	agent	heard	I never heard you speak ill of a human being in my life . ” 
Elizabeth Bennet	agent	know	“ I know you do : and it is _ that _ which makes the wonder . 
Elizabeth Bennet	agent	listened	Elizabeth listened in silence , but was not convinced : their behaviour at the assembly had not been calculated to please in general ; and with more quickness of observation and less pliancy of temper than her sister , and with a judgment , too , unassailed by any attention to herself , she was very little disposed to approve them . 
Elizabeth Bennet	agent	convinced	Elizabeth listened in silence , but was not convinced : their behaviour at the assembly had not been calculated to please in general ; and with more quickness of observation and less pliancy of temper than her sister , and with a judgment , too , unassailed by any attention to herself , she was very little disposed to approve them . 
Elizabeth Bennet	agent	smiled	Miss Bennet he acknowledged to be pretty ; but she smiled too much . 
Elizabeth Bennet	agent	asked	“ Ay , because she asked him at last how he liked Netherfield , and he could not help answering her ; but she said he seemed very angry at being spoke to . ” 
Elizabeth Bennet	agent	said	“ Ay , because she asked him at last how he liked Netherfield , and he could not help answering her ; but she said he seemed very angry at being spoke to . ” 
Elizabeth Bennet	agent	replied	“ That is very true , ” replied Elizabeth , “ and I could easily forgive _ his _ pride , if he had not mortified _ mine _ . ” 
Elizabeth Bennet	agent	forgive	“ That is very true , ” replied Elizabeth , “ and I could easily forgive _ his _ pride , if he had not mortified _ mine _ . ” 
Elizabeth Bennet	agent	saw	By Jane this attention was received with the greatest pleasure ; but Elizabeth still saw superciliousness in their treatment of everybody , hardly excepting even her sister , and could not like them ; though their kindness to Jane , such as it was , had a value , as arising , in all probability , from the influence of their brother ’s admiration . 
Elizabeth Bennet	agent	do	“ Remember , Eliza , that he does not know Jane ’s disposition as you do . ” “ But if a woman is partial to a man , and does not endeavor to conceal it , he must find it out . ” 
Elizabeth Bennet	agent	replied	When she is secure of him , there will be leisure for falling in love as much as she chooses . ” “ Your plan is a good one , ” replied Elizabeth , “ where nothing is in question but the desire of being well married ; and if I were determined to get a rich husband , or any husband , I dare say I should adopt it . 
Elizabeth Bennet	agent	dare	When she is secure of him , there will be leisure for falling in love as much as she chooses . ” “ Your plan is a good one , ” replied Elizabeth , “ where nothing is in question but the desire of being well married ; and if I were determined to get a rich husband , or any husband , I dare say I should adopt it . 
Elizabeth Bennet	agent	adopt	When she is secure of him , there will be leisure for falling in love as much as she chooses . ” “ Your plan is a good one , ” replied Elizabeth , “ where nothing is in question but the desire of being well married ; and if I were determined to get a rich husband , or any husband , I dare say I should adopt it . 
Elizabeth Bennet	agent	represent	“ Not as you represent it . 
Elizabeth Bennet	agent	imagine	“ Yes : these four evenings have enabled them to ascertain that they both like Vingt - un better than Commerce , but with respect to any other leading characteristic , I do not imagine that much has been unfolded . ” “ Well , ” said Charlotte , “ I wish Jane success with all my heart ; and if she were married to him to - morrow , I should think she had as good a chance of happiness as if she were to be studying his character for a twelvemonth . 
Elizabeth Bennet	agent	think	“ Yes : these four evenings have enabled them to ascertain that they both like Vingt - un better than Commerce , but with respect to any other leading characteristic , I do not imagine that much has been unfolded . ” “ Well , ” said Charlotte , “ I wish Jane success with all my heart ; and if she were married to him to - morrow , I should think she had as good a chance of happiness as if she were to be studying his character for a twelvemonth . 
Elizabeth Bennet	agent	becoming	You know it is not sound , and that you would never act in this way yourself . ” Occupied in observing Mr. Bingley ’s attention to her sister , Elizabeth was far from suspecting that she was herself becoming an object of some interest in the eyes of his friend . Mr. Darcy had at first scarcely allowed her to be pretty : he had looked at her without admiration at the ball ; and when they next met , he looked at her only to criticise . 
Elizabeth Bennet	agent	had	But no sooner had he made it clear to himself and his friends that she had hardly a good feature in her face , than he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes . 
Elizabeth Bennet	agent	said	“ What does Mr. Darcy mean , ” said she to Charlotte , “ by listening to my conversation with Colonel Forster ? ” “ That is a question which Mr. Darcy only can answer . ” 
Elizabeth Bennet	agent	let	“ But if he does it any more , I shall certainly let him know that I see what he is about . 
Elizabeth Bennet	agent	see	“ But if he does it any more , I shall certainly let him know that I see what he is about . 
Elizabeth Bennet	agent	begin	He has a very satirical eye , and if I do not begin by being impertinent myself , I shall soon grow afraid of him . ” [ Illustration : “ The entreaties of several ” 
Elizabeth Bennet	agent	grow	He has a very satirical eye , and if I do not begin by being impertinent myself , I shall soon grow afraid of him . ” [ Illustration : “ The entreaties of several ” 
Elizabeth Bennet	agent	know	“ I am going to open the instrument , Eliza , and you know what follows . 
Elizabeth Bennet	agent	dancing	He paused in hopes of an answer : but his companion was not disposed to make any ; and Elizabeth at that instant moving towards them , he was struck with the notion of doing a very gallant thing , and called out to her,-- “ My dear Miss Eliza , why are not you dancing ? 
Elizabeth Bennet	agent	allow	Mr. Darcy , you must allow me to present this young lady to you as a very desirable partner . 
Elizabeth Bennet	agent	excel	“ You excel so much in the dance , Miss Eliza , that it is cruel to deny me the happiness of seeing you ; and though this gentleman dislikes the amusement in general , he can have no objection , I am sure , to oblige us for one half hour . ” 
Elizabeth Bennet	agent	have	“ You excel so much in the dance , Miss Eliza , that it is cruel to deny me the happiness of seeing you ; and though this gentleman dislikes the amusement in general , he can have no objection , I am sure , to oblige us for one half hour . ” 
Elizabeth Bennet	agent	said	“ Mr. Darcy is all politeness , ” said Elizabeth , smiling . 
Elizabeth Bennet	agent	looked	Elizabeth looked archly , and turned away . 
Elizabeth Bennet	agent	turned	Elizabeth looked archly , and turned away . 
Elizabeth Bennet	agent	considering	“ You are considering how insupportable it would be to pass many evenings in this manner,--in such society ; and , indeed , I am quite of your opinion . 
Elizabeth Bennet	agent	ask	“ That is exactly the question which I expected you to ask . 
Elizabeth Bennet	agent	wishing	I knew you would be wishing me joy . ” 
Elizabeth Bennet	agent	have	You will have a charming mother - in - law , indeed , and of course she will be always at Pemberley with you . ” He listened to her with perfect indifference , while she chose to entertain herself in this manner ; and as his composure convinced her that all was safe , her wit flowed along . 
Elizabeth Bennet	agent	flowed	You will have a charming mother - in - law , indeed , and of course she will be always at Pemberley with you . ” He listened to her with perfect indifference , while she chose to entertain herself in this manner ; and as his composure convinced her that all was safe , her wit flowed along . 
Elizabeth Bennet	agent	said	“ That would be a good scheme , ” said Elizabeth , “ if you were sure that they would not offer to send her home . ” 
Elizabeth Bennet	agent	go	“ I had much rather go in the coach . ” 
Elizabeth Bennet	agent	get	“ They are wanted in the farm much oftener than I can get them . ” 
Elizabeth Bennet	agent	said	“ But if you have got them to - day , ” said Elizabeth , “ my mother ’s purpose will be answered . 
Elizabeth Bennet	agent	extort	She did at last extort from her father an acknowledgment that the horses were engaged ; Jane was therefore obliged to go on horseback , and her mother attended her to the door with many cheerful prognostics of a bad day . 
Elizabeth Bennet	agent	engaged	She did at last extort from her father an acknowledgment that the horses were engaged ; Jane was therefore obliged to go on horseback , and her mother attended her to the door with many cheerful prognostics of a bad day . 
