Character	Role	Event	Context
Elinor Dashwood	agent	possessed	Elinor , this eldest daughter , whose advice was so effectual , possessed a strength of understanding , and coolness of judgment , which qualified her , though only nineteen , to be the counsellor of her mother , and enabled her frequently to counteract , to the advantage of them all , that eagerness of mind in Mrs. Dashwood which must generally have led to imprudence . 
Elinor Dashwood	agent	had	She had an excellent heart;--her disposition was affectionate , and her feelings were strong ; but she knew how to govern them : it was a knowledge which her mother had yet to learn ; and which one of her sisters had resolved never to be taught . 
Elinor Dashwood	agent	knew	She had an excellent heart;--her disposition was affectionate , and her feelings were strong ; but she knew how to govern them : it was a knowledge which her mother had yet to learn ; and which one of her sisters had resolved never to be taught . 
Elinor Dashwood	agent	saw	Elinor saw , with concern , the excess of her sister 's sensibility ; but by Mrs. Dashwood it was valued and cherished . 
Elinor Dashwood	agent	valued	Elinor saw , with concern , the excess of her sister 's sensibility ; but by Mrs. Dashwood it was valued and cherished . 
Elinor Dashwood	agent	struggle	Elinor , too , was deeply afflicted ; but still she could struggle , she could exert herself . 
Elinor Dashwood	agent	exert	Elinor , too , was deeply afflicted ; but still she could struggle , she could exert herself . 
Elinor Dashwood	agent	consult	She could consult with her brother , could receive her sister - in - law on her arrival , and treat her with proper attention ; and could strive to rouse her mother to similar exertion , and encourage her to similar forbearance . 
Elinor Dashwood	agent	receive	She could consult with her brother , could receive her sister - in - law on her arrival , and treat her with proper attention ; and could strive to rouse her mother to similar exertion , and encourage her to similar forbearance . 
Elinor Dashwood	agent	returned	It was enough for her that he appeared to be amiable , that he loved her daughter , and that Elinor returned the partiality . It was contrary to every doctrine of her 's that difference of fortune should keep any couple asunder who were attracted by resemblance of disposition ; and that Elinor 's merit should not be acknowledged by every one who knew her , was to her comprehension impossible . 
Elinor Dashwood	agent	chanced	She was first called to observe and approve him farther , by a reflection which Elinor chanced one day to make on the difference between him and his sister . It was a contrast which recommended him most forcibly to her mother . 
Elinor Dashwood	agent	think	"I love him already . "" "" I think you will like him , "" said Elinor , "" when you know more of him . "" "" Like him ! "" replied her mother with a smile . "
Elinor Dashwood	agent	said	"I love him already . "" "" I think you will like him , "" said Elinor , "" when you know more of him . "" "" Like him ! "" replied her mother with a smile . "
Elinor Dashwood	agent	draws	It is evident , in spite of his frequent attention to her while she draws , that in fact he knows nothing of the matter . 
Elinor Dashwood	agent	has	""" Nay , Mamma , if he is not to be animated by Cowper!-- but we must allow for difference of taste . Elinor has not my feelings , and therefore she may overlook it , and be happy with him . "
Elinor Dashwood	agent	overlook	""" Nay , Mamma , if he is not to be animated by Cowper!-- but we must allow for difference of taste . Elinor has not my feelings , and therefore she may overlook it , and be happy with him . "
Elinor Dashwood	agent	overlook	""" Nay , Mamma , if he is not to be animated by Cowper!-- but we must allow for difference of taste . Elinor has not my feelings , and therefore she may overlook it , and be happy with him . "
Elinor Dashwood	agent	replied	""" No taste for drawing ! "" replied Elinor , "" why should you think so ? "
Elinor Dashwood	agent	assure	He does not draw himself , indeed , but he has great pleasure in seeing the performances of other people , and I assure you he is by no means deficient in natural taste , though he has not had opportunities of improving it . 
Elinor Dashwood	agent	think	Had he ever been in the way of learning , I think he would have drawn very well . He distrusts his own judgment in such matters so much , that he is always unwilling to give his opinion on any picture ; but he has an innate propriety and simplicity of taste , which in general direct him perfectly right . 
Elinor Dashwood	agent	has	Had he ever been in the way of learning , I think he would have drawn very well . He distrusts his own judgment in such matters so much , that he is always unwilling to give his opinion on any picture ; but he has an innate propriety and simplicity of taste , which in general direct him perfectly right . 
Elinor Dashwood	agent	hope	""" I hope , Marianne , "" continued Elinor , "" you do not consider him as deficient in general taste . "
Elinor Dashwood	agent	continued	""" I hope , Marianne , "" continued Elinor , "" you do not consider him as deficient in general taste . "
Elinor Dashwood	agent	think	"Indeed , I think I may say that you can not , for your behaviour to him is perfectly cordial , and if THAT were your opinion , I am sure you could never be civil to him . "" "
Elinor Dashwood	agent	say	"Indeed , I think I may say that you can not , for your behaviour to him is perfectly cordial , and if THAT were your opinion , I am sure you could never be civil to him . "" "
Elinor Dashwood	agent	have	I have not had so many opportunities of estimating the minuter propensities of his mind , his inclinations and tastes , as you have ; but I have the highest opinion in the world of his goodness and sense . 
Elinor Dashwood	agent	replied	""" I am sure , "" replied Elinor , with a smile , "" that his dearest friends could not be dissatisfied with such commendation as that . "
Elinor Dashwood	agent	perceive	"I do not perceive how you could express yourself more warmly . "" Marianne was rejoiced to find her sister so easily pleased . "
Elinor Dashwood	agent	express	"I do not perceive how you could express yourself more warmly . "" Marianne was rejoiced to find her sister so easily pleased . "
Elinor Dashwood	agent	continued	""" Of his sense and his goodness , "" continued Elinor , "" no one can , I think , be in doubt , who has seen him often enough to engage him in unreserved conversation . "
Elinor Dashwood	agent	think	""" Of his sense and his goodness , "" continued Elinor , "" no one can , I think , be in doubt , who has seen him often enough to engage him in unreserved conversation . "
Elinor Dashwood	agent	know	You know enough of him to do justice to his solid worth . 
Elinor Dashwood	agent	call	But of his minuter propensities , as you call them you have from peculiar circumstances been kept more ignorant than myself . 
Elinor Dashwood	agent	seen	I have seen a great deal of him , have studied his sentiments and heard his opinion on subjects of literature and taste ; and , upon the whole , I venture to pronounce that his mind is well - informed , enjoyment of books exceedingly great , his imagination lively , his observation just and correct , and his taste delicate and pure . 
Elinor Dashwood	agent	studied	I have seen a great deal of him , have studied his sentiments and heard his opinion on subjects of literature and taste ; and , upon the whole , I venture to pronounce that his mind is well - informed , enjoyment of books exceedingly great , his imagination lively , his observation just and correct , and his taste delicate and pure . 
Elinor Dashwood	agent	venture	I have seen a great deal of him , have studied his sentiments and heard his opinion on subjects of literature and taste ; and , upon the whole , I venture to pronounce that his mind is well - informed , enjoyment of books exceedingly great , his imagination lively , his observation just and correct , and his taste delicate and pure . 
Elinor Dashwood	agent	know	At present , I know him so well , that I think him really handsome ; or at least , almost so . 
Elinor Dashwood	agent	think	At present , I know him so well , that I think him really handsome ; or at least , almost so . 
Elinor Dashwood	agent	think	""" "" I shall very soon think him handsome , Elinor , if I do not now . "
Elinor Dashwood	agent	see	"When you tell me to love him as a brother , I shall no more see imperfection in his face , than I now do in his heart . "" Elinor started at this declaration , and was sorry for the warmth she had been betrayed into , in speaking of him . "
Elinor Dashwood	agent	started	"When you tell me to love him as a brother , I shall no more see imperfection in his face , than I now do in his heart . "" Elinor started at this declaration , and was sorry for the warmth she had been betrayed into , in speaking of him . "
Elinor Dashwood	agent	do	"When you tell me to love him as a brother , I shall no more see imperfection in his face , than I now do in his heart . "" Elinor started at this declaration , and was sorry for the warmth she had been betrayed into , in speaking of him . "
Elinor Dashwood	agent	started	"When you tell me to love him as a brother , I shall no more see imperfection in his face , than I now do in his heart . "" Elinor started at this declaration , and was sorry for the warmth she had been betrayed into , in speaking of him . "
Elinor Dashwood	agent	felt	She felt that Edward stood very high in her opinion . 
Elinor Dashwood	agent	believed	She believed the regard to be mutual ; but she required greater certainty of it to make Marianne 's conviction of their attachment agreeable to her . 
Elinor Dashwood	agent	required	She believed the regard to be mutual ; but she required greater certainty of it to make Marianne 's conviction of their attachment agreeable to her . 
Elinor Dashwood	agent	required	She believed the regard to be mutual ; but she required greater certainty of it to make Marianne 's conviction of their attachment agreeable to her . 
Elinor Dashwood	agent	knew	She knew that what Marianne and her mother conjectured one moment , they believed the next -- that with them , to wish was to hope , and to hope was to expect . She tried to explain the real state of the case to her sister . 
Elinor Dashwood	agent	tried	She knew that what Marianne and her mother conjectured one moment , they believed the next -- that with them , to wish was to hope , and to hope was to expect . She tried to explain the real state of the case to her sister . 
Elinor Dashwood	agent	tried	She knew that what Marianne and her mother conjectured one moment , they believed the next -- that with them , to wish was to hope , and to hope was to expect . She tried to explain the real state of the case to her sister . 
Elinor Dashwood	agent	attempt	""" I do not attempt to deny , "" said she , "" that I think very highly of him -- that I greatly esteem , that I like him . "
Elinor Dashwood	agent	said	""" I do not attempt to deny , "" said she , "" that I think very highly of him -- that I greatly esteem , that I like him . "
Elinor Dashwood	agent	think	""" I do not attempt to deny , "" said she , "" that I think very highly of him -- that I greatly esteem , that I like him . "
Elinor Dashwood	agent	esteem	""" I do not attempt to deny , "" said she , "" that I think very highly of him -- that I greatly esteem , that I like him . "
Elinor Dashwood	agent	like	""" I do not attempt to deny , "" said she , "" that I think very highly of him -- that I greatly esteem , that I like him . "
Elinor Dashwood	agent	help	"Elinor could not help laughing . "" Excuse me , "" said she ; "" and be assured that I meant no offence to you , by speaking , in so quiet a way , of my own feelings . "
Elinor Dashwood	agent	said	"Elinor could not help laughing . "" Excuse me , "" said she ; "" and be assured that I meant no offence to you , by speaking , in so quiet a way , of my own feelings . "
Elinor Dashwood	agent	meant	"Elinor could not help laughing . "" Excuse me , "" said she ; "" and be assured that I meant no offence to you , by speaking , in so quiet a way , of my own feelings . "
Elinor Dashwood	agent	declared	Believe them to be stronger than I have declared ; believe them , in short , to be such as his merit , and the suspicion -- the hope of his affection for me may warrant , without imprudence or folly . 
Elinor Dashwood	agent	wishing	There are moments when the extent of it seems doubtful ; and till his sentiments are fully known , you can not wonder at my wishing to avoid any encouragement of my own partiality , by believing or calling it more than it is . 
Elinor Dashwood	agent	feel	In my heart I feel little -- scarcely any doubt of his preference . 
Elinor Dashwood	agent	given	Elinor had given her real opinion to her sister . 
Elinor Dashwood	agent	consider	She could not consider her partiality for Edward in so prosperous a state as Marianne had believed it . 
Elinor Dashwood	agent	knew	A more reasonable cause might be found in the dependent situation which forbade the indulgence of his affection . She knew that his mother neither behaved to him so as to make his home comfortable at present , nor to give him any assurance that he might form a home for himself , without strictly attending to her views for his aggrandizement . 
Elinor Dashwood	agent	feel	With such a knowledge as this , it was impossible for Elinor to feel easy on the subject . 
Elinor Dashwood	agent	believed	She was far from depending on that result of his preference of her , which her mother and sister still considered as certain . Nay , the longer they were together the more doubtful seemed the nature of his regard ; and sometimes , for a few painful minutes , she believed it to be no more than friendship . 
Elinor Dashwood	agent	took	She took the first opportunity of affronting her mother - in - law on the occasion , talking to her so expressively of her brother 's great expectations , of Mrs. Ferrars 's resolution that both her sons should marry well , and of the danger attending any young woman who attempted to DRAW HIM IN ; that Mrs. Dashwood could neither pretend to be unconscious , nor endeavor to be calm . 
Elinor Dashwood	agent	gave	She gave her an answer which marked her contempt , and instantly left the room , resolving that , whatever might be the inconvenience or expense of so sudden a removal , her beloved Elinor should not be exposed another week to such insinuations . In this state of her spirits , a letter was delivered to her from the post , which contained a proposal particularly well timed . It was the offer of a small house , on very easy terms , belonging to a relation of her own , a gentleman of consequence and property in Devonshire . 
Elinor Dashwood	agent	left	She gave her an answer which marked her contempt , and instantly left the room , resolving that , whatever might be the inconvenience or expense of so sudden a removal , her beloved Elinor should not be exposed another week to such insinuations . In this state of her spirits , a letter was delivered to her from the post , which contained a proposal particularly well timed . It was the offer of a small house , on very easy terms , belonging to a relation of her own , a gentleman of consequence and property in Devonshire . 
Elinor Dashwood	agent	think	The letter was from this gentleman himself , and written in the true spirit of friendly accommodation . He understood that she was in need of a dwelling ; and though the house he now offered her was merely a cottage , he assured her that everything should be done to it which she might think necessary , if the situation pleased her . 
Elinor Dashwood	agent	judge	He earnestly pressed her , after giving the particulars of the house and garden , to come with her daughters to Barton Park , the place of his own residence , from whence she might judge , herself , whether Barton Cottage , for the houses were in the same parish , could , by any alteration , be made comfortable to her . 
Elinor Dashwood	agent	needed	She needed no time for deliberation or inquiry . 
Elinor Dashwood	agent	read	Her resolution was formed as she read . 
Elinor Dashwood	agent	wrote	She instantly wrote Sir John Middleton her acknowledgment of his kindness , and her acceptance of his proposal ; and then hastened to shew both letters to her daughters , that she might be secure of their approbation before her answer were sent . Elinor had always thought it would be more prudent for them to settle at some distance from Norland , than immediately amongst their present acquaintance . 
Elinor Dashwood	agent	hastened	She instantly wrote Sir John Middleton her acknowledgment of his kindness , and her acceptance of his proposal ; and then hastened to shew both letters to her daughters , that she might be secure of their approbation before her answer were sent . Elinor had always thought it would be more prudent for them to settle at some distance from Norland , than immediately amongst their present acquaintance . 
Elinor Dashwood	agent	thought	She instantly wrote Sir John Middleton her acknowledgment of his kindness , and her acceptance of his proposal ; and then hastened to shew both letters to her daughters , that she might be secure of their approbation before her answer were sent . Elinor had always thought it would be more prudent for them to settle at some distance from Norland , than immediately amongst their present acquaintance . 
Elinor Dashwood	agent	thought	She instantly wrote Sir John Middleton her acknowledgment of his kindness , and her acceptance of his proposal ; and then hastened to shew both letters to her daughters , that she might be secure of their approbation before her answer were sent . Elinor had always thought it would be more prudent for them to settle at some distance from Norland , than immediately amongst their present acquaintance . 
Elinor Dashwood	agent	oppose	On THAT head , therefore , it was not for her to oppose her mother 's intention of removing into Devonshire . 
Elinor Dashwood	agent	made	The house , too , as described by Sir John , was on so simple a scale , and the rent so uncommonly moderate , as to leave her no right of objection on either point ; and , therefore , though it was not a plan which brought any charm to her fancy , though it was a removal from the vicinity of Norland beyond her wishes , she made no attempt to dissuade her mother from sending a letter of acquiescence . 
Elinor Dashwood	agent	inhabiting	CHAPTER 5 No sooner was her answer dispatched , than Mrs. Dashwood indulged herself in the pleasure of announcing to her son - in - law and his wife that she was provided with a house , and should incommode them no longer than till every thing were ready for her inhabiting it . 
Elinor Dashwood	agent	turned	"She had great satisfaction in replying that she was going into Devonshire.--Edward turned hastily towards her , on hearing this , and , in a voice of surprise and concern , which required no explanation to her , repeated , "" Devonshire ! "
Elinor Dashwood	agent	repeated	"She had great satisfaction in replying that she was going into Devonshire.--Edward turned hastily towards her , on hearing this , and , in a voice of surprise and concern , which required no explanation to her , repeated , "" Devonshire ! "
Elinor Dashwood	agent	going	"She had great satisfaction in replying that she was going into Devonshire.--Edward turned hastily towards her , on hearing this , and , in a voice of surprise and concern , which required no explanation to her , repeated , "" Devonshire ! "
Elinor Dashwood	agent	explained	She explained the situation . 
Elinor Dashwood	agent	continued	""" It is but a cottage , "" she continued , "" but I hope to see many of my friends in it . "
Elinor Dashwood	agent	hope	""" It is but a cottage , "" she continued , "" but I hope to see many of my friends in it . "
Elinor Dashwood	agent	find	"A room or two can easily be added ; and if my friends find no difficulty in travelling so far to see me , I am sure I will find none in accommodating them . "" She concluded with a very kind invitation to Mr. and Mrs. John Dashwood to visit her at Barton ; and to Edward she gave one with still greater affection . "
Elinor Dashwood	agent	concluded	"A room or two can easily be added ; and if my friends find no difficulty in travelling so far to see me , I am sure I will find none in accommodating them . "" She concluded with a very kind invitation to Mr. and Mrs. John Dashwood to visit her at Barton ; and to Edward she gave one with still greater affection . "
Elinor Dashwood	agent	gave	"A room or two can easily be added ; and if my friends find no difficulty in travelling so far to see me , I am sure I will find none in accommodating them . "" She concluded with a very kind invitation to Mr. and Mrs. John Dashwood to visit her at Barton ; and to Edward she gave one with still greater affection . "
Elinor Dashwood	agent	wished	To separate Edward and Elinor was as far from being her object as ever ; and she wished to show Mrs. John Dashwood , by this pointed invitation to her brother , how totally she disregarded her disapprobation of the match . 
