Character	Modifier	Context
Emma Woodhouse	youngest	Emma Woodhouse , handsome , clever , and rich , with a comfortable home and happy disposition , seemed to unite some of the best blessings of existence ; and had lived nearly twenty - one years in the world with very little to distress or vex her . She was the youngest of the two daughters of a most affectionate , indulgent father ; and had , in consequence of her sister 's marriage , been mistress of his house from a very early period . 
Emma Woodhouse	friend	the intercourse of the last seven years , the equal footing and perfect unreserve which had soon followed Isabella 's marriage , on their being left to each other , was yet a dearer , tenderer recollection . She had been a friend and companion such as few possessed : intelligent , well - informed , useful , gentle , knowing all the ways of the family , interested in all its concerns , and peculiarly interested in herself , in every pleasure , every scheme of hers -- one to whom she could speak every thought as it arose , and who had such an affection for her as could never find fault . How was she to bear the change?--It 
Emma Woodhouse	companion	the intercourse of the last seven years , the equal footing and perfect unreserve which had soon followed Isabella 's marriage , on their being left to each other , was yet a dearer , tenderer recollection . She had been a friend and companion such as few possessed : intelligent , well - informed , useful , gentle , knowing all the ways of the family , interested in all its concerns , and peculiarly interested in herself , in every pleasure , every scheme of hers -- one to whom she could speak every thought as it arose , and who had such an affection for her as could never find fault . How was she to bear the change?--It 
Emma Woodhouse	aware	was true that her friend was going only half a mile from them ; but Emma was aware that great must be the difference between a Mrs. Weston , only half a mile from them , and a Miss Taylor in the house 
Emma Woodhouse	equal	Mrs. Weston had , of course , formed a very favourable idea of the young man ; and such a pleasing attention was an irresistible proof of his great good sense , and a most welcome addition to every source and every expression of congratulation which her marriage had already secured . She felt herself a most fortunate woman ; and she had lived long enough to know how fortunate she might well be thought , where the only regret was for a partial separation from friends whose friendship for her had never cooled , and who could ill bear to part with her . She knew that at times she must be missed ; and could not think , without pain , of Emma 's losing a single pleasure , or suffering an hour 's ennui , from the want of her companionableness : but dear Emma was of no feeble character ; she was more equal to her situation than most girls would have been , and had sense , and energy , and spirits that might be hoped would bear her well and happily through its little difficulties and privations . And then there was such comfort in the very easy distance of Randalls from Hartfield , so convenient for even solitary female walking , and in Mr. Weston 's disposition and circumstances , which would make the approaching season no hindrance to their spending half the evenings in the week together . Her situation was altogether the subject of hours of gratitude to Mrs. Weston , and of moments only of regret ; and her satisfaction -- her more than satisfaction -- her cheerful enjoyment , was so just and so apparent , that Emma , well as she knew her father , was sometimes taken by surprize at his being still able to pity ` poor Miss Taylor , ' when they left her at Randalls in the centre of every domestic comfort , or saw her go away in the evening attended by her pleasant husband to a carriage of her own . 
Emma Woodhouse	convenient	Mrs. Weston had , of course , formed a very favourable idea of the young man ; and such a pleasing attention was an irresistible proof of his great good sense , and a most welcome addition to every source and every expression of congratulation which her marriage had already secured . She felt herself a most fortunate woman ; and she had lived long enough to know how fortunate she might well be thought , where the only regret was for a partial separation from friends whose friendship for her had never cooled , and who could ill bear to part with her . She knew that at times she must be missed ; and could not think , without pain , of Emma 's losing a single pleasure , or suffering an hour 's ennui , from the want of her companionableness : but dear Emma was of no feeble character ; she was more equal to her situation than most girls would have been , and had sense , and energy , and spirits that might be hoped would bear her well and happily through its little difficulties and privations . And then there was such comfort in the very easy distance of Randalls from Hartfield , so convenient for even solitary female walking , and in Mr. Weston 's disposition and circumstances , which would make the approaching season no hindrance to their spending half the evenings in the week together . Her situation was altogether the subject of hours of gratitude to Mrs. Weston , and of moments only of regret ; and her satisfaction -- her more than satisfaction -- her cheerful enjoyment , was so just and so apparent , that Emma , well as she knew her father , was sometimes taken by surprize at his being still able to pity ` poor Miss Taylor , ' when they left her at Randalls in the centre of every domestic comfort , or saw her go away in the evening attended by her pleasant husband to a carriage of her own . 
Emma Woodhouse	happy	She was a plain , motherly kind of woman , who had worked hard in her youth , and now thought herself entitled to the occasional holiday of a tea - visit ; and having formerly owed much to Mr. Woodhouse 's kindness , felt his particular claim on her to leave her neat parlour , hung round with fancy - work , whenever she could , and win or lose a few sixpences by his fireside . These were the ladies whom Emma found herself very frequently able to collect ; and happy was she , for her father 's sake , in the power ; though , as far as she was herself concerned , it was no remedy for the absence of Mrs. Weston . 
Emma Woodhouse	delighted	She was delighted to see her father look comfortable , and very much pleased with herself for contriving things so well ; but the quiet prosings of three such women made her feel that every evening so spent was indeed one of the long evenings she had fearfully anticipated . 
Emma Woodhouse	busy	She was so busy in admiring those soft blue eyes , in talking and listening , and forming all these schemes in the in - betweens , that the evening flew away at a very unusual rate ; and the supper - table , which always closed such parties , and for which she had been used to sit and watch the due time , was all set out and ready , and moved forwards to the fire , before she was aware . 
Emma Woodhouse	aware	She was so busy in admiring those soft blue eyes , in talking and listening , and forming all these schemes in the in - betweens , that the evening flew away at a very unusual rate ; and the supper - table , which always closed such parties , and for which she had been used to sit and watch the due time , was all set out and ready , and moved forwards to the fire , before she was aware . 
Emma Woodhouse	convinced	Altogether she was quite convinced of Harriet Smith 's being exactly the young friend she wanted -- exactly the something which her home required . 
Emma Woodhouse	afraid	But while I visit at Hartfield , and you are so kind to me , Miss Woodhouse , I am not afraid of what any body can do . 
Emma Woodhouse	sorry	Emma was not sorry to have such an opportunity of survey ; and walking a few yards forward , while they talked together , soon made her quick eye sufficiently acquainted with Mr. Robert Martin . 
Emma Woodhouse	quick	She was always quick and assured : Isabella slow and diffident . And ever since she was twelve , Emma has been mistress of the house and of you all . In her mother she lost the only person able to cope with her . 
Emma Woodhouse	assured	She was always quick and assured : Isabella slow and diffident . And ever since she was twelve , Emma has been mistress of the house and of you all . In her mother she lost the only person able to cope with her . 
Emma Woodhouse	mistress	She was always quick and assured : Isabella slow and diffident . And ever since she was twelve , Emma has been mistress of the house and of you all . In her mother she lost the only person able to cope with her . 
Emma Woodhouse	pretty	"Very well ; I shall not attempt to deny Emma 's being pretty . "" "" Pretty ! "
Emma Woodhouse	loveliness	She is loveliness itself . 
Emma Woodhouse	handsome	Considering how very handsome she is , she appears to be little occupied with it ; her vanity lies another way . 
Emma Woodhouse	creature	"With all dear Emma 's little faults , she is an excellent creature . Where shall we see a better daughter , or a kinder sister , or a truer friend ? No , no ; she has qualities which may be trusted ; she will never lead any one really wrong ; she will make no lasting blunder ; where Emma errs once , she is in the right a hundred times . "" "" Very well ; I will not plague you any more . "
