Character	Modifier	Context
Fanny Price	old	Fanny Price was at this time just ten years old , and though there might not be much in her first appearance to captivate , there was , at least , nothing to disgust her relations . 
Fanny Price	small	She was small of her age , with no glow of complexion , nor any other striking beauty ; exceedingly timid and shy , and shrinking from notice ; but her air , though awkward , was not vulgar , her voice was sweet , and when she spoke her countenance was pretty . 
Fanny Price	happy	Mrs. Norris had been talking to her the whole way from Northampton of her wonderful good fortune , and the extraordinary degree of gratitude and good behaviour which it ought to produce , and her consciousness of misery was therefore increased by the idea of its being a wicked thing for her not to be happy . 
Fanny Price	girl	In vain were the well - meant condescensions of Sir Thomas , and all the officious prognostications of Mrs. Norris that she would be a good girl ; in vain did Lady Bertram smile and make her sit on the sofa with herself and pug , and vain was even the sight of a gooseberry tart towards giving her comfort ; she could scarcely swallow two mouthfuls before tears interrupted her , and sleep seeming to be her likeliest friend , she was taken to finish her sorrows in bed 
Fanny Price	sorry	I do not know that her being sorry to leave her home is really against her , for , with all its faults , it _ was _ her home , and she can not as yet understand how much she has changed for the better ; but then there is moderation in all things . 
Fanny Price	forlorn	Fanny , whether near or from her cousins , whether in the schoolroom , the drawing - room , or the shrubbery , was equally forlorn , finding something to fear in every person and place . 
Fanny Price	important	Her elder cousins mortified her by reflections on her size , and abashed her by noticing her shyness : Miss Lee wondered at her ignorance , and the maid - servants sneered at her clothes ; and when to these sorrows was added the idea of the brothers and sisters among whom she had always been important as playfellow , instructress , and nurse , the despondence that sunk her little heart was severe . 
Fanny Price	ill	Was she ill ? 
Fanny Price	puzzled	or was she puzzled about anything in her lesson that he could explain ? 
Fanny Price	sorry	“ You are sorry to leave Mama , my dear little Fanny , ” said he , “ which shows you to be a very good girl ; but you must remember that you are with relations and friends , who all love you , and wish to make you happy . 
Fanny Price	girl	“ You are sorry to leave Mama , my dear little Fanny , ” said he , “ which shows you to be a very good girl ; but you must remember that you are with relations and friends , who all love you , and wish to make you happy . 
Fanny Price	afraid	The little rusticities and awkwardnesses which had at first made grievous inroads on the tranquillity of all , and not least of herself , necessarily wore away , and she was no longer materially afraid to appear before her uncle , nor did her aunt Norris ’s voice make her start very much . 
Fanny Price	accomplished	But , all things considered , I do not know whether it is not as well that it should be so , for , though you know ( owing to me ) your papa and mama are so good as to bring her up with you , it is not at all necessary that she should be as accomplished as you are;—on the contrary , it is much more desirable that there should be a difference . 
Fanny Price	dull	As for Fanny ’s being stupid at learning , “ she could only say it was very unlucky , but some people _ were _ stupid , and Fanny must take more pains : she did not know what else was to be done ; and , except her being so dull , she must add she saw no harm in the poor little thing , and always found her very handy and quick in carrying messages , and fetching what she wanted . ” 
Fanny Price	present	In the fullness of his belief that such a thing must be , he mentioned its probability to his wife ; and the first time of the subject ’s occurring to her again happening to be when Fanny was present , she calmly observed to her , “ So , Fanny , you are going to leave us , and live with my sister . 
Fanny Price	surprised	Fanny was too much surprised to do more than repeat her aunt ’s words , “ Going to leave you ? ” 
Fanny Price	years	You have been five years with us , and my sister always meant to take you when Mr. Norris died . 
Fanny Price	sorry	“ I shall be very sorry to go away , ” said she , with a faltering voice . 
Fanny Price	ungrateful	“ I hope I am not ungrateful , aunt , ” said Fanny modestly . 
Fanny Price	sure	“ Never , my dear ; but you are sure of a comfortable home . 
Fanny Price	glad	She is choosing a friend and companion exactly where she ought , and I am glad her love of money does not interfere . 
Fanny Price	companion	But you are now of an age to be treated better ; I think she is behaving better already ; and when you are her only companion , you _ must _ be important to her . 
Fanny Price	important	“ I can never be important to any one . ” “ What is to prevent you ? 
Fanny Price	important	There is no reason in the world why you should not be important where you are known . 
Fanny Price	sure	You have good sense , and a sweet temper , and I am sure you have a grateful heart , that could never receive kindness without wishing to return it . 
Fanny Price	kind	“ You are too kind , ” said Fanny , colouring at such praise ; “ how shall I ever thank you as I ought , for thinking so well of me . 
Fanny Price	right	Fanny sighed , and said , “ I can not see things as you do ; but I ought to believe you to be right rather than myself , 
Fanny Price	convinced	“ And I am quite convinced that your being with Mrs. Norris will be as good for your mind as riding has been for your health , and as much for your ultimate happiness too . 
Fanny Price	encumbrance	She is no encumbrance here . ” 
Fanny Price	able	But he had ended his speech in a way to sink her in sad mortification , by adding , “ If William does come to Mansfield , I hope you may be able to convince him that the many years which have passed since you parted have not been spent on your side entirely without improvement ; though , I fear , he must find his sister at sixteen in some respects too much like his sister at ten . ” 
Fanny Price	sure	I am sure William would never have used _ me _ so , under any circumstances . 
Fanny Price	absent	And what right had she to suppose that _ you _ would not write long letters when you were absent ? ” “ The right of a lively mind , Fanny , seizing whatever may contribute to its own amusement or that of others ; perfectly allowable , when untinctured by ill - humour or roughness ; and there is not a shadow of either in the countenance or manner of Miss Crawford : nothing sharp , or loud , or coarse . 
Fanny Price	ready	returned with it in excellent time , before either Fanny or the steady old coachman , who always attended her when she rode without her cousins , were ready to set forward . 
Fanny Price	strong	; “ I am very strong . 
Fanny Price	strong	You know I am strong enough now to walk very well . ” 
Fanny Price	sullen	As Mr. Rushworth did _ not _ come , the injury was increased , and she had not even the relief of shewing her power over him ; she could only be sullen to her mother , aunt , and cousin , and throw as great a gloom as possible over their dinner and dessert . 
Fanny Price	little	You should learn to think of other people ; and , take my word for it , it is a shocking trick for a young person to be always lolling upon a sofa . ” Before half this was said , Fanny was returned to her seat at the table , and had taken up her work again ; and Julia , who was in high good - humour , from the pleasures of the day , did her the justice of exclaiming , “ I must say , ma’am , that Fanny is as little upon the sofa as anybody in the house . ” “ Fanny , ” said Edmund , after looking at her attentively , “ I am sure you have the headache . ” She could not deny it , but said it was not very bad . “ I can hardly believe you , ” he replied ; “ I know your looks too well . 
Fanny Price	regular	” “ I wish Fanny had half your strength , ma’am . ” “ If Fanny would be more regular in her exercise , she would not be knocked up so soon . 
Fanny Price	interesting	Of pictures there were abundance , and some few good , but the larger part were family portraits , no longer anything to anybody but Mrs. Rushworth , who had been at great pains to learn all that the housekeeper could teach , and was now almost equally well qualified to shew the house . On the present occasion she addressed herself chiefly to Miss Crawford and Fanny , but there was no comparison in the willingness of their attention ; for Miss Crawford , who had seen scores of great houses , and cared for none of them , had only the appearance of civilly listening , while Fanny , to whom everything was almost as interesting as it was new , attended with unaffected earnestness to all that Mrs. Rushworth could relate of the family in former times , its rise and grandeur , regal visits and loyal efforts , delighted to connect anything with history already known , or warm her imagination with scenes of the past . 
Fanny Price	tired	Fanny made the first interruption by saying , “ I wonder that I should be tired with only walking in this sweet wood ; but the next time we come to a seat , if it is not disagreeable to you , I should be glad to sit down for a little while . ” 
Fanny Price	glad	Fanny made the first interruption by saying , “ I wonder that I should be tired with only walking in this sweet wood ; but the next time we come to a seat , if it is not disagreeable to you , I should be glad to sit down for a little while . ” 
Fanny Price	thoughtless	“ My dear Fanny , ” cried Edmund , immediately drawing her arm within his , “ how thoughtless I have been ! 
Fanny Price	tired	“ Thank you , but I am not at all tired . ” 
Fanny Price	fly	At Oxford I have been a good deal used to have a man lean on me for the length of a street , and you are only a fly in the comparison . ” 
Fanny Price	tired	“ I am really not tired , which I almost wonder at ; for we must have walked at least a mile in this wood . 
Fanny Price	sure	I know nothing of your furlongs , but I am sure it is a very long wood , and that we have been winding in and out ever since we came into it ; and therefore , when I say that we have walked a mile in it , I must speak within compass . 
Fanny Price	stronger	Edmund urged her remaining where she was with an earnestness which she could not resist , and she was left on the bench to think with pleasure of her cousin ’s care , but with great regret that she was not stronger . 
Fanny Price	alive	Her cousin was safe on the other side while these words were spoken , and , smiling with all the good - humour of success , she said , “ Thank you , my dear Fanny , but I and my gown are alive and well , and so good - bye . ” 
Fanny Price	well	Her cousin was safe on the other side while these words were spoken , and , smiling with all the good - humour of success , she said , “ Thank you , my dear Fanny , but I and my gown are alive and well , and so good - bye . ” 
Fanny Price	sorry	Fanny was again left to her solitude , and with no increase of pleasant feelings , for she was sorry for almost all that she had seen and heard , astonished at Miss Bertram , and angry with Mr. Crawford . 
Fanny Price	astonished	Fanny was again left to her solitude , and with no increase of pleasant feelings , for she was sorry for almost all that she had seen and heard , astonished at Miss Bertram , and angry with Mr. Crawford . 
Fanny Price	sorry	I have had walking enough . ” And he sat down with a most gloomy countenance by Fanny . “ I am very sorry , ” said she ; “ it is very unlucky . ” 
Fanny Price	tired	Fanny ’s best consolation was in being assured that Edmund had wished for her very much , and that he should certainly have come back for her , had she not been tired already ; but this was not quite sufficient to do away with the pain of having been left a whole hour , when he had talked of only a few minutes , nor to banish the sort of curiosity she felt to know what they had been conversing about all that time ; and the result of the whole was to her disappointment and depression , as they prepared by general agreement to return to the house . 
Fanny Price	sure	“ But _ that _ I am sure it has not , ” cried Fanny . 
Fanny Price	sure	Fanny was the only one of the party who found anything to dislike ; but since the day at Sotherton , she could never see Mr. Crawford with either sister without observation , and seldom without wonder or censure ; and had her confidence in her own judgment been equal to her exercise of it in every other respect , had she been sure that she was seeing clearly , and judging candidly , she would probably have made some important communications to her usual confidant . 
Fanny Price	privy	She was privy , one evening , to the hopes of her aunt Norris on the subject , as well as to her feelings , and the feelings of Mrs. Rushworth , on a point of some similarity , and could not help wondering as she listened ; and glad would she have been not to be obliged to listen , for it was while all the other young people were dancing , and she sitting , most unwillingly , among the chaperons at the fire , longing for the re - entrance of her elder cousin , on whom all her own hopes of a partner then depended . 
Fanny Price	glad	She was privy , one evening , to the hopes of her aunt Norris on the subject , as well as to her feelings , and the feelings of Mrs. Rushworth , on a point of some similarity , and could not help wondering as she listened ; and glad would she have been not to be obliged to listen , for it was while all the other young people were dancing , and she sitting , most unwillingly , among the chaperons at the fire , longing for the re - entrance of her elder cousin , on whom all her own hopes of a partner then depended . 
Fanny Price	unreasonable	Fanny found that it was not to be , and in the modesty of her nature immediately felt that she had been unreasonable in expecting it . 
Fanny Price	happy	_ I _ do not wish to make objections ; I shall be happy to be of any use , but I think we could not chuse worse . 
Fanny Price	wife	You must be Cottager ’s wife . 
Fanny Price	mouse	It need not frighten you : it is a nothing of a part , a mere nothing , not above half a dozen speeches altogether , and it will not much signify if nobody hears a word you say ; so you may be as creep - mouse as you like , but we must have you to look at . ” “ If you are afraid of half a dozen speeches , ” cried Mr. Rushworth , “ what would you do with such a part as mine ? 
Fanny Price	afraid	It need not frighten you : it is a nothing of a part , a mere nothing , not above half a dozen speeches altogether , and it will not much signify if nobody hears a word you say ; so you may be as creep - mouse as you like , but we must have you to look at . ” “ If you are afraid of half a dozen speeches , ” cried Mr. Rushworth , “ what would you do with such a part as mine ? 
Fanny Price	afraid	“ It is not that I am afraid of learning by heart , ” said Fanny , shocked to find herself at that moment the only speaker in the room , and to feel that almost every eye was upon her ; “ but I really can not act . ” 
Fanny Price	woman	You must get a brown gown , and a white apron , and a mob cap , and we must make you a few wrinkles , and a little of the crowsfoot at the corner of your eyes , and you will be a very proper , little old woman . 
Fanny Price	alone	To be called into notice in such a manner , to hear that it was but the prelude to something so infinitely worse , to be told that she must do what was so impossible as to act ; and then to have the charge of obstinacy and ingratitude follow it , enforced with such a hint at the dependence of her situation , had been too distressing at the time to make the remembrance when she was alone much less so , especially with the superadded dread of what the morrow might produce in continuation of the subject . 
Fanny Price	mistress	The little white attic , which had continued her sleeping - room ever since her first entering the family , proving incompetent to suggest any reply , she had recourse , as soon as she was dressed , to another apartment more spacious and more meet for walking about in and thinking , and of which she had now for some time been almost equally mistress . 
Fanny Price	glad	The room had then become useless , and for some time was quite deserted , except by Fanny , when she visited her plants , or wanted one of the books , which she was still glad to keep there , from the deficiency of space and accommodation in her little chamber above : but gradually , as her value for the comforts of it increased , she had added to her possessions , and spent more of her time there ; and having nothing to oppose her , had so naturally and so artlessly worked herself into it , that it was now generally admitted to be hers . 
Fanny Price	right	Was she _ right _ in refusing what was so warmly asked , so strongly wished for — what might be so essential to a scheme on which some of those to whom she owed the greatest complaisance had set their hearts ? Was it not ill - nature , selfishness , and a fear of exposing herself ? 
Fanny Price	aware	I am well aware that nothing else will quiet Tom . ” Fanny could not answer him . 
Fanny Price	sorry	“ I am sorry for Miss Crawford ; but I am more sorry to see you drawn in to do what you had resolved against , and what you are known to think will be disagreeable to my uncle . 
Fanny Price	sorry	“ I am sorry for Miss Crawford ; but I am more sorry to see you drawn in to do what you had resolved against , and what you are known to think will be disagreeable to my uncle . 
Fanny Price	disposed	“ Perhaps , ” said Tom , “ Fanny may be more disposed to oblige us now . 
Fanny Price	determined	Perhaps you may persuade _ her _ . ” “ No , she is quite determined . 
Fanny Price	safe	She was safe ; but peace and safety were unconnected here . 
Fanny Price	full	She was full of jealousy and agitation . 
