Character	Modifier	Context
Catherine Morland	stupid	Not that Catherine was always stupid — by no means ; she learnt the fable of “ The Hare and Many Friends ” as quickly as any girl in England . 
Catherine Morland	sure	Her mother wished her to learn music ; and Catherine was sure she should like it , for she was very fond of tinkling the keys of the old forlorn spinnet 
Catherine Morland	Such	Such was Catherine Morland at ten . 
Catherine Morland	delight	Catherine was all eager delight — her eyes were here , there , everywhere , as they approached its fine and striking environs , and afterwards drove through those streets which conducted them to the hotel . 
Catherine Morland	afraid	i need not have been afraid of disclaiming the compliment . 
Catherine Morland	delighted	Catherine was delighted with this extension of her Bath acquaintance , and almost forgot Mr. Tilney while she talked to Miss Thorpe . 
Catherine Morland	wrong	Perhaps Catherine was wrong in not demanding the cause of that gentle emotion — but she was not experienced enough in the finesse of love , or the duties of friendship , to know when delicate raillery was properly called for , or when a confidence should be forced . 
Catherine Morland	sure	i must tell you , that just after we parted yesterday , I saw a young man looking at you so earnestly — I am sure he is in love with you . ” 
Catherine Morland	sure	I am sure you would be miserable if you thought so ! ” 
Catherine Morland	sure	He asked fifty guineas ; I closed with him directly , threw down the money , and the carriage was mine . ” “ And I am sure , ” said Catherine , “ I know so little of such things that I can not judge whether it was cheap or dear . ” “ Neither one nor t’other ; I might have got it for less , I dare say ; but I hate haggling , and poor Freeman wanted cash . ” “ That was very good - natured of you , ” said Catherine , quite pleased . 
Catherine Morland	fond	Are you fond of an open carriage , Miss Morland ? ” 
Catherine Morland	amazed	i have been scolding him to such a degree , my dear Catherine , you would be quite amazed . 
Catherine Morland	sure	However , I am sure James does not drink so much . 
Catherine Morland	sure	“ Indeed you do me injustice ; I would not have made so improper a remark upon any account ; and besides , I am sure it would never have entered my head . ” 
Catherine Morland	glad	“ I am glad of it , for we shall all be there . ” 
Catherine Morland	sure	This was readily agreed to , with only a proviso of Miss Tilney ’s , that it did not rain , which Catherine was sure it would not . 
Catherine Morland	fool	Morland is a fool for not keeping a horse and gig of his own . ” 
Catherine Morland	sure	“ No , he is not , ” said Catherine warmly , “ for I am sure he could not afford it . ” 
Catherine Morland	disturbed	Catherine was disturbed and out of spirits ; but Isabella seemed to find a pool of commerce , in the fate of which she shared , by private partnership with Morland , a very good equivalent for the quiet and country air of an inn at Clifton . 
Catherine Morland	easy	I shall not be easy till I have explained everything . ” 
Catherine Morland	miserable	Catherine was restlessly miserable ; she could almost have run round to the box in which he sat and forced him to hear her explanation . 
Catherine Morland	contented	He remained with them some time , and was only too agreeable for Catherine to be contented when he went away . 
Catherine Morland	object	Catherine was the immediate object of his gallantry ; and , while they waited in the lobby for a chair , he prevented the inquiry which had travelled from her heart almost to the tip of her tongue , by asking , in a consequential manner , whether she had seen him talking with General Tilney : “ He is a fine old fellow , upon my soul ! 
Catherine Morland	sorry	Here Catherine , who was much less gratified by his admiration than by General Tilney ’s , was not sorry to be called away by Mr. Allen . 
Catherine Morland	sorry	Catherine was sorry , but could do no more ; and a short silence ensued , which was broken by Isabella , who in a voice of cold resentment said , “ Very well , then there is an end of the party . 
Catherine Morland	sure	I am sure if I had known it to be improper , I would not have gone with Mr. Thorpe at all ; but I always hoped you would tell me , if you thought I was doing wrong . ” 
