Character	Modifier	Context
Anne Elliot	girl	A few years before , Anne Elliot had been a very pretty girl , but her bloom had vanished early ; and as even in its height , 
Anne Elliot	faded	her father had found little to admire in her , ( so totally different were her delicate features and mild dark eyes from his own ) , there could be nothing in them , now that she was faded and thin , to excite his esteem . 
Anne Elliot	thin	her father had found little to admire in her , ( so totally different were her delicate features and mild dark eyes from his own ) , there could be nothing in them , now that she was faded and thin , to excite his esteem . 
Anne Elliot	little	Anne had been too little from home , too little seen . 
Anne Elliot	sorry	"; but Sir Walter 's remark was , soon afterwards-- "" The profession has its utility , but I should be sorry to see any friend of mine belonging to it . "
Anne Elliot	dependent	More than seven years were gone since this little history of sorrowful interest had reached its close ; and time had softened down much , perhaps nearly all of peculiar attachment to him , but she had been too dependent on time alone ; no aid had been given in change of place ( except in one visit to Bath soon after the rupture ) , or in any novelty or enlargement of society . 
Anne Elliot	woman	She was persuaded that under every disadvantage of disapprobation at home , and every anxiety attending his profession , all their probable fears , delays , and disappointments , she should yet have been a happier woman in maintaining the engagement , than she had been in the sacrifice of it ; and this , she fully believed , had the usual share , had even more than the usual share of all such solicitudes and suspense been theirs , without reference to the actual results of their case , which , as it happened , would have bestowed earlier prosperity than could be reasonably calculated on . 
Anne Elliot	eloquent	How eloquent could Anne Elliot have been ! 
Anne Elliot	unable	Lady Russell , convinced that Anne would not be allowed to be of any use , or any importance , in the choice of the house which they were going to secure , was very unwilling to have her hurried away so soon , and wanted to make it possible for her to stay behind till she might convey her to Bath herself after Christmas ; but having engagements of her own which must take her from Kellynch for several weeks , she was unable to give the full invitation she wished , and 
Anne Elliot	sensible	With a great deal of quiet observation , and a knowledge , which she often wished less , of her father 's character , she was sensible that results the most serious to his family from the intimacy were more than possible . She did not imagine that her father had at present an idea of the kind . 
Anne Elliot	impressed	Anne was so impressed by the degree of their danger , that she could not excuse herself from trying to make it perceptible to her sister . 
Anne Elliot	unwell	The two families were so continually meeting , so much in the habit of running in and out of each other 's house at all hours , that it was rather a surprise to her to find Mary alone ; but being alone , her being unwell and out of spirits was almost a matter of course . 
Anne Elliot	inferior	"In person , she was inferior to both sisters , and had , even in her bloom , only reached the dignity of being "" a fine girl . "" "
Anne Elliot	ill	I am so ill I can hardly speak . I have not seen a creature the whole morning ! 
Anne Elliot	sorry	""" I am sorry to find you unwell , "" replied Anne . "
Anne Elliot	ill	""" Yes , I made the best of it ; I always do : but I was very far from well at the time ; and I do not think I ever was so ill in my life as I have been all this morning : very unfit to be left alone , I am sure . "
Anne Elliot	sure	""" Yes , I made the best of it ; I always do : but I was very far from well at the time ; and I do not think I ever was so ill in my life as I have been all this morning : very unfit to be left alone , I am sure . "
Anne Elliot	ill	He would go , though I told him how ill I was . 
Anne Elliot	better	""" Well , you will soon be better now , "" replied Anne , cheerfully . "
Anne Elliot	ill	""" "" I can give you no account of them . I have not seen one of them to - day , except Mr Musgrove , who just stopped and spoke through the window , but without getting off his horse ; and though I told him how ill I was , not one of them have been near me . "
Anne Elliot	unwell	Anne , I am so very unwell ! 
Anne Elliot	well	"You wrote in the cheerfullest manner , and said you were perfectly well , and in no hurry for me ; and that being the case , you must be aware that my wish would be to remain with Lady Russell to the last : and besides what I felt on her account , I have really been so busy , have had so much to do , that I could not very conveniently have left Kellynch sooner . "" "
Anne Elliot	aware	"You wrote in the cheerfullest manner , and said you were perfectly well , and in no hurry for me ; and that being the case , you must be aware that my wish would be to remain with Lady Russell to the last : and besides what I felt on her account , I have really been so busy , have had so much to do , that I could not very conveniently have left Kellynch sooner . "" "
Anne Elliot	busy	"You wrote in the cheerfullest manner , and said you were perfectly well , and in no hurry for me ; and that being the case , you must be aware that my wish would be to remain with Lady Russell to the last : and besides what I felt on her account , I have really been so busy , have had so much to do , that I could not very conveniently have left Kellynch sooner . "" "
Anne Elliot	glad	""" I am very glad you were well enough , and I hope you had a pleasant party . "" "
Anne Elliot	able	"A little further perseverance in patience and forced cheerfulness on Anne 's side produced nearly a cure on Mary 's . She could soon sit upright on the sofa , and began to hope she might be able to leave it by dinner - time . Then , forgetting to think of it , she was at the other end of the room , beautifying a nosegay ; then , she ate her cold meat ; and then she was well enough to propose a little walk . "" Where shall we go ? "" said she , when they were ready . "
Anne Elliot	enough	"A little further perseverance in patience and forced cheerfulness on Anne 's side produced nearly a cure on Mary 's . She could soon sit upright on the sofa , and began to hope she might be able to leave it by dinner - time . Then , forgetting to think of it , she was at the other end of the room , beautifying a nosegay ; then , she ate her cold meat ; and then she was well enough to propose a little walk . "" Where shall we go ? "" said she , when they were ready . "
Anne Elliot	surprised	The half hour was chatted away pleasantly enough ; and she was not at all surprised at the end of it , to have their walking party joined by both the Miss Musgroves , at Mary 's particular invitation . 
Anne Elliot	aware	She played a great deal better than either of the Miss Musgroves , but having no voice , no knowledge of the harp , and no fond parents , to sit by and fancy themselves delighted , her performance was little thought of , only out of civility , or to refresh the others , as she was well aware . She knew that when she played she was giving pleasure only to herself ; but this was no new sensation . 
Anne Elliot	easy	"Anne gave her credit , indeed , for feelings of great consideration towards herself , in all that related to Kellynch , and it pleased her : especially , as she had satisfied herself in the very first half minute , in the instant even of introduction , that there was not the smallest symptom of any knowledge or suspicion on Mrs Croft 's side , to give a bias of any sort . She was quite easy on that head , and consequently full of strength and courage , till for a moment electrified by Mrs Croft 's suddenly saying,-- "" It was you , and not your sister , I find , that my brother had the pleasure of being acquainted with , when he was in this country . "
Anne Elliot	unpersuadable	Anne was now at hand to take up her own cause , and the sincerity of her manner being soon sufficient to convince him , where conviction was at least very agreeable , he had no farther scruples as to her being left to dine alone , though he still wanted her to join them in the evening , when the child might be at rest for the night , and kindly urged her to let him come and fetch her , but she was quite unpersuadable ; and this being the case , she had ere long the pleasure of seeing them set off together in high spirits . They were gone , she hoped , to be happy , however oddly constructed such happiness might seem ; as for herself , she was left with as many sensations of comfort , as were , perhaps , ever likely to be hers . She knew herself to be of the first utility to the child ; and what was it to her if Frederick Wentworth were only half a mile distant , making himself agreeable to others ? 
Anne Elliot	more	The morning hours of the Cottage were always later than those of the other house , and on the morrow the difference was so great that Mary and Anne were not more than beginning breakfast when Charles came in to say that they were just setting off , that he was come for his dogs , that his sisters were following with Captain Wentworth ; his sisters meaning to visit Mary and the child , and Captain Wentworth proposing also to wait on her for a few minutes if not inconvenient ; and though Charles had answered for the child 's being in no such state as could make it inconvenient , Captain Wentworth would not be satisfied without his running on to give notice . Mary , very much gratified by this attention , was delighted to receive him , while a thousand feelings rushed on Anne , of which this was the most consoling , that it would soon be over . 
