Character	Modifier	Context
Elizabeth Bennet	better	Lizzy is not a bit better than the others : and I am sure she is not half so handsome as Jane , nor half so good - humoured as Lydia . 
Elizabeth Bennet	handsome	Lizzy is not a bit better than the others : and I am sure she is not half so handsome as Jane , nor half so good - humoured as Lydia . 
Elizabeth Bennet	alone	When Jane and Elizabeth were alone , the former , who had been cautious in her praise of Mr. Bingley before , expressed to her sister how very much she admired him . 
Elizabeth Bennet	girl	Mrs. Hurst and her sister allowed it to be so ; but still they admired her and liked her , and pronounced her to be a sweet girl , and one whom they should not object to know more of . 
Elizabeth Bennet	determined	When she is secure of him , there will be leisure for falling in love as much as she chooses . ” “ Your plan is a good one , ” replied Elizabeth , “ where nothing is in question but the desire of being well married ; and if I were determined to get a rich husband , or any husband , I dare say I should adopt it . 
Elizabeth Bennet	pretty	You know it is not sound , and that you would never act in this way yourself . ” Occupied in observing Mr. Bingley ’s attention to her sister , Elizabeth was far from suspecting that she was herself becoming an object of some interest in the eyes of his friend . Mr. Darcy had at first scarcely allowed her to be pretty : he had looked at her without admiration at the ball ; and when they next met , he looked at her only to criticise . 
Elizabeth Bennet	unaware	Of this she was perfectly unaware : to her he was only the man who made himself agreeable nowhere , and who had not thought her handsome enough to dance with . 
Elizabeth Bennet	creature	“ You are a very strange creature by way of a friend!--always wanting me to play and sing before anybody and everybody ! 
Elizabeth Bennet	invaluable	If my vanity had taken a musical turn , you would have been invaluable ; but as it is , I would really rather not sit down before those who must be in the habit of hearing the very best performers . ” 
Elizabeth Bennet	determined	Elizabeth was determined ; nor did Sir William at all shake her purpose by his attempt at persuasion . 
Elizabeth Bennet	favourite	How long has she been such a favourite ? 
Elizabeth Bennet	serious	“ Nay , if you are so serious about it , I shall consider the matter as absolutely settled . 
Elizabeth Bennet	afraid	“ Oh , I am not at all afraid of her dying . 
Elizabeth Bennet	horsewoman	Elizabeth , feeling really anxious , determined to go to her , though the carriage was not to be had : and as she was no horsewoman , walking was her only alternative . 
Elizabeth Bennet	silly	“ How can you be so silly , ” cried her mother , “ as to think of such a thing , in all this dirt ! 
Elizabeth Bennet	fit	You will not be fit to be seen when you get there . ” 
Elizabeth Bennet	glad	Elizabeth was glad to be taken to her immediately ; and Jane , who had only been withheld by the fear of giving alarm or inconvenience , from expressing in her note how much she longed for such a visit , 
Elizabeth Bennet	great	She is a great reader , and has no pleasure in anything else . ” “ I deserve neither such praise nor such censure , ” cried Elizabeth ; “ I am _ not _ a great reader , and I have pleasure in many things . ” “ In nursing your sister I am sure you have pleasure , ” said Bingley ; “ and 
Elizabeth Bennet	ill	“ She is a great deal too ill to be moved . 
Elizabeth Bennet	ill	“ I am sure , ” she added , “ if it was not for such good friends , I do not know what would become of her , for she is very ill indeed , and suffers a vast deal , though with the greatest patience in the world , which is always the way with her , for she has , without exception , 
Elizabeth Bennet	object	She hardly knew how to suppose that she could be an object of admiration to so great a man , and yet that he should look at her because he disliked her was still more strange . 
Elizabeth Bennet	amazed	Elizabeth , having rather expected to affront him , was amazed at his gallantry ; but there was a mixture of sweetness and archness in her manner which made it difficult for her to affront anybody , and Darcy had 
Elizabeth Bennet	surprised	Elizabeth was surprised , but agreed to it immediately . 
Elizabeth Bennet	conscious	“ You either choose this method of passing the evening because you are in each other ’s confidence , and have secret affairs to discuss , or because you are conscious that your figures appear to the greatest advantage in walking : if the first , I should be completely in your way ; and if the second , I can admire you much better as I sit by the fire . ” 
Elizabeth Bennet	impatient	I am impatient to see him . ” 
Elizabeth Bennet	woman	Mr. Wickham was the happy man towards whom almost every female eye was turned , and Elizabeth was the happy woman by whom he finally seated himself ; and the agreeable manner in which he immediately fell into conversation , though it was only on its being a wet night , and on the probability of a rainy season , made her feel that the commonest , dullest , most threadbare topic might be rendered interesting by the skill of the speaker . With such rivals for the notice of the fair as Mr. Wickham and the officers , Mr. Collins seemed to sink into insignificance ; to the young ladies he certainly was nothing ; but he had still at intervals a kind listener in Mrs. Philips , and was , by her watchfulness , most abundantly supplied with coffee and muffin . 
Elizabeth Bennet	willing	, she soon grew too much interested in the game , too eager in making bets and exclaiming after prizes , to have attention for anyone in particular . Allowing for the common demands of the game , Mr. Wickham was therefore at leisure to talk to Elizabeth , and she was very willing to hear him , though what she chiefly wished to hear she could not hope to be told , the history of his acquaintance with Mr. Darcy . 
Elizabeth Bennet	surprised	“ You may well be surprised , Miss Bennet , at such an assertion , after seeing , as you probably might , the very cold manner of our meeting yesterday . 
Elizabeth Bennet	deep	Elizabeth was again deep in thought , and after a time exclaimed , “ To treat in such a manner the godson , the friend , the favourite of his father ! ” 
Elizabeth Bennet	surprised	Elizabeth ’s spirits were so high on the occasion , that though she did not often speak unnecessarily to Mr. Collins , she could not help asking him whether he intended to accept Mr. Bingley ’s invitation , and if he did , whether he would think it proper to join in the evening ’s amusement ; and she was rather surprised to find that he entertained no scruple whatever on that head , and was very far from dreading a rebuke , either from the Archbishop or Lady Catherine de Bourgh , by venturing to dance . 
Elizabeth Bennet	able	, she was soon able to make a voluntary transition to the oddities of her cousin , and to point him out to her particular notice . 
Elizabeth Bennet	delighted	They had not long separated when Miss Bingley came towards her , and , with an expression of civil disdain , thus accosted her,-- “ So , Miss Eliza , I hear you are quite delighted with George Wickham ? 
Elizabeth Bennet	satisfied	I am perfectly satisfied . 
Elizabeth Bennet	afraid	Mary , though pretending not to hear , was somewhat disconcerted ; and Elizabeth , sorry for her , and sorry for her father ’s speech , was afraid her anxiety had done no good . 
Elizabeth Bennet	free	She was at least free from the offence of Mr. Darcy ’s further notice : though often standing within a very short distance of her , quite disengaged , he never came near enough to speak . 
Elizabeth Bennet	dear	Elizabeth was the least dear to her of all her children ; and though the man and the match were quite good enough for _ her _ , the worth of each was eclipsed by Mr. Bingley and Netherfield . [ Illustration : “ to assure you in the most animated language ” ] CHAPTER XIX . The next day opened a new scene at Longbourn . 
Elizabeth Bennet	sure	I am sure Lizzy will be very happy -- I am sure she can have no objection . 
Elizabeth Bennet	happy	I am sure Lizzy will be very happy -- I am sure she can have no objection . 
Elizabeth Bennet	sure	I am sure Lizzy will be very happy -- I am sure she can have no objection . 
Elizabeth Bennet	serious	I am perfectly serious in my refusal . 
Elizabeth Bennet	woman	You could not make _ me _ happy , and I am convinced that I am the last woman in the world who would make _ you _ so . 
Elizabeth Bennet	charming	Do not consider me now as an elegant female intending to plague you , but as a rational creature speaking the truth from her heart . ” “ You are uniformly charming ! ” cried he , with an air of awkward gallantry ; “ and I am persuaded that , when sanctioned by the express authority of both your excellent parents , my proposals will not fail of being acceptable . 
Elizabeth Bennet	girl	She is a very headstrong , foolish girl , and does not know her own interest ; but I will _ make _ her know it . ” 
Elizabeth Bennet	headstrong	“ Lizzy is only headstrong in such matters as these . 
Elizabeth Bennet	obliged	“ It keeps him in good humour , ” said she , “ and I am more obliged to you than I can express . ” 
