Character	Modifier	Context
Elinor Dashwood	sensible	She was sensible and clever ; but eager in everything : her sorrows , her joys , could have no moderation . 
Elinor Dashwood	clever	She was sensible and clever ; but eager in everything : her sorrows , her joys , could have no moderation . 
Elinor Dashwood	eager	She was sensible and clever ; but eager in everything : her sorrows , her joys , could have no moderation . 
Elinor Dashwood	interesting	She was generous , amiable , interesting : she was everything but prudent . 
Elinor Dashwood	sure	"Indeed , I think I may say that you can not , for your behaviour to him is perfectly cordial , and if THAT were your opinion , I am sure you could never be civil to him . "" "
Elinor Dashwood	sure	""" I am sure , "" replied Elinor , with a smile , "" that his dearest friends could not be dissatisfied with such commendation as that . "
Elinor Dashwood	mistaken	What his mother really is we can not know ; but , from Fanny 's occasional mention of her conduct and opinions , we have never been disposed to think her amiable ; and I am very much mistaken if Edward is not himself aware that there would be many difficulties in his way , if he were to wish to marry a woman who had not either a great fortune or high rank . 
Elinor Dashwood	secure	She instantly wrote Sir John Middleton her acknowledgment of his kindness , and her acceptance of his proposal ; and then hastened to shew both letters to her daughters , that she might be secure of their approbation before her answer were sent . Elinor had always thought it would be more prudent for them to settle at some distance from Norland , than immediately amongst their present acquaintance . 
Elinor Dashwood	sure	"A room or two can easily be added ; and if my friends find no difficulty in travelling so far to see me , I am sure I will find none in accommodating them . "" She concluded with a very kind invitation to Mr. and Mrs. John Dashwood to visit her at Barton ; and to Edward she gave one with still greater affection . "
Elinor Dashwood	dejected	When is she dejected or melancholy ? 
Elinor Dashwood	melancholy	When is she dejected or melancholy ? 
Elinor Dashwood	capable	I should scold her myself , if she were capable of wishing to check the delight of your conversation with our new friend . 
Elinor Dashwood	able	""" "" You decide on his imperfections so much in the mass , "" replied Elinor , "" and so much on the strength of your own imagination , that the commendation I am able to give of him is comparatively cold and insipid . "
Elinor Dashwood	afraid	"I never spent a pleasanter morning in my life . "" "" I am afraid , "" replied Elinor , "" that the pleasantness of an employment does not always evince its propriety . "" "" On the contrary , nothing can be a stronger proof of it , Elinor ; for if there had been any real impropriety in what I did , I should have been sensible of it at the time , for we always know when we are acting wrong , and with such a conviction I could have had no pleasure . "
Elinor Dashwood	sure	""" "" No , I can not think that . He must and does love her I am sure . "
Elinor Dashwood	last	"I know Marianne 's heart : I know that she dearly loves me , and that I shall not be the last to whom the affair is made known , when circumstances make the revealment of it eligible . I would not attempt to force the confidence of any one ; of a child much less ; because a sense of duty would prevent the denial which her wishes might direct . "" Elinor thought this generosity overstrained , considering her sister 's youth , and urged the matter farther , but in vain ; common sense , common care , common prudence , were all sunk in Mrs. Dashwood 's romantic delicacy . "
Elinor Dashwood	vexed	Elinor took no notice of this ; and directing her attention to their visitor , endeavoured to support something like discourse with him , by talking of their present residence , its conveniences , & c. extorting from him occasional questions and remarks . His coldness and reserve mortified her severely ; she was vexed and half angry ; but resolving to regulate her behaviour to him by the past rather than the present , she avoided every appearance of resentment or displeasure , and treated him as she thought he ought to be treated from the family connection . CHAPTER 17 Mrs. Dashwood was surprised only for a moment at seeing him ; for his coming to Barton was , in her opinion , of all things the most natural . 
Elinor Dashwood	angry	Elinor took no notice of this ; and directing her attention to their visitor , endeavoured to support something like discourse with him , by talking of their present residence , its conveniences , & c. extorting from him occasional questions and remarks . His coldness and reserve mortified her severely ; she was vexed and half angry ; but resolving to regulate her behaviour to him by the past rather than the present , she avoided every appearance of resentment or displeasure , and treated him as she thought he ought to be treated from the family connection . CHAPTER 17 Mrs. Dashwood was surprised only for a moment at seeing him ; for his coming to Barton was , in her opinion , of all things the most natural . 
Elinor Dashwood	right	""" But gaiety never was a part of MY character . "" "" Nor do I think it a part of Marianne 's , "" said Elinor ; "" I should hardly call her a lively girl -- she is very earnest , very eager in all she does -- sometimes talks a great deal and always with animation -- but she is not often really merry . "" "" I believe you are right , "" he replied , "" and yet I have always set her down as a lively girl . "" "
Elinor Dashwood	guilty	I am guilty , I confess , of having often wished you to treat our acquaintance in general with greater attention ; but when have I advised you to adopt their sentiments or to conform to their judgment in serious matters ? 
Elinor Dashwood	conscious	That the hair was her own , she instantaneously felt as well satisfied as Marianne ; the only difference in their conclusions was , that what Marianne considered as a free gift from her sister , Elinor was conscious must have been procured by some theft or contrivance unknown to herself . 
Elinor Dashwood	disposed	He valued their kindness beyond any thing , and his greatest happiness was in being with them . Yet , he must leave them at the end of a week , in spite of their wishes and his own , and without any restraint on his time . Elinor placed all that was astonishing in this way of acting to his mother 's account ; and it was happy for her that he had a mother whose character was so imperfectly known to her , as to be the general excuse for every thing strange on the part of her son . Disappointed , however , and vexed as she was , and sometimes displeased with his uncertain behaviour to herself , she was very well disposed on the whole to regard his actions with all the candid allowances and generous qualifications , which had been rather more painfully extorted from her , for Willoughby 's service , by her mother . His want of spirits , of openness , and of consistency , were most usually attributed to his want of independence , and his better knowledge of Mrs. Ferrars 's disposition and designs . The shortness of his visit , the steadiness of his purpose in leaving them , originated in the same fettered inclination , the same inevitable necessity of temporizing with his mother . The old well - established grievance of duty against will , parent against child , was the cause of all . 
Elinor Dashwood	certain	"You may see her if you look this way . "" As Elinor was certain of seeing her in a couple of minutes , without taking that liberty , she begged to be excused . "
Elinor Dashwood	glad	""" Well -- I am so glad you do . "
Elinor Dashwood	eager	She thought it probable that as they lived in the same county , Mrs. Palmer might be able to give some more particular account of Willoughby 's general character , than could be gathered from the Middletons ' partial acquaintance with him ; and she was eager to gain from any one , such a confirmation of his merits as might remove the possibility of fear from Marianne . 
Elinor Dashwood	glad	"I know why you inquire about him , very well ; your sister is to marry him . I am monstrous glad of it , for then I shall have her for a neighbour you know . "" "" Upon my word , "" replied Elinor , "" you know much more of the matter than I do , if you have any reason to expect such a match . "" "" Do n't pretend to deny it , because you know it is what every body talks of . "
Elinor Dashwood	sure	However , I do n't think her hardly at all handsomer than you , I assure you ; for I think you both excessively pretty , and so does Mr. Palmer too I am sure , though we could not get him to own it last night . 
Elinor Dashwood	glad	""" I am so glad we are got acquainted at last , "" continued Charlotte.--""And now I hope we shall always be great friends . "
Elinor Dashwood	glad	And I am so glad your sister is going to be well married ! 
Elinor Dashwood	sorry	""" I am sorry I do NOT , "" said Elinor , in great astonishment , "" if it could be of any use to YOU to know my opinion of her . "
Elinor Dashwood	surprised	But really I never understood that you were at all connected with that family , and therefore I am a little surprised , I confess , at so serious an inquiry into her character . 
Elinor Dashwood	surprised	""" You may well be surprised , "" continued Lucy ; "" for to be sure you could have had no idea of it before ; for I dare say he never dropped the smallest hint of it to you or any of your family ; because it was always meant to be a great secret , and I am sure has been faithfully kept so by me to this hour . "
Elinor Dashwood	unwilling	I was very unwilling to enter into it , as you may imagine , without the knowledge and approbation of his mother ; but I was too young , and loved him too well , to be so prudent as I ought to have been.-- Though you do not know him so well as me , Miss Dashwood , you must have seen enough of him to be sensible he is very capable of making a woman sincerely attached to him . 
Elinor Dashwood	young	I was very unwilling to enter into it , as you may imagine , without the knowledge and approbation of his mother ; but I was too young , and loved him too well , to be so prudent as I ought to have been.-- Though you do not know him so well as me , Miss Dashwood , you must have seen enough of him to be sensible he is very capable of making a woman sincerely attached to him . 
Elinor Dashwood	afraid	""" I was afraid you would think I was taking a great liberty with you , "" said she , "" in telling you all this . "
Elinor Dashwood	unfortunate	Besides in the present case , I really thought some explanation was due to you after my making such particular inquiries about Edward 's mother ; and I am so unfortunate , that I have not a creature whose advice I can ask . 
Elinor Dashwood	sure	She does not know how to hold her tongue , as you must perceive , and I am sure I was in the greatest fright in the world t'other day , when Edward 's name was mentioned by Sir John , lest she should out with it all . 
Elinor Dashwood	alive	I only wonder that I am alive after what I have suffered for Edward 's sake these last four years . 
Elinor Dashwood	sure	I am sure I wonder my heart is not quite broke . 
Elinor Dashwood	confounded	She was mortified , shocked , confounded . 
