Character	Quote
Emma Woodhouse	""" Especially when _ one _ of those two is such a fanciful , troublesome creature ! """
Emma Woodhouse	""" That is what you have in your head , I know -- and what you would certainly say if my father were not by . """
Emma Woodhouse	""" Well , """
Emma Woodhouse	""" And you have forgotten one matter of joy to me , """
Emma Woodhouse	""" and a very considerable one -- that I made the match myself . I made the match , you know , four years ago ; and to have it take place , and be proved in the right , when so many people said Mr. Weston would never marry again , may comfort me for any thing . """
Emma Woodhouse	""" Well done , Mrs. Martin ! """
Emma Woodhouse	""" You know what you are about . """
Emma Woodhouse	""" Mr. Martin , I suppose , is not a man of information beyond the line of his own business ? He does not read ? """
Emma Woodhouse	""" What sort of looking man is Mr. Martin ? """
Emma Woodhouse	""" Oh ! not handsome -- not at all handsome . I thought him very plain at first , but I do not think him so plain now . One does not , you know , after a time . But did you never see him ? He is in Highbury every now and then , and he is sure to ride through every week in his way to Kingston . He has passed you very often . """
Emma Woodhouse	""" That may be , and I may have seen him fifty times , but without having any idea of his name . A young farmer , whether on horseback or on foot , is the very last sort of person to raise my curiosity . The yeomanry are precisely the order of people with whom I feel I can have nothing to do . A degree or two lower , and a creditable appearance might interest me ; I might hope to be useful to their families in some way or other . But a farmer can need none of my help , and is , therefore , in one sense , as much above my notice as in every other he is below it . """
Emma Woodhouse	""" To be sure . Oh yes ! It is not likely you should ever have observed him ; but he knows you very well indeed -- I mean by sight . """
Emma Woodhouse	""" I have no doubt of his being a very respectable young man . I know , indeed , that he is so , and , as such , wish him well . What do you imagine his age to be ? """
Emma Woodhouse	""" He was four - and - twenty the 8th of last June , and my birthday is the 23rd just a fortnight and a day 's difference -- which is very odd . """
Emma Woodhouse	""" Only four - and - twenty . That is too young to settle . His mother is perfectly right not to be in a hurry . They seem very comfortable as they are , and if she were to take any pains to marry him , she would probably repent it . Six years hence , if he could meet with a good sort of young woman in the same rank as his own , with a little money , it might be very desirable . """
Emma Woodhouse	""" Six years hence ! Dear Miss Woodhouse , he would be thirty years old ! """
Emma Woodhouse	""" Well , and that is as early as most men can afford to marry , who are not born to an independence . Mr. Martin , I imagine , has his fortune entirely to make -- cannot be at all beforehand with the world . Whatever money he might come into when his father died , whatever his share of the family property , it is , I dare say , all afloat , all employed in his stock , and so forth ; and though , with diligence and good luck , he may be rich in time , it is next to impossible that he should have realised any thing yet . """
Emma Woodhouse	""" To be sure , so it is . But they live very comfortably . They have no indoors man , else they do not want for any thing ; and Mrs. Martin talks of taking a boy another year . """
Emma Woodhouse	""" I wish you may not get into a scrape , Harriet , whenever he does marry;--I mean , as to being acquainted with his wife -- for though his sisters , from a superior education , are not to be altogether objected to , it does not follow that he might marry any body at all fit for you to notice . The misfortune of your birth ought to make you particularly careful as to your associates . There can be no doubt of your being a gentleman 's daughter , and you must support your claim to that station by every thing within your own power , or there will be plenty of people who would take pleasure in degrading you . """
Emma Woodhouse	""" Yes , to be sure , I suppose there are . But while I visit at Hartfield , and you are so kind to me , Miss Woodhouse , I am not afraid of what any body can do . """
Emma Woodhouse	""" You understand the force of influence pretty well , Harriet ; but I would have you so firmly established in good society , as to be independent even of Hartfield and Miss Woodhouse . I want to see you permanently well connected , and to that end it will be advisable to have as few odd acquaintance as may be ; and , therefore , I say that if you should still be in this country when Mr. Martin marries , I wish you may not be drawn in by your intimacy with the sisters , to be acquainted with the wife , who will probably be some mere farmer 's daughter , without education . """
Emma Woodhouse	""" To be sure . Yes . Not that I think Mr. Martin would ever marry any body but what had had some education -- and been very well brought up . However , I do not mean to set up my opinion against your's -- and I am sure I shall not wish for the acquaintance of his wife . I shall always have a great regard for the Miss Martins , especially Elizabeth , and should be very sorry to give them up , for they are quite as well educated as me . But if he marries a very ignorant , vulgar woman , certainly I had better not visit her , if I can help it . """
Emma Woodhouse	""" What an exquisite possession a good picture of her would be ! I would give any money for it . I almost long to attempt her likeness myself . You do not know it I dare say , but two or three years ago I had a great passion for taking likenesses , and attempted several of my friends , and was thought to have a tolerable eye in general . But from one cause or another , I gave it up in disgust . But really , I could almost venture , if Harriet would sit to me . It would be such a delight to have her picture ! """
Emma Woodhouse	""" Well , if you give me such kind encouragement , Mr. Elton , I believe I shall try what I can do . Harriet 's features are very delicate , which makes a likeness difficult ; and yet there is a peculiarity in the shape of the eye and the lines about the mouth which one ought to catch . """
Emma Woodhouse	""" But I am afraid , Mr. Elton , Harriet will not like to sit . She thinks so little of her own beauty . Did not you observe her manner of answering me ? How completely it meant , ` why should my picture be drawn ? ' """
Emma Woodhouse	""" No great variety of faces for you , """
Emma Woodhouse	""" I had only my own family to study from . There is my father -- another of my father -- but the idea of sitting for his picture made him so nervous , that I could only take him by stealth ; neither of them very like therefore . Mrs. Weston again , and again , and again , you see . Dear Mrs. Weston ! always my kindest friend on every occasion . She would sit whenever I asked her . There is my sister ; and really quite her own little elegant figure!--and the face not unlike . I should have made a good likeness of her , if she would have sat longer , but she was in such a hurry to have me draw her four children that she would not be quiet . Then , here come all my attempts at three of those four children;--there they are , Henry and John and Bella , from one end of the sheet to the other , and any one of them might do for any one of the rest . She was so eager to have them drawn that I could not refuse ; but there is no making children of three or four years old stand still you know ; nor can it be very easy to take any likeness of them , beyond the air and complexion , unless they are coarser featured than any of mama 's children ever were . Here is my sketch of the fourth , who was a baby . I took him as he was sleeping on the sofa , and it is as strong a likeness of his cockade as you would wish to see . He had nestled down his head most conveniently . That 's very like . I am rather proud of little George . The corner of the sofa is very good . Then here is my last,""--unclosing"
Emma Woodhouse	""" This man is almost too gallant to be in love , """
