Character	Quote
Fanny Price	“ no , no — not at all — no , thank you ”
Fanny Price	“ My uncle ! ”
Fanny Price	“ she could only say it was very unlucky , but some people _ were _ stupid , and Fanny must take more pains : she did not know what else was to be done ; and , except her being so dull , she must add she saw no harm in the poor little thing , and always found her very handy and quick in carrying messages , and fetching what she wanted . ”
Fanny Price	“ So , Fanny , you are going to leave us , and live with my sister . How shall you like it ? ”
Fanny Price	“ Going to leave you ? ”
Fanny Price	“ Yes , my dear ; why should you be astonished ? You have been five years with us , and my sister always meant to take you when Mr. Norris died . But you must come up and tack on my patterns all the same . ”
Fanny Price	“ I shall be very sorry to go away , ”
Fanny Price	“ Yes , I dare say you will ; _ that ’s _ natural enough . I suppose you have had as little to vex you since you came into this house as any creature in the world . ”
Fanny Price	“ I hope I am not ungrateful , aunt , ”
Fanny Price	“ No , my dear ; I hope not . I have always found you a very good girl . ”
Fanny Price	“ And am I never to live here again ? ”
Fanny Price	“ Never , my dear ; but you are sure of a comfortable home . It can make very little difference to you , whether you are in one house or the other . ”
Fanny Price	“ Cousin , ”
Fanny Price	“ something is going to happen which I do not like at all ; and though you have often persuaded me into being reconciled to things that I disliked at first , you will not be able to do it now . I am going to live entirely with my aunt Norris . ”
Fanny Price	“ Indeed ! ”
Fanny Price	“ Yes ; my aunt Bertram has just told me so . It is quite settled . I am to leave Mansfield Park , and go to the White House , I suppose , as soon as she is removed there . ”
Fanny Price	“ Well , Fanny , and if the plan were not unpleasant to you , I should call it an excellent one . ”
Fanny Price	“ Oh , cousin ! ”
Fanny Price	“ It has everything else in its favour . My aunt is acting like a sensible woman in wishing for you . She is choosing a friend and companion exactly where she ought , and I am glad her love of money does not interfere . You will be what you ought to be to her . I hope it does not distress you very much , Fanny ? ”
Fanny Price	“ Indeed it does : I can not like it . I love this house and everything in it : I shall love nothing there . You know how uncomfortable I feel with her . ”
Fanny Price	“ I can say nothing for her manner to you as a child ; but it was the same with us all , or nearly so . She never knew how to be pleasant to children . But you are now of an age to be treated better ; I think she is behaving better already ; and when you are her only companion , you _ must _ be important to her . ”
Fanny Price	“ I can never be important to any one . ”
Fanny Price	“ What is to prevent you ? ”
Fanny Price	“ Everything . My situation , my foolishness and awkwardness . ”
Fanny Price	“ As to your foolishness and awkwardness , my dear Fanny , believe me , you never have a shadow of either , but in using the words so improperly . There is no reason in the world why you should not be important where you are known . You have good sense , and a sweet temper , and I am sure you have a grateful heart , that could never receive kindness without wishing to return it . I do not know any better qualifications for a friend and companion . ”
Fanny Price	“ You are too kind , ”
Fanny Price	“ how shall I ever thank you as I ought , for thinking so well of me . Oh ! cousin , if I am to go away , I shall remember your goodness to the last moment of my life . ”
Fanny Price	“ Why , indeed , Fanny , I should hope to be remembered at such a distance as the White House . You speak as if you were going two hundred miles off instead of only across the park ; but you will belong to us almost as much as ever . The two families will be meeting every day in the year . The only difference will be that , living with your aunt , you will necessarily be brought forward as you ought to be . _ Here _ there are too many whom you can hide behind ; but with _ her _ you will be forced to speak for yourself . ”
Fanny Price	“ Oh ! do not say so . ”
Fanny Price	“ I must say it , and say it with pleasure . Mrs. Norris is much better fitted than my mother for having the charge of you now . She is of a temper to do a great deal for anybody she really interests herself about , and she will force you to do justice to your natural powers . ”
Fanny Price	“ I can not see things as you do ; but I ought to believe you to be right rather than myself , and I am very much obliged to you for trying to reconcile me to what must be . If I could suppose my aunt really to care for me , it would be delightful to feel myself of consequence to anybody . _ Here _ , I know , I am of none , and yet I love the place so well . ”
Fanny Price	“ The place , Fanny , is what you will not quit , though you quit the house . You will have as free a command of the park and gardens as ever . Even _ your _ constant little heart need not take fright at such a nominal change . You will have the same walks to frequent , the same library to choose from , the same people to look at , the same horse to ride . ”
Fanny Price	“ Very true . Yes , dear old grey pony ! Ah ! cousin , when I remember how much I used to dread riding , what terrors it gave me to hear it talked of as likely to do me good ( oh ! how I have trembled at my uncle ’s opening his lips if horses were talked of ) , and then think of the kind pains you took to reason and persuade me out of my fears , and convince me that I should like it after a little while , and feel how right you proved to be , I am inclined to hope you may always prophesy as well . ”
Fanny Price	“ And I am quite convinced that your being with Mrs. Norris will be as good for your mind as riding has been for your health , and as much for your ultimate happiness too . ”
Fanny Price	“ Cut down an avenue ! What a pity ! Does it not make you think of Cowper ? ‘ Ye fallen avenues , once more I mourn your fate unmerited . ’ ”
Fanny Price	“ It would be delightful to _ me _ to see the progress of it all , ”
Fanny Price	“ Ay , you have been brought up to it . It was no part of my education ; and the only dose I ever had , being administered by not the first favourite in the world , has made me consider improvements _ in _ _ hand _ as the greatest of nuisances . Three years ago the Admiral , my honoured uncle , bought a cottage at Twickenham for us all to spend our summers in ; and my aunt and I went down to it quite in raptures ; but it being excessively pretty , it was soon found necessary to be improved , and for three months we were all dirt and confusion , without a gravel walk to step on , or a bench fit for use . I would have everything as complete as possible in the country , shrubberies and flower - gardens , and rustic seats innumerable : but it must all be done without my care . Henry is different ; he loves to be doing . ”
Fanny Price	“ When they are at a distance from all their family , ”
Fanny Price	“ they can write long letters . ”
Fanny Price	“ At sea , has she ? In the king ’s service , of course ? ”
Fanny Price	“ Among admirals , large enough ; but , ”
Fanny Price	“ we know very little of the inferior ranks . Post - captains may be very good sort of men , but they do not belong to _ us _ . Of various admirals I could tell you a great deal : of them and their flags , and the gradation of their pay , and their bickerings and jealousies . But , in general , I can assure you that they are all passed over , and all very ill used . Certainly , my home at my uncle ’s brought me acquainted with a circle of admirals . Of _ Rears _ and _ Vices _ I saw enough . Now do not be suspecting me of a pun , I entreat . ”
Fanny Price	“ Yes , the profession is well enough under two circumstances : if it make the fortune , and there be discretion in spending it ; but , in short , it is not a favourite profession of mine . It has never worn an amiable form to _ me _ . ”
Fanny Price	“ Do not you think , ”
Fanny Price	“ that this impropriety is a reflection itself upon Mrs. Crawford , as her niece has been entirely brought up by her ? She can not have given her right notions of what was due to the Admiral . ”
Fanny Price	“ Yes , except as to his writing her such short letters . She made me almost laugh ; but I can not rate so very highly the love or good - nature of a brother who will not give himself the trouble of writing anything worth reading to his sisters , when they are separated . I am sure William would never have used _ me _ so , under any circumstances . And what right had she to suppose that _ you _ would not write long letters when you were absent ? ”
Fanny Price	“ No part of it fatigues me but getting off this horse , I assure you , ”
Fanny Price	“ I am very strong . Nothing ever fatigues me but doing what I do not like . Miss Price , I give way to you with a very bad grace ; but I sincerely hope you will have a pleasant ride , and that I may have nothing but good to hear of this dear , delightful , beautiful animal . ”
Fanny Price	“ No , I do not know — not if you want the mare , ”
Fanny Price	“ I shall not ride to - morrow , certainly , ”
Fanny Price	“ I have been out very often lately , and would rather stay at home . You know I am strong enough now to walk very well . ”
Fanny Price	“ I am disappointed , ”
Fanny Price	“ This is not my idea of a chapel . There is nothing awful here , nothing melancholy , nothing grand . Here are no aisles , no arches , no inscriptions , no banners . No banners , cousin , to be ‘ blown by the night wind of heaven . ’ No signs that a ‘ Scottish monarch sleeps below . ’ ”
Fanny Price	“ You forget , Fanny , how lately all this has been built , and for how confined a purpose , compared with the old chapels of castles and monasteries . It was only for the private use of the family . They have been buried , I suppose , in the parish church . _ There _ you must look for the banners and the achievements . ”
Fanny Price	“ It was foolish of me not to think of all that ; but I am disappointed . ”
Fanny Price	“ It is a pity , ”
Fanny Price	“ that the custom should have been discontinued . It was a valuable part of former times . There is something in a chapel and chaplain so much in character with a great house , with one ’s ideas of what such a household should be ! A whole family assembling regularly for the purpose of prayer is fine ! ”
Fanny Price	“ Certainly , ”
Fanny Price	“ I do not think you ever will , ”
Fanny Price	“ I am just as much surprised now as I was at first that you should intend to take orders . You really are fit for something better . Come , do change your mind . It is not too late . Go into the law . ”
Fanny Price	“ Now you are going to say something about law being the worst wilderness of the two , but I forestall you ; remember , I have forestalled you . ”
Fanny Price	“ I wonder that I should be tired with only walking in this sweet wood ; but the next time we come to a seat , if it is not disagreeable to you , I should be glad to sit down for a little while . ”
Fanny Price	“ how thoughtless I have been ! I hope you are not very tired . Perhaps , ”
Fanny Price	“ my other companion may do me the honour of taking an arm . ”
Fanny Price	“ Thank you , but I am not at all tired . ”
Fanny Price	“ I am really not tired , which I almost wonder at ; for we must have walked at least a mile in this wood . Do not you think we have ? ”
Fanny Price	“ Oh ! you do not consider how much we have wound about . We have taken such a very serpentine course , and the wood itself must be half a mile long in a straight line , for we have never seen the end of it yet since we left the first great path . ”
Fanny Price	“ But if you remember , before we left that first great path , we saw directly to the end of it . We looked down the whole vista , and saw it closed by iron gates , and it could not have been more than a furlong in length . ”
Fanny Price	“ Oh ! I know nothing of your furlongs , but I am sure it is a very long wood , and that we have been winding in and out ever since we came into it ; and therefore , when I say that we have walked a mile in it , I must speak within compass . ”
Fanny Price	“ Oh ! do not attack me with your watch . A watch is always too fast or too slow . I can not be dictated to by a watch . ”
Fanny Price	“ I shall soon be rested , ”
Fanny Price	“ to sit in the shade on a fine day , and look upon verdure , is the most perfect refreshment . ”
Fanny Price	“ Miss Price all alone ”
Fanny Price	“ My dear Fanny , how comes this ? ”
Fanny Price	“ Poor dear Fanny , ”
Fanny Price	“ how ill you have been used by them ! You had better have staid with us . ”
Fanny Price	“ You will hurt yourself , Miss Bertram , ”
Fanny Price	“ you will certainly hurt yourself against those spikes ; you will tear your gown ; you will be in danger of slipping into the ha - ha . You had better not go . ”
Fanny Price	“ Thank you , my dear Fanny , but I and my gown are alive and well , and so good - bye . ”
Fanny Price	“ Yes , yes , we saw him . He was posting away as if upon life and death , and could but just spare time to tell us his errand , and where you all were . ”
Fanny Price	“ It is a pity he should have so much trouble for nothing . ”
Fanny Price	“ _ That _ is Miss Maria ’s concern . I am not obliged to punish myself for _ her _ sins . The mother I could not avoid , as long as my tiresome aunt was dancing about with the housekeeper , but the son I _ can _ get away from . ”
Fanny Price	“ I am very sorry , ”
Fanny Price	“ it is very unlucky . ”
Fanny Price	“ It is a pity you should not join them . They expected to have a better view of the house from that part of the park , and will be thinking how it may be improved ; and nothing of that sort , you know , can be settled without you . ”
Fanny Price	“ But _ that _ I am sure it has not , ”
Fanny Price	“ It is the same sort of thing , ”
Fanny Price	“ as for the son of an admiral to go into the navy , or the son of a general to be in the army , and nobody sees anything wrong in that . Nobody wonders that they should prefer the line where their friends can serve them best , or suspects them to be less in earnest in it than they appear . ”
Fanny Price	“ No , ”
Fanny Price	“ but we need not give up his profession for all that ; because , whatever profession Dr. Grant had chosen , he would have taken a — not a good temper into it ; and as he must , either in the navy or army , have had a great many more people under his command than he has now , I think more would have been made unhappy by him as a sailor or soldier than as a clergyman . Besides , I can not but suppose that whatever there may be to wish otherwise in Dr. Grant would have been in a greater danger of becoming worse in a more active and worldly profession , where he would have had less time and obligation — where he might have escaped that knowledge of himself , the _ frequency _ , at least , of that knowledge which it is impossible he should escape as he is now . A man — a sensible man like Dr. Grant , can not be in the habit of teaching others their duty every week , can not go to church twice every Sunday , and preach such very good sermons in so good a manner as he does , without being the better for it himself . It must make him think ; and I have no doubt that he oftener endeavours to restrain himself than he would if he had been anything but a clergyman . ”
Fanny Price	“ Here ’s harmony ! ”
Fanny Price	“ here ’s repose ! Here ’s what may leave all painting and all music behind , and what poetry only can attempt to describe ! Here ’s what may tranquillise every care , and lift the heart to rapture ! When I look out on such a night as this , I feel as if there could be neither wickedness nor sorrow in the world ; and there certainly would be less of both if the sublimity of Nature were more attended to , and people were carried more out of themselves by contemplating such a scene . ”
Fanny Price	“ I like to hear your enthusiasm , Fanny . It is a lovely night , and they are much to be pitied who have not been taught to feel , in some degree , as you do ; who have not , at least , been given a taste for Nature in early life . They lose a great deal . ”
Fanny Price	“ _ You _ taught me to think and feel on the subject , cousin . ”
Fanny Price	“ I had a very apt scholar . There ’s Arcturus looking very bright . ”
Fanny Price	“ Yes , and the Bear . I wish I could see Cassiopeia . ”
Fanny Price	“ We must go out on the lawn for that . Should you be afraid ? ”
Fanny Price	“ Not in the least . It is a great while since we have had any star - gazing . ”
Fanny Price	“ Yes ; I do not know how it has happened . ”
Fanny Price	“ I am rather surprised , ”
