Character	Quote
Catherine Morland	“ How uncomfortable it is , ”
Catherine Morland	“ not to have a single acquaintance here ! ”
Catherine Morland	“ What shall we do ? The gentlemen and ladies at this table look as if they wondered why we came here — we seem forcing ourselves into their party . ”
Catherine Morland	“ I wish we had _ any;_—it would be somebody to go to . ”
Catherine Morland	“ Had not we better go away as it is ? Here are no tea - things for us , you see . ”
Catherine Morland	“ No , indeed , it looks very nice . But , dear Mrs. Allen , are you sure there is nobody you know in all this multitude of people ? I think you _ must _ know somebody . ”
Catherine Morland	“ About a week , sir , ”
Catherine Morland	“ I have sometimes thought , ”
Catherine Morland	“ whether ladies do write so much better letters than gentlemen ! that is — I should not think the superiority was always on our side . ”
Catherine Morland	“ And what are they ? ”
Catherine Morland	“ Upon my word ! i need not have been afraid of disclaiming the compliment . You do not think too highly of us in that way . ”
Catherine Morland	“ How can you , ”
Catherine Morland	“ be so — ”
Catherine Morland	“ I was not thinking of anything . ”
Catherine Morland	“ That is artful and deep , to be sure ; but I had rather be told at once that you will not tell me . ”
Catherine Morland	“ Well then , I will not . ”
Catherine Morland	“ Thank you ; for now we shall soon be acquainted , as I am authorized to tease you on this subject whenever we meet , and nothing in the world advances intimacy so much . ”
Catherine Morland	“ Oh , dear ! ”
Catherine Morland	“ How can you say so ? ”
Catherine Morland	“ I know you very well ; you have so much animation , which is exactly what Miss Andrews wants , for I must confess there is something amazingly insipid about her . Oh ! i must tell you , that just after we parted yesterday , I saw a young man looking at you so earnestly — I am sure he is in love with you . ”
Catherine Morland	seriously—“your feelings are easily understood . Where the heart is really attached , I know very well how little one can be pleased with the attention of anybody else . Everything is so insipid , so uninteresting , that does not relate to the beloved object ! i can perfectly comprehend your feelings . ”
Catherine Morland	“ Not see him again ! my dearest creature , do not talk of it . I am sure you would be miserable if you thought so ! ”
Catherine Morland	“ It is so odd to me , that you should never have read Udolpho before ; but I suppose Mrs. Morland objects to novels . ”
Catherine Morland	“ Sir Charles Grandison ! that is an amazing horrid book , is it not ? I remember Miss Andrews could not get through the first volume . ”
Catherine Morland	“ Do you indeed ! you surprise me ; I thought it had not been readable . But , my dearest Catherine , have you settled what to wear on your head to - night ? I am determined at all events to be dressed exactly like you . The men take notice of _ that _ sometimes , you know . ”
Catherine Morland	“ But it does not signify if they do , ”
Catherine Morland	“ Signify ! oh , heavens ! i make it a rule never to mind what they say . They are very often amazingly impertinent if you do not treat them with spirit , and make them keep their distance . ”
Catherine Morland	“ Are they ? Well , I never observed _ that _ . They always behave very well to me . ”
Catherine Morland	“ Oh ! they give themselves such airs . They are the most conceited creatures in the world , and think themselves of so much importance ! by the by , though I have thought of it a hundred times , I have always forgot to ask you what is your favourite complexion in a man . Do you like them best dark or fair ? ”
