Character	Quote
Anne Elliot	""" The navy , I think , who have done so much for us , have at least an equal claim with any other set of men , for all the comforts and all the privileges which any home can give . Sailors work hard enough for their comforts , we must all allow . """
Anne Elliot	""" The profession has its utility , but I should be sorry to see any friend of mine belonging to it . """
Anne Elliot	""" Indeed ! """
Anne Elliot	""" Yes ; it is in two points offensive to me ; I have two strong grounds of objection to it . First , as being the means of bringing persons of obscure birth into undue distinction , and raising men to honours which their fathers and grandfathers never dreamt of ; and secondly , as it cuts up a man 's youth and vigour most horribly ; a sailor grows old sooner than any other man . I have observed it all my life . A man is in greater danger in the navy of being insulted by the rise of one whose father , his father might have disdained to speak to , and of becoming prematurely an object of disgust himself , than in any other line . One day last spring , in town , I was in company with two men , striking instances of what I am talking of ; Lord St Ives , whose father we all know to have been a country curate , without bread to eat ; I was to give place to Lord St Ives , and a certain Admiral Baldwin , the most deplorable - looking personage you can imagine ; his face the colour of mahogany , rough and rugged to the last degree ; all lines and wrinkles , nine grey hairs of a side , and nothing but a dab of powder at top . ` In the name of heaven , who is that old fellow ? ' said I to a friend of mine who was standing near , ( Sir Basil Morley ) . ` Old fellow ! ' cried Sir Basil , ` it is Admiral Baldwin . What do you take his age to be ? ' ` Sixty , ' said I , ` or perhaps sixty - two . ' ` Forty , ' replied Sir Basil , ` forty , and no more . ' Picture to yourselves my amazement ; I shall not easily forget Admiral Baldwin . I never saw quite so wretched an example of what a sea - faring life can do ; but to a degree , I know it is the same with them all : they are all knocked about , and exposed to every climate , and every weather , till they are not fit to be seen . It is a pity they are not knocked on the head at once , before they reach Admiral Baldwin 's age . """
Anne Elliot	"clergyman;--""and even the clergyman , you know is obliged to go into infected rooms , and expose his health and looks to all the injury of a poisonous atmosphere . In fact , as I have long been convinced , though every profession is necessary and honourable in its turn , it is only the lot of those who are not obliged to follow any , who can live in a regular way , in the country , choosing their own hours , following their own pursuits , and living on their own property , without the torment of trying for more ; it is only their lot , I say , to hold the blessings of health and a good appearance to the utmost : I know no other set of men but what lose something of their personableness when they cease to be quite young . """
Anne Elliot	""" He is a rear admiral of the white . He was in the Trafalgar action , and has been in the East Indies since ; he was stationed there , I believe , several years . """
Anne Elliot	""" You mean Mr Wentworth , I suppose ? """
Anne Elliot	""" A few months more , and he , perhaps , may be walking here . """
Anne Elliot	""" There is hardly any personal defect , """
Anne Elliot	""" which an agreeable manner might not gradually reconcile one to . """
Anne Elliot	""" a fine girl . """
Anne Elliot	""" So , you are come at last ! I began to think I should never see you . I am so ill I can hardly speak . I have not seen a creature the whole morning ! """
Anne Elliot	""" I am sorry to find you unwell , """
Anne Elliot	""" You sent me such a good account of yourself on Thursday ! """
Anne Elliot	""" Yes , I made the best of it ; I always do : but I was very far from well at the time ; and I do not think I ever was so ill in my life as I have been all this morning : very unfit to be left alone , I am sure . Suppose I were to be seized of a sudden in some dreadful way , and not able to ring the bell ! So , Lady Russell would not get out . I do not think she has been in this house three times this summer . """
Anne Elliot	""" Oh ! Charles is out shooting . I have not seen him since seven o'clock . He would go , though I told him how ill I was . He said he should not stay out long ; but he has never come back , and now it is almost one . I assure you , I have not seen a soul this whole long morning . """
Anne Elliot	""" You have had your little boys with you ? """
Anne Elliot	""" Yes , as long as I could bear their noise ; but they are so unmanageable that they do me more harm than good . Little Charles does not mind a word I say , and Walter is growing quite as bad . """
Anne Elliot	""" Well , you will soon be better now , """
Anne Elliot	""" You know I always cure you when I come . How are your neighbours at the Great House ? """
Anne Elliot	""" I can give you no account of them . I have not seen one of them to - day , except Mr Musgrove , who just stopped and spoke through the window , but without getting off his horse ; and though I told him how ill I was , not one of them have been near me . It did not happen to suit the Miss Musgroves , I suppose , and they never put themselves out of their way . """
Anne Elliot	""" You will see them yet , perhaps , before the morning is gone . It is early . """
Anne Elliot	""" I never want them , I assure you . They talk and laugh a great deal too much for me . Oh ! Anne , I am so very unwell ! It was quite unkind of you not to come on Thursday . """
Anne Elliot	""" My dear Mary , recollect what a comfortable account you sent me of yourself ! You wrote in the cheerfullest manner , and said you were perfectly well , and in no hurry for me ; and that being the case , you must be aware that my wish would be to remain with Lady Russell to the last : and besides what I felt on her account , I have really been so busy , have had so much to do , that I could not very conveniently have left Kellynch sooner . """
Anne Elliot	""" Dear me ! what can you possibly have to do ? """
Anne Elliot	""" A great many things , I assure you . More than I can recollect in a moment ; but I can tell you some . I have been making a duplicate of the catalogue of my father 's books and pictures . I have been several times in the garden with Mackenzie , trying to understand , and make him understand , which of Elizabeth 's plants are for Lady Russell . I have had all my own little concerns to arrange , books and music to divide , and all my trunks to repack , from not having understood in time what was intended as to the waggons : and one thing I have had to do , Mary , of a more trying nature : going to almost every house in the parish , as a sort of take - leave . I was told that they wished it . But all these things took up a great deal of time . """
Anne Elliot	""" Oh ! well ! """
Anne Elliot	""" but you have never asked me one word about our dinner at the Pooles yesterday . """
Anne Elliot	""" Did you go then ? I have made no enquiries , because I concluded you must have been obliged to give up the party . """
Anne Elliot	""" Oh yes ! I went . I was very well yesterday ; nothing at all the matter with me till this morning . It would have been strange if I had not gone . """
Anne Elliot	""" I am very glad you were well enough , and I hope you had a pleasant party . """
Anne Elliot	""" Nothing remarkable . One always knows beforehand what the dinner will be , and who will be there ; and it is so very uncomfortable not having a carriage of one 's own . Mr and Mrs Musgrove took me , and we were so crowded ! They are both so very large , and take up so much room ; and Mr Musgrove always sits forward . So , there was I , crowded into the back seat with Henrietta and Louise ; and I think it very likely that my illness to - day may be owing to it . """
Anne Elliot	""" Where shall we go ? """
Anne Elliot	""" I suppose you will not like to call at the Great House before they have been to see you ? """
Anne Elliot	""" I have not the smallest objection on that account , """
Anne Elliot	""" I should never think of standing on such ceremony with people I know so well as Mrs and the Miss Musgroves . """
Anne Elliot	""" Oh ! but they ought to call upon you as soon as possible . They ought to feel what is due to you as my sister . However , we may as well go and sit with them a little while , and when we have that over , we can enjoy our walk . """
Anne Elliot	""" Charles spoils the children so that I can not get them into any order , """
Anne Elliot	""" Very true . """
Anne Elliot	""" Altered beyond his knowledge . """
Anne Elliot	""" So altered that he should not have known her again ! """
