Character	Quote
Elinor Dashwood	""" I think you will like him , """
Elinor Dashwood	""" when you know more of him . """
Elinor Dashwood	""" No taste for drawing ! """
Elinor Dashwood	""" why should you think so ? He does not draw himself , indeed , but he has great pleasure in seeing the performances of other people , and I assure you he is by no means deficient in natural taste , though he has not had opportunities of improving it . Had he ever been in the way of learning , I think he would have drawn very well . He distrusts his own judgment in such matters so much , that he is always unwilling to give his opinion on any picture ; but he has an innate propriety and simplicity of taste , which in general direct him perfectly right . """
Elinor Dashwood	""" I hope , Marianne , """
Elinor Dashwood	""" you do not consider him as deficient in general taste . Indeed , I think I may say that you can not , for your behaviour to him is perfectly cordial , and if THAT were your opinion , I am sure you could never be civil to him . """
Elinor Dashwood	""" I am sure , """
Elinor Dashwood	""" that his dearest friends could not be dissatisfied with such commendation as that . I do not perceive how you could express yourself more warmly . """
Elinor Dashwood	""" Of his sense and his goodness , """
Elinor Dashwood	""" no one can , I think , be in doubt , who has seen him often enough to engage him in unreserved conversation . The excellence of his understanding and his principles can be concealed only by that shyness which too often keeps him silent . You know enough of him to do justice to his solid worth . But of his minuter propensities , as you call them you have from peculiar circumstances been kept more ignorant than myself . He and I have been at times thrown a good deal together , while you have been wholly engrossed on the most affectionate principle by my mother . I have seen a great deal of him , have studied his sentiments and heard his opinion on subjects of literature and taste ; and , upon the whole , I venture to pronounce that his mind is well - informed , enjoyment of books exceedingly great , his imagination lively , his observation just and correct , and his taste delicate and pure . His abilities in every respect improve as much upon acquaintance as his manners and person . At first sight , his address is certainly not striking ; and his person can hardly be called handsome , till the expression of his eyes , which are uncommonly good , and the general sweetness of his countenance , is perceived . At present , I know him so well , that I think him really handsome ; or at least , almost so . What say you , Marianne ? """
Elinor Dashwood	""" I shall very soon think him handsome , Elinor , if I do not now . When you tell me to love him as a brother , I shall no more see imperfection in his face , than I now do in his heart . """
Elinor Dashwood	""" I do not attempt to deny , """
Elinor Dashwood	""" that I think very highly of him -- that I greatly esteem , that I like him . """
Elinor Dashwood	""" Excuse me , """
Elinor Dashwood	""" and be assured that I meant no offence to you , by speaking , in so quiet a way , of my own feelings . Believe them to be stronger than I have declared ; believe them , in short , to be such as his merit , and the suspicion -- the hope of his affection for me may warrant , without imprudence or folly . But farther than this you must not believe . I am by no means assured of his regard for me . There are moments when the extent of it seems doubtful ; and till his sentiments are fully known , you can not wonder at my wishing to avoid any encouragement of my own partiality , by believing or calling it more than it is . In my heart I feel little -- scarcely any doubt of his preference . But there are other points to be considered besides his inclination . He is very far from being independent . What his mother really is we can not know ; but , from Fanny 's occasional mention of her conduct and opinions , we have never been disposed to think her amiable ; and I am very much mistaken if Edward is not himself aware that there would be many difficulties in his way , if he were to wish to marry a woman who had not either a great fortune or high rank . """
Elinor Dashwood	""" Devonshire ! Are you , indeed , going there ? So far from hence ! And to what part of it ? """
Elinor Dashwood	""" It is but a cottage , """
Elinor Dashwood	""" but I hope to see many of my friends in it . A room or two can easily be added ; and if my friends find no difficulty in travelling so far to see me , I am sure I will find none in accommodating them . """
Elinor Dashwood	""" Infirmity ! """
Elinor Dashwood	""" do you call Colonel Brandon infirm ? I can easily suppose that his age may appear much greater to you than to my mother ; but you can hardly deceive yourself as to his having the use of his limbs ! """
Elinor Dashwood	""" Perhaps , """
Elinor Dashwood	""" thirty - five and seventeen had better not have any thing to do with matrimony together . But if there should by any chance happen to be a woman who is single at seven and twenty , I should not think Colonel Brandon 's being thirty - five any objection to his marrying HER . """
Elinor Dashwood	""" It would be impossible , I know , """
Elinor Dashwood	""" to convince you that a woman of seven and twenty could feel for a man of thirty - five anything near enough to love , to make him a desirable companion to her . But I must object to your dooming Colonel Brandon and his wife to the constant confinement of a sick chamber , merely because he chanced to complain yesterday ( a very cold damp day ) of a slight rheumatic feel in one of his shoulders . """
Elinor Dashwood	""" But who is he ? """
Elinor Dashwood	""" Where does he come from ? Has he a house at Allenham ? """
Elinor Dashwood	""" Well , Marianne , """
Elinor Dashwood	""" for ONE morning I think you have done pretty well . You have already ascertained Mr. Willoughby 's opinion in almost every matter of importance . You know what he thinks of Cowper and Scott ; you are certain of his estimating their beauties as he ought , and you have received every assurance of his admiring Pope no more than is proper . But how is your acquaintance to be long supported , under such extraordinary despatch of every subject for discourse ? You will soon have exhausted each favourite topic . Another meeting will suffice to explain his sentiments on picturesque beauty , and second marriages , and then you can have nothing farther to ask . ""--"
Elinor Dashwood	""" Do not boast of it , however , """
Elinor Dashwood	""" for it is injustice in both of you . He is highly esteemed by all the family at the park , and I never see him myself without taking pains to converse with him . """
Elinor Dashwood	""" But perhaps the abuse of such people as yourself and Marianne will make amends for the regard of Lady Middleton and her mother . If their praise is censure , your censure may be praise , for they are not more undiscerning , than you are prejudiced and unjust . """
Elinor Dashwood	""" My protege , as you call him , is a sensible man ; and sense will always have attractions for me . Yes , Marianne , even in a man between thirty and forty . He has seen a great deal of the world ; has been abroad , has read , and has a thinking mind . I have found him capable of giving me much information on various subjects ; and he has always answered my inquiries with readiness of good - breeding and good nature . """
Elinor Dashwood	""" He WOULD have told me so , I doubt not , had I made any such inquiries , but they happened to be points on which I had been previously informed . """
Elinor Dashwood	""" I may venture to say that HIS observations have stretched much further than your candour . But why should you dislike him ? """
Elinor Dashwood	""" You decide on his imperfections so much in the mass , """
Elinor Dashwood	""" and so much on the strength of your own imagination , that the commendation I am able to give of him is comparatively cold and insipid . I can only pronounce him to be a sensible man , well - bred , well - informed , of gentle address , and , I believe , possessing an amiable heart . """
Elinor Dashwood	""" No , """
Elinor Dashwood	""" I can not agree with you there , """
Elinor Dashwood	""" There are inconveniences attending such feelings as Marianne 's , which all the charms of enthusiasm and ignorance of the world can not atone for . Her systems have all the unfortunate tendency of setting propriety at nought ; and a better acquaintance with the world is what I look forward to as her greatest possible advantage . """
Elinor Dashwood	""" You are mistaken , Elinor , """
Elinor Dashwood	""" in supposing I know very little of Willoughby . I have not known him long indeed , but I am much better acquainted with him , than I am with any other creature in the world , except yourself and mama . It is not time or opportunity that is to determine intimacy;-- it is disposition alone . Seven years would be insufficient to make some people acquainted with each other , and seven days are more than enough for others . I should hold myself guilty of greater impropriety in accepting a horse from my brother , than from Willoughby . Of John I know very little , though we have lived together for years ; but of Willoughby my judgment has long been formed . """
Elinor Dashwood	""" You have said so , """
Elinor Dashwood	""" almost every day since they first met on High - church Down ; and they had not known each other a week , I believe , before you were certain that Marianne wore his picture round her neck ; but it turned out to be only the miniature of our great uncle . """
Elinor Dashwood	""" Take care , Margaret . It may be only the hair of some great uncle of HIS . """
Elinor Dashwood	""" Yes , Marianne , but I would not go while Mrs. Smith was there , and with no other companion than Mr. Willoughby . """
Elinor Dashwood	""" I am afraid , """
Elinor Dashwood	""" that the pleasantness of an employment does not always evince its propriety . """
Elinor Dashwood	""" But , my dear Marianne , as it has already exposed you to some very impertinent remarks , do you not now begin to doubt the discretion of your own conduct ? """
Elinor Dashwood	""" If they were one day to be your own , Marianne , you would not be justified in what you have done . """
Elinor Dashwood	""" With dark narrow stairs and a kitchen that smokes , I suppose , """
Elinor Dashwood	""" I flatter myself , """
Elinor Dashwood	""" that even under the disadvantage of better rooms and a broader staircase , you will hereafter find your own house as faultless as you now do this . """
Elinor Dashwood	""" I want no proof of their affection , """
Elinor Dashwood	""" but of their engagement I do . """
Elinor Dashwood	""" Yet not a syllable has been said to you on the subject , by either of them . """
Elinor Dashwood	""" I confess , """
Elinor Dashwood	""" that every circumstance except ONE is in favour of their engagement ; but that ONE is the total silence of both on the subject , and with me it almost outweighs every other . """
Elinor Dashwood	""" No , I can not think that . He must and does love her I am sure . """
Elinor Dashwood	""" You must remember , my dear mother , that I have never considered this matter as certain . I have had my doubts , I confess ; but they are fainter than they were , and they may soon be entirely done away . If we find they correspond , every fear of mine will be removed . """
Elinor Dashwood	""" I hope not , I believe not , """
Elinor Dashwood	""" I love Willoughby , sincerely love him ; and suspicion of his integrity can not be more painful to yourself than to me . It has been involuntary , and I will not encourage it . I was startled , I confess , by the alteration in his manners this morning;--he did not speak like himself , and did not return your kindness with any cordiality . But all this may be explained by such a situation of his affairs as you have supposed . He had just parted from my sister , had seen her leave him in the greatest affliction ; and if he felt obliged , from a fear of offending Mrs. Smith , to resist the temptation of returning here soon , and yet aware that by declining your invitation , by saying that he was going away for some time , he should seem to act an ungenerous , a suspicious part by our family , be might well be embarrassed and disturbed . In such a case , a plain and open avowal of his difficulties would have been more to his honour I think , as well as more consistent with his general character;--but I will not raise objections against any one 's conduct on so illiberal a foundation , as a difference in judgment from myself , or a deviation from what I may think right and consistent . """
Elinor Dashwood	""" Why do you not ask Marianne at once , """
Elinor Dashwood	""" whether she is or she is not engaged to Willoughby ? From you , her mother , and so kind , so indulgent a mother , the question could not give offence . It would be the natural result of your affection for her . She used to be all unreserve , and to you more especially . """
