Anna Weston
Augusta Elton
Emma Woodhouse
Frank Churchill
George Knightley
Harriet Smith
Isabella Knightley
Jane Fairfax
John Knightley
Miss Bates
Mr. Weston
Mr. Woodhouse
Mr. Perry
Mrs. Cole
Philip Elton
Robert Martin
Dr. Grant
Edmund Bertram
Fanny Price
Henry Crawford
Julia Bertram
Lady Bertram
Maria Bertram
Mary Crawford
Lieutenant Price
Mr. Rushworth
Mr. Yates
Mrs. Grant
Mrs. Norris
Mrs. Price
Mrs. Rushworth
Sir Thomas Bertram
Susan Price
Tom Bertram
William Price
Catherine Morland
Eleanor Tilney
Frederick Tilney
General Tilney
Henry Tilney
Isabella Thorpe
James Morland
John Thorpe
Mr. Allen
Mrs. Allen
Mrs. Morland
Mrs. Thorpe
Admiral Croft
Anne Elliot
Captain Benwick
Captain Harville
Charles Hayter
Charles Musgrove
Elizabeth Elliot
Henrietta Musgrove
Lady Russell
Louisa Musgrove
Mary Musgrove
Mr. Shepherd
Mrs. Clay
Mrs. Croft
Mrs. Harville
Mrs. Musgrove
Mr. Musgrove
Mrs. Smith
Sir Walter Elliot
William Elliot
Captain Wentworth
Caroline Bingley
Charles Bingley
Charlotte Lucas
Colonel Fitzwilliam
Mr. Gardiner
Elizabeth Bennet
Fitzwilliam Darcy
George Wickham
Georgiana Darcy
Jane Bennet
Kitty Bennet
Lady Catherine de Bourgh
Lady Lucas
Lydia Bennet
Mary Bennet
Mr. Bennet
Mrs. Bennet
Mr. Phillips
Mrs. Gardiner
Mrs. Hurst
Mr. Hurst
Mrs. Phillips
Sir William Lucas
William Collins
Anne Steele
Charlotte Palmer
Colonel Brandon
Edward Ferrars
Elinor Dashwood
Fanny Dashwood
John Dashwood
John Willoughby
Lady Middleton
Lucy Steele
Margaret Dashwood
Marianne Dashwood
Mrs. Dashwood
Mrs. Jennings
Robert Ferrars
Sir John Middleton
Thomas Palmer
