character,Admiral Croft,Anna Weston,Anne Elliot,Anne Steele,Anne de Bourgh,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Thorpe,John Willoughby,Julia Bertram,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,William Collins,William Elliot,William Price
Admiral Croft,1.0,0.867668,0.855108,0.316706,0.526181,0.855042,0.787801,0.74073,0.836138,0.797134,0.851734,0.833033,0.843212,0.829624,0.778716,0.829375,0.749285,0.702283,0.870643,0.84007,0.824335,0.849815,0.859968,0.802027,0.867591,0.667026,0.85909,0.872663,0.85488,0.724114,0.809887,0.870672,0.855577,0.782931,0.84915,0.735108,0.873978,0.857771,0.776838,0.876372,0.800988,0.849149,0.838792,0.72852,0.843048,0.845913,0.830251,0.841393,0.854868,0.376412,0.755177,0.787929,0.798283,0.837693,0.836955,0.658573,0.848946,0.836134,0.761153,0.864963,0.848021,0.840774,0.735461,0.820128,0.784486,0.597137,0.627181,0.823757,0.712163,0.865069,0.834515,0.769087,0.746084,0.610247,0.844394,0.747305,0.63869,0.774658,0.801037,0.742205,0.745203,0.785615,0.549674,0.343016,0.828787,0.713798,0.84659,0.61406,0.71884,0.817485,0.717326,0.862422,0.722845,0.763097,0.822951,0.853885,0.758187,0.810239,0.748248,0.773265,0.829373,0.825078,0.786207
Anna Weston,0.867668,1.0,0.953518,0.366379,0.553839,0.930307,0.859969,0.795398,0.894082,0.888176,0.942593,0.899436,0.924361,0.908028,0.864279,0.915245,0.804474,0.76801,0.955598,0.920888,0.898712,0.954039,0.948019,0.895166,0.965534,0.790459,0.953118,0.938394,0.929491,0.77562,0.888173,0.959234,0.92175,0.840556,0.948453,0.823398,0.944006,0.930342,0.855367,0.95314,0.84791,0.948438,0.928396,0.812945,0.902815,0.912366,0.904074,0.931761,0.92905,0.430475,0.849563,0.878931,0.864756,0.934228,0.910972,0.736694,0.925642,0.932605,0.843844,0.951062,0.936771,0.916587,0.775765,0.885537,0.854673,0.663326,0.668945,0.880361,0.795493,0.928192,0.937414,0.832605,0.8237,0.694204,0.919487,0.844715,0.704041,0.851167,0.910045,0.799264,0.823415,0.85269,0.637076,0.378435,0.920406,0.776162,0.927478,0.695997,0.812578,0.90958,0.799905,0.929892,0.792437,0.800957,0.870531,0.940192,0.85558,0.881971,0.82849,0.843205,0.909752,0.883517,0.851638
Anne Elliot,0.855108,0.953518,1.0,0.328666,0.544374,0.911291,0.848223,0.805488,0.900667,0.882105,0.959941,0.884346,0.933125,0.891585,0.870748,0.916596,0.787424,0.751367,0.955608,0.919371,0.904548,0.97639,0.9747,0.915329,0.982659,0.80063,0.976542,0.919976,0.924145,0.755598,0.909822,0.945367,0.920426,0.841425,0.953459,0.829077,0.937262,0.922834,0.846447,0.954648,0.828665,0.949753,0.922106,0.819528,0.870565,0.912332,0.912789,0.925695,0.919675,0.443446,0.877013,0.892328,0.893179,0.943285,0.903561,0.767409,0.938108,0.963391,0.853923,0.945038,0.945533,0.905353,0.754437,0.886649,0.860374,0.669622,0.649668,0.864869,0.797282,0.923377,0.936611,0.830732,0.816405,0.653217,0.928965,0.860243,0.667681,0.843263,0.935825,0.775919,0.821249,0.859222,0.622938,0.445381,0.938266,0.795813,0.937619,0.718738,0.813122,0.896579,0.79896,0.929081,0.821996,0.764533,0.863518,0.951561,0.889613,0.87039,0.863964,0.819596,0.920719,0.888028,0.864667
Anne Steele,0.316706,0.366379,0.328666,1.0,0.176237,0.399487,0.372705,0.307719,0.330454,0.372694,0.327362,0.342354,0.333444,0.315863,0.281025,0.328021,0.307875,0.249906,0.369483,0.336772,0.28671,0.338211,0.334312,0.341615,0.34605,0.338636,0.338876,0.36054,0.346316,0.323854,0.319154,0.368221,0.339316,0.360683,0.370697,0.352639,0.340131,0.342728,0.327724,0.355125,0.322414,0.369661,0.341514,0.34933,0.357573,0.338547,0.333044,0.348974,0.360288,0.116068,0.273624,0.332736,0.312012,0.342164,0.343621,0.278322,0.341898,0.318761,0.289623,0.354978,0.331785,0.331035,0.28881,0.332075,0.326802,0.215305,0.230725,0.330357,0.294731,0.344586,0.330905,0.310077,0.273353,0.26082,0.306988,0.2939,0.292968,0.30527,0.301726,0.327191,0.266351,0.306104,0.22639,0.120764,0.327266,0.279272,0.342981,0.232336,0.286439,0.322826,0.277149,0.351958,0.296764,0.330241,0.312482,0.331107,0.304249,0.328077,0.317743,0.302135,0.338475,0.327014,0.313346
Anne de Bourgh,0.526181,0.553839,0.544374,0.176237,1.0,0.485823,0.564475,0.505682,0.57594,0.516282,0.541419,0.581012,0.548224,0.545278,0.475233,0.561923,0.592926,0.489574,0.544845,0.576877,0.570724,0.546403,0.560765,0.501737,0.525282,0.459731,0.554734,0.561204,0.556903,0.465422,0.549769,0.527722,0.569943,0.57197,0.543299,0.481811,0.576537,0.567794,0.559156,0.578055,0.560106,0.552826,0.564431,0.457995,0.526,0.548682,0.561981,0.577382,0.565478,0.275261,0.542795,0.512803,0.542525,0.556146,0.600589,0.427808,0.572873,0.552627,0.589034,0.552198,0.551956,0.555769,0.473313,0.562469,0.520821,0.398383,0.388368,0.527947,0.435995,0.532288,0.539257,0.485168,0.497459,0.345635,0.539723,0.50378,0.420152,0.50101,0.544401,0.488543,0.517959,0.517482,0.393749,0.220217,0.533397,0.43673,0.553128,0.438049,0.486064,0.4632,0.46191,0.560236,0.409015,0.592475,0.491415,0.548393,0.485639,0.525362,0.482677,0.551973,0.582659,0.557482,0.539508
Augusta Elton,0.855042,0.930307,0.911291,0.399487,0.485823,1.0,0.842824,0.779233,0.874733,0.863458,0.905902,0.874392,0.897225,0.872841,0.844603,0.874936,0.761763,0.760331,0.928134,0.879833,0.86199,0.91234,0.900535,0.859015,0.929042,0.744988,0.913311,0.906817,0.911196,0.762014,0.853303,0.93728,0.896686,0.818072,0.917583,0.807865,0.909008,0.900899,0.816006,0.921566,0.808684,0.902016,0.905566,0.791452,0.880463,0.8859,0.873191,0.881935,0.912613,0.424878,0.806148,0.861927,0.831273,0.902188,0.876334,0.720404,0.891761,0.895275,0.795102,0.926254,0.902569,0.891182,0.744445,0.849193,0.827395,0.616501,0.680843,0.872841,0.776524,0.892543,0.88958,0.820296,0.787855,0.699443,0.893359,0.816179,0.690654,0.828907,0.855621,0.795399,0.788789,0.828171,0.616195,0.369081,0.891922,0.771524,0.8973,0.653518,0.779768,0.897852,0.791094,0.901962,0.799438,0.77451,0.857311,0.901512,0.818585,0.849241,0.814745,0.79831,0.887362,0.857255,0.837034
Captain Benwick,0.787801,0.859969,0.848223,0.372705,0.564475,0.842824,1.0,0.767518,0.894032,0.801281,0.845815,0.892696,0.867812,0.810386,0.779442,0.876901,0.77738,0.749169,0.868348,0.893061,0.809026,0.841787,0.841628,0.825263,0.854997,0.729127,0.868188,0.897138,0.906177,0.790186,0.835805,0.883257,0.894945,0.840151,0.893531,0.786419,0.901795,0.872448,0.809921,0.859289,0.76972,0.845327,0.88644,0.739738,0.863487,0.88718,0.859085,0.812051,0.874606,0.429783,0.761144,0.82605,0.831783,0.853357,0.847823,0.687924,0.856803,0.853306,0.740179,0.863516,0.845122,0.837453,0.704622,0.799418,0.798582,0.528361,0.693172,0.870542,0.696073,0.853526,0.82236,0.810391,0.714732,0.608706,0.811172,0.77155,0.656969,0.747849,0.809072,0.836916,0.73614,0.768063,0.607413,0.339647,0.816352,0.746673,0.823065,0.64469,0.749006,0.764883,0.715435,0.896544,0.770826,0.856402,0.828639,0.863999,0.787136,0.774482,0.819992,0.830335,0.853107,0.89589,0.845667
Captain Harville,0.74073,0.795398,0.805488,0.307719,0.505682,0.779233,0.767518,1.0,0.823188,0.757818,0.790766,0.805498,0.803323,0.77695,0.758863,0.789406,0.763523,0.67806,0.824244,0.799477,0.77772,0.810066,0.807552,0.754815,0.803732,0.650023,0.806198,0.794889,0.815399,0.680995,0.798821,0.809325,0.807205,0.76641,0.798074,0.680801,0.818207,0.812298,0.708687,0.812094,0.71999,0.781398,0.782106,0.702758,0.773072,0.802044,0.774346,0.806302,0.794683,0.406179,0.742964,0.795489,0.75398,0.788823,0.791952,0.66256,0.813414,0.825765,0.732994,0.803926,0.785354,0.776534,0.656821,0.790162,0.757271,0.55215,0.644456,0.774278,0.666917,0.785702,0.793343,0.749549,0.734192,0.593385,0.780065,0.712068,0.616406,0.689927,0.800767,0.68913,0.702059,0.760416,0.590582,0.326178,0.813785,0.728905,0.795749,0.595755,0.724111,0.74293,0.713492,0.801273,0.717153,0.722914,0.789942,0.824924,0.729483,0.735542,0.759662,0.744721,0.814254,0.779729,0.785306
Captain Wentworth,0.836138,0.894082,0.900667,0.330454,0.57594,0.874733,0.894032,0.823188,1.0,0.839719,0.897743,0.933896,0.916805,0.860705,0.859221,0.923401,0.843022,0.776629,0.925758,0.934625,0.888013,0.892968,0.890331,0.860391,0.897915,0.761601,0.910591,0.924914,0.946546,0.810818,0.892325,0.928057,0.93069,0.867214,0.921599,0.812114,0.946124,0.93302,0.823891,0.914223,0.795867,0.88483,0.919586,0.77827,0.906296,0.939713,0.882522,0.86134,0.914579,0.443316,0.820167,0.851976,0.889824,0.896382,0.900839,0.743253,0.904978,0.911732,0.783653,0.912438,0.876046,0.907123,0.720223,0.872502,0.865321,0.6185,0.745649,0.905255,0.7252,0.91091,0.8754,0.862576,0.764847,0.654417,0.860142,0.833193,0.694578,0.793133,0.852767,0.829541,0.796997,0.816802,0.652653,0.388366,0.881437,0.777541,0.85933,0.706386,0.798665,0.81688,0.776303,0.938873,0.823893,0.845465,0.875867,0.919361,0.851279,0.825531,0.848908,0.83849,0.907008,0.931911,0.923875
Caroline Bingley,0.797134,0.888176,0.882105,0.372694,0.516282,0.863458,0.801281,0.757818,0.839719,1.0,0.898885,0.833841,0.865828,0.837878,0.799006,0.836804,0.752082,0.687998,0.901355,0.854532,0.859854,0.900634,0.903267,0.847969,0.898812,0.756981,0.88559,0.878784,0.853373,0.720144,0.859589,0.889078,0.881783,0.796711,0.876989,0.756383,0.878431,0.881682,0.809156,0.886963,0.753765,0.908277,0.840689,0.771253,0.847358,0.857537,0.846125,0.871742,0.876233,0.377701,0.796974,0.840899,0.790698,0.899443,0.860156,0.723298,0.877455,0.880643,0.820603,0.892838,0.877708,0.831041,0.686632,0.854903,0.821698,0.590955,0.624113,0.814892,0.730691,0.849363,0.867785,0.793906,0.785379,0.623725,0.880391,0.781285,0.64106,0.77754,0.881478,0.771413,0.795981,0.797129,0.578928,0.358764,0.864031,0.732094,0.870563,0.628534,0.777745,0.836063,0.717241,0.851046,0.758372,0.74026,0.819271,0.886391,0.793622,0.844094,0.762986,0.768093,0.874424,0.822408,0.807737
