character,Admiral Croft,Anna Weston,Anne Elliot,Anne Steele,Anne de Bourgh,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Thorpe,John Willoughby,Julia Bertram,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,William Collins,William Elliot,William Price
Admiral Croft,1.0,0.765547,0.731521,0.197405,0.439309,0.732223,0.601687,0.505168,0.68334,0.733527,0.791589,0.659643,0.732303,0.5907,0.728056,0.669672,0.349114,0.56363,0.763967,0.659442,0.762799,0.761661,0.745279,0.703154,0.786151,0.671206,0.740966,0.736641,0.692594,0.525595,0.654513,0.778912,0.705476,0.55685,0.686737,0.550617,0.724749,0.756871,0.630462,0.776416,0.503221,0.762956,0.718594,0.548558,0.751796,0.65277,0.709314,0.786887,0.728353,0.455749,0.700291,0.590679,0.591982,0.793158,0.76714,0.648983,0.6526,0.722344,0.603919,0.769353,0.688999,0.68924,0.720911,0.691156,0.52024,0.359134,0.59894,0.615871,0.50277,0.794964,0.7538,0.634725,0.606361,0.55834,0.807149,0.625348,0.434495,0.510153,0.638409,0.590722,0.640459,0.652662,0.254269,0.42033,0.790038,0.555213,0.767899,0.437155,0.685962,0.659561,0.788567,0.690029,0.487375,0.612932,0.647052,0.714831,0.59068,0.646525,0.533223,0.506008,0.670322,0.630428,0.69994
Anna Weston,0.765547,1.0,0.932521,0.237058,0.562208,0.875573,0.671187,0.563965,0.872473,0.855244,0.933229,0.796532,0.869908,0.75342,0.86748,0.837915,0.494036,0.641476,0.935566,0.85711,0.863714,0.919994,0.94414,0.846145,0.95545,0.773382,0.949141,0.881201,0.891312,0.640168,0.793329,0.931121,0.837281,0.662225,0.884897,0.736361,0.894466,0.88573,0.73915,0.915939,0.542714,0.918198,0.885439,0.645456,0.818509,0.829077,0.862553,0.877102,0.843826,0.64597,0.826082,0.773974,0.78055,0.893815,0.904454,0.684749,0.871755,0.90734,0.743449,0.933021,0.863953,0.8854,0.688962,0.826868,0.653258,0.241304,0.772159,0.79461,0.576337,0.907514,0.929677,0.735152,0.766152,0.779371,0.909021,0.762198,0.510182,0.584117,0.830296,0.599765,0.810718,0.779693,0.271098,0.516175,0.89205,0.686178,0.896132,0.570946,0.798396,0.797264,0.805934,0.824776,0.592992,0.738355,0.766033,0.916904,0.778205,0.828738,0.725811,0.652937,0.82316,0.793217,0.79051
Anne Elliot,0.731521,0.932521,1.0,0.227666,0.614749,0.864419,0.68543,0.561437,0.869253,0.84005,0.92196,0.795925,0.870793,0.748086,0.861147,0.838289,0.477289,0.659269,0.942657,0.865107,0.833839,0.933638,0.959826,0.856001,0.946288,0.775346,0.965051,0.88222,0.906721,0.648706,0.797224,0.916839,0.838724,0.669658,0.916732,0.745266,0.890734,0.882119,0.752819,0.887054,0.5342,0.921291,0.897716,0.633726,0.796836,0.846279,0.849971,0.840529,0.838884,0.656871,0.839634,0.797175,0.792578,0.898324,0.892909,0.605831,0.871292,0.929403,0.724277,0.929278,0.874789,0.868961,0.661592,0.834139,0.652517,0.244856,0.755018,0.788991,0.59658,0.887532,0.916119,0.733139,0.74091,0.75386,0.888076,0.73027,0.515605,0.556742,0.862567,0.614768,0.786072,0.805333,0.254241,0.532752,0.874764,0.677992,0.893152,0.588973,0.769165,0.831803,0.756682,0.802009,0.622957,0.762384,0.74942,0.934883,0.824921,0.790687,0.734849,0.640709,0.83432,0.796947,0.809465
Anne Steele,0.197405,0.237058,0.227666,1.0,0.15053,0.273579,0.352839,0.213341,0.228356,0.175116,0.21095,0.289689,0.285053,0.236264,0.193448,0.246299,0.24674,0.208626,0.242329,0.278954,0.16501,0.209465,0.24694,0.205941,0.226002,0.215104,0.253309,0.283476,0.235482,0.202061,0.256781,0.27635,0.298011,0.183015,0.29573,0.178828,0.261776,0.231362,0.226672,0.211239,0.331503,0.248261,0.266581,0.251395,0.236136,0.295177,0.222483,0.189399,0.309467,0.229972,0.211772,0.262852,0.247539,0.221324,0.217454,0.133085,0.244522,0.205914,0.278025,0.230088,0.218665,0.275164,0.132694,0.234976,0.185551,0.253494,0.217166,0.238494,0.158063,0.250105,0.190235,0.248083,0.173545,0.177712,0.200609,0.255375,0.138246,0.16777,0.185721,0.339336,0.124976,0.21359,0.176134,0.114302,0.216288,0.302114,0.209388,0.071611,0.205413,0.220262,0.196272,0.321601,0.134439,0.284937,0.260107,0.235551,0.278662,0.140651,0.209253,0.160555,0.25309,0.327018,0.239488
Anne de Bourgh,0.439309,0.562208,0.614749,0.15053,1.0,0.577937,0.559769,0.380755,0.573636,0.489133,0.545754,0.636844,0.587917,0.569008,0.596671,0.62683,0.416171,0.542654,0.574266,0.645868,0.488202,0.525702,0.595998,0.521773,0.558669,0.495888,0.638172,0.635609,0.648626,0.433663,0.548664,0.578525,0.614683,0.67356,0.670443,0.564991,0.620841,0.581009,0.501315,0.500729,0.438684,0.548163,0.654394,0.426974,0.575745,0.616439,0.56825,0.464458,0.620036,0.447009,0.598422,0.53742,0.561917,0.54173,0.557178,0.287549,0.596041,0.60663,0.525537,0.602277,0.54621,0.614978,0.433883,0.578386,0.434538,0.226313,0.541908,0.548908,0.338823,0.590855,0.56724,0.501578,0.399109,0.450721,0.476485,0.593779,0.407981,0.36739,0.579069,0.496351,0.451933,0.385289,0.272415,0.231552,0.509445,0.444987,0.514413,0.526423,0.502721,0.602848,0.461324,0.642353,0.4046,0.596414,0.593362,0.587944,0.570258,0.455785,0.542269,0.521723,0.584626,0.611096,0.501665
Augusta Elton,0.732223,0.875573,0.864419,0.273579,0.577937,1.0,0.752839,0.596866,0.815396,0.814057,0.853308,0.847579,0.849894,0.745493,0.749883,0.823488,0.554636,0.717973,0.864645,0.864774,0.786229,0.836649,0.88638,0.774013,0.889439,0.734249,0.89225,0.885878,0.824674,0.592371,0.757604,0.881805,0.844356,0.682333,0.864974,0.662894,0.87687,0.887532,0.716486,0.847537,0.578025,0.872685,0.869351,0.605667,0.803956,0.847279,0.811941,0.801087,0.873471,0.659183,0.774636,0.787938,0.73157,0.831668,0.838267,0.581098,0.819068,0.845707,0.733208,0.888312,0.821439,0.877678,0.663309,0.790794,0.672338,0.34471,0.729355,0.79306,0.605938,0.866219,0.840199,0.666974,0.752384,0.744373,0.845544,0.748868,0.504466,0.549898,0.807605,0.675698,0.717629,0.683321,0.31824,0.47184,0.814978,0.653093,0.84729,0.532692,0.73137,0.777384,0.774504,0.831301,0.550434,0.821185,0.7883,0.851536,0.773656,0.750859,0.725257,0.632615,0.832708,0.819132,0.791703
Captain Benwick,0.601687,0.671187,0.68543,0.352839,0.559769,0.752839,1.0,0.542302,0.718012,0.586941,0.631415,0.792677,0.779268,0.682246,0.591851,0.778753,0.548064,0.643174,0.69965,0.806812,0.577534,0.628873,0.687501,0.607047,0.668736,0.581753,0.723747,0.786745,0.713371,0.541741,0.681397,0.739889,0.812395,0.671046,0.77286,0.581802,0.777444,0.707298,0.613057,0.620766,0.712753,0.674115,0.768429,0.627457,0.72868,0.793923,0.656935,0.534039,0.767765,0.587424,0.664503,0.706896,0.617347,0.637263,0.625058,0.324893,0.695174,0.671113,0.675165,0.706059,0.630544,0.736496,0.476878,0.659552,0.580287,0.553638,0.678828,0.734751,0.480792,0.739386,0.630163,0.582999,0.537115,0.561991,0.597711,0.656754,0.464789,0.38621,0.639126,0.667338,0.509094,0.484158,0.316678,0.336583,0.601073,0.594115,0.622348,0.469799,0.535841,0.614986,0.568688,0.823311,0.455737,0.791939,0.744227,0.683143,0.717575,0.55125,0.639628,0.581845,0.712961,0.832693,0.724956
Captain Harville,0.505168,0.563965,0.561437,0.213341,0.380755,0.596866,0.542302,1.0,0.594184,0.481801,0.530926,0.60521,0.544481,0.536054,0.488238,0.601762,0.339895,0.455342,0.580372,0.605739,0.494075,0.5118,0.582251,0.467646,0.551313,0.459056,0.579877,0.621584,0.557606,0.427605,0.498959,0.64294,0.582398,0.491668,0.547004,0.402636,0.611909,0.559873,0.489934,0.502253,0.447967,0.544325,0.569657,0.472059,0.572891,0.561641,0.513538,0.456346,0.552591,0.420993,0.491213,0.518232,0.503982,0.544101,0.539894,0.296569,0.478571,0.496535,0.467349,0.611103,0.431598,0.563122,0.453145,0.531539,0.402734,0.349426,0.454898,0.564105,0.384216,0.585687,0.545664,0.515616,0.398245,0.399028,0.503718,0.475136,0.344549,0.329818,0.47892,0.544591,0.533144,0.448994,0.278131,0.223651,0.491176,0.539531,0.500572,0.392658,0.489532,0.449061,0.471194,0.550632,0.364995,0.524882,0.566841,0.550781,0.589604,0.479244,0.469188,0.433217,0.537999,0.593247,0.484131
Captain Wentworth,0.68334,0.872473,0.869253,0.228356,0.573636,0.815396,0.718012,0.594184,1.0,0.747968,0.833807,0.830941,0.846645,0.761592,0.801733,0.859705,0.498085,0.61485,0.892838,0.866583,0.792517,0.826261,0.881672,0.786348,0.862532,0.740034,0.894603,0.881662,0.893237,0.629863,0.792526,0.881194,0.851879,0.716582,0.8613,0.698186,0.908583,0.831577,0.729346,0.810128,0.594536,0.840525,0.85997,0.645241,0.794426,0.84809,0.831209,0.756057,0.783899,0.639582,0.788287,0.791476,0.782525,0.793879,0.837813,0.556674,0.852744,0.853763,0.68744,0.87733,0.783728,0.841861,0.622588,0.823787,0.600874,0.307138,0.748263,0.833188,0.536117,0.864909,0.850966,0.673781,0.710687,0.674648,0.804814,0.70882,0.454547,0.486619,0.805453,0.618354,0.710108,0.706203,0.23597,0.463796,0.802284,0.630062,0.814313,0.574832,0.715723,0.751586,0.716728,0.836933,0.608729,0.783552,0.783194,0.876507,0.791547,0.778185,0.751698,0.673244,0.809544,0.861819,0.794211
Caroline Bingley,0.733527,0.855244,0.84005,0.175116,0.489133,0.814057,0.586941,0.481801,0.747968,1.0,0.888105,0.707805,0.794874,0.62356,0.750346,0.739201,0.429962,0.554482,0.843628,0.752438,0.804875,0.872407,0.870616,0.763646,0.898636,0.69122,0.843615,0.78923,0.769488,0.58172,0.712703,0.835302,0.754094,0.533317,0.766878,0.637018,0.773371,0.853773,0.651569,0.88116,0.441199,0.891977,0.791329,0.519338,0.723836,0.730645,0.769934,0.867357,0.752733,0.596665,0.776199,0.657373,0.640138,0.859194,0.83684,0.700661,0.782614,0.86145,0.642653,0.850857,0.829885,0.776152,0.610495,0.710828,0.671437,0.230461,0.648802,0.676721,0.563367,0.806736,0.863836,0.661623,0.781749,0.713921,0.888123,0.699007,0.454983,0.596772,0.749291,0.508269,0.795823,0.711426,0.17336,0.534208,0.839178,0.572297,0.887724,0.474229,0.778671,0.757354,0.747724,0.703909,0.531508,0.66576,0.675398,0.822082,0.700712,0.764405,0.642034,0.539842,0.750762,0.689024,0.72032
