character,Admiral Croft,Anna Weston,Anne Elliot,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Thorpe,John Willoughby,Julia Bertram,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Norris,Mrs. Price,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,William Collins,William Elliot,William Price
Admiral Croft,1.0,0.95406,0.963006,0.962929,0.832892,0.944422,0.950947,0.944947,0.936917,0.933528,0.968941,0.940581,0.936843,0.927948,0.928245,0.900536,0.955783,0.936106,0.950623,0.945412,0.942602,0.953111,0.953954,0.903759,0.945874,0.939015,0.959221,0.787826,0.932694,0.955194,0.936471,0.890397,0.9514,0.815317,0.960488,0.949803,0.905519,0.953188,0.908684,0.940784,0.952592,0.938122,0.961039,0.941358,0.94731,0.938475,0.947066,0.743983,0.917829,0.929006,0.94347,0.944493,0.950964,0.902152,0.941013,0.94356,0.862766,0.95865,0.956724,0.952443,0.931917,0.938651,0.937924,0.887468,0.92975,0.929894,0.957468,0.957409,0.919456,0.937486,0.920578,0.95353,0.945126,0.841889,0.957076,0.947618,0.797946,0.941962,0.940357,0.720699,0.877895,0.960517,0.898315,0.958771,0.93683,0.956834,0.915956,0.95661,0.930362,0.948049,0.952002,0.942989,0.933889,0.791457,0.872121,0.9288,0.93116,0.952099
Anna Weston,0.95406,1.0,0.985974,0.9788,0.860508,0.959677,0.973515,0.973368,0.972636,0.963135,0.975197,0.974353,0.962475,0.973211,0.957088,0.925514,0.981683,0.972209,0.980535,0.984623,0.981327,0.977393,0.993386,0.930357,0.978341,0.978203,0.987852,0.816213,0.962326,0.992816,0.973917,0.929991,0.989471,0.825694,0.977789,0.979305,0.943739,0.978667,0.947855,0.979822,0.988259,0.957715,0.967912,0.977881,0.972255,0.971752,0.974787,0.793648,0.95229,0.958781,0.963555,0.981955,0.966623,0.942195,0.971116,0.982065,0.902549,0.98021,0.974858,0.979913,0.9599,0.969561,0.956129,0.925392,0.952782,0.930125,0.985297,0.983755,0.940815,0.959538,0.951676,0.97542,0.949041,0.908459,0.968893,0.980061,0.828709,0.976035,0.965763,0.723246,0.901849,0.978074,0.936047,0.972178,0.949026,0.975846,0.952479,0.988269,0.950861,0.966247,0.979882,0.944734,0.968011,0.798707,0.913476,0.956832,0.955359,0.953027
Anne Elliot,0.963006,0.985974,1.0,0.968049,0.873006,0.973184,0.986402,0.975018,0.980049,0.969533,0.983861,0.974033,0.965509,0.978894,0.965221,0.932175,0.983191,0.980177,0.983448,0.990302,0.985539,0.980761,0.990262,0.927505,0.984147,0.981849,0.988092,0.826996,0.969829,0.988267,0.979418,0.937319,0.986202,0.826772,0.978599,0.982448,0.94511,0.98019,0.95588,0.981799,0.982574,0.960699,0.969523,0.984695,0.97292,0.975877,0.973512,0.808939,0.961266,0.970815,0.971641,0.986423,0.970772,0.945833,0.973868,0.98821,0.911076,0.983508,0.98421,0.969954,0.963123,0.974442,0.952145,0.934391,0.958945,0.940298,0.980751,0.977707,0.946077,0.966165,0.943176,0.975426,0.95911,0.905542,0.97741,0.982763,0.825659,0.976034,0.967582,0.7307,0.903962,0.982097,0.938481,0.968477,0.947367,0.98712,0.957814,0.980293,0.953497,0.97431,0.982593,0.958432,0.970163,0.797155,0.931226,0.955485,0.964317,0.956735
Augusta Elton,0.962929,0.9788,0.968049,1.0,0.830524,0.941048,0.951877,0.965839,0.94797,0.952211,0.967957,0.960151,0.951807,0.946976,0.938985,0.920367,0.969974,0.953892,0.963809,0.960482,0.958263,0.970338,0.976807,0.928797,0.95917,0.956836,0.975019,0.786904,0.947508,0.976509,0.953518,0.918786,0.974561,0.819973,0.973743,0.962374,0.927222,0.968202,0.921245,0.957187,0.97995,0.950866,0.96755,0.955721,0.963795,0.951945,0.966288,0.76378,0.928744,0.940168,0.942999,0.961785,0.957224,0.911826,0.95847,0.960061,0.891575,0.972323,0.961283,0.980376,0.945001,0.955079,0.946934,0.9024,0.934607,0.930113,0.974019,0.976103,0.927768,0.94201,0.946026,0.968441,0.944162,0.870654,0.959057,0.963666,0.819583,0.960344,0.951774,0.710309,0.888474,0.965787,0.912575,0.974423,0.945675,0.962136,0.939771,0.981557,0.938607,0.950732,0.96706,0.940115,0.955948,0.797544,0.881373,0.951359,0.945849,0.949766
Captain Benwick,0.832892,0.860508,0.873006,0.830524,1.0,0.869589,0.882564,0.86532,0.887341,0.851313,0.861914,0.859803,0.863631,0.866228,0.840078,0.824901,0.868848,0.875797,0.872671,0.877432,0.876524,0.845849,0.872871,0.804447,0.886809,0.871544,0.870085,0.790061,0.863198,0.863307,0.865055,0.830919,0.876076,0.733199,0.862919,0.871072,0.84803,0.874147,0.872172,0.867283,0.855003,0.832147,0.853582,0.885295,0.856818,0.871633,0.846859,0.799789,0.868011,0.850778,0.874893,0.875756,0.871102,0.875134,0.864,0.889438,0.812783,0.871713,0.863416,0.830522,0.849088,0.863697,0.810018,0.85966,0.867604,0.8038,0.85458,0.863613,0.850751,0.869203,0.826345,0.856959,0.838934,0.797091,0.855306,0.863673,0.749808,0.863483,0.840267,0.629566,0.821955,0.871251,0.835807,0.844504,0.84349,0.854475,0.848124,0.854434,0.848923,0.874566,0.869834,0.832108,0.852206,0.720912,0.845232,0.8273,0.832047,0.85603
Captain Harville,0.944422,0.959677,0.973184,0.941048,0.869589,1.0,0.973814,0.956831,0.971743,0.951611,0.957766,0.954634,0.952426,0.961446,0.951822,0.915744,0.967087,0.969436,0.966606,0.972773,0.968796,0.952998,0.968703,0.903827,0.968919,0.962311,0.969206,0.828244,0.956392,0.969639,0.959627,0.937652,0.965892,0.782079,0.964319,0.966865,0.925834,0.960107,0.944687,0.958972,0.956797,0.937496,0.959164,0.970824,0.952588,0.959298,0.952839,0.80629,0.953823,0.947434,0.948427,0.964915,0.956286,0.936882,0.9571,0.973631,0.901678,0.968577,0.9568,0.941474,0.944411,0.956298,0.921608,0.927154,0.94705,0.912541,0.964722,0.950693,0.932709,0.948458,0.908594,0.954005,0.941037,0.894581,0.956247,0.959253,0.803098,0.954465,0.944051,0.678203,0.884868,0.970217,0.908188,0.942116,0.929075,0.961311,0.933478,0.956129,0.934623,0.96714,0.966353,0.931313,0.953595,0.776685,0.927004,0.927012,0.932274,0.939371
Captain Wentworth,0.950947,0.973515,0.986402,0.951877,0.882564,0.973814,1.0,0.967562,0.984238,0.966678,0.97296,0.966726,0.962328,0.976836,0.961733,0.925449,0.978419,0.978152,0.978001,0.98535,0.981264,0.964586,0.980833,0.910099,0.984208,0.975045,0.984386,0.837198,0.97159,0.979207,0.971925,0.934307,0.978418,0.810825,0.972427,0.97785,0.935257,0.971526,0.96104,0.973866,0.972352,0.952619,0.967863,0.985752,0.968512,0.978149,0.962988,0.812246,0.965893,0.965208,0.967819,0.978802,0.970821,0.949523,0.973981,0.985341,0.908278,0.978161,0.974221,0.950401,0.957861,0.968445,0.936927,0.941868,0.963308,0.923989,0.97551,0.966794,0.944696,0.966712,0.928761,0.965764,0.944135,0.902138,0.968529,0.976004,0.807427,0.968348,0.962135,0.724196,0.908395,0.979672,0.933289,0.959144,0.947126,0.969452,0.94566,0.967634,0.941856,0.979436,0.97993,0.944105,0.961594,0.804142,0.940108,0.936827,0.94557,0.959733
Caroline Bingley,0.944947,0.973368,0.975018,0.965839,0.86532,0.956831,0.967562,1.0,0.975452,0.977129,0.968165,0.981874,0.964736,0.964776,0.953813,0.931356,0.979621,0.968836,0.977586,0.976125,0.985248,0.967153,0.980248,0.931662,0.97862,0.982166,0.978257,0.824326,0.965673,0.976673,0.978547,0.941236,0.978952,0.815203,0.976975,0.97539,0.940807,0.979263,0.956067,0.982089,0.973124,0.948478,0.969095,0.972853,0.972524,0.973676,0.980844,0.817119,0.956362,0.953709,0.953734,0.975556,0.977855,0.940605,0.971285,0.975523,0.911965,0.979703,0.965511,0.962736,0.959623,0.979892,0.951148,0.943652,0.954779,0.917274,0.968799,0.971706,0.941366,0.965005,0.935799,0.98779,0.944037,0.892933,0.961269,0.970404,0.834627,0.982351,0.959799,0.699188,0.914815,0.974011,0.930398,0.967517,0.949329,0.962034,0.962081,0.974521,0.943868,0.96472,0.978506,0.943389,0.977641,0.804444,0.91683,0.964884,0.947574,0.954424
Catherine Morland,0.936917,0.972636,0.980049,0.94797,0.887341,0.971743,0.984238,0.975452,1.0,0.97325,0.962726,0.972316,0.969664,0.977995,0.965455,0.936372,0.983683,0.98188,0.986657,0.987242,0.99018,0.960045,0.981532,0.913902,0.992506,0.982041,0.982442,0.850145,0.979139,0.979286,0.979452,0.944423,0.980618,0.790629,0.976062,0.989804,0.941166,0.982091,0.973069,0.979804,0.97021,0.948572,0.975428,0.985806,0.974721,0.986156,0.967996,0.829403,0.972178,0.952793,0.960869,0.981852,0.976645,0.954189,0.979553,0.987665,0.909907,0.983512,0.966374,0.949263,0.965814,0.972373,0.933186,0.949846,0.972429,0.909269,0.974213,0.965386,0.952008,0.977417,0.925365,0.970812,0.937746,0.91384,0.960623,0.973749,0.816121,0.975799,0.96241,0.687476,0.920678,0.980718,0.93876,0.959582,0.949491,0.960374,0.955684,0.96529,0.939051,0.980036,0.984971,0.933062,0.970731,0.809023,0.952909,0.938133,0.93529,0.960941
Charles Bingley,0.933528,0.963135,0.969533,0.952211,0.851313,0.951611,0.966678,0.977129,0.97325,1.0,0.95467,0.96917,0.962999,0.961144,0.955092,0.928446,0.971651,0.96556,0.968588,0.969982,0.975578,0.955862,0.970337,0.922174,0.974854,0.972611,0.973443,0.819126,0.962871,0.968754,0.970616,0.939982,0.968873,0.800197,0.968297,0.969598,0.930163,0.971719,0.9528,0.968341,0.966865,0.943287,0.965157,0.969445,0.968116,0.968228,0.962768,0.823694,0.959437,0.947071,0.94414,0.970398,0.96846,0.929095,0.965589,0.9676,0.912879,0.974772,0.953485,0.951153,0.953417,0.97028,0.934817,0.937477,0.953776,0.908445,0.961413,0.958362,0.935815,0.963254,0.92487,0.969872,0.931406,0.887826,0.961398,0.958401,0.797314,0.96532,0.952822,0.678571,0.90503,0.965801,0.926872,0.955854,0.942398,0.954549,0.957514,0.963842,0.925316,0.963795,0.970993,0.925771,0.975354,0.795639,0.919781,0.950899,0.944603,0.946275
