character,Admiral Croft,Anna Weston,Anne Elliot,Anne Steele,Anne de Bourgh,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Hayter,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Knightley,John Thorpe,John Willoughby,Julia Bertram,Kitty Bennet,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Musgrove,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Musgrove,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Rushworth,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,Tom Bertram,William Collins,William Elliot,William Price
Admiral Croft,1.0,0.923182,0.953493,0.509471,0.881062,0.929533,0.912444,0.933773,0.95122,0.899836,0.918838,0.901399,0.784918,0.935117,0.906852,0.889121,0.919678,0.898925,0.597668,0.920265,0.915799,0.916771,0.916583,0.918795,0.924224,0.928088,0.894502,0.924023,0.917256,0.934179,0.913211,0.907625,0.929941,0.909088,0.889542,0.922893,0.9225,0.929091,0.920603,0.873043,0.91674,0.911382,0.900252,0.926641,0.88616,0.920659,0.919621,0.921473,0.911851,0.851103,0.920254,0.907181,0.742204,0.879616,0.898471,0.911956,0.913001,0.898419,0.788759,0.911221,0.897066,0.860594,0.931822,0.932206,0.915369,0.898861,0.902669,0.904399,0.768387,0.833761,0.930839,0.922574,0.919694,0.92961,0.927331,0.864348,0.912899,0.894688,0.910441,0.929285,0.871623,0.96104,0.902543,0.878151,0.909346,0.926305,0.873036,0.739248,0.911722,0.885182,0.925293,0.926821,0.804697,0.905574,0.814044,0.940631,0.818931,0.919345,0.857161,0.919982,0.925871,0.931805,0.941671,0.883799,0.833374,0.920466,0.899705,0.914368,0.941864,0.927783
Anna Weston,0.923182,1.0,0.950422,0.538851,0.913931,0.974025,0.890016,0.933618,0.930338,0.938381,0.946305,0.936437,0.772252,0.937501,0.943529,0.917192,0.948151,0.922475,0.611375,0.947655,0.946554,0.948434,0.951526,0.954631,0.915258,0.983204,0.926361,0.950052,0.950618,0.979282,0.93645,0.928612,0.981256,0.941064,0.921961,0.971195,0.914655,0.948359,0.945184,0.941517,0.946307,0.942313,0.94308,0.976232,0.922246,0.964934,0.947556,0.950918,0.941234,0.879814,0.942336,0.93386,0.765608,0.897111,0.881079,0.901811,0.944599,0.931617,0.821634,0.94618,0.932529,0.892126,0.956379,0.929687,0.969695,0.916802,0.936845,0.93677,0.786816,0.816543,0.974799,0.944676,0.859364,0.992158,0.980165,0.871092,0.947103,0.952153,0.94993,0.928709,0.906864,0.936913,0.944077,0.917721,0.94461,0.953053,0.878211,0.794734,0.948814,0.926442,0.917971,0.952751,0.830168,0.928036,0.828015,0.953559,0.859665,0.972676,0.88688,0.955153,0.936136,0.948677,0.892331,0.897257,0.854048,0.946349,0.92219,0.950184,0.943131,0.944378
Anne Elliot,0.953493,0.950422,1.0,0.519532,0.921186,0.958263,0.936464,0.97621,0.98171,0.945024,0.967037,0.939437,0.819804,0.974012,0.942513,0.91931,0.950967,0.927025,0.590887,0.963315,0.95728,0.96125,0.959451,0.966277,0.954026,0.967161,0.928223,0.970972,0.955078,0.966772,0.954095,0.947819,0.961877,0.947187,0.931832,0.963332,0.959593,0.967719,0.961594,0.90118,0.958759,0.950553,0.949318,0.96185,0.919318,0.951141,0.955157,0.963601,0.950167,0.889521,0.960442,0.942415,0.772064,0.903596,0.935336,0.95451,0.956949,0.941533,0.826625,0.956623,0.942195,0.917034,0.970698,0.97725,0.946636,0.910739,0.931245,0.939751,0.794148,0.856121,0.949246,0.951232,0.891825,0.95241,0.953973,0.873572,0.939245,0.924978,0.942858,0.962516,0.889291,0.963383,0.942796,0.922541,0.94821,0.964692,0.911078,0.775738,0.945335,0.922284,0.949758,0.962972,0.813751,0.951862,0.843896,0.974088,0.853329,0.950566,0.899703,0.948039,0.940666,0.967202,0.935718,0.903071,0.879143,0.946108,0.933303,0.951159,0.979974,0.964753
Anne Steele,0.509471,0.538851,0.519532,1.0,0.51789,0.496223,0.501793,0.480783,0.519451,0.518166,0.506786,0.508088,0.485446,0.506829,0.535215,0.54634,0.550764,0.473745,0.432821,0.521089,0.583592,0.521415,0.577464,0.502714,0.533501,0.511539,0.604787,0.508214,0.492939,0.507771,0.487514,0.505463,0.508906,0.498948,0.50963,0.506948,0.529317,0.503461,0.519258,0.541352,0.491825,0.512078,0.518639,0.528438,0.568645,0.490357,0.499771,0.541495,0.539737,0.516615,0.529572,0.517764,0.481686,0.583442,0.558178,0.551735,0.603448,0.53175,0.571162,0.514995,0.57909,0.502651,0.522256,0.54065,0.541248,0.5371,0.461267,0.512941,0.407819,0.54659,0.520852,0.520508,0.532544,0.525941,0.51549,0.515979,0.554499,0.557628,0.535218,0.562191,0.582645,0.553099,0.552289,0.639649,0.523972,0.505052,0.515747,0.49939,0.636936,0.575191,0.550122,0.554463,0.572013,0.52189,0.579903,0.527603,0.522139,0.523337,0.578725,0.491631,0.557107,0.524014,0.535103,0.488648,0.554538,0.552935,0.518501,0.535408,0.512012,0.510203
Anne de Bourgh,0.881062,0.913931,0.921186,0.51789,1.0,0.91652,0.866452,0.89141,0.902582,0.926561,0.914097,0.922406,0.753993,0.905957,0.930179,0.875688,0.909438,0.893186,0.60241,0.908388,0.913648,0.913863,0.919148,0.933097,0.894855,0.92022,0.899759,0.917668,0.930402,0.914492,0.907352,0.903307,0.915141,0.918339,0.92675,0.919211,0.907356,0.913248,0.911862,0.879182,0.914233,0.915237,0.925737,0.926828,0.891685,0.9029,0.91008,0.914982,0.916633,0.869397,0.914045,0.938711,0.769198,0.87811,0.871623,0.891049,0.920271,0.923061,0.797623,0.918773,0.904499,0.877116,0.92529,0.909004,0.91732,0.87631,0.90012,0.908313,0.774304,0.789107,0.912396,0.906641,0.833393,0.90989,0.91523,0.8293,0.90216,0.903479,0.928275,0.894636,0.854475,0.903661,0.911011,0.896709,0.923377,0.919753,0.855166,0.782326,0.91486,0.893168,0.886203,0.922161,0.818848,0.900881,0.805983,0.90625,0.822215,0.911215,0.859858,0.903612,0.901784,0.91795,0.868319,0.88179,0.838043,0.917116,0.874274,0.9357,0.906047,0.908418
Augusta Elton,0.929533,0.974025,0.958263,0.496223,0.91652,1.0,0.882863,0.948102,0.928188,0.945356,0.961632,0.940909,0.75163,0.941016,0.948836,0.929384,0.9552,0.936298,0.603494,0.958877,0.954161,0.958595,0.960135,0.968892,0.916382,0.987147,0.933079,0.967681,0.959398,0.97889,0.946985,0.931394,0.981445,0.946274,0.929059,0.981189,0.910807,0.959419,0.951307,0.919516,0.966344,0.953819,0.953279,0.982476,0.916446,0.975014,0.95776,0.95995,0.951808,0.886306,0.959608,0.946641,0.778859,0.90004,0.869154,0.893885,0.954828,0.941374,0.808434,0.956706,0.934522,0.90219,0.970302,0.930216,0.96995,0.913712,0.957803,0.945617,0.800348,0.778572,0.971788,0.951226,0.851962,0.976759,0.978381,0.862904,0.947549,0.943362,0.954593,0.925834,0.89684,0.933456,0.947429,0.91069,0.951311,0.973254,0.874153,0.770415,0.947756,0.914171,0.909546,0.963052,0.811803,0.938141,0.808922,0.960959,0.85104,0.976273,0.881685,0.962938,0.93972,0.956094,0.889385,0.903657,0.853637,0.95569,0.925651,0.951664,0.943374,0.953609
Captain Benwick,0.912444,0.890016,0.936464,0.501793,0.866452,0.882863,1.0,0.935921,0.959624,0.880977,0.878296,0.891962,0.830052,0.931134,0.883601,0.83487,0.896456,0.865818,0.567579,0.892245,0.895463,0.878026,0.890442,0.889765,0.907833,0.894488,0.866453,0.888781,0.896967,0.899144,0.90425,0.875145,0.900793,0.896471,0.871232,0.896325,0.93563,0.900681,0.89117,0.846094,0.883373,0.88568,0.881366,0.891031,0.862285,0.887223,0.889058,0.895515,0.88095,0.819521,0.88134,0.877159,0.72504,0.850606,0.897665,0.940113,0.885685,0.87892,0.769725,0.889996,0.881157,0.849712,0.898457,0.92218,0.881111,0.851023,0.871589,0.860704,0.757669,0.871424,0.881598,0.901049,0.8497,0.89082,0.889822,0.832423,0.868649,0.858872,0.883814,0.906671,0.81423,0.925835,0.877299,0.855926,0.87693,0.883659,0.881891,0.733179,0.87935,0.867884,0.924071,0.88461,0.793345,0.862082,0.794314,0.898017,0.796976,0.898543,0.835355,0.8947,0.887111,0.895605,0.894581,0.858332,0.816181,0.877142,0.867695,0.8949,0.924786,0.897213
Captain Harville,0.933773,0.933618,0.97621,0.480783,0.89141,0.948102,0.935921,1.0,0.971285,0.924917,0.959844,0.923141,0.790571,0.958454,0.919343,0.891864,0.943953,0.923841,0.548152,0.957676,0.947412,0.951024,0.944348,0.956901,0.916425,0.957537,0.901351,0.962553,0.947405,0.958471,0.957116,0.934691,0.955564,0.938604,0.908149,0.959078,0.9333,0.962445,0.954652,0.873728,0.958885,0.947179,0.93437,0.944011,0.898721,0.950368,0.955028,0.960273,0.933542,0.8639,0.945274,0.919052,0.732734,0.863885,0.876919,0.930402,0.939819,0.924236,0.789065,0.943135,0.92337,0.895922,0.95609,0.940053,0.923051,0.884791,0.932209,0.933936,0.787455,0.824641,0.936473,0.939088,0.846632,0.939987,0.941204,0.85685,0.916466,0.89606,0.9246,0.919194,0.867595,0.943129,0.924337,0.890208,0.924185,0.953925,0.904916,0.738695,0.922406,0.895902,0.924796,0.940887,0.781131,0.934892,0.806655,0.954649,0.818341,0.93826,0.881558,0.943374,0.916345,0.953549,0.895312,0.884995,0.843741,0.924972,0.928326,0.932941,0.956672,0.961874
Captain Wentworth,0.95122,0.930338,0.98171,0.519451,0.902582,0.928188,0.959624,0.971285,1.0,0.925857,0.940109,0.927059,0.852497,0.969627,0.925587,0.894417,0.933858,0.910473,0.583824,0.942197,0.937837,0.936189,0.935609,0.941642,0.945428,0.942335,0.906782,0.943653,0.939683,0.947956,0.942881,0.932741,0.943091,0.93736,0.912604,0.939959,0.968664,0.95053,0.945797,0.882462,0.932728,0.930115,0.926219,0.93636,0.90232,0.930641,0.937413,0.943271,0.928881,0.869234,0.930084,0.919474,0.750503,0.886018,0.925594,0.966954,0.933182,0.923255,0.817452,0.935194,0.921692,0.890207,0.947599,0.962905,0.924379,0.894308,0.905978,0.915516,0.787021,0.896311,0.928541,0.940887,0.890754,0.934801,0.933031,0.870119,0.918045,0.902944,0.921551,0.946625,0.872979,0.964155,0.917899,0.902852,0.924163,0.935136,0.912747,0.774348,0.923527,0.905859,0.953731,0.937219,0.816694,0.926619,0.839495,0.945428,0.8324,0.934703,0.886185,0.933089,0.927518,0.947901,0.932411,0.892003,0.860173,0.924844,0.916443,0.93519,0.965971,0.948508
Caroline Bingley,0.899836,0.938381,0.945024,0.518166,0.926561,0.945356,0.880977,0.924917,0.925857,1.0,0.94478,0.977986,0.764039,0.924191,0.973116,0.911757,0.933984,0.940729,0.604048,0.935878,0.935865,0.943712,0.946139,0.977814,0.923291,0.949671,0.918448,0.945128,0.978663,0.943107,0.929381,0.923625,0.944595,0.958726,0.968867,0.946439,0.906706,0.939071,0.935865,0.890758,0.94157,0.933612,0.974765,0.953506,0.902836,0.933305,0.938443,0.945934,0.931351,0.903123,0.931144,0.956262,0.805093,0.893349,0.876513,0.899477,0.943211,0.953365,0.809703,0.93459,0.929126,0.912042,0.953463,0.926677,0.949024,0.895039,0.944776,0.934599,0.813858,0.793911,0.93445,0.929755,0.83933,0.936307,0.936605,0.849246,0.931095,0.924058,0.970885,0.917969,0.875779,0.919244,0.932303,0.907905,0.964454,0.945189,0.860299,0.850171,0.93581,0.908821,0.897668,0.941313,0.841334,0.926867,0.833103,0.93063,0.82796,0.940656,0.874338,0.929291,0.922738,0.936809,0.876049,0.905941,0.854644,0.938741,0.904805,0.968288,0.931891,0.935015
