character,Admiral Croft,Anna Weston,Anne Elliot,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Knightley,John Thorpe,John Willoughby,Julia Bertram,Kitty Bennet,Lady Bertram,Lady Catherine de Bourgh,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Musgrove,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Musgrove,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Rushworth,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,Tom Bertram,William Collins,William Elliot,William Price
Admiral Croft,1.0,0.958907,0.94443,0.967745,0.932613,0.96367,0.936726,0.932,0.934976,0.922971,0.939175,0.931554,0.934628,0.973064,0.86751,0.927286,0.96487,0.947065,0.951803,0.926949,0.91471,0.953325,0.837935,0.931861,0.929407,0.945227,0.894771,0.952479,0.953435,0.938355,0.840483,0.962863,0.869464,0.932164,0.93853,0.862511,0.927117,0.935507,0.905223,0.949503,0.894911,0.95811,0.914187,0.955431,0.924062,0.879886,0.898319,0.931547,0.859949,0.893514,0.960244,0.951596,0.916041,0.887549,0.897744,0.963439,0.787776,0.935197,0.921964,0.933945,0.892128,0.895735,0.908504,0.870801,0.800925,0.908704,0.919647,0.917136,0.945219,0.943011,0.893068,0.949313,0.899516,0.914804,0.89427,0.932637,0.914641,0.945212,0.915229,0.918249,0.869461,0.953174,0.886849,0.926546,0.92895,0.758508,0.871563,0.775424,0.965522,0.910073,0.932566,0.928372,0.85411,0.96472,0.915138,0.945017,0.869521,0.55002,0.956261,0.877472,0.907549,0.941585,0.898785
Anna Weston,0.958907,1.0,0.985011,0.982922,0.951375,0.971749,0.979086,0.973139,0.98267,0.973651,0.964072,0.970408,0.94887,0.977796,0.922676,0.977121,0.980866,0.976892,0.987271,0.979117,0.956589,0.99243,0.896587,0.982094,0.97699,0.984315,0.939303,0.96933,0.992117,0.977141,0.911148,0.988219,0.901041,0.97701,0.976187,0.897533,0.974651,0.967855,0.966739,0.987034,0.951651,0.970858,0.950777,0.981242,0.968302,0.941933,0.937268,0.968438,0.912717,0.942957,0.962802,0.978934,0.961698,0.891923,0.954452,0.985735,0.808702,0.979652,0.965172,0.973149,0.908227,0.949846,0.957273,0.903809,0.832604,0.968004,0.972577,0.942264,0.982179,0.985546,0.935874,0.972007,0.929089,0.968691,0.922276,0.965616,0.964219,0.953588,0.965174,0.967591,0.861378,0.984723,0.938916,0.965645,0.978546,0.772124,0.918244,0.761832,0.981946,0.919706,0.976288,0.914811,0.903818,0.980743,0.971964,0.950113,0.918429,0.633293,0.981417,0.932409,0.965364,0.972142,0.954695
Anne Elliot,0.94443,0.985011,1.0,0.970199,0.959975,0.974925,0.992163,0.975262,0.985357,0.976941,0.973025,0.97109,0.94415,0.967784,0.923485,0.980113,0.974563,0.975995,0.986797,0.983545,0.970089,0.987948,0.906404,0.984482,0.981524,0.978269,0.94609,0.962793,0.987406,0.978562,0.914597,0.980418,0.916432,0.978584,0.977268,0.901862,0.977988,0.964521,0.972633,0.982591,0.953811,0.96268,0.954628,0.978807,0.965299,0.945751,0.943388,0.965118,0.918976,0.963855,0.959613,0.977222,0.961096,0.88981,0.955304,0.982427,0.805382,0.979823,0.979735,0.970054,0.902418,0.953281,0.96167,0.907049,0.821197,0.964736,0.974522,0.952103,0.979591,0.980375,0.932327,0.966822,0.916666,0.971952,0.937478,0.972776,0.96823,0.948098,0.969847,0.968865,0.848877,0.983559,0.945085,0.970813,0.980783,0.771202,0.923036,0.759111,0.983388,0.922761,0.974436,0.90086,0.906051,0.976421,0.978718,0.954707,0.921264,0.674012,0.978207,0.932671,0.970416,0.985413,0.965314
Augusta Elton,0.967745,0.982922,0.970199,1.0,0.942261,0.974359,0.960503,0.960808,0.963054,0.954035,0.945618,0.961371,0.944076,0.982684,0.8885,0.955077,0.982571,0.965124,0.977856,0.958881,0.941625,0.986037,0.880925,0.962076,0.960254,0.97966,0.920217,0.964462,0.982886,0.961766,0.893976,0.988314,0.8889,0.959521,0.960474,0.89595,0.954731,0.952942,0.945537,0.984062,0.926737,0.975603,0.929401,0.977939,0.946688,0.914386,0.925045,0.951866,0.891138,0.924909,0.969555,0.975428,0.944321,0.889812,0.930564,0.980568,0.798105,0.959764,0.947974,0.973041,0.899812,0.92646,0.933363,0.899006,0.793708,0.943968,0.947117,0.925551,0.976096,0.977857,0.909192,0.968511,0.917809,0.950307,0.908657,0.953932,0.950373,0.965853,0.949496,0.949508,0.858059,0.979536,0.92499,0.947549,0.958359,0.769509,0.891224,0.751168,0.978862,0.921667,0.969426,0.924819,0.884106,0.973506,0.948534,0.951352,0.897786,0.614703,0.979591,0.907648,0.949739,0.960834,0.934243
Captain Benwick,0.932613,0.951375,0.959975,0.942261,1.0,0.955824,0.952314,0.940247,0.946621,0.944032,0.948088,0.938922,0.918664,0.947437,0.885527,0.946269,0.951843,0.945378,0.952814,0.944013,0.928333,0.95171,0.877287,0.947232,0.942644,0.940249,0.91274,0.937667,0.951667,0.940039,0.870083,0.950577,0.887932,0.936575,0.942442,0.862729,0.941593,0.93378,0.93077,0.943629,0.912896,0.933649,0.923366,0.946175,0.929719,0.903468,0.911522,0.933262,0.877134,0.921404,0.9332,0.946918,0.930799,0.889777,0.916371,0.956737,0.784071,0.943599,0.952939,0.937033,0.88433,0.914988,0.9225,0.880657,0.790512,0.914754,0.927667,0.904749,0.943045,0.941109,0.889828,0.946033,0.894718,0.931466,0.89593,0.941518,0.93317,0.925092,0.932735,0.932525,0.832663,0.951627,0.906728,0.940711,0.941944,0.755915,0.889984,0.748696,0.95742,0.906619,0.938384,0.901036,0.866085,0.955262,0.934376,0.918096,0.885842,0.614407,0.949112,0.895952,0.929608,0.952763,0.924296
Captain Harville,0.96367,0.971749,0.974925,0.974359,0.955824,1.0,0.96717,0.955528,0.962761,0.955256,0.956199,0.953688,0.944448,0.980861,0.899089,0.958073,0.980097,0.966258,0.97622,0.960434,0.944779,0.975987,0.882502,0.96098,0.960562,0.965893,0.930819,0.95687,0.974806,0.963074,0.880886,0.97948,0.908469,0.959337,0.963413,0.879674,0.957979,0.952525,0.949285,0.968613,0.92812,0.95972,0.939364,0.977762,0.939085,0.902932,0.930048,0.945157,0.893951,0.925095,0.964516,0.974333,0.942743,0.901547,0.925216,0.979381,0.797982,0.956064,0.94814,0.956052,0.899984,0.92338,0.94011,0.88999,0.808368,0.928429,0.943645,0.926075,0.966586,0.96158,0.902703,0.964657,0.902061,0.943803,0.912042,0.954182,0.949605,0.96325,0.94887,0.94287,0.860086,0.974621,0.921614,0.951305,0.952756,0.773908,0.888436,0.753328,0.978112,0.921801,0.957308,0.927663,0.880868,0.973739,0.946624,0.944397,0.89437,0.623069,0.971154,0.899456,0.943387,0.96491,0.936801
Captain Wentworth,0.936726,0.979086,0.992163,0.960503,0.952314,0.96717,1.0,0.969175,0.981536,0.973438,0.967515,0.96614,0.938446,0.957445,0.916944,0.977022,0.965209,0.97035,0.978371,0.977899,0.960746,0.979618,0.899715,0.981348,0.974713,0.970614,0.938585,0.956979,0.979629,0.972265,0.910341,0.971264,0.916364,0.974215,0.973433,0.899691,0.973007,0.95845,0.96743,0.974635,0.949968,0.95851,0.950154,0.969248,0.962333,0.941612,0.940124,0.960558,0.914506,0.957134,0.95446,0.96831,0.9616,0.886219,0.953748,0.973333,0.804003,0.977792,0.971124,0.958767,0.894537,0.946765,0.956651,0.899424,0.828021,0.962504,0.974007,0.947353,0.971669,0.973004,0.93531,0.961748,0.90897,0.968304,0.934648,0.969191,0.956333,0.936875,0.964093,0.965828,0.8467,0.975666,0.939746,0.973038,0.978499,0.768246,0.932088,0.748642,0.972954,0.915997,0.967629,0.890329,0.897478,0.97197,0.975463,0.947022,0.91443,0.664978,0.968925,0.931513,0.962877,0.974782,0.9632
Caroline Bingley,0.932,0.973139,0.975262,0.960808,0.940247,0.955528,0.969175,1.0,0.981987,0.9838,0.947063,0.980672,0.928444,0.952439,0.927477,0.97611,0.961979,0.969276,0.974221,0.987061,0.954274,0.976675,0.902865,0.980253,0.988353,0.967644,0.937346,0.961603,0.976744,0.977384,0.910137,0.967825,0.888348,0.976322,0.970189,0.898217,0.978166,0.957738,0.975734,0.970668,0.93706,0.953497,0.949533,0.964335,0.964629,0.944558,0.938325,0.96452,0.903487,0.940376,0.935361,0.966452,0.96696,0.883397,0.956944,0.970549,0.813438,0.978337,0.956519,0.96104,0.898419,0.958431,0.95961,0.922056,0.802794,0.955002,0.972901,0.921061,0.963206,0.971374,0.931262,0.969697,0.905243,0.980036,0.927379,0.955887,0.9561,0.931959,0.972565,0.971338,0.850948,0.970322,0.94349,0.955991,0.977577,0.767083,0.916919,0.737038,0.96075,0.93033,0.966846,0.900026,0.89759,0.968922,0.971924,0.938101,0.933908,0.662172,0.962637,0.938078,0.979482,0.956302,0.960801
Catherine Morland,0.934976,0.98267,0.985357,0.963054,0.946621,0.962761,0.981536,0.981987,1.0,0.985675,0.960876,0.97641,0.939936,0.960638,0.936006,0.987637,0.968795,0.985402,0.983236,0.990757,0.95897,0.983904,0.9087,0.994012,0.987012,0.973622,0.953842,0.971428,0.984323,0.983433,0.91922,0.974002,0.892284,0.987901,0.987954,0.900034,0.99372,0.97254,0.977847,0.976388,0.952876,0.959787,0.966981,0.973712,0.975333,0.953529,0.953127,0.973314,0.917355,0.94607,0.946721,0.97179,0.971622,0.891552,0.968794,0.977889,0.810796,0.990848,0.966185,0.962587,0.910908,0.95714,0.96837,0.912549,0.836151,0.96612,0.985135,0.932149,0.974335,0.975876,0.946295,0.977319,0.910812,0.982227,0.925617,0.963878,0.963684,0.937819,0.973681,0.977068,0.85969,0.979896,0.953631,0.966502,0.988888,0.76803,0.933731,0.75094,0.967605,0.924784,0.969778,0.894103,0.900013,0.97735,0.986282,0.935917,0.935334,0.659969,0.972785,0.943277,0.975068,0.966385,0.971679
Charles Bingley,0.922971,0.973651,0.976941,0.954035,0.944032,0.955256,0.973438,0.9838,0.985675,1.0,0.950482,0.981544,0.92868,0.951074,0.937158,0.97961,0.959769,0.971788,0.976099,0.993081,0.95133,0.976339,0.907018,0.984934,0.989199,0.966408,0.94395,0.95933,0.977203,0.983502,0.919575,0.966299,0.888242,0.978552,0.975577,0.894314,0.983729,0.960555,0.985997,0.966978,0.944167,0.949924,0.951626,0.965038,0.966634,0.955209,0.94229,0.964762,0.907992,0.94195,0.932593,0.966181,0.973843,0.884923,0.96309,0.971143,0.808144,0.981962,0.959849,0.95839,0.90192,0.964654,0.966836,0.912279,0.817528,0.956641,0.975885,0.918488,0.963997,0.970823,0.931554,0.969084,0.90549,0.986188,0.919904,0.959674,0.95875,0.931543,0.979217,0.974479,0.849858,0.970613,0.944241,0.961182,0.979106,0.764189,0.92063,0.74202,0.958083,0.927094,0.963744,0.893073,0.89792,0.97055,0.976601,0.927006,0.928202,0.658692,0.965456,0.935641,0.979721,0.957442,0.965452
