character,Admiral Croft,Anna Weston,Anne Elliot,Anne Steele,Anne de Bourgh,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Thorpe,John Willoughby,Julia Bertram,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,William Collins,William Elliot,William Price
Admiral Croft,1.0,0.129219,0.02306,-0.034071,0.027696,0.169724,-0.036088,-0.009387,-0.005099,-0.005808,0.002286,-0.010715,-0.0003,0.056147,-0.066872,-0.053516,-0.001729,-0.034339,0.096021,-0.026549,0.006706,-0.026736,0.053206,-0.057704,0.095076,-0.199876,0.007529,0.176038,0.064474,0.006454,-0.074326,0.107075,0.079055,-0.015939,-0.031047,-0.078969,0.132988,0.072904,0.050407,0.170111,0.16638,0.022708,-0.009857,-0.038497,0.149146,0.035603,0.016888,0.071724,0.051368,-0.104129,-0.120839,-0.089929,-0.007433,-0.030329,0.068203,-0.074868,0.024122,-0.128341,0.022909,0.083379,0.099977,0.075045,0.131805,0.044744,-0.043333,-0.008754,-0.028394,0.062394,0.015928,0.173446,0.00679,-0.003998,0.028247,-0.020227,0.112152,-0.122063,-0.020343,0.074263,-0.097825,0.019042,-0.036465,0.048581,-0.149996,-0.086033,-0.043733,-0.048149,0.121448,-0.137668,-0.096757,0.11757,-0.027338,0.114768,-0.06929,0.082239,0.114748,-0.006608,-0.154979,0.113858,-0.113366,0.033581,-0.08912,0.020818,-0.097704
Anna Weston,0.129219,1.0,0.281405,0.00969,-0.075406,0.275517,-0.102193,-0.139264,-0.300413,0.122661,0.140406,-0.190848,-0.014281,0.099861,-0.029908,-0.048975,-0.116729,-0.091842,0.221112,-0.070214,-0.036195,0.295229,0.179029,0.047363,0.432468,0.001621,0.191873,0.076988,0.010534,-0.108773,-0.147291,0.296118,-0.073292,-0.186634,0.202097,-0.037543,0.002649,0.004718,0.117237,0.204335,0.101612,0.272162,0.083546,0.038508,0.078629,-0.133006,-0.049117,0.262381,-0.015365,-0.123546,-0.065152,-0.03756,-0.123962,0.145782,0.057955,-0.056062,-0.013683,-0.023506,0.108413,0.211572,0.262238,0.08517,0.087448,-0.051695,-0.146272,0.03442,-0.156365,-0.085759,0.135609,0.082984,0.266563,-0.09546,0.106514,0.096073,0.15587,-0.040867,-0.008088,0.150836,0.136279,-0.047887,-0.017928,0.02244,-0.106083,-0.171247,0.049716,-0.139406,0.216987,-0.136432,-0.024623,0.362921,0.043776,-0.009629,-0.141562,-0.090113,-0.045794,0.058293,-0.104715,0.168511,-0.1533,0.017761,-0.166066,-0.18595,-0.296703
Anne Elliot,0.02306,0.281405,1.0,-0.149457,-0.095993,0.039426,-0.223829,-0.074055,-0.222105,0.054051,0.384439,-0.388197,0.105393,-0.088837,0.003995,-0.026776,-0.264822,-0.197321,0.194758,-0.08704,0.01049,0.621454,0.599301,0.236148,0.704655,0.059329,0.600236,-0.212289,-0.065464,-0.255766,0.077461,0.037175,-0.094124,-0.187945,0.272756,0.009922,-0.125407,-0.12117,0.056772,0.224283,-0.054421,0.298592,0.001282,0.05946,-0.26698,-0.136908,0.054839,0.169482,-0.164084,-0.07887,0.164239,0.082962,0.146289,0.255675,-0.028893,0.121884,0.135623,0.438856,0.18977,0.100016,0.383238,-0.047128,-0.068814,-0.043881,-0.091941,0.057108,-0.278476,-0.267077,0.13358,0.014272,0.266383,-0.115759,0.03818,-0.132434,0.253631,0.081888,-0.234569,0.100917,0.399187,-0.237789,-0.050584,0.07516,-0.204607,0.125755,0.265438,-0.012521,0.346543,-0.019449,-0.019177,0.232372,0.022979,-0.008925,0.066761,-0.364373,-0.135583,0.214003,0.196477,0.069461,0.115683,-0.158259,-0.045516,-0.147568,-0.181969
Anne Steele,-0.034071,0.00969,-0.149457,1.0,-0.054568,0.140693,0.081858,-0.019619,-0.092134,0.079881,-0.151795,-0.047641,-0.098041,-0.101257,-0.141989,-0.100622,-0.026531,-0.097922,0.007665,-0.086483,-0.196037,-0.112322,-0.131243,-0.015986,-0.093014,0.056473,-0.130147,-0.012272,-0.057878,0.028458,-0.09677,0.005238,-0.081115,0.059261,0.027706,0.064289,-0.135473,-0.078641,0.003437,-0.053243,-0.006118,0.033186,-0.061244,0.063828,0.025092,-0.073534,-0.062545,-0.018873,-0.008228,-0.078292,-0.140379,-0.02984,-0.07456,-0.063831,-0.027552,-0.022038,-0.074625,-0.188871,-0.068557,-0.04696,-0.074855,-0.072237,-0.017054,-0.040391,-0.028878,-0.061104,-0.06473,-0.046967,-0.014589,-0.051192,-0.081583,-0.041591,-0.084107,-0.004227,-0.141571,-0.083789,0.025891,-0.036204,-0.138885,0.022097,-0.116721,-0.055675,-0.046696,-0.048592,-0.099712,-0.059609,-0.028856,-0.079346,-0.061824,-0.040246,-0.062107,-0.03663,-0.038912,0.026249,-0.075624,-0.14965,-0.081041,-0.017571,-0.030061,-0.052195,-0.077639,-0.071177,-0.080886
Anne de Bourgh,0.027696,-0.075406,-0.095993,-0.054568,1.0,-0.251146,0.086452,0.021346,0.086535,-0.054681,-0.132295,0.093442,-0.035464,-0.011685,-0.170449,0.042283,0.188328,0.049287,-0.180586,0.087539,0.062219,-0.121385,-0.024592,-0.135351,-0.245518,-0.054862,-0.064572,-0.024639,-0.011973,-0.038877,0.003779,-0.246016,0.046026,0.128706,-0.113449,-0.031428,0.034787,0.003366,0.143397,0.044232,0.124806,-0.019796,0.034287,-0.10798,-0.059664,-0.031569,0.061064,0.059706,0.000788,-0.021983,0.062822,-0.071419,0.050317,-0.021076,0.182566,-0.060594,0.021477,-0.062395,0.214932,-0.091586,0.029831,0.02293,-0.010759,0.075619,-0.002339,-0.015733,-0.073926,-0.06863,-0.088767,-0.103742,-0.032611,-0.065433,-0.007896,-0.111366,-0.038583,-0.028988,-0.040574,0.016318,-0.006555,-0.036431,0.01917,0.011554,-0.042741,-0.028218,-0.079569,-0.105657,0.045168,-0.018234,-0.008999,-0.197291,-0.060043,0.020763,-0.186269,0.215216,-0.14519,-0.12285,-0.101193,0.015175,-0.102936,0.127977,0.070031,0.034699,0.009704
Augusta Elton,0.169724,0.275517,0.039426,0.140693,-0.251146,1.0,-0.011324,-0.057466,-0.153687,0.104493,0.012309,-0.119058,-0.014723,0.012871,0.030719,-0.164705,-0.171908,8.8e-05,0.182104,-0.194727,-0.097926,0.070089,-0.098892,-0.029309,0.219535,-0.101637,-0.017036,0.015339,0.096205,-0.027063,-0.169437,0.298061,-0.034482,-0.116013,0.112861,0.015466,-0.094454,-0.009826,-0.006287,0.1023,-0.005318,-0.002299,0.098786,0.057613,0.092108,-0.093564,-0.077594,0.015989,0.108561,-0.05694,-0.159663,0.038965,-0.150047,0.065003,-0.022855,-0.008821,-0.063177,-0.124558,-0.059527,0.194794,0.115361,0.072817,0.038028,-0.112976,-0.124029,-0.073992,0.025436,0.088273,0.127428,-0.01871,0.004337,0.004272,0.026627,0.172407,0.123153,-0.049687,0.036962,0.114072,-0.109442,0.082936,-0.059668,0.018133,-0.068193,-0.122744,0.023119,-0.003451,0.117564,-0.180754,-0.06798,0.36692,0.113841,-0.026275,0.060043,-0.075378,0.066101,-0.070931,-0.152911,0.075038,-0.034294,-0.111933,-0.06361,-0.131239,-0.134955
Captain Benwick,-0.036088,-0.102193,-0.223829,0.081858,0.086452,-0.011324,1.0,0.031416,0.271544,-0.08093,-0.222202,0.277873,0.031128,-0.176297,-0.155754,0.138311,0.053605,0.074173,-0.124031,0.227012,-0.210054,-0.276973,-0.303511,-0.032725,-0.213809,-0.032305,-0.112399,0.232911,0.325367,0.207742,-0.036886,0.040303,0.240281,0.181635,0.188798,0.057858,0.222147,0.03944,0.116859,-0.193536,-0.042399,-0.179439,0.198278,-0.054049,0.172512,0.200633,0.073449,-0.240748,0.056231,0.006523,-0.195249,0.01232,0.064866,-0.06336,0.016014,-0.028439,-0.062957,-0.166963,-0.153579,-0.113047,-0.060689,-0.075533,-0.020788,-0.190004,-0.077912,-0.265008,0.144118,0.242593,-0.10165,-0.05201,-0.226517,0.105349,-0.166229,-0.073336,-0.223689,-0.10423,-0.002339,-0.127333,-0.173812,0.355018,-0.151793,-0.122608,-0.01557,-0.131169,-0.282342,0.014305,-0.163347,-0.090611,-0.054896,-0.238865,-0.099705,0.230161,0.0548,0.416981,0.065591,-0.091204,-0.118376,-0.155722,0.141683,0.208765,-0.058541,0.352336,0.124335
Captain Harville,-0.009387,-0.139264,-0.074055,-0.019619,0.021346,-0.057466,0.031416,1.0,0.131932,-0.023536,-0.167494,0.041308,-0.024211,-0.035308,0.006936,-0.072457,0.166444,-0.011915,0.011316,-0.052607,-0.048116,-0.040178,-0.070155,-0.105517,-0.125993,-0.127435,-0.124846,-0.137218,0.035841,-0.031388,0.062803,-0.10655,-0.009237,0.058688,-0.131394,-0.14935,-0.043338,0.006616,-0.089638,-0.071861,-0.030244,-0.18958,-0.135277,-0.007043,-0.038739,-0.016482,-0.096365,0.072777,-0.114293,0.012271,-0.019404,0.115801,-0.05222,-0.103417,0.010176,0.034256,0.032345,0.079056,0.034725,-0.110328,-0.066559,-0.089792,-0.024632,0.063407,-0.010125,-0.053347,0.097493,-0.007396,-0.028101,-0.113107,-0.026445,0.049202,0.096501,0.008315,-0.052281,-0.113669,0.001559,-0.125702,0.091191,-0.048557,-0.06631,0.074464,0.04177,-0.078771,0.084708,0.111798,0.021757,-0.089437,0.043171,-0.063415,0.068575,-0.068319,0.029807,0.045625,0.113036,0.059245,-0.114065,-0.068096,0.07763,0.042928,0.058636,-0.031263,0.06984
Captain Wentworth,-0.005099,-0.300413,-0.222105,-0.092134,0.086535,-0.153687,0.271544,0.131932,1.0,-0.15649,-0.246287,0.341164,0.091299,-0.19972,0.031113,0.218624,0.206545,0.053912,-0.031552,0.283244,0.005353,-0.334141,-0.379886,-0.128309,-0.352588,-0.089834,-0.197443,0.095314,0.396254,0.178774,0.051874,0.025764,0.227812,0.139633,0.032194,-0.003015,0.280882,0.217891,0.000595,-0.144699,-0.156441,-0.303171,0.151425,-0.107617,0.222672,0.359114,-0.081885,-0.312176,0.004318,-0.035699,-0.151934,-0.12423,0.214943,-0.118647,0.101575,0.044402,-0.075601,-0.07548,-0.187233,-0.126512,-0.194499,0.132987,-0.163228,-0.019036,0.078069,-0.125174,0.272567,0.238074,-0.202206,0.056328,-0.218887,0.215163,-0.185215,-0.047521,-0.273436,-0.011756,-0.007908,-0.133926,-0.249802,0.195895,-0.09954,-0.119514,0.011018,-0.071254,-0.187411,-0.032414,-0.279245,-0.014091,-0.013021,-0.277934,-0.029031,0.301267,0.151682,0.269187,0.099043,-0.02552,-0.003422,-0.14923,0.093908,0.091716,-0.006735,0.410032,0.441078
Caroline Bingley,-0.005808,0.122661,0.054051,0.079881,-0.054681,0.104493,-0.08093,-0.023536,-0.15649,1.0,0.223874,-0.172901,-0.011788,-0.024647,-0.071378,-0.185828,-0.07096,-0.179508,0.193168,-0.10934,0.097888,0.232294,0.243034,0.084384,0.188106,0.069074,0.029894,0.039923,-0.143163,-0.0879,0.096495,0.066096,0.107449,-0.05793,0.005699,-0.091404,-0.06528,0.090566,0.100775,0.052745,-0.131944,0.316776,-0.1811,0.066009,0.054298,-0.055325,-0.036341,0.143139,0.041751,-0.136735,-0.032237,0.079708,-0.181369,0.275063,0.076947,0.091747,0.078892,0.049093,0.197069,0.137819,0.145169,-0.144246,-0.100097,0.122559,0.0282,-0.076872,-0.096347,-0.104931,0.021334,-0.11186,0.072963,0.012482,0.120935,-0.033311,0.216119,-0.073384,-0.065771,-0.00781,0.260278,0.071544,0.102487,0.003286,-0.114116,-0.087726,0.04002,-0.058158,0.130225,-0.158291,0.056875,0.121306,-0.106012,-0.180323,-0.011219,-0.094953,-0.002838,0.08786,-0.102858,0.186951,-0.149444,-0.095953,0.081968,-0.140294,-0.111386
