character,Admiral Croft,Anna Weston,Anne Elliot,Anne Steele,Anne de Bourgh,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Thorpe,John Willoughby,Julia Bertram,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,William Collins,William Elliot,William Price
Admiral Croft,1.0,0.056819,-0.118523,-0.085843,-0.159915,-0.051223,-0.095911,0.050294,-0.142069,0.173087,0.241973,-0.203391,-0.058477,-0.129687,0.134843,-0.219589,-0.220004,-0.06836,0.034596,-0.300507,0.283184,0.119777,-0.10522,0.097395,0.165684,0.109663,-0.219042,-0.090281,-0.178048,-0.039751,-0.10225,0.073301,-0.103261,-0.115963,-0.314737,-0.134598,-0.16772,0.072174,-0.000449,0.21424,-0.019231,0.096373,-0.122711,-0.010807,0.175965,-0.257982,-0.007806,0.327379,-0.032678,-0.256675,0.05903,-0.229512,-0.164038,0.274271,0.174044,0.300571,-0.30231,-0.093288,-0.053748,0.0953,-0.091324,-0.260597,0.35847,-0.024537,-0.133547,0.097771,-0.109165,-0.232963,-0.056404,0.227859,0.102691,0.09268,-0.002874,-0.183888,0.353052,-0.041212,-0.00582,0.064795,-0.227914,0.063328,0.089404,0.068979,-0.026882,0.008338,0.287425,-0.048954,0.167766,-0.089687,0.138042,-0.033843,0.389365,-0.111278,-0.041837,-0.227702,-0.098059,-0.14254,-0.248835,0.030319,-0.244016,-0.181052,-0.122704,-0.268291,0.027727
Anna Weston,0.056819,1.0,0.330199,-0.160932,-0.215609,-0.004826,-0.383696,-0.086206,0.077587,0.23676,0.420663,-0.304175,-0.08171,-0.08161,0.209711,-0.160332,-0.12779,-0.196994,0.291651,-0.083957,0.262191,0.333243,0.358936,0.187787,0.514386,0.071467,0.362944,-0.17225,0.13696,-0.006299,-0.134934,0.214543,-0.235818,-0.287186,-0.062689,0.051995,-0.058529,0.032106,-0.109896,0.390591,-0.247294,0.282452,-0.022301,-0.041896,-0.080883,-0.174091,0.100001,0.335963,-0.182453,-0.106714,0.013179,-0.132188,0.060497,0.193651,0.242333,0.250785,0.065355,0.207447,-0.013704,0.269587,0.137953,0.0187,0.043625,-0.007373,-0.104825,-0.401931,0.019704,-0.126966,-0.061802,0.113716,0.402179,0.062405,0.190876,0.218224,0.326273,-0.013931,-0.093525,0.091133,0.013024,-0.348689,0.331102,0.173777,-0.123668,0.081704,0.227371,-0.013374,0.209297,-0.053226,0.170797,-0.015586,0.056734,-0.246082,-0.038877,-0.337021,-0.222476,0.250892,-0.155903,0.275245,-0.062617,-0.115087,-0.106115,-0.277228,-0.119679
Anne Elliot,-0.118523,0.330199,1.0,-0.173412,0.012151,-0.03823,-0.269,-0.099013,0.066204,0.142639,0.325023,-0.249663,-0.024181,-0.104821,0.154251,-0.112642,-0.147373,-0.077385,0.37647,0.023667,0.064092,0.44868,0.550633,0.233024,0.418859,0.081761,0.600325,-0.123178,0.284858,0.047271,-0.082968,0.091174,-0.184011,-0.232865,0.264136,0.097734,-0.052034,0.029838,-0.034077,0.176127,-0.255631,0.32322,0.115298,-0.074437,-0.191485,-0.010188,0.031296,0.106759,-0.167472,-0.036104,0.095068,0.018724,0.147605,0.236577,0.146992,-0.086165,0.108663,0.420018,-0.098024,0.224604,0.242911,-0.045172,-0.07179,0.066254,-0.077303,-0.369705,-0.067188,-0.125519,0.06141,-0.053934,0.279549,0.049857,0.071607,0.144559,0.159501,-0.167492,-0.077334,0.001725,0.250376,-0.267111,0.186631,0.311469,-0.15779,0.147471,0.098199,-0.041633,0.196572,0.014622,0.014788,0.199485,-0.225299,-0.3805,0.093587,-0.147021,-0.283303,0.42912,0.132261,0.055892,0.012495,-0.12733,-0.004364,-0.203681,0.031105
Anne Steele,-0.085843,-0.160932,-0.173412,1.0,-0.05893,0.025757,0.216509,0.022564,-0.115794,-0.181425,-0.209411,0.085991,0.048387,-0.023636,-0.178109,-0.036914,0.128526,0.02081,-0.174306,0.041704,-0.219854,-0.202355,-0.165811,-0.127362,-0.22961,-0.054587,-0.150801,0.006297,-0.098684,0.009623,0.008667,-0.033847,0.075352,-0.07241,0.072735,-0.088712,-0.058599,-0.126478,-0.034718,-0.164601,0.200774,-0.094191,-0.034543,0.07205,-0.047466,0.084135,-0.103012,-0.157985,0.115817,0.039212,-0.119614,0.022231,0.023289,-0.145822,-0.176331,-0.111738,-0.032665,-0.192484,0.070414,-0.222481,-0.082181,0.03573,-0.125127,-0.043199,-0.020383,0.162625,-0.055844,-0.020527,0.015627,-0.108522,-0.266947,0.017991,-0.094937,-0.038887,-0.206705,0.024053,-0.053268,0.000191,-0.091428,0.181072,-0.208117,-0.03357,0.10124,-0.048142,-0.155847,0.1259,-0.175095,-0.161213,-0.077402,-0.06058,-0.128417,0.125619,-0.070876,0.105033,0.026918,-0.131859,0.044672,-0.213529,-0.018098,-0.046502,-0.017662,0.161376,-0.005235
Anne de Bourgh,-0.159915,-0.215609,0.012151,-0.05893,1.0,-0.056558,0.106939,-0.030263,-0.041812,-0.172574,-0.205513,0.170468,-0.034499,0.101049,0.07305,0.126731,0.086311,0.138581,-0.200543,0.172092,-0.171488,-0.258433,-0.122758,-0.084036,-0.26173,-0.047136,0.060224,0.097328,0.179408,-0.004592,-0.014819,-0.198214,0.078071,0.368252,0.231772,0.14347,0.033861,-0.067543,-0.035383,-0.281382,0.048537,-0.201709,0.185026,-0.033342,0.028332,0.10444,-0.026693,-0.256202,0.092877,-0.015417,0.096294,-0.011266,0.085813,-0.162968,-0.125962,-0.233306,0.028797,0.020393,0.037503,-0.065851,-0.075804,0.048213,-0.053706,0.040329,-0.046221,-0.024267,0.041112,-0.013825,-0.09265,-0.074267,-0.113734,0.018906,-0.196359,-0.086659,-0.350578,0.161953,0.068197,-0.022262,0.040164,0.066587,-0.110395,-0.258769,0.087059,-0.160664,-0.238303,-0.045837,-0.253523,0.21176,-0.042941,0.142185,-0.189861,0.178799,-0.00884,0.110353,0.114043,-0.064439,0.056197,-0.162089,0.082583,0.108822,0.038844,0.11383,-0.119849
Augusta Elton,-0.051223,-0.004826,-0.03823,0.025757,-0.056558,1.0,0.181374,0.042751,-0.146164,0.060847,-0.079484,0.256279,0.06368,-0.039769,-0.392355,0.009341,0.218403,0.274105,-0.192204,0.219164,-0.160474,-0.154993,-0.026299,-0.1583,0.018211,-0.049164,0.010192,0.124796,-0.121763,-0.068564,-0.129063,-0.002194,0.057222,-0.068211,0.093339,-0.180608,0.066654,0.224992,-0.121826,0.020898,0.012863,0.077063,0.069853,-0.076536,0.014289,0.17797,-0.055917,-0.024858,0.267122,0.068572,-0.182185,0.068193,-0.0159,-0.099226,-0.133847,-0.156431,0.000424,-0.037473,0.032355,-0.036459,0.085098,0.261854,0.004162,-0.024927,0.116141,0.007009,-0.101943,0.061459,0.236698,-0.041367,-0.181336,-0.170565,0.164051,0.247111,-0.054705,0.025932,-0.088728,0.053888,0.171269,0.049497,-0.114535,-0.150611,0.095966,-0.014029,-0.182325,-0.062585,0.00112,-0.145838,-0.092568,0.010302,-0.071581,-0.000408,-0.095387,0.325399,0.082651,-0.073392,-0.04347,-0.110114,0.096238,0.004072,0.122254,0.12444,0.103699
Captain Benwick,-0.095911,-0.383696,-0.269,0.216509,0.106939,0.181374,1.0,0.080932,0.000717,-0.303785,-0.468013,0.384482,0.269207,0.094894,-0.38404,0.293691,0.273408,0.235167,-0.317886,0.394058,-0.381198,-0.446886,-0.412216,-0.259927,-0.476039,-0.149731,-0.229463,0.223686,-0.02141,0.045723,0.042243,-0.064553,0.392558,0.177362,0.221893,-0.063248,0.189086,-0.083975,-0.068319,-0.382868,0.458339,-0.26722,0.160831,0.202761,0.151729,0.359764,-0.154003,-0.491407,0.247196,0.09999,-0.099031,0.138382,-0.017812,-0.340548,-0.441533,-0.446723,0.006594,-0.226606,0.1438,-0.301199,-0.174126,0.122248,-0.199619,-0.05417,0.090253,0.447231,0.089465,0.219798,0.093891,-0.02338,-0.470123,-0.067329,-0.168361,-0.006816,-0.504238,0.061857,0.008022,-0.124021,-0.018256,0.227989,-0.329756,-0.331435,0.135675,-0.127455,-0.458243,0.049264,-0.395833,-0.056616,-0.291225,-0.133618,-0.3119,0.420249,-0.077862,0.442474,0.263472,-0.232342,0.144762,-0.312227,0.11596,0.110419,0.080831,0.511724,0.216861
Captain Harville,0.050294,-0.086206,-0.099013,0.022564,-0.030263,0.042751,0.080932,1.0,0.109347,-0.105899,-0.138307,0.101397,-0.124304,0.093027,-0.101877,0.094895,-0.04746,-0.024059,-0.027261,0.085968,-0.041875,-0.189307,-0.041877,-0.117229,-0.142776,-0.058491,-0.110922,0.136291,-0.046346,0.005089,-0.087603,0.212699,0.038632,0.045966,-0.153873,-0.125582,0.086578,-0.052607,0.006129,-0.174772,0.076359,-0.10917,-0.033827,0.07025,0.074246,-0.012304,-0.109297,-0.19106,-0.069819,-0.040554,-0.086664,0.000463,-0.010373,-0.055271,-0.060992,-0.144714,-0.275173,-0.279038,-0.034519,0.128283,-0.340008,-0.088965,0.024529,-0.032667,-0.090813,0.152505,-0.081984,0.061036,-0.064124,0.020607,-0.056141,0.105834,-0.141856,-0.190525,-0.140973,-0.046226,0.014117,-0.068892,-0.195783,0.194679,0.137489,-0.077117,0.083634,-0.147401,-0.179794,0.170301,-0.196083,0.036551,-0.00244,-0.167828,-0.071575,-0.023484,-0.048513,-0.057929,0.085965,-0.100929,0.162924,-0.015541,-0.046724,-0.051957,-0.029736,0.092276,-0.132978
Captain Wentworth,-0.142069,0.077587,0.066204,-0.115794,-0.041812,-0.146164,0.000717,0.109347,1.0,-0.151077,-0.078719,0.102913,0.018259,0.112702,0.028191,0.194315,-0.036141,-0.150253,0.199142,0.190946,0.056072,-0.097273,0.075343,0.041618,-0.03637,0.05767,0.12673,0.15993,0.342205,0.047767,0.055645,0.069763,0.121923,0.100122,0.040336,0.01807,0.345929,-0.079003,0.015331,-0.098455,0.049794,-0.047202,0.069877,0.058327,-0.004504,0.155966,0.10388,-0.153251,-0.273014,-0.008743,0.009573,0.129858,0.181634,-0.218436,0.020557,-0.111438,0.135223,0.052915,-0.100166,0.091158,-0.126246,-0.034566,-0.091404,0.148639,-0.163319,-0.092949,0.058339,0.237291,-0.106295,0.06232,0.061586,-0.056237,0.056294,-0.105067,-0.118045,-0.09072,-0.155778,-0.151382,0.036477,-0.09492,0.01241,-0.02919,-0.153075,-0.026152,-0.113699,-0.099322,-0.10157,0.054071,-0.064348,-0.060097,-0.178096,0.09064,0.09862,0.038122,0.058653,0.175649,0.102236,0.152978,0.160151,0.06397,0.033532,0.28873,0.071921
Caroline Bingley,0.173087,0.23676,0.142639,-0.181425,-0.172574,0.060847,-0.303785,-0.105899,-0.151077,1.0,0.471318,-0.261689,-0.043545,-0.230066,0.002815,-0.203677,-0.144083,-0.214041,0.144979,-0.189719,0.262353,0.395451,0.311178,0.116114,0.514789,0.018692,0.055595,-0.161359,-0.125765,-0.010284,-0.109554,0.0469,-0.168991,-0.359672,-0.257642,-0.056418,-0.274951,0.278589,-0.109727,0.464452,-0.276368,0.482681,-0.081229,-0.208277,-0.126858,-0.212237,0.000468,0.47859,-0.186309,-0.041243,0.131825,-0.233006,-0.203793,0.351928,0.2394,0.365475,-0.030709,0.306902,-0.105711,0.212593,0.246453,-0.160993,-0.012408,-0.170267,0.137486,-0.203122,-0.148335,-0.2516,0.00646,-0.025564,0.356463,0.033538,0.374187,0.100939,0.502895,0.018768,-0.054884,0.200004,-0.054338,-0.286864,0.397908,0.107273,-0.231585,0.193876,0.284332,-0.146755,0.487477,-0.123652,0.287714,0.114393,0.116237,-0.338693,-0.041276,-0.249526,-0.207206,0.085225,-0.100685,0.225906,-0.103891,-0.233229,-0.04882,-0.300954,-0.079639
