character,Admiral Croft,Anna Weston,Anne Elliot,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Thorpe,John Willoughby,Julia Bertram,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Norris,Mrs. Price,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,William Collins,William Elliot,William Price
Admiral Croft,1.0,0.076361,0.248768,0.435779,-0.110336,0.130464,0.044364,-0.085374,-0.380466,-0.139028,0.488102,-0.119402,-0.039222,-0.310097,-0.048549,-0.05936,0.062973,-0.218207,-0.070484,-0.321301,-0.423057,0.197426,-0.088094,0.042873,-0.322179,-0.306405,0.103971,-0.112256,-0.14204,0.03339,-0.25752,-0.193513,-0.100225,0.155933,0.265409,-0.045926,-0.155041,0.035876,-0.342437,-0.27084,0.079783,0.137037,0.325667,-0.306616,0.065944,-0.274522,0.072885,-0.33243,-0.271317,-0.036409,0.122814,-0.260433,0.123565,-0.214709,-0.087416,-0.3286,-0.173342,0.145163,0.24927,0.266056,-0.079273,-0.17266,0.260789,-0.277665,-0.011435,0.326027,0.208705,0.24281,0.01553,-0.074056,0.085877,0.122949,0.313426,-0.284153,0.279706,-0.016915,-0.093452,-0.147398,0.104748,0.147486,-0.06396,0.225469,-0.125857,0.322931,0.150812,0.273141,-0.240769,0.199449,0.09713,0.07898,-0.082992,0.359644,-0.13786,0.073378,-0.309697,0.042928,0.139441,0.326765
Anna Weston,0.076361,1.0,0.221798,0.439662,-0.182465,-0.10244,-0.131432,-0.137108,-0.278407,-0.180938,0.099583,0.016956,-0.077585,0.093512,-0.044181,-0.177485,-0.012582,-0.080817,0.040333,0.121273,-0.085898,0.294683,0.629107,0.081223,-0.291118,-0.029498,0.319845,-0.193757,-0.214605,0.618554,-0.039016,-0.130709,0.438112,0.040018,0.019074,0.021347,0.019429,0.018761,-0.237128,0.064686,0.499875,0.036406,-0.069406,-0.091127,-0.011135,-0.217283,0.129432,-0.265882,-0.246035,-0.027136,0.029375,0.071683,-0.26708,-0.080078,-0.091786,0.022782,-0.153454,-0.123123,0.136843,0.508841,-0.031767,-0.185993,0.231158,-0.272388,-0.183289,0.056386,0.41135,0.378045,-0.137113,-0.23292,0.306974,-0.00729,0.055988,0.156996,0.063615,0.1563,-0.023327,0.040149,0.066656,0.092194,-0.12531,-0.025749,-0.011016,0.069617,-0.063576,0.206922,-0.156123,0.53225,0.04846,-0.173039,-0.096097,0.009171,0.007665,-0.10089,-0.21121,0.088548,0.153941,-0.113891
Anne Elliot,0.248768,0.221798,1.0,0.001314,-0.063616,0.234569,0.320123,-0.283451,-0.134512,-0.114119,0.344503,-0.176316,-0.121154,0.201658,0.096364,-0.143921,-0.17653,0.104291,-0.000944,0.289124,-0.073821,0.350184,0.222117,-0.054048,-0.207126,-0.044706,0.146169,-0.124899,-0.110882,0.191854,0.039282,-0.067423,0.079684,0.014525,-0.139891,-0.010758,-0.036597,-0.103482,-0.150236,-0.020859,0.1172,0.020266,-0.177495,0.073159,-0.157818,-0.248693,-0.063573,-0.14826,-0.117657,0.253282,0.195969,0.134162,-0.315454,-0.099118,-0.16318,0.190482,-0.086114,-0.190729,0.416404,0.128611,-0.052829,-0.176121,0.067238,-0.194693,-0.145345,0.223523,0.091143,-0.004237,-0.125661,-0.172333,0.064774,-0.202184,0.254905,0.067239,0.270466,0.13629,-0.122244,-0.135517,0.009762,0.170548,-0.18434,-0.017931,-0.04527,-0.233024,-0.243188,0.576558,-0.136865,0.069883,0.029661,-0.02372,-0.191449,0.264938,-0.053233,-0.194913,0.069221,-0.050014,0.344822,-0.14279
Augusta Elton,0.435779,0.439662,0.001314,1.0,-0.277858,-0.159208,-0.29435,0.099758,-0.524985,-0.052985,0.249477,0.008987,-0.00013,-0.238327,-0.104405,0.009455,0.095869,-0.159736,-0.076774,-0.321991,-0.423358,0.339245,0.299806,0.206716,-0.400143,-0.244318,0.238005,-0.253236,-0.15014,0.328218,-0.208919,-0.040037,0.235863,0.111707,0.316525,-0.077699,-0.048814,0.10705,-0.407639,-0.231748,0.491,0.15601,0.258838,-0.335791,0.14509,-0.32227,0.222768,-0.332907,-0.36189,-0.092016,-0.10931,-0.176362,-0.0383,-0.312,-0.014164,-0.28459,-0.052346,0.175392,0.104691,0.615085,-0.072031,-0.134051,0.244739,-0.314322,-0.17949,0.229972,0.345299,0.42608,-0.064434,-0.251461,0.294877,0.192042,0.175526,-0.171328,0.120348,0.046932,-0.014497,-0.035133,0.071991,0.049862,-0.093336,0.036669,-0.140555,0.435405,0.124044,0.153065,-0.097042,0.550675,0.050625,-0.14839,-0.030412,0.185783,0.030193,0.035549,-0.39994,0.204769,0.185052,0.125609
Captain Benwick,-0.110336,-0.182465,-0.063616,-0.277858,1.0,0.093678,0.148084,-0.082049,0.194231,-0.137715,-0.063079,-0.114052,0.018582,-0.005606,-0.133805,-0.05272,-0.127486,0.078239,-0.032169,0.003872,-0.017176,-0.196867,-0.106574,-0.132736,0.17908,-0.030587,-0.124327,0.190967,-0.011824,-0.222738,-0.068162,-0.026385,-0.001729,0.008861,-0.124191,-0.039045,0.039928,0.01099,0.137873,-0.09082,-0.221767,-0.173966,-0.132116,0.162018,-0.124161,-0.008212,-0.2199,0.261845,0.085742,-0.046829,0.146315,0.003672,0.031789,0.223923,-0.054882,0.224994,0.003348,-0.084933,-0.034286,-0.264303,-0.085152,-0.072404,-0.236855,0.149275,0.103912,-0.134747,-0.199441,-0.063578,0.047284,0.055068,-0.07078,-0.175734,-0.042228,-0.028802,-0.079545,-0.099946,0.026292,-0.089948,-0.171406,-0.021169,0.054459,-0.032364,0.000796,-0.220903,-0.046046,-0.116355,-0.064678,-0.198278,0.014672,0.088274,-0.112532,-0.052878,-0.122577,0.007686,0.105915,-0.184873,-0.105003,0.01856
Captain Harville,0.130464,-0.10244,0.234569,-0.159208,0.093678,1.0,0.343484,-0.126228,0.247109,-0.040785,0.009853,-0.104402,0.047741,0.134497,0.143301,-0.051269,0.016237,0.262416,0.066292,0.207391,0.049103,-0.012147,0.010993,-0.099149,0.044245,-0.04003,0.080708,0.076541,0.059311,0.11539,-0.003745,0.216734,-0.004434,-0.207427,0.061532,0.098283,-0.034982,-0.087903,0.042887,-0.126827,-0.127716,-0.067979,0.096536,0.199684,-0.115596,-0.065766,-0.074547,0.022622,0.142167,0.047319,0.015694,-0.014243,-0.053989,0.088386,-0.031576,0.257074,0.049678,0.056296,0.020154,-0.119909,-0.031718,-0.072625,-0.142131,0.05002,0.0462,-0.002106,0.123702,-0.203752,0.011283,-0.070549,-0.19158,-0.171304,0.137875,0.102087,0.090367,-0.053173,-0.117345,-0.14113,-0.083814,-0.155337,-0.113127,0.205564,-0.188665,-0.285926,-0.124385,0.146069,-0.173967,-0.099939,0.007941,0.25751,-0.001379,0.024695,0.01754,-0.135707,0.19834,-0.189275,-0.028405,-0.052071
Captain Wentworth,0.044364,-0.131432,0.320123,-0.29435,0.148084,0.343484,1.0,-0.288177,0.309349,-0.004926,0.078708,-0.197262,-0.030309,0.255822,0.121698,-0.131986,-0.088676,0.205526,-0.002851,0.243269,0.008775,-0.072556,-0.071141,-0.258062,0.162446,-0.090216,0.200932,0.083027,0.144349,-0.037783,-0.049599,-0.002631,-0.058452,-0.10215,-0.127697,0.03098,-0.126521,-0.215369,0.13377,-0.123808,-0.099211,-0.047817,-0.011792,0.349654,-0.076515,0.117619,-0.212666,-0.028447,0.170536,0.188137,0.190765,-0.00506,-0.034653,0.117853,0.079802,0.274323,-0.020601,-0.127494,0.163755,-0.290372,-0.04443,-0.150788,-0.151668,0.107052,0.147289,-0.022917,0.078458,-0.193478,-0.004221,0.040869,-0.134647,-0.309159,-0.017472,0.072533,0.097785,0.055038,-0.253112,-0.1882,0.015126,0.106943,0.01233,0.120165,-0.031062,-0.290146,-0.064703,0.044544,-0.277444,-0.214519,-0.119266,0.334043,-0.001067,0.03935,-0.138699,-0.015565,0.286507,-0.348666,-0.032972,0.106235
Caroline Bingley,-0.085374,-0.137108,-0.283451,0.099758,-0.082049,-0.126228,-0.288177,1.0,-0.070573,0.319833,-0.081463,0.350279,0.03675,-0.136856,-0.080561,-0.017013,-0.02334,-0.133755,-0.023909,-0.260974,0.226455,0.006971,-0.106914,0.129742,-0.157091,0.22233,-0.127243,-0.063774,-0.038296,-0.167386,0.193548,0.134229,-0.034822,-0.048677,0.060464,-0.076983,-0.014151,0.111889,0.008767,0.22521,-0.067604,-0.147569,0.027598,-0.240076,0.064128,-0.06254,0.3812,0.023032,-0.083076,-0.108079,-0.194567,-0.161697,0.217464,-0.074337,-0.013967,-0.229386,0.041916,-0.041477,-0.123256,0.049348,-0.002918,0.267778,0.153607,0.142119,-0.068679,-0.138437,-0.173451,-0.014065,-0.073572,-0.012572,0.001552,0.534145,-0.018646,-0.067348,-0.119863,-0.163319,0.05573,0.330365,-0.043781,-0.119447,0.113791,-0.125372,-0.086754,-0.019853,-0.013929,-0.190521,0.13607,0.045708,-0.07449,-0.153782,-0.075282,0.033805,0.34634,-0.009056,-0.120463,0.315103,0.014409,-0.023507
Catherine Morland,-0.380466,-0.278407,-0.134512,-0.524985,0.194231,0.247109,0.309349,-0.070573,1.0,0.147612,-0.397614,-0.078637,0.150141,0.27193,0.175435,0.023161,0.063294,0.282944,0.346082,0.275641,0.444705,-0.293606,-0.15494,-0.249262,0.569589,0.136208,0.01343,0.209356,0.328285,-0.155479,0.188499,0.148689,-0.024706,-0.421009,-0.090453,0.507396,-0.023979,0.175781,0.45149,0.067496,-0.291731,-0.229497,0.184098,0.301918,0.046564,0.408196,-0.137187,0.177622,0.333185,-0.220002,-0.060943,0.072186,0.077699,0.197187,0.205352,0.331329,-0.059607,0.024453,-0.184856,-0.414596,0.161126,-0.088238,-0.33232,0.248719,0.329631,-0.38035,-0.055919,-0.367148,0.097302,0.352482,-0.239974,-0.219167,-0.222472,0.251494,-0.205826,-0.13694,-0.157497,0.037767,-0.076937,-0.269087,0.203104,0.08394,0.034165,-0.405056,-0.057213,-0.352668,-0.061807,-0.42204,-0.240463,0.307725,0.18247,-0.307891,0.102785,-0.00972,0.55638,-0.40754,-0.355801,0.071803
Charles Bingley,-0.139028,-0.180938,-0.114119,-0.052985,-0.137715,-0.040785,-0.004926,0.319833,0.147612,1.0,-0.217373,0.140606,0.171455,0.008675,0.11969,0.053622,-0.018907,0.029237,-0.046758,-0.116892,0.114273,-0.074314,-0.167579,0.073775,0.07181,0.122144,0.041836,-0.039656,0.092792,-0.12599,0.158908,0.198659,-0.098267,-0.120138,0.021795,0.018066,-0.052375,0.108001,0.103941,-0.009376,0.000995,-0.067915,0.1241,-0.01731,0.140848,0.036903,0.033389,0.138257,0.167099,-0.063378,-0.188724,-0.012719,0.125176,-0.11932,0.049511,-0.169239,0.130801,0.092859,-0.203076,-0.041839,0.04157,0.163829,-0.029831,0.136041,0.078569,-0.133034,-0.118296,-0.166428,-0.024897,0.140115,-0.044052,0.11998,-0.098623,-0.022876,0.097067,-0.2533,-0.223186,0.001507,-0.023521,-0.200472,0.062566,-0.103495,-0.005435,-0.115432,0.005944,-0.140735,0.176181,-0.045223,-0.245167,0.062422,-0.032548,-0.140284,0.410039,-0.032043,0.058206,0.130185,0.088837,-0.028633
