character,Admiral Croft,Anna Weston,Anne Elliot,Anne Steele,Anne de Bourgh,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Hayter,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Knightley,John Thorpe,John Willoughby,Julia Bertram,Kitty Bennet,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Musgrove,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Musgrove,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Rushworth,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,Tom Bertram,William Collins,William Elliot,William Price
Admiral Croft,1.0,-0.028993,0.360967,-0.09542,-0.097571,0.02858,0.312892,0.23941,0.431845,-0.226244,-0.074727,-0.16258,0.101302,0.211848,-0.167808,-0.032373,-0.037503,0.035159,-0.002078,-0.070812,-0.1422,-0.101921,-0.200647,-0.205704,0.225633,-0.074492,-0.138839,-0.072154,-0.12871,0.063084,-0.00756,-0.033431,-0.007695,-0.091382,-0.18741,-0.083261,0.211534,0.020954,-0.041946,-0.066399,-0.056439,-0.087433,-0.252779,-0.041885,-0.145512,0.001915,-0.035378,-0.098688,-0.093633,-0.103844,-0.027636,-0.098505,-0.092584,-0.026934,0.227953,0.190678,-0.19584,-0.168553,-0.110907,-0.146388,-0.177148,-0.153436,-0.045957,0.199524,-0.071387,0.0923,-0.03814,-0.072586,-0.035946,0.176024,0.108967,0.017873,0.518088,0.03975,0.007442,0.104098,-0.037012,-0.079313,-0.184868,0.23818,0.029202,0.550131,-0.193465,-0.239975,-0.130736,-0.02303,0.085453,-0.165455,-0.166734,-0.173301,0.27388,-0.073665,-0.044003,-0.09384,-0.071218,0.231985,-0.099427,-0.075435,-0.128975,0.04966,0.128756,0.020314,0.523857,0.047293,-0.091847,-0.011131,-0.005117,-0.195318,0.267723,0.042466
Anna Weston,-0.028993,1.0,-0.154836,-0.090335,-0.060314,0.493174,-0.111,-0.070147,-0.211391,-0.045433,-0.029695,-0.086409,-0.175605,-0.104068,0.014679,0.002895,0.049139,0.008116,-0.082217,-0.015929,-0.070465,0.028929,-0.025666,0.010816,-0.199587,0.637523,-0.046082,-0.036606,0.019882,0.549246,0.025741,-0.11789,0.609446,0.017583,-0.109252,0.409674,-0.193858,-0.056428,-0.064621,0.394751,0.068213,0.023283,0.003588,0.505639,-0.050449,0.404979,0.074268,0.004678,-0.060404,-0.128237,-0.061205,-0.084257,-0.066797,-0.152066,-0.185802,-0.226278,-0.091458,-0.089739,-0.123282,0.017536,-0.068028,-0.142467,-0.037868,-0.19879,0.441434,0.033727,0.142614,0.041374,-0.092332,-0.121372,0.542533,-0.021036,-0.141004,0.842312,0.591439,-0.085997,0.147031,0.329142,0.052504,-0.085435,0.158877,0.000149,0.043975,-0.126354,0.007238,0.045884,-0.08842,0.008923,0.018622,0.016756,-0.059075,-0.047396,-0.079688,-0.153638,-0.160999,0.157752,0.057979,0.476285,-0.14453,0.250774,-0.111037,-0.118684,-0.198682,-0.089839,-0.19919,0.043968,-0.037309,-0.053716,-0.036488,-0.100901
Anne Elliot,0.360967,-0.154836,1.0,-0.252402,-0.072372,-0.019484,0.413073,0.59809,0.660871,-0.116613,0.236526,-0.205731,0.187864,0.481412,-0.213344,-0.094587,-0.090552,-0.035632,-0.247491,0.130027,-0.043451,0.110134,-0.075894,0.061659,0.310002,0.062826,-0.199471,0.248345,-0.096785,0.092488,0.177976,0.069543,-0.017528,-0.04182,-0.12976,0.061026,0.419383,0.184541,0.104751,-0.20074,0.133647,-4.8e-05,-0.068558,3e-05,-0.253522,-0.010067,0.032659,0.079056,-0.061815,-0.116518,0.125,-0.116078,-0.111194,-0.195209,0.426554,0.454729,-0.05093,-0.088536,-0.147628,0.042983,-0.065552,0.074664,0.100695,0.579528,-0.168078,-0.171533,-0.102796,-0.066855,-0.101733,0.201404,-0.120941,-0.075486,0.153607,-0.174427,-0.15305,-0.134712,-0.174386,-0.204972,-0.322911,0.390205,-0.142632,0.349538,-0.169823,-0.217219,-0.103584,0.109166,0.222353,-0.221792,-0.274566,-0.210146,0.326936,-0.036894,-0.325322,0.108772,-0.11721,0.437706,-0.103822,-0.159423,-0.097015,-0.01717,-0.197466,0.102462,0.30307,-0.126757,-0.014423,-0.164157,0.002663,-0.263359,0.582031,0.158146
Anne Steele,-0.09542,-0.090335,-0.252402,1.0,-0.049761,-0.33397,-0.060852,-0.294316,-0.127823,-0.155693,-0.251614,-0.177995,0.068413,-0.20627,-0.083305,0.043751,-0.013794,-0.223547,0.127246,-0.183285,0.160691,-0.174819,0.116292,-0.349265,-0.018649,-0.305671,0.244003,-0.284751,-0.345149,-0.303572,-0.269529,-0.169648,-0.295509,-0.236002,-0.14287,-0.288413,-0.035066,-0.300743,-0.179347,0.053536,-0.300788,-0.186011,-0.164495,-0.171964,0.116676,-0.301335,-0.270461,-0.089386,-0.049657,0.004531,-0.120219,-0.142253,0.045772,0.190409,0.125005,0.074736,0.257957,-0.067285,0.213199,-0.195227,0.144555,-0.072348,-0.260761,-0.031705,-0.051494,0.021589,-0.332694,-0.142949,-0.113635,0.157755,-0.166462,-0.157824,0.085526,-0.167164,-0.224923,0.03347,0.020181,0.075091,-0.100391,0.087131,0.191527,0.026343,0.007851,0.392554,-0.131445,-0.293068,0.00332,0.083293,0.44125,0.132552,0.052424,-0.025722,0.210228,-0.114411,0.208221,-0.13482,0.051546,-0.167963,0.180871,-0.263922,0.052004,-0.207496,0.045681,-0.11241,0.137722,-0.000264,-0.077444,-0.113157,-0.202597,-0.236692
Anne de Bourgh,-0.097571,-0.060314,-0.072372,-0.049761,1.0,-0.056346,-0.011615,-0.169673,-0.082054,0.171254,-0.048212,0.154033,-0.036954,-0.071483,0.197028,-0.095075,-0.081859,0.034643,0.026808,-0.137615,-0.077066,-0.049508,-0.057487,0.120829,-0.013672,-0.088707,-0.014089,-0.065116,0.143488,-0.137648,0.001307,-0.01224,-0.124639,0.092204,0.25843,-0.037925,0.111821,-0.109977,-0.071175,0.032185,-0.003704,0.037722,0.143202,0.057687,-0.027694,-0.126668,-0.067409,-0.09158,0.044518,0.074179,-0.022717,0.332422,0.072461,0.008807,0.05659,0.047796,0.00103,0.178068,-0.028257,0.036329,-0.019004,0.031745,-0.042659,-0.006184,0.034824,-0.054008,0.003486,0.039684,0.022062,-0.055098,-0.04343,-0.10234,-0.035413,-0.141379,-0.071198,-0.100807,-0.081612,0.06805,0.138114,-0.06925,-0.055367,-0.034241,-0.009257,0.009451,0.122269,-0.021402,-0.005383,0.087512,-0.033788,-0.027657,-0.043282,-0.040836,0.067991,-0.070824,-0.081129,-0.123499,-0.036588,-0.09199,-0.058393,-0.067044,-0.085327,-0.090127,-0.037387,0.073865,-0.021615,0.028427,-0.186807,0.208152,-0.109349,-0.133153
Augusta Elton,0.02858,0.493174,-0.019484,-0.33397,-0.056346,1.0,-0.222454,0.135187,-0.29465,0.042026,0.233397,-0.049011,-0.355009,-0.08153,0.076736,0.139168,0.147937,0.169513,-0.141685,0.169562,0.042103,0.190665,0.120239,0.293845,-0.221951,0.708673,0.025926,0.300506,0.160573,0.51512,0.167767,-0.110629,0.594333,0.074704,-0.034105,0.596828,-0.288464,0.134112,0.01403,0.114249,0.399251,0.193425,0.15424,0.618229,-0.165501,0.566358,0.230493,0.154761,0.093857,-0.084725,0.227736,0.097316,0.018887,-0.147678,-0.352534,-0.368956,0.075047,0.035793,-0.25954,0.180605,-0.070663,-0.050996,0.264443,-0.233218,0.424775,-0.031518,0.430866,0.153459,-0.004525,-0.466066,0.470049,0.063795,-0.241385,0.514679,0.53366,-0.19492,0.128072,0.180256,0.107569,-0.167004,0.030615,-0.08978,0.070462,-0.263137,0.093537,0.432732,-0.157203,-0.192903,-0.04086,-0.188321,-0.207155,0.144308,-0.26113,-0.023634,-0.356979,0.267266,-0.036172,0.526772,-0.23441,0.360012,-0.090541,0.0006,-0.269004,-0.041679,-0.232168,0.182813,-0.017885,-0.068457,-0.070552,0.041278
Captain Benwick,0.312892,-0.111,0.413073,-0.060852,-0.011615,-0.222454,1.0,0.454933,0.688148,-0.124664,-0.237271,0.014257,0.364283,0.390703,-0.11937,-0.258442,-0.01007,-0.04429,-0.053078,-0.091083,-0.061937,-0.235659,-0.176178,-0.216808,0.251037,-0.170106,-0.143035,-0.182591,-0.048551,-0.075891,0.144499,-0.102676,-0.052459,0.04686,-0.098641,-0.083847,0.488081,-0.021293,-0.086282,-0.080654,-0.12993,-0.078563,-0.144197,-0.16258,-0.118036,-0.080445,-0.083593,-0.08867,-0.143023,-0.141604,-0.173937,-0.13223,-0.059124,-0.062491,0.331634,0.551929,-0.185332,-0.090084,-0.083234,-0.078551,-0.063747,-0.039922,-0.153899,0.31086,-0.160091,-0.102709,-0.083259,-0.234252,0.014136,0.431689,-0.169433,0.051285,0.156077,-0.127889,-0.143632,0.028008,-0.217204,-0.165699,-0.169453,0.210919,-0.195087,0.356238,-0.162998,-0.181739,-0.188433,-0.229146,0.26879,-0.073343,-0.221062,-0.08317,0.40948,-0.286135,0.012544,-0.25765,-0.044864,0.004781,-0.076868,-0.012175,-0.09793,0.036,-0.038042,-0.125527,0.266654,0.023919,-0.047656,-0.202091,-0.068333,-0.093439,0.307227,-0.030088
Captain Harville,0.23941,-0.070147,0.59809,-0.294316,-0.169673,0.135187,0.454933,1.0,0.581422,-0.096042,0.357644,-0.098877,0.051033,0.384318,-0.208319,-0.161616,0.126913,0.153468,-0.308485,0.312923,0.129823,0.218189,0.023138,0.228204,-0.012953,0.228622,-0.238794,0.362341,0.128621,0.270186,0.413091,0.12723,0.2214,0.120483,-0.150783,0.304621,0.199427,0.370356,0.273697,-0.226338,0.375272,0.226855,0.014093,0.024615,-0.19441,0.257731,0.306716,0.329332,-0.002817,-0.145911,0.14771,-0.14086,-0.222734,-0.34883,-0.079616,0.255094,-0.001132,-0.037155,-0.243396,0.116672,-0.042368,0.025043,0.168714,0.138573,-0.183278,-0.195347,0.167607,0.126759,-0.006978,0.038347,0.014487,0.058353,-0.113748,-0.00422,0.00786,-0.079011,-0.173625,-0.261139,-0.207222,-0.044222,-0.130228,0.22231,-0.10792,-0.310992,-0.144553,0.221386,0.259101,-0.284312,-0.248865,-0.235753,0.15355,-0.078523,-0.332466,0.102612,-0.231447,0.293717,-0.208969,0.00213,-0.063456,0.193528,-0.207132,0.176063,-0.003257,-0.081919,-0.152932,-0.144432,0.165418,-0.15982,0.334643,0.382654
Captain Wentworth,0.431845,-0.211391,0.660871,-0.127823,-0.082054,-0.29465,0.688148,0.581422,1.0,-0.154266,-0.035249,-0.093341,0.458385,0.521038,-0.191922,-0.182314,-0.105232,-0.03355,-0.141317,-0.016794,-0.106458,-0.098113,-0.228159,-0.156012,0.319419,-0.164197,-0.23953,-0.056461,-0.079541,-0.005648,0.165238,0.057212,-0.096076,0.044297,-0.158883,-0.117281,0.619706,0.09096,0.069084,-0.173291,-0.092072,-0.091488,-0.184391,-0.204522,-0.20283,-0.109667,-0.037162,-0.048881,-0.135069,-0.12573,-0.165853,-0.203465,-0.151074,-0.157752,0.373368,0.660005,-0.200544,-0.109791,-0.053674,-0.080277,-0.124295,-0.066113,-0.106619,0.438033,-0.235204,-0.134816,-0.222937,-0.180612,-0.025801,0.555587,-0.188665,0.026785,0.246184,-0.176691,-0.21534,0.021801,-0.226836,-0.225658,-0.343866,0.28425,-0.117144,0.476813,-0.278047,-0.21243,-0.214146,-0.192741,0.316981,-0.076252,-0.313083,-0.175507,0.469749,-0.244232,-0.093129,-0.070119,-0.014053,0.081627,-0.142221,-0.135312,-0.047533,-0.009639,-0.093731,-0.011594,0.365263,-0.041248,-0.035102,-0.226216,-0.018912,-0.196112,0.43544,0.098748
Caroline Bingley,-0.226244,-0.045433,-0.116613,-0.155693,0.171254,0.042026,-0.124664,-0.096042,-0.154266,1.0,0.054317,0.651165,-0.164861,-0.200696,0.575646,0.012884,-0.088861,0.30703,-0.078647,-0.112841,-0.140997,0.048616,-0.008755,0.592547,0.011071,0.014354,-0.06871,-0.010487,0.630246,-0.095151,0.004026,-0.08401,-0.038069,0.376033,0.600218,0.023065,-0.190159,-0.107736,-0.107449,-0.111497,0.077798,-0.020473,0.600688,0.141181,-0.208159,-0.034779,0.013054,0.023397,-0.107557,0.173281,-0.138368,0.349278,0.222732,-0.104393,-0.142994,-0.149882,-0.000221,0.324954,-0.14774,-0.074786,-0.019262,0.148515,0.039322,-0.124525,0.165436,-0.141408,0.303022,0.092554,0.142169,-0.227296,-0.072772,-0.159067,-0.236167,-0.134773,-0.147368,-0.205168,-0.015865,0.022908,0.509266,-0.130095,-0.098536,-0.164804,-0.047104,-0.157249,0.427451,0.009293,-0.188505,0.421213,-0.098465,-0.131068,-0.220616,-0.14836,0.064551,-0.064537,-0.060958,-0.13619,-0.163876,-0.016656,-0.189571,-0.067267,-0.198012,-0.218746,-0.269661,0.080437,-0.114222,0.014333,-0.171075,0.416647,-0.114298,-0.14248
