character,Admiral Croft,Anna Weston,Anne Elliot,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Knightley,John Thorpe,John Willoughby,Julia Bertram,Kitty Bennet,Lady Bertram,Lady Catherine de Bourgh,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Musgrove,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Musgrove,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Rushworth,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,Tom Bertram,William Collins,William Elliot,William Price
Admiral Croft,1.0,0.325855,-0.106154,0.547975,0.230735,0.501973,-0.145872,-0.172406,-0.360278,-0.382024,0.194319,-0.08326,0.260203,0.645301,-0.212773,-0.386758,0.470136,0.16404,0.10559,-0.482628,-0.061648,0.137007,-0.290154,-0.433288,-0.339338,0.053794,-0.14396,0.336814,0.170906,-0.035116,-0.317016,0.436711,-0.039883,-0.198245,-0.034477,-0.058534,-0.306359,0.095021,-0.530551,0.134092,-0.275505,0.452645,-0.06697,0.287856,-0.147981,-0.338329,-0.16755,0.054655,-0.234157,-0.267493,0.52941,0.2254,-0.21951,0.20072,-0.301331,0.454073,-0.00128,-0.221007,-0.126511,-0.02258,0.173784,-0.287774,-0.250825,-0.026016,0.047233,-0.226307,-0.331454,0.135762,0.099835,-0.009298,-0.105774,0.267853,0.10933,-0.409053,0.017717,0.080157,-0.179441,0.362277,-0.298266,-0.240235,0.307364,0.194107,-0.247633,-0.017331,-0.335343,-0.00741,-0.17166,0.21263,0.498495,0.191865,-0.116758,0.448126,-0.17336,0.481673,-0.49075,0.312379,-0.144307,-0.375648,0.333521,-0.265921,-0.428959,0.108107,-0.39929
Anna Weston,0.325855,1.0,0.033574,0.474313,0.019617,0.124307,-0.000678,-0.167748,-0.123307,-0.211866,0.093528,-0.115168,0.083773,0.304278,-0.068251,-0.179547,0.217669,0.008329,0.147352,-0.225445,-0.017465,0.495392,-0.216358,-0.143197,-0.199989,0.325274,-0.135416,0.09555,0.49734,-0.028799,-0.035908,0.464555,-0.075136,-0.046235,-0.059061,-0.07268,-0.169937,0.079928,-0.213556,0.401645,-0.01277,0.276585,-0.159935,0.161887,-0.041831,-0.073666,-0.236629,0.089053,-0.12699,-0.178118,0.289374,0.107474,-0.173177,-0.123334,-0.06784,0.236205,-0.033689,-0.065591,-0.047608,0.142184,0.047931,-0.111916,-0.187506,-0.064539,0.074249,0.22336,-0.054631,0.106626,0.264474,0.326875,-0.010281,0.031628,0.208073,-0.217388,-0.073626,0.058528,-0.013336,0.115362,-0.166584,-0.060311,0.061248,0.139725,-0.13913,0.036089,-0.084643,-0.134559,-0.098571,-0.027154,0.333385,-0.145619,0.109001,0.078814,-0.032707,0.146842,-0.198756,0.096577,-0.036877,-0.239279,0.257541,-0.116832,-0.180012,0.054734,-0.245196
Anne Elliot,-0.106154,0.033574,1.0,-0.060527,0.182641,0.178418,0.632891,-0.13671,-0.048179,-0.132774,0.351341,-0.171556,-0.067335,-0.148009,-0.097194,-0.089532,-0.117938,-0.148114,0.01487,-0.065299,0.332817,0.120987,-0.069897,-0.093837,-0.035962,0.069465,-0.019895,-0.205343,0.099634,-0.061276,-0.006161,0.021635,0.2317,-0.029101,-0.100119,0.001766,-0.076156,-0.095477,-0.024487,0.165679,0.038501,-0.049159,-0.114588,-0.022841,-0.218435,0.007216,-0.094606,-0.110282,-0.007097,0.393705,0.162926,-0.039402,-0.26262,-0.241571,-0.082398,-0.04567,-0.049245,-0.12211,0.440633,0.039686,-0.105275,-0.038446,-0.111561,-0.024079,-0.133641,0.098271,-0.012771,0.346976,0.103696,0.077765,-0.102238,-0.28032,-0.044903,-0.149877,0.255202,0.251715,0.053274,-0.074558,-0.041365,-0.062034,-0.183774,-0.018535,-0.014956,0.15989,-0.029722,-0.133585,-0.004466,-0.086511,0.361313,-0.155231,0.046675,-0.257851,0.028512,-0.142466,0.063032,0.244036,-0.008712,0.196802,0.046908,-0.137791,-0.044907,0.554093,0.075783
Augusta Elton,0.547975,0.474313,-0.060527,1.0,0.067943,0.419644,-0.17636,-0.095942,-0.35863,-0.338978,-0.057925,0.019832,0.173489,0.589947,-0.342638,-0.416653,0.531571,0.032777,0.239744,-0.418929,-0.055849,0.585721,-0.183025,-0.382999,-0.258587,0.415012,-0.192889,0.228754,0.461073,-0.093807,-0.087971,0.67977,-0.053101,-0.169708,-0.123167,0.070222,-0.321763,0.00085,-0.345689,0.54098,-0.222663,0.520397,-0.264126,0.378634,-0.234877,-0.289203,-0.149698,-0.026085,-0.20422,-0.206263,0.516518,0.326485,-0.214594,0.030298,-0.254493,0.406156,-0.02364,-0.276997,-0.130824,0.356839,0.070954,-0.264737,-0.350429,0.042983,-0.196543,-0.084735,-0.362065,-7.5e-05,0.350244,0.34854,-0.217019,0.229527,0.139204,-0.28599,-0.068403,0.055445,-0.034316,0.486961,-0.176963,-0.164326,0.114689,0.359895,-0.114404,-0.092541,-0.292135,-0.028906,-0.259982,-0.022416,0.458733,0.096135,0.202467,0.316528,-0.112693,0.252675,-0.422191,0.263969,-0.136281,-0.216897,0.456522,-0.260448,-0.184795,0.065675,-0.313693
Captain Benwick,0.230735,0.019617,0.182641,0.067943,1.0,0.339532,0.049235,-0.116272,-0.166842,-0.052836,0.264673,-0.025644,0.026824,0.210675,-0.08049,-0.086158,0.134919,0.088193,0.000109,-0.163668,0.078325,-0.058959,0.007356,-0.137471,-0.153595,-0.16614,0.019182,0.058575,0.000318,-0.07208,-0.094967,0.096574,0.046838,-0.220557,-0.035407,-0.110986,-0.119681,0.009427,-0.201035,-0.102426,-0.147149,0.075621,0.005174,0.012588,-0.137858,-0.152694,-0.103263,0.044011,-0.145086,-0.05056,0.170564,0.051073,-0.071358,0.22438,-0.134488,0.22114,-0.085594,-0.158582,0.273115,-0.090034,0.08639,-0.132169,-0.112602,0.014115,-0.017494,-0.22229,-0.299645,-0.048764,-0.0359,-0.17815,-0.212669,0.19656,0.006405,-0.205197,-0.019987,0.157406,0.040177,0.081671,-0.104773,-0.098789,0.061302,0.051937,-0.086819,0.134554,-0.172849,-0.075443,-0.068737,0.061368,0.282092,0.152721,-0.15094,0.209506,-0.155782,0.21908,-0.244853,-0.059978,-0.037343,-0.123101,0.134507,-0.142375,-0.155576,0.21076,-0.142617
Captain Harville,0.501973,0.124307,0.178418,0.419644,0.339532,1.0,0.044375,-0.194479,-0.279087,-0.238961,0.182185,-0.112334,0.188587,0.587317,-0.158949,-0.262405,0.479899,0.145924,0.238185,-0.270369,0.056857,0.213767,-0.128215,-0.332769,-0.183138,0.053939,0.019307,0.106655,0.205241,0.020147,-0.208138,0.450896,0.157382,-0.127396,0.027977,-0.110604,-0.17235,0.035114,-0.21508,0.110908,-0.184843,0.24433,-0.032793,0.408119,-0.353359,-0.437684,-0.067379,-0.093337,-0.158079,-0.204565,0.448568,0.332539,-0.201048,0.20383,-0.31163,0.428634,-0.052079,-0.339114,-0.083622,-0.013494,0.09734,-0.291013,-0.15782,-0.048392,-0.032116,-0.34614,-0.403679,0.020143,0.124783,-0.095637,-0.296393,0.219649,-0.059914,-0.391517,-0.011251,0.105319,0.007711,0.449626,-0.150611,-0.269474,0.161226,0.245393,-0.137742,0.033847,-0.407517,-0.017584,-0.280835,0.009872,0.463137,0.143258,-0.085491,0.37215,-0.161408,0.30824,-0.425815,0.131021,-0.149119,-0.161336,0.278827,-0.3523,-0.280762,0.186106,-0.239404
Captain Wentworth,-0.145872,-0.000678,0.632891,-0.17636,0.049235,0.044375,1.0,-0.113491,0.050045,-0.021761,0.249567,-0.122331,-0.04986,-0.279608,-0.103725,0.047887,-0.215463,-0.156428,-0.152192,-0.064716,0.127369,-0.052293,-0.08494,0.04882,-0.078553,0.021073,-0.076424,-0.172942,-0.054321,-0.100582,-0.001442,-0.131216,0.271274,0.030736,-0.02978,0.06077,-0.028595,-0.095891,0.005055,0.050175,0.085005,-0.023967,-0.079066,-0.173113,-0.086734,0.04557,-0.001154,-0.089664,0.024747,0.300684,0.110837,-0.156482,-0.028593,-0.1925,0.035222,-0.211953,0.036772,0.07113,0.235669,-0.088311,-0.129823,-0.036922,-0.083164,-0.051276,0.006201,0.160276,0.169755,0.276789,-0.004998,0.025221,0.100675,-0.244319,-0.050838,-0.047598,0.239897,0.219122,-0.153604,-0.18255,-0.032247,0.031186,-0.124111,-0.132154,-0.007943,0.30765,0.122613,-0.051423,0.253717,-0.129261,0.100423,-0.170943,0.043123,-0.294282,0.008722,-0.080994,0.145784,0.179595,-0.03614,0.115624,-0.112323,-0.010528,-0.093266,0.260071,0.161587
Caroline Bingley,-0.172406,-0.167748,-0.13671,-0.095942,-0.116272,-0.194479,-0.113491,1.0,0.175833,0.421291,-0.194321,0.402519,-0.20995,-0.315445,0.113788,0.075947,-0.248798,-0.074686,-0.24608,0.450139,0.047919,-0.103166,0.001864,0.098663,0.547835,-0.051114,-0.040786,0.02093,-0.079748,0.179823,0.034771,-0.166502,-0.133974,0.165468,-0.053017,0.046191,0.222018,-0.049229,0.294212,-0.04028,-0.166864,-0.07555,-0.029026,-0.259453,0.036642,0.120148,-0.024679,0.097206,-0.134778,-0.039509,-0.238284,-0.13632,0.166209,-0.159828,0.142123,-0.20433,0.101086,0.15438,-0.104772,-0.014288,-0.03026,0.236396,0.054248,0.300373,-0.217692,0.013493,0.17075,-0.183392,-0.221839,0.002748,0.034029,0.089023,-0.098543,0.381077,0.129643,-0.057767,-0.078789,-0.229961,0.255115,0.231017,-0.027519,-0.254874,0.098212,-0.073159,0.14589,-0.077343,0.011565,-0.207947,-0.216454,0.128897,0.02772,-0.088554,-0.002254,-0.097245,0.067259,-0.001176,0.303148,0.084271,-0.226611,0.127472,0.436427,-0.230248,0.121029
Catherine Morland,-0.360278,-0.123307,-0.048179,-0.35863,-0.166842,-0.279087,0.050045,0.175833,1.0,0.309026,-0.061603,0.067287,-0.200333,-0.409601,0.203582,0.312975,-0.411225,0.330726,-0.260514,0.402352,0.00276,-0.19981,-0.016709,0.574463,0.268854,-0.19455,0.208837,0.124586,-0.118705,0.202383,0.10175,-0.316889,-0.286256,0.429948,0.447349,-0.056278,0.723586,0.204137,0.175664,-0.181555,-0.018923,-0.137615,0.289957,-0.288496,0.17559,0.201028,0.142058,0.214911,-0.066777,-0.145807,-0.217555,-0.310299,0.128178,-0.178863,0.339926,-0.29739,-0.018743,0.484908,-0.073901,-0.291132,0.076801,0.056387,0.131035,0.082497,0.112041,0.131876,0.434383,-0.182334,-0.161825,-0.190626,0.218632,0.174794,-0.203328,0.303141,-0.035926,-0.05668,-0.095001,-0.381741,0.098985,0.253068,0.012722,-0.247624,0.214499,0.012023,0.399766,-0.214845,0.215585,-0.192826,-0.350075,-0.083448,-0.201128,-0.388467,-0.134039,-0.092135,0.398072,-0.301055,0.310921,0.025989,-0.198769,0.115347,0.136415,-0.242441,0.268426
Charles Bingley,-0.382024,-0.211866,-0.132774,-0.338978,-0.052836,-0.238961,-0.021761,0.421291,0.309026,1.0,-0.148344,0.414502,-0.245604,-0.393845,0.267888,0.162223,-0.386309,-0.01821,-0.226684,0.697823,-0.035723,-0.20218,0.050704,0.277412,0.554127,-0.158292,0.072087,-0.071331,-0.123287,0.37622,0.170065,-0.279516,-0.172882,0.202501,0.100278,-0.034213,0.388311,-0.007414,0.578804,-0.23843,-0.061706,-0.193267,-0.004853,-0.293298,0.057885,0.3057,0.015026,0.088679,-0.098008,-0.05399,-0.333025,-0.197283,0.328048,-0.147166,0.259223,-0.233932,0.022353,0.250111,-0.053994,-0.142441,0.007045,0.349645,0.21463,0.146394,-0.069126,0.018084,0.224201,-0.270156,-0.253692,-0.081303,0.006067,0.061221,-0.130436,0.557208,-0.017642,0.0106,-0.037268,-0.276948,0.421004,0.292584,-0.04639,-0.309652,0.090743,0.031803,0.154821,-0.135104,0.043086,-0.177906,-0.355788,0.074041,-0.12442,-0.208939,-0.033219,-0.084499,0.177016,-0.258934,0.205169,0.046374,-0.179306,0.058106,0.42555,-0.250812,0.200127
