Character	Assertion
Fanny Price	The conference was neither so short nor so conclusive as the lady had designed .
Fanny Price	He had vanity , which strongly inclined him in the first place to think she did love him , though she might not know it herself ; and which , secondly , when constrained at last to admit that she did know her own present feelings , convinced him that he should be able in time to make those feelings what he wished .
Fanny Price	He was in love , very much in love ; and it was a love which , operating on an active , sanguine spirit , of more warmth than delicacy , made her affection appear of greater consequence because it was withheld , and determined him to have the glory , as well as the felicity , of forcing her to love him .
Fanny Price	He had every well - grounded reason for solid attachment ; he knew her to have all the worth that could justify the warmest hopes of lasting happiness with her ; her conduct at this very time , by speaking the disinterestedness and delicacy of her character ( qualities which he believed most rare indeed ) , was of a sort to heighten all his wishes , and confirm all his resolutions .
Fanny Price	He considered her rather as one who had never thought on the subject enough to be in danger ; who had been guarded by youth , a youth of mind as lovely as of person ; whose modesty had prevented her from understanding his attentions , and who was still overpowered by the suddenness of addresses so wholly unexpected , and the novelty of a situation which her fancy had never taken into account .
Fanny Price	Love such as his , in a man like himself , must with perseverance secure a return , and at no great distance ; and he had so much delight in the idea of obliging her to love him in a very short time , that her not loving him now was scarcely regretted .
Fanny Price	To Fanny , however , who had known too much opposition all her life to find any charm in it , all this was unintelligible .
Fanny Price	She found that he did mean to persevere ; but how he could , after such language from her as she felt herself obliged to use , was not to be understood .
Fanny Price	She told him that she did not love him , could not love him , was sure she never should love him ; that such a change was quite impossible ; that the subject was most painful to her ; that she must entreat him never to mention it again , to allow her to leave him at once , and let it be considered as concluded for ever .
Fanny Price	And when farther pressed , had added , that in her opinion their dispositions were so totally dissimilar as to make mutual affection incompatible ; and that they were unfitted for each other by nature , education , and habit .
Fanny Price	All this she had said , and with the earnestness of sincerity ; yet this was not enough , for he immediately denied there being anything uncongenial in their characters , or anything unfriendly in their situations ; and positively declared , that he would still love , and still hope !
Fanny Price	Fanny knew her own meaning , but was no judge of her own manner .
Fanny Price	Her
Fanny Price	manner was incurably gentle ; and she was not aware how much it concealed the sternness of her purpose .
Fanny Price	Her diffidence , gratitude , and softness made every expression of indifference seem almost an effort of self - denial ; seem , at least , to be giving nearly as much pain to herself as to him .
Fanny Price	Mr. Crawford was no longer the Mr. Crawford who , as the clandestine , insidious , treacherous admirer of Maria Bertram , had been her abhorrence , whom she had hated to see or to speak to , in whom she could believe no good quality to exist , and whose power , even of being agreeable , she had barely acknowledged .
Fanny Price	He was now the Mr. Crawford who was addressing herself with ardent , disinterested love ; whose feelings were apparently become all that was honourable and upright , whose views of happiness were all fixed on a marriage of attachment ; who was pouring out his sense of her merits , describing and describing again his affection , proving as far as words could prove it , and in the language , tone , and spirit of a man of talent too , that he sought her for her gentleness and her goodness ; and to complete the whole , he was now the Mr. Crawford who had procured William ’s promotion ! Here was a change , and here were claims which could not but operate !
Fanny Price	She might have disdained him in all the dignity of angry virtue , in the grounds of Sotherton , or the theatre at Mansfield Park ; but he approached her now with rights that demanded different treatment .
Fanny Price	She must be courteous , and she must be compassionate .
Fanny Price	She must have a sensation of being honoured , and whether thinking of herself or her brother , she must have a strong feeling of gratitude .
Fanny Price	The effect of the whole was a manner so pitying and agitated , and words intermingled with her refusal so expressive of obligation and concern , that to a temper of vanity and hope like Crawford ’s , the truth , or at least the strength of her indifference , might well be questionable ; and he was not so irrational as Fanny considered him , in the professions of persevering , assiduous , and not desponding attachment which closed the interview .
Fanny Price	It was with reluctance that he suffered her to go ; but there was no look of despair in parting to belie his words , or give her hopes of his being less unreasonable than he professed himself .
Fanny Price	Now she was angry .
Fanny Price	Here was again a want of delicacy and regard for others which had formerly so struck and disgusted her .
Fanny Price	Here was again a something of the same Mr. Crawford whom she had so reprobated before .
Fanny Price	her
Fanny Price	So thought Fanny , in good truth and sober sadness , as she sat musing over that too great indulgence and luxury of a fire upstairs : wondering at the past and present ; wondering at what was yet to come , and in a nervous agitation which made nothing clear to her but the persuasion of her being never under any circumstances able to love Mr. Crawford , and the felicity of having a fire to sit over and think of it .
Fanny Price	The first feeling was disappointment : he had hoped better things ; he had thought that an hour ’s entreaty from a young man like Crawford could not have worked so little change on a gentle - tempered girl like Fanny ; but there was
Fanny Price	Mr. Crawford ’s steadiness was honoured , and Fanny was praised , and the connexion was still the most desirable in the world .
Fanny Price	In all his niece ’s family and friends , there could be but one opinion , one wish on the subject ; the influence of all who loved her must incline one way . Everything was said that could encourage , every encouragement received with grateful joy , and the gentlemen parted the best of friends .
Fanny Price	Satisfied that the cause was now on a footing the most proper and hopeful , Sir Thomas resolved to abstain from all farther importunity with his niece , and to shew no open interference .
Fanny Price	Upon her disposition he believed kindness might be the best way of working .
Fanny Price	The forbearance of her family on a point , respecting which she could be in no doubt of their wishes , might be their surest means of forwarding it .
Fanny Price	Accordingly , on this principle , Sir Thomas took the first opportunity of saying to her , with a mild gravity , intended to be overcoming , “ Well , Fanny , I have seen Mr. Crawford again , and learn from him exactly how matters stand between you .
Fanny Price	you must feel that you have created an attachment of no common character ; though , young as you are , and little acquainted with the transient , varying , unsteady nature of love , as it generally exists , you can not be struck as I am with all that is wonderful in a perseverance of this sort against discouragement .
Fanny Price	“ Indeed , sir , ” said Fanny , “ I am very sorry that Mr. Crawford should continue to — I know that it is paying me a very great compliment , and I feel most undeservedly honoured ; but I am so perfectly convinced , and I
Fanny Price	told him so , that it never will be in my power —
Fanny Price	” “ My dear , ” interrupted Sir Thomas , “ there is no occasion for this .
Fanny Price	Your feelings are as well known to me as my wishes and regrets must be to you .
Fanny Price	You will have nothing to fear , or to be agitated about .
Fanny Price	You can not suppose me capable of trying to persuade you to marry against your inclinations .
Fanny Price	Your happiness and advantage are all that I have in view , and nothing is required of you but to bear with Mr. Crawford ’s endeavours to convince you that they may not be incompatible with his .
Fanny Price	You are on safe ground .
Fanny Price	I have engaged for your seeing him whenever he calls , as you might have done had nothing of this sort occurred .
Fanny Price	You will see him with the rest of us , in the same manner , and , as much as you can , dismissing the recollection of everything unpleasant .
Fanny Price	And now , my dear Fanny , this subject is closed between us .
Fanny Price	The promised departure was all that Fanny could think of with much satisfaction .
Fanny Price	Her uncle ’s kind expressions , however , and forbearing manner , were sensibly felt ; and when she considered how much of the
Fanny Price	truth was unknown to him , she believed she had no right to wonder at the line of conduct he pursued .
Fanny Price	She must do her duty , and trust that time might make her duty easier than it now was .
Fanny Price	She could not , though only eighteen , suppose Mr. Crawford ’s attachment would hold out for ever ; she could not but imagine that steady , unceasing discouragement from herself would put an end to it in time .
Fanny Price	How much time she might , in her own fancy , allot for its dominion , is another concern .
Fanny Price	In spite of his intended silence , Sir Thomas found himself once more obliged to mention the subject to his niece , to prepare her briefly for its being imparted to her aunts ; a measure which he would still have avoided , if possible , but which became necessary from the totally opposite feelings of Mr. Crawford as to any secrecy of proceeding .
Fanny Price	When Sir Thomas understood this , he felt the necessity of making his own wife and sister - in - law acquainted with the business without delay ; though , on Fanny ’s account , he almost dreaded the effect of the communication to Mrs. Norris as much as Fanny herself .
Fanny Price	He deprecated her mistaken but well - meaning zeal .
Fanny Price	Sir Thomas , indeed , was , by this time , not very far from classing Mrs. Norris as one of those well - meaning people who are always doing mistaken and very disagreeable things .
Fanny Price	Mrs. Norris , however , relieved him .
Fanny Price	He pressed for the strictest forbearance and silence towards their niece ; she not only promised , but did observe it .
Fanny Price	She only looked her increased ill - will .
Fanny Price	Angry she was : bitterly angry ; but she was more angry with Fanny for having received such an offer than for refusing it .
Fanny Price	It was an injury and affront to Julia , who ought to have been Mr. Crawford ’s choice ; and , independently of that , she disliked Fanny , because she had neglected her ; and she would have grudged such an elevation to one whom she had been always trying to depress .
Fanny Price	Sir Thomas gave her more credit for discretion on the occasion than she deserved ; and Fanny could have blessed her for allowing her only to see her displeasure , and not to hear it .
Fanny Price	Lady Bertram took it differently .
Fanny Price	She had been a beauty , and a prosperous beauty , all her life ; and beauty and wealth were all that excited her respect .
Fanny Price	To know Fanny to be sought in marriage by a man of fortune , raised her , therefore , very much in her opinion .
Fanny Price	By convincing her that Fanny _ was _ very pretty , which she had been doubting about before , and that she would be advantageously married
Fanny Price	, it made her feel a sort of credit in calling her niece .
