Character	Assertion
Catherine Morland	16 Catherine ’s expectations of pleasure from her visit in Milsom Street were so very high that disappointment was inevitable ; and accordingly , though she was most politely received by General Tilney , and kindly welcomed by his daughter , though Henry was at home , and no one else of the party , she found , on her return , without spending many hours in the examination of her feelings , that she had gone to her appointment preparing for happiness which it had not afforded .
Catherine Morland	Instead of finding herself improved in acquaintance with Miss Tilney
Catherine Morland	, from the intercourse of the day , she seemed hardly so intimate with her as before ; instead of seeing Henry Tilney to greater advantage than ever , in the ease of a family party , he had never said so little , nor been so little agreeable ; and , in spite of their father ’s great civilities to her — in spite of his thanks , invitations , and compliments — it had been a release to get away from him .
Catherine Morland	It puzzled her to account for all this .
Catherine Morland	_ He _ could not be accountable for his children ’s want of spirits , or for her want of enjoyment in his company .
Catherine Morland	The former she hoped at last might have been accidental , and the latter she could only attribute to her own stupidity .
Catherine Morland	she had long suspected the family to be very high , and this made it certain .
Catherine Morland	Such insolence of behaviour as Miss Tilney ’s she had never heard of in her life !
Catherine Morland	and then the brother , he , who had appeared so attached to you !
Catherine Morland	And so he hardly looked once at you the whole day ? ”
Catherine Morland	“ I do not say so ; but he did not seem in good spirits . ”
Catherine Morland	Let me entreat you never to think of him again , my dear Catherine ; indeed he is unworthy of you . ”
Catherine Morland	i do not suppose he ever thinks of me . ”
Catherine Morland	“ That is exactly what I say ; he never thinks of you .
Catherine Morland	how different to your brother and to mine !
Catherine Morland	“ But as for General Tilney , I assure you it would be impossible for anybody to behave to me with greater civility and attention ; it seemed to be his only care to entertain and make me happy . ”
Catherine Morland	i know no harm of him ; I do not suspect him of pride .
Catherine Morland	I believe he is a very gentleman - like man .
Catherine Morland	John thinks very well of him , and John ’s judgment — ” “ Well , I shall see how they behave to me this evening ; we shall meet them at the rooms . ”
Catherine Morland	“ And must I go ? ” “ Do not you intend it ?
Catherine Morland	“ Nay , since you make such a point of it , I can refuse you nothing .
Catherine Morland	But do not insist upon my being very agreeable , for my heart , you know , will be some forty miles off .
Catherine Morland	Catherine , meanwhile , undisturbed by presentiments of such an evil , or of any evil at all , except that of having but a short set to dance down , enjoyed her usual happiness with Henry Tilney , listening with sparkling eyes to everything he said ; and , in finding him irresistible , becoming so herself .
Catherine Morland	At the end of the first dance , Captain Tilney came towards them again , and , much to Catherine ’s dissatisfaction , pulled his brother away .
Catherine Morland	They retired whispering together ; and , though her delicate sensibility did not take immediate alarm , and lay it down as fact , that Captain Tilney must have heard some malevolent misrepresentation of her , which he now hastened to communicate to his brother , in the hope of separating them forever , she could not have her partner conveyed from her sight without very uneasy sensations .
Catherine Morland	Her suspense was of full five minutes ’ duration ; and she was beginning to think it a very long quarter of an hour , when they both returned , and an explanation was given , by Henry ’s requesting to know , if she thought her friend , Miss Thorpe , would have any objection to dancing , as his brother would be most happy to be introduced to her .
Catherine Morland	Catherine , without hesitation , replied that she was very sure Miss Thorpe did not mean to dance at all .
Catherine Morland	“ Your brother will not mind it , I know , ” said she , “ because I heard him say before that he hated dancing ; but it was very good - natured in him to think of it .
Catherine Morland	Henry smiled , and said , “ How very little trouble it can give you to understand the motive of other people ’s actions . ” “ Why ?
Catherine Morland	“ With you , it is not , How is such a one likely to be influenced , What is the inducement most likely to act upon such a person ’s feelings , age , situation , and probable habits of life considered — but , How should _ I _ be influenced , What would be _ my _ inducement in acting so and so ?
Catherine Morland	“ I do not understand you . ” “ Then we are on very unequal terms , for I understand you perfectly well . ”
Catherine Morland	“ Me ?
Catherine Morland	Yes ; I can not speak well enough to be unintelligible . ”
Catherine Morland	“ But pray tell me what you mean . ”
Catherine Morland	Do you really desire it ?
Catherine Morland	But you are not aware of the consequences
Catherine Morland	; it will involve you in a very cruel embarrassment , and certainly bring on a disagreement between us . ”
Catherine Morland	“ No , no ; it shall not do either ; I am not afraid . ”
Catherine Morland	“ Well , then , I only meant that your attributing my brother ’s wish of dancing with Miss Thorpe to good nature alone convinced me of your being superior in good nature yourself to all the rest of the world . ”
Catherine Morland	Catherine blushed and disclaimed , and the gentleman ’s predictions were verified .
Catherine Morland	There was a something , however , in his words which repaid her for the pain of confusion ; and that something occupied her mind so much that she drew back for some time , forgetting to speak or to listen , and almost forgetting where she was ; till , roused by the voice of Isabella , she looked up and saw her with Captain Tilney preparing to give them hands across .
Catherine Morland	Isabella shrugged her shoulders and smiled , the only explanation of this extraordinary change which could at that time be given ; but as it was not quite enough for Catherine ’s comprehension , she spoke her astonishment in very plain terms to her partner .
Catherine Morland	but , because — And your brother !
Catherine Morland	after what you told him from me , how could he think of going to ask her ? ” “ I can not take surprise to myself on that head .
Catherine Morland	You bid me be surprised on your friend ’s account , and therefore I am ; but
Catherine Morland	The fairness of your friend was an open attraction ; her firmness , you know , could only be understood by yourself . ”
Catherine Morland	“ You are laughing ; but , I assure you , Isabella is very firm in general . ”
Catherine Morland	The friends were not able to get together for any confidential discourse till all the dancing was over ; but then , as they walked about the room arm in arm , Isabella thus explained herself : “ I do not wonder at your surprise ; and I am really fatigued to death . He is such a rattle !
Catherine Morland	it would have looked so particular ; and you know how I abhor doing that .
Catherine Morland	You have no idea how he pressed me .
Catherine Morland	Besides , I thought Mrs. Hughes , who introduced him , might take it ill if I did not : and your dear brother , I am sure he would have been miserable if I had sat down the whole evening .
Catherine Morland	I took him down several times , you know , in my way . ”
Catherine Morland	Catherine , whose expectations had been as unfixed as her ideas of her father ’s income , and whose judgment was now entirely led by her brother , felt equally well satisfied , and heartily congratulated Isabella on having everything so pleasantly settled .
Catherine Morland	For myself , it is nothing ; I never think of myself . ” “ I know you never do , my dear ; and you will always find your reward in
Catherine Morland	the affection it makes everybody feel for you
Catherine Morland	There never was a young woman so beloved as you are by everybody that knows you ; and I dare say when Mr. Morland sees you , my dear child — but do not let us distress our dear Catherine by talking of such things .
Catherine Morland	I always heard he was a most excellent man ; and you know , my dear , we are not to suppose but what , if you had had a suitable fortune , he would have come down with something more , for I am sure he must be a most liberal - minded man . ”
Catherine Morland	Catherine was hurt by these insinuations .
Catherine Morland	“ I am very sure , ” said she , “ that my father has promised to do as much as he can afford . ”
Catherine Morland	“ As to that , my sweet Catherine , there can not be a doubt , and you know me well enough to be sure that a much smaller income would satisfy me .
Catherine Morland	my Catherine , you have found me out .
Catherine Morland	The long , long , endless two years and a half that are to pass before your brother can hold the living . ”
Catherine Morland	“ Yes , yes , my darling Isabella , ” said Mrs. Thorpe , “ we perfectly see into your heart .
Catherine Morland	Catherine ’s uncomfortable feelings began to lessen .
Catherine Morland	She endeavoured to believe that the delay of the marriage was the only source of Isabella ’s regret ; and when she saw her at their next interview as cheerful and amiable as ever , endeavoured to forget that she had for a minute thought otherwise .
Catherine Morland	15 Early the next day , a note from Isabella , speaking peace and tenderness in every line , and entreating the immediate presence of her friend on a matter of the utmost importance , hastened Catherine , in the happiest state of confidence and curiosity , to Edgar ’s Buildings .
Catherine Morland	The two youngest Miss Thorpes were by themselves in the parlour ; and , on Anne ’s quitting it to call her sister , Catherine took the opportunity of asking the other for some particulars of their yesterday ’s party .
