Character	Assertion
William Collins	The discussion of Mr. Collins ’s offer was now nearly at an end , and Elizabeth had only to suffer from the uncomfortable feelings necessarily attending it , and occasionally from some peevish allusion of her mother .
William Collins	Mr. Collins was also in the same state of angry pride .
William Collins	Elizabeth had hoped that his resentment might shorten his visit , but his plan did not appear in the least affected by it .
William Collins	He was always to have gone on Saturday , and to Saturday he still meant to stay .
William Collins	After breakfast , the girls walked to Meryton , to inquire if Mr. Wickham were returned , and to lament over his absence from the Netherfield ball .
William Collins	He joined them on their entering the town , and attended them to their aunt ’s , where his regret and vexation and the concern of everybody were well talked over .
William Collins	To Elizabeth , however , he voluntarily acknowledged that the necessity of his absence _ had _ been self - imposed .
William Collins	“ I found , ” said he , “ as the time drew near , that I had better not meet Mr. Darcy;--that to be in the same room , the same party with him for so many hours together , might be more than I could bear , and that scenes might arise unpleasant to more than myself .
William Collins	She highly approved his forbearance ; and they had leisure for a full discussion of it , and for all the commendations which they civilly bestowed on each other , as Wickham and another officer walked back with them to Longbourn , and during the walk he particularly attended to her
William Collins	His accompanying them was a double advantage : she felt all the compliment it offered to herself ; and it was most acceptable as an occasion of introducing him to her father and mother . [ Illustration : “ Walked back with them ” [ _ Copyright 1894 by George Allen .
William Collins	to join , with her usual cheerfulness , in the general conversation : but Elizabeth felt an anxiety on the subject which drew off her attention even from Wickham ; and no sooner had he and his companion taken leave ,
William Collins	She then read the first sentence aloud , which comprised the information of their having just resolved to follow their brother to town directly , and of their meaning to dine that day in Grosvenor Street , where Mr. Hurst had a house .
William Collins	The next was in these words:--“‘I do not pretend to regret anything I shall leave in Hertfordshire except your society , my dearest friend ; but we will hope , at some future period , to enjoy many returns of that delightful intercourse we have known , and in the meanwhile may lessen the pain of separation by a very frequent and most unreserved correspondence .
William Collins	I depend on you for that . ’ ”
William Collins	“ ‘ When my brother left us yesterday , he imagined that the business which took him to London might be concluded in three or four days ; but as we are certain it can not be so , and at the same time convinced that when Charles gets to town he will be in no hurry to leave it again , we have determined on following him thither , that he may not be obliged to spend his vacant hours in a comfortless hotel .
William Collins	Many of my acquaintance are already there for the winter : I wish I could hear that you , my dearest friend , had any intention of making one in the crowd , but of that I despair .
William Collins	I sincerely hope your Christmas in Hertfordshire may abound in the gaieties which that season generally brings , and that your beaux will be so numerous as to prevent your feeling the loss of the three of whom we shall deprive you .
William Collins	“ It is evident by this , ” added Jane , “ that he comes back no more this winter . ” “ It is only evident that Miss Bingley does not mean he _ should _ . ” “ Why will you think so ?
William Collins	It must be his own doing ; he is his own master .
William Collins	I _ will _ read you the passage which particularly hurts me .
William Collins	I will have no reserves from _ you _ .
William Collins	I really do not think Georgiana Darcy has her equal for beauty , elegance , and accomplishments ; and the affection she inspires in Louisa and myself is heightened into something still more interesting from the hope we dare to entertain of her being hereafter our sister .
William Collins	I do not know whether I ever before mentioned to you my feelings on this subject , but I will not leave the country without confiding them , and I trust you will not esteem them unreasonable .
William Collins	My brother admires her greatly already ; he will have frequent opportunity now of seeing her on the most intimate footing ; her relations all wish the connection as much as his own ; and a sister ’s partiality is not misleading me , I think , when I call Charles most capable of engaging any woman ’s heart .
William Collins	With all these circumstances to favour an attachment , and nothing to prevent it , am I wrong , my dearest Jane , in indulging the hope of an event which will secure the happiness of so many ? ’
William Collins	Does it not expressly declare that Caroline neither expects nor wishes me to be her sister ; that she is perfectly convinced of her brother ’s indifference ; and that if she suspects the nature of my feelings for him she means ( most kindly ! ) to put me on my guard .
William Collins	Miss Bingley sees that her brother is in love with you and wants him to marry Miss Darcy .
William Collins	She follows him to town in the hope of keeping him there , and tries to persuade you that he does not care about you . ”
William Collins	“ Indeed , Jane , you ought to believe me .
William Collins	can doubt his affection ; Miss Bingley , I am sure , can not : she is not such a simpleton .
William Collins	But the case is this:--we are not rich enough or grand enough for them ; and she is the more anxious to get Miss Darcy for her brother , from the notion that when there has been _ one _ inter - marriage , she may have less trouble in achieving a second ; in which there is certainly some ingenuity , and I dare say it would succeed if Miss de Bourgh were out of the way .
William Collins	But , my dearest Jane , you can not seriously imagine that , because Miss Bingley tells you her brother greatly admires Miss Darcy , he is in the smallest degree less sensible of _ your _ merit than when he took leave of you on Tuesday ; or that it will be in her power to persuade him that , instead of being in love with you , he is very much in love with her friend . ”
William Collins	You have now done your duty by her , and must fret no longer . ”
William Collins	In a doleful voice Mrs. Bennet thus began the projected conversation:-- “ Oh , Mr. Collins ! ”
William Collins	“ My dear madam , ” replied he , “ let us be for ever silent on this point .
William Collins	Far be it from me , ” he presently continued , in a voice that marked his displeasure , “ to resent the behaviour of your daughter .
William Collins	Resignation to inevitable evils is the duty of us all : the peculiar duty of a young man who has been so fortunate as I have been , in early preferment ; and , I trust , I am resigned .
William Collins	Perhaps not the less so from feeling a doubt of my positive happiness had my fair cousin honoured me with her hand ; for I have often observed , that resignation is never so perfect as when the blessing denied begins to lose somewhat of its value in our estimation .
William Collins	You will not , I hope , consider me as showing any disrespect to your family , my dear madam , by thus withdrawing my pretensions to your daughter ’s favour , without having paid yourself and Mr. Bennet the compliment of requesting you to interpose your authority in my behalf .
William Collins	My conduct may , I fear , be objectionable in having accepted my dismission from your daughter ’s lips instead of your own ; but we are all liable to error .
William Collins	I have certainly meant well through the whole affair .
William Collins	My object has been to secure an amiable companion for myself , with due consideration for the advantage of all your family ; and if my _ manner _ has been at all reprehensible , I here beg leave to apologize . ”
William Collins	Mr. Darcy ’s letter to Lady Catherine was in a different style , and still different from either was what Mr. Bennet sent to Mr. Collins , in return for his last .
William Collins	Before any answer could arrive from Mr. Collins , or any congratulations to Elizabeth from his wife , the Longbourn family heard that the Collinses were come themselves to Lucas Lodge .
William Collins	Elizabeth was sitting with her mother and sisters , reflecting on what she had heard , and doubting whether she was authorized to mention it , when Sir William Lucas himself appeared , sent by his daughter to announce her engagement to the family .
William Collins	With many compliments to them , and much self - gratulation on the prospect of a connection between the houses , he unfolded the matter,--to an audience not merely wondering , but incredulous ; for Mrs. Bennet , with more perseverance than politeness , protested he must be entirely mistaken ; and Lydia , always unguarded and often uncivil , boisterously exclaimed,-- “ Good Lord !
William Collins	Sir William , how can you tell such a story ?
William Collins	Do not you know that Mr. Collins wants to marry Lizzy ? ”
William Collins	Nothing less than the complaisance of a courtier could have borne without anger such treatment : but Sir William ’s good - breeding carried him through it all ; and though he begged leave to be positive as to the truth of his information , he listened to all their impertinence with the most forbearing courtesy .
William Collins	Elizabeth , feeling it incumbent on her to relieve him from so unpleasant a situation , now put herself forward to confirm his account , by mentioning her prior knowledge of it from Charlotte herself ; and endeavoured to put a stop to the exclamations of her mother and sisters , by the earnestness of her congratulations to Sir William , in which she was readily joined by Jane , and by making a variety of remarks on the happiness that might be expected from the match , the excellent character of Mr. Collins , and the convenient distance of Hunsford from London .
William Collins	Mrs. Bennet was , in fact , too much overpowered to say a great deal while Sir William remained ; but no sooner had he left them than her feelings found a rapid vent .
William Collins	In the first place , she persisted in disbelieving the whole of the matter ; secondly , she was very sure that Mr. Collins had been taken in ; thirdly , she trusted that they would never be happy together ; and , fourthly , that the match might be broken off .
William Collins	A week elapsed before she could see Elizabeth without scolding her : a month passed away before she could speak to Sir William or Lady Lucas without being rude ; and many months were gone before she could at all forgive their daughter .
William Collins	Mr. Bennet ’s emotions were much more tranquil on the occasion , and such as he did experience he pronounced to be of a most agreeable sort ; for it gratified him , he said , to discover that Charlotte Lucas , whom he had been used to think tolerably sensible , was as foolish as his wife , and more foolish than his daughter !
William Collins	Kitty and Lydia were far from envying Miss Lucas , for Mr. Collins was only a clergyman ; and it affected them in no other way than as a piece of news to spread at Meryton .
William Collins	Lady Lucas could not be insensible of triumph on being able to retort on Mrs. Bennet the comfort of having a daughter well married ; and she called at Longbourn rather oftener than usual to say how happy she was , though Mrs. Bennet ’s sour looks and ill - natured remarks might have been enough to drive happiness away .
William Collins	Between Elizabeth and Charlotte there was a restraint which kept them mutually silent on the subject ; and Elizabeth felt persuaded that no real confidence could ever subsist between them again .
William Collins	Her disappointment in Charlotte made her turn with fonder regard to her sister , of whose rectitude and delicacy she was sure her opinion could never be shaken , and for whose happiness she grew daily more anxious , as Bingley had now been gone a week , and nothing was heard of his return .
William Collins	The promised letter of thanks from Mr. Collins arrived on Tuesday , addressed to their father , and written with all the solemnity of gratitude which a twelve - month ’s abode in the family might have prompted .
William Collins	After discharging his conscience on that head , he proceeded to inform them , with many rapturous expressions , of his happiness in having obtained the affection of their amiable neighbour , Miss Lucas , and then explained that it was merely with the view of enjoying her society that he had been so ready to close with their kind wish of seeing him again at Longbourn , whither he hoped to be able to return on Monday fortnight ; for Lady Catherine , he added , so heartily approved his marriage , that she wished it to take place as soon as possible , which he trusted would be an unanswerable argument with his amiable Charlotte to name an early day for making him the happiest of men . Mr. Collins ’s return into Hertfordshire was no longer a matter of pleasure to Mrs. Bennet .
William Collins	On the contrary , she was as much disposed to complain of it as her husband .
William Collins	It was very strange that he should come to Longbourn instead of to Lucas Lodge ; it was also very inconvenient and exceedingly troublesome .
William Collins	Day after day passed away without bringing any other tidings of him than the report which shortly prevailed in Meryton of his coming no more to Netherfield the whole winter ; a report which highly incensed Mrs. Bennet , and which she never failed to contradict as a most scandalous falsehood . Even Elizabeth began to fear -- not that Bingley was indifferent -- but that
William Collins	Unwilling as she was to admit an idea so destructive to Jane ’s happiness , and so dishonourable to the stability of her lover , she could not prevent its frequently recurring .
William Collins	As for Jane , _ her _ anxiety under this suspense was , of course , more painful than Elizabeth ’s : but whatever she felt she was desirous of concealing ; and between herself and Elizabeth , therefore , the subject was never alluded to .
William Collins	But as no such delicacy restrained her mother , an hour seldom passed in which she did not talk of Bingley , express her impatience for his arrival , or even require Jane to confess that if he did not come back she should think herself very ill - used .
William Collins	Mr. Collins returned most punctually on the Monday fortnight , but his reception at Longbourn was not quite so gracious as it had been on his first introduction .
William Collins	He was too happy , however , to need much attention ; and , luckily for the others , the business of love - making relieved them from a great deal of his company .
William Collins	The chief of every day was spent by him at Lucas Lodge , and he sometimes returned to Longbourn only in time to make an apology for his absence before the family went to bed .
William Collins	[ Illustration : “ _ Whenever she spoke in a low voice _ ” ] Mrs. Bennet was really in a most pitiable state .
William Collins	Whenever Charlotte came to see them
William Collins	, she concluded her to be anticipating the hour of possession ; and whenever she spoke in a low voice to Mr. Collins , was convinced that they were talking of the Longbourn estate , and resolving to turn herself and her daughters out of the house as soon as Mr. Bennet was dead .
William Collins	She complained bitterly of all this to her husband .
William Collins	“ Indeed , Mr. Bennet , ” said she , “ it is very hard to think that Charlotte Lucas should ever be mistress of this house , that _ I _ should be forced to make way for _ her _ , and live to see her take my place in it ! ” “ My dear , do not give way to such gloomy thoughts .
William Collins	“ Let us be thankful that you are preserved from a state of such insensibility . ” “ I never can be thankful , Mr. Bennet , for anything about the entail .
William Collins	How anyone could have the conscience to entail away an estate from one ’s own daughters I can not understand ; and all for the sake of Mr. Collins , too !
William Collins	Why should _ he _ have it more than anybody else ? ” “ I leave it to yourself to determine , ” said Mr. Bennet .
William Collins	I am not romantic , you know .
William Collins	I never was .
William Collins	I ask only a comfortable home ; and , considering Mr. Collins ’s character , connections , and situation in life , I am convinced that my chance of happiness with him is as fair as most people can boast on entering the marriage state . ”
William Collins	Charlotte did not stay much longer ; and Elizabeth was then left to reflect on what she had heard .
William Collins	It was a long time before she became at all reconciled to the idea of so unsuitable a match .
William Collins	The strangeness of Mr. Collins ’s making two offers of marriage within three days
William Collins	was nothing in comparison of his being now accepted .
William Collins	She had always felt that Charlotte ’s opinion of matrimony was not exactly like her own ; but she could not have supposed it possible that , when called into action , she would have sacrificed every better feeling to worldly advantage .
William Collins	Charlotte , the wife of Mr. Collins , was a
William Collins	[ Illustration : “ Protested he must be entirely mistaken .
William Collins	Mr. Collins was not a sensible man , and the deficiency of nature had been but little assisted by education or society ; the greatest part of his life having been spent under the guidance of an illiterate and miserly father ; and though he belonged to one of the universities , he had merely kept the necessary terms without forming at it any useful acquaintance .
William Collins	The subjection in which his father had brought him up had given him originally great humility of manner ; but it was now a good deal counteracted by the self - conceit of a weak head , living in retirement , and the consequential feelings of early and unexpected prosperity .
William Collins	A fortunate chance had recommended him to Lady Catherine de Bourgh when the living of Hunsford was vacant ; and the respect which he felt for her high rank , and his veneration for her as his patroness , mingling with a very good opinion of himself , of his authority as a clergyman , and his right as a rector , made him altogether a mixture of pride and obsequiousness , self - importance and humility .
William Collins	Having now a good house and a very sufficient income , he intended to marry ; and in seeking a reconciliation with the Longbourn family he had a wife in view , as he meant to choose one of the daughters , if he found them as handsome and amiable as they were represented by common report .
William Collins	This was his plan of amends -- of atonement -- for inheriting their father ’s estate ; and he thought it an excellent one , full of eligibility and suitableness , and excessively generous and disinterested on his own part . His plan did not vary on seeing them .
William Collins	Miss Bennet ’s lovely face confirmed his views , and established all his strictest notions of what was due to seniority ; and for the first evening _ she _ was his settled choice .
William Collins	The next morning , however , made an alteration ; for in a quarter of an hour ’s _ tête - à - tête _ with Mrs. Bennet before breakfast , a conversation beginning with his parsonage - house , and leading naturally to the avowal of his hopes , that a mistress for it might be found at Longbourn , produced from her , amid very complaisant smiles and general encouragement , a caution against the very Jane he had fixed on .
William Collins	Mr. Collins had only to change from Jane to Elizabeth -- and it was soon done -- done while Mrs. Bennet was stirring the fire .
William Collins	Lydia ’s intention of walking to Meryton was not forgotten : every sister except Mary agreed to go with her ; and Mr. Collins was to attend them , at the request of Mr. Bennet , who was most anxious to get rid of him , and have his library to himself ; for thither Mr. Collins had followed him after breakfast , and there he would continue , nominally engaged with one of the largest folios in the collection , but really talking to Mr. Bennet , with little cessation , of his house and garden at Hunsford .
William Collins	In his library he had been always sure of leisure and tranquillity ; and though prepared , as he told Elizabeth , to meet with folly and conceit in every other room in the house , he was used to be free from them there : his civility , therefore , was most prompt in inviting Mr. Collins to join his daughters in their walk ; and Mr. Collins , being in fact much better fitted for a walker than a reader , was extremely well pleased to close his large book , and go .
William Collins	In pompous nothings on his side , and civil assents on that of his cousins , their time passed till they entered Meryton .
William Collins	was then no longer to be gained by _ him _ .
William Collins	Mr. Denny addressed them directly , and entreated permission to introduce his friend , Mr. Wickham , who had returned with him the day before from town , and , he was happy to say , had accepted a commission in their corps .
William Collins	He was then , he said , on his way to Longbourn on purpose to inquire after her .
William Collins	Mr. Darcy corroborated it with a bow , and was beginning to determine not to fix his eyes on Elizabeth , when they were suddenly arrested by the sight of the stranger ; and Elizabeth happening to see the countenance of both as they looked at each other , was all astonishment at the effect of the meeting .
William Collins	Mr. Wickham , after a few moments , touched his hat -- a salutation which Mr. Darcy just deigned to return .
William Collins	Mr. Denny and Mr. Wickham walked with the young ladies to the door of Mr. Philips ’s house , and then made their bows , in spite of Miss Lydia ’s pressing entreaties that they would come in , and even in spite of Mrs. Philips ’s throwing up the parlour window , and loudly seconding the invitation .
William Collins	Mrs. Philips was always glad to see her nieces ; and the two eldest , from their recent absence , were particularly welcome ; and she was eagerly
William Collins	expressing her surprise at their sudden return home , which , as their own carriage had not fetched them , she should have known nothing about , if she had not happened to see Mr. Jones ’s shopboy in the street , who had told her that they were not to send any more draughts to Netherfield , because the Miss Bennets were come away , when her civility was claimed towards Mr. Collins by Jane ’s introduction of him .
William Collins	Mrs. Philips was quite awed by such an excess of good breeding ; but her contemplation of one stranger was soon put an end to by exclamations and inquiries about the other , of whom , however , she could only tell her nieces what they already knew , that Mr. Denny had brought him from London , and that he was to have a lieutenant ’s commission in the ----shire .
William Collins	She had been watching him the last hour , she said , as he walked up and down the street,--and had Mr. Wickham appeared , Kitty and Lydia would certainly have continued the occupation ; but unluckily no one passed the windows now except a few of the officers , who , in comparison with the stranger , were become “ stupid , disagreeable fellows .
William Collins	the next day , and their aunt promised to make her husband call on Mr. Wickham , and give him an invitation also , if the family from Longbourn would come in the evening .
William Collins	This was agreed to ; and Mrs. Philips protested that they would have a nice comfortable noisy game of lottery tickets , and a little bit of hot supper afterwards .
William Collins	Mr. Collins repeated his apologies in quitting the room , and was assured , with unwearying civility , that they were perfectly needless .
William Collins	Mr. Collins on his return highly gratified Mrs. Bennet by admiring Mrs. Philips ’s manners and politeness .
William Collins	He protested that , except Lady Catherine and her daughter , he had never seen a more elegant woman ; for she had not only received him with the utmost civility , but had even pointedly included him in her invitation for the next evening , although utterly unknown to her before .
William Collins	Something , he supposed , might be attributed to his connection with them , but yet he had never met with so much attention in the whole course of his life .
William Collins	Mr. Bennet accepted the challenge , observing that he acted very wisely in leaving the girls to their own trifling amusements .
William Collins	Mrs. Bennet and her daughters apologized most civilly for Lydia ’s interruption , and promised that it should not occur again , if he would resume his book ; but Mr. Collins , after assuring them that he bore his young cousin no ill - will , and should never resent her behaviour as any affront , seated himself at another table with Mr. Bennet , and prepared for backgammon .
William Collins	Mr. Collins ’s triumph , in consequence of this invitation , was complete .
