Character	Assertion
Mrs. Jennings	and the two girls set off together . They gaily ascended the downs , rejoicing in their own penetration at every glimpse of blue sky ; and when they caught in their faces the animating gales of a high south - westerly wind , they pitied the fears which had prevented their mother and Elinor from sharing such delightful sensations .
Mrs. Jennings	The gentleman offered his services ; and perceiving that her modesty declined what her situation rendered necessary , took her up in his arms without farther delay , and carried her down the hill . Then passing through the garden , the gate of which had been left open by Margaret , he bore her directly into the house , whither Margaret was just arrived , and quitted not his hold till he had seated her in a chair in the parlour . Elinor and her mother rose up in amazement at their entrance , and while the eyes of both were fixed on him with an evident wonder and a secret admiration which equally sprung from his appearance , he apologized for his intrusion by relating its cause , in a manner so frank and so graceful that his person , which was uncommonly handsome , received additional charms from his voice and expression .
Mrs. Jennings	The honour was readily granted , and he then departed , to make himself still more interesting , in the midst of a heavy rain . His manly beauty and more than common gracefulness were instantly the theme of general admiration , and the laugh which his gallantry raised against Marianne received particular spirit from his exterior attractions.-- Marianne herself had seen less of his person that the rest , for the confusion which crimsoned over her face , on his lifting her up , had robbed her of the power of regarding him after their entering the house . But she had seen enough of him to join in all the admiration of the others , and with an energy which always adorned her praise . His person and air were equal to what her fancy had ever drawn for the hero of a favourite story ; and in his carrying her into the house with so little previous formality , there was a rapidity of thought which particularly recommended the action to her .
Mrs. Jennings	His name was good , his residence was in their favourite village , and she soon found out that of all manly dresses a shooting - jacket was the most becoming .
Mrs. Jennings	"Her imagination was busy , her reflections were pleasant , and the pain of a sprained ankle was disregarded . Sir John called on them as soon as the next interval of fair weather that morning allowed him to get out of doors ; and Marianne 's accident being related to him , he was eagerly asked whether he knew any gentleman of the name of Willoughby at Allenham . "" Willoughby ! "" cried Sir John ; "" what , is HE in the country ?"
Mrs. Jennings	21 The Palmers returned to Cleveland the next day , and the two families at Barton were again left to entertain each other . But this did not last long ; Elinor had hardly got their last visitors out of her head , had hardly done wondering at Charlotte 's being so happy without a cause , at Mr. Palmer 's acting so simply , with good abilities , and at the strange unsuitableness which often existed between husband and wife , before Sir John 's and Mrs. Jennings 's active zeal in the cause of society , procured her some other new acquaintance to see and observe .
Mrs. Jennings	In a morning 's excursion to Exeter , they had met with two young ladies , whom Mrs. Jennings had the satisfaction of discovering to be her relations , and this was enough for Sir John to invite them directly to the park , as soon as their present engagements at Exeter were over . Their engagements at Exeter instantly gave way before such an invitation , and Lady Middleton was thrown into no little alarm on the return of Sir John , by hearing that she was very soon to receive a visit from two girls whom she had never seen in her life , and of whose elegance,-- whose tolerable gentility even , she could have no proof ; for the assurances of her husband and mother on that subject went for nothing at all .
Mrs. Jennings	Their being her relations too made it so much the worse ; and Mrs. Jennings 's attempts at consolation were therefore unfortunately founded , when she advised her daughter not to care about their being so fashionable ; because they were all cousins and must put up with one another .
Mrs. Jennings	She wished very much to have the subject continued , though she did not chuse to join in it herself ; but nothing more of it was said , and for the first time in her life , she thought Mrs. Jennings deficient either in curiosity after petty information , or in a disposition to communicate it .
Mrs. Jennings	Amongst them were Sir John and Lady Middleton and Mrs. Jennings ,
