Character	Quote
Emma Woodhouse	"I have the greatest pleasure , my dear Emma , in forwarding to you the enclosed . I know what thorough justice you will do it , and have scarcely a doubt of its happy effect.--I think we shall never materially disagree about the writer again ; but I will not delay you by a long preface.--We are quite well.-- This letter has been the cure of all the little nervousness I have been feeling lately.--I did not quite like your looks on Tuesday , but it was an ungenial morning ; and though you will never own being affected by weather , I think every body feels a north - east wind.-- I felt for your dear father very much in the storm of Tuesday afternoon and yesterday morning , but had the comfort of hearing last night , by Mr. Perry , that it had not made him ill . """
Emma Woodhouse	"The mention of the Coles was sure to be followed by that of Mr. Elton . There was intimacy between them , and Mr. Cole had heard from Mr. Elton since his going away . Emma knew what was coming ; they must have the letter over again , and settle how long he had been gone , and how much he was engaged in company , and what a favourite he was wherever he went , and how full the Master of the Ceremonies ' ball had been ; and she went through it very well , with all the interest and all the commendation that could be requisite , and always putting forward to prevent Harriet 's being obliged to say a word . This she had been prepared for when she entered the house ; but meant , having once talked him handsomely over , to be no farther incommoded by any troublesome topic , and to wander at large amongst all the Mistresses and Misses of Highbury , and their card - parties . She had not been prepared to have Jane Fairfax succeed Mr. Elton ; but he was actually hurried off by Miss Bates , she jumped away from him at last abruptly to the Coles , to usher in a letter from her niece . """
Emma Woodhouse	""""
Emma Woodhouse	"replied the happily deceived aunt , while eagerly hunting for the letter.--""Oh ! here it is . I was sure it could not be far off ; but I had put my huswife upon it , you see , without being aware , and so it was quite hid , but I had it in my hand so very lately that I was almost sure it must be on the table . I was reading it to Mrs. Cole , and since she went away , I was reading it again to my mother , for it is such a pleasure to her-- a letter from Jane -- that she can never hear it often enough ; so I knew it could not be far off , and here it is , only just under my huswife -- and since you are so kind as to wish to hear what she says;--but , first of all , I really must , in justice to Jane , apologise for her writing so short a letter -- only two pages you see-- hardly two -- and in general she fills the whole paper and crosses half . My mother often wonders that I can make it out so well . She often says , when the letter is first opened , ` Well , Hetty , now I think you will be put to it to make out all that checker - work'-- do n't you , ma'am?--And then I tell her , I am sure she would contrive to make it out herself , if she had nobody to do it for her-- every word of it -- I am sure she would pore over it till she had made out every word . And , indeed , though my mother 's eyes are not so good as they were , she can see amazingly well still , thank God ! with the help of spectacles . It is such a blessing ! My mother 's are really very good indeed . Jane often says , when she is here , ` I am sure , grandmama , you must have had very strong eyes to see as you do -- and so much fine work as you have done too!--I only wish my eyes may last me as well . ' """
Emma Woodhouse	"do you hear what Miss Woodhouse is so obliging to say about Jane 's handwriting ? """
Emma Woodhouse	"Are you expecting Miss Fairfax here soon ? """
Emma Woodhouse	"Oh yes ; next week . """
Emma Woodhouse	"Indeed!--that must be a very great pleasure . """
Emma Woodhouse	"Thank you . You are very kind . Yes , next week . Every body is so surprized ; and every body says the same obliging things . I am sure she will be as happy to see her friends at Highbury , as they can be to see her . Yes , Friday or Saturday ; she can not say which , because Colonel Campbell will be wanting the carriage himself one of those days . So very good of them to send her the whole way ! But they always do , you know . Oh yes , Friday or Saturday next . That is what she writes about . That is the reason of her writing out of rule , as we call it ; for , in the common course , we should not have heard from her before next Tuesday or Wednesday . """
Emma Woodhouse	"Yes , so I imagined . I was afraid there could be little chance of my hearing any thing of Miss Fairfax to - day . """
