Character	Quote
Fanny Price	must acknowledge myself infinitely obliged to any creature who gives me such an opportunity of seeing you alone : I have been wishing it more than you can have any idea . Knowing as I do what your feelings as a sister are , I could hardly have borne that any one in the house should share with you in the first knowledge of the news I now bring . He is made . Your brother is a lieutenant . I have the infinite satisfaction of congratulating you on your brother ’s promotion . Here are the letters which announce it , this moment come to hand . You will , perhaps , like to see them . ” Fanny
Fanny Price	will go to my uncle . My uncle ought to know it as soon as possible . ” But
Fanny Price	must not go , she must allow him five minutes longer , ” and
Fanny Price	n’t , Mr. Crawford , pray do n’t ! I beg you would not . This is a sort of talking which is very unpleasant to me . I must go away . I can not bear it . ” But
Fanny Price	, no , no ! ” she
Fanny Price	is all nonsense . Do not distress me . I can hear no more of this . Your kindness to William makes me more obliged to you than words can express ; but I do not want , I can not bear , I must not listen to such — No , no , do n’t think of me . But you are _ not _ thinking of me . I know it is all nothing . ” She
Fanny Price	DEAR FANNY,—for so I may now always call you , to the infinite relief of a tongue that has been stumbling at _ Miss _ _ Price _ for at least the last six weeks — I can not let my brother go without sending you a few lines of general congratulation , and giving my most joyful consent and approval . Go on , my dear Fanny , and without fear ; there can be no difficulties worth naming . I chuse to suppose that the assurance of my consent will be something ; so you may smile upon him with your sweetest smiles this afternoon , and send him back to me even happier than he goes . Yours affectionately , M. C. ” These
Fanny Price	Now _ William would be able to keep himself , which would make a vast difference to his uncle , for it was unknown how much he had cost his uncle ; and , indeed , it would make some difference in _ her _ presents too . She was very glad that she had given William what she did at parting , very glad , indeed , that it had been in her power , without material inconvenience , just at that time to give him something rather considerable ; that is , for _ her _ , with _ her _ limited means , for now it would all be useful in helping to fit up his cabin . She knew he must be at some expense , that he would have many things to buy , though to be sure his father and mother would be able to put him in the way of getting everything very cheap ; but she was very glad she had contributed her mite towards it . ” “
Fanny Price	am glad you gave him something considerable , ” said
Fanny Price	_ I _ gave him only £ 10 . ” “
Fanny Price	! ” cried
Fanny Price	my word , he must have gone off with his pockets well lined , and at no expense for his journey to London either ! ” “
Fanny Price	Thomas told me £ 10 would be enough . ” Mrs.
Fanny Price	is amazing , ” said
Fanny Price	much young people cost their friends , what with bringing them up and putting them out in the world ! They little think how much it comes to , or what their parents , or their uncles and aunts , pay for them in the course of the year . Now , here are my sister Price ’s children ; take them all together , I dare say nobody would believe what a sum they cost Sir Thomas every year , to say nothing of what _ I _ do for them . ” “
Fanny Price	true , sister , as you say . But , poor things ! they can not help it ; and you know it makes very little difference to Sir Thomas . Fanny , William must not forget my shawl if he goes to the East Indies ; and I shall give him a commission for anything else that is worth having . I wish he may go to the East Indies , that I may have my shawl . I think I will have two shawls , Fanny . ” Fanny
Fanny Price	you nothing to send to Mary ? No answer to her note ? She will be disappointed if she receives nothing from you . Pray write to her , if it be only a line . ” “
Fanny Price	yes ! certainly , ” cried
