Character	Quote
Catherine Morland	The Hare and Many Friends ”
Catherine Morland	Catherine grows quite a good - looking girl — she is almost pretty to - day , ”
Catherine Morland	bear about the mockery of woe . ”
Catherine Morland	Many a flower is born to blush unseen , “ And waste its fragrance on the desert air . ”
Catherine Morland	It is a delightful task “ To teach the young idea how to shoot . ”
Catherine Morland	Trifles light as air , “ Are , to the jealous , confirmation strong , “ As proofs of Holy Writ . ”
Catherine Morland	The poor beetle , which we tread upon , “ In corporal sufferance feels a pang as great “ As when a giant dies . ”
Catherine Morland	like Patience on a monument “ Smiling at Grief . ”
Catherine Morland	How came you here ? How came you up that staircase ? ”
Catherine Morland	How came I up that staircase ! ”
Catherine Morland	Because it is my nearest way from the stable - yard to my own chamber ; and why should I not come up it ? ”
Catherine Morland	I have been , ”
Catherine Morland	to see your mother ’s room . ”
Catherine Morland	I did not expect to be able to return sooner , when I went away ; but three hours ago I had the pleasure of finding nothing to detain me . You look pale . I am afraid I alarmed you by running so fast up those stairs . Perhaps you did not know — you were not aware of their leading from the offices in common use ? ”
Catherine Morland	No , I was not . You have had a very fine day for your ride . ”
Catherine Morland	Very ; and does Eleanor leave you to find your way into all the rooms in the house by yourself ? ”
Catherine Morland	Oh no ! she showed me over the greatest part on Saturday — and we were coming here to these rooms — but only , ”
Catherine Morland	your father was with us . ”
Catherine Morland	And that prevented you , ”
Catherine Morland	Have you looked into all the rooms in that passage ? ”
Catherine Morland	No , I only wanted to see — Is not it very late ? I must go and dress . ”
Catherine Morland	Have you had any letter from Bath since I saw you ? ”
Catherine Morland	No , and I am very much surprised . Isabella promised so faithfully to write directly . ”
Catherine Morland	Promised so faithfully ! a faithful promise ! that puzzles me . I have heard of a faithful performance . But a faithful promise — the fidelity of promising ! it is a power little worth knowing , however , since it can deceive and pain you . My mother ’s room is very commodious , is it not ? Large and cheerful - looking , and the dressing - closets so well disposed ! It always strikes me as the most comfortable apartment in the house , and I rather wonder that Eleanor should not take it for her own . She sent you to look at it , I suppose ? ”
Catherine Morland	No . ”
Catherine Morland	It has been your own doing entirely ? ”
Catherine Morland	Yes , a great deal . That is — no , not much , but what she did say was very interesting . Her dying so suddenly ”
Catherine Morland	But your father , ”
Catherine Morland	was _ he _ afflicted ? ”
Catherine Morland	For a time , greatly so . You have erred in supposing him not attached to her . He loved her , I am persuaded , as well as it was possible for him to — we have not all , you know , the same tenderness of disposition — and I will not pretend to say that while she lived , she might not often have had much to bear , but though his temper injured her , his judgment never did . His value of her was sincere ; and , if not permanently , he was truly afflicted by her death . ”
Catherine Morland	I am very glad of it , ”
Catherine Morland	it would have been very shocking ! ”
Catherine Morland	If I understand you rightly , you had formed a surmise of such horror as I have hardly words to — Dear Miss Morland , consider the dreadful nature of the suspicions you have entertained . What have you been judging from ? Remember the country and the age in which we live . Remember that we are English , that we are Christians . Consult your own understanding , your own sense of the probable , your own observation of what is passing around you . Does our education prepare us for such atrocities ? Do our laws connive at them ? Could they be perpetrated without being known , in a country like this , where social and literary intercourse is on such a footing , where every man is surrounded by a neighbourhood of voluntary spies , and where roads and newspapers lay everything open ? Dearest Miss Morland , what ideas have you been admitting ? ”
Catherine Morland	But he will tell only half of it . ”
Catherine Morland	A quarter would be enough . ”
Catherine Morland	And when do you think , sir , I may look forward to this pleasure ? I must be at Woodston on Monday to attend the parish meeting , and shall probably be obliged to stay two or three days . ”
Catherine Morland	Well , well , we will take our chance some one of those days . There is no need to fix . You are not to put yourself at all out of your way . Whatever you may happen to have in the house will be enough . I think I can answer for the young ladies making allowance for a bachelor ’s table . Let me see ; Monday will be a busy day with you , we will not come on Monday ; and Tuesday will be a busy one with me . I expect my surveyor from Brockham with his report in the morning ; and afterwards I can not in decency fail attending the club . I really could not face my acquaintance if I stayed away now ; for , as I am known to be in the country , it would be taken exceedingly amiss ; and it is a rule with me , Miss Morland , never to give offence to any of my neighbours , if a small sacrifice of time and attention can prevent it . They are a set of very worthy men . They have half a buck from Northanger twice a year ; and I dine with them whenever I can . Tuesday , therefore , we may say is out of the question . But on Wednesday , I think , Henry , you may expect us ; and we shall be with you early , that we may have time to look about us . Two hours and three quarters will carry us to Woodston , I suppose ; we shall be in the carriage by ten ; so , about a quarter before one on Wednesday , you may look for us . ”
Catherine Morland	I am come , young ladies , in a very moralizing strain , to observe that our pleasures in this world are always to be paid for , and that we often purchase them at a great disadvantage , giving ready - monied actual happiness for a draft on the future , that may not be honoured . Witness myself , at this present hour . Because I am to hope for the satisfaction of seeing you at Woodston on Wednesday , which bad weather , or twenty other causes , may prevent , I must go away directly , two days before I intended it . ”
Catherine Morland	Go away ! ”
Catherine Morland	And why ? ”
Catherine Morland	Why ! how can you ask the question ? Because no time is to be lost in frightening my old housekeeper out of her wits , because I must go and prepare a dinner for you , to be sure . ”
Catherine Morland	Oh ! not seriously ! ”
Catherine Morland	Aye , and sadly too — for I had much rather stay . ”
Catherine Morland	But how can you think of such a thing , after what the General said ? When he so particularly desired you not to give yourself any trouble , because _ anything _ would do . ”
Catherine Morland	I am sure it is quite unnecessary upon your sister ’s account and mine . You must know it to be so ; and the General made such a point of your providing nothing extraordinary : besides , if he had not said half so much as he did , he has always such an excellent dinner at home , that sitting down to a middling one for one day could not signify . ”
Catherine Morland	I wish I could reason like you , for his sake and my own . Good - bye . As to - morrow is Sunday , Eleanor , I shall not return . ”
Catherine Morland	We are not comparing it with Fullerton and Northanger — we are considering it as a mere parsonage , small and confined , we allow , but decent , perhaps , and habitable ; and altogether not inferior to the generality ; or , in other words , I believe there are few country parsonages in England half so good . It may admit of improvement , however . Far be it from me to say otherwise ; and anything in reason — a bow thrown out , perhaps — though , between ourselves , if there is one thing more than another my aversion , it is a patched - on bow . ”
Catherine Morland	Oh ! why do not you fit up this room , Mr. Tilney ? What a pity not to have it fitted up ! it is the prettiest room I ever saw ; it is the prettiest room in the world ! ”
Catherine Morland	Well , if it was my house , I should never sit anywhere else . Oh ! what a sweet little cottage there is among the trees — apple trees , too ! it is the prettiest cottage ! ”
Catherine Morland	You like it — you approve it as an object — it is enough . Henry , remember that Robinson is spoken to about it . The cottage remains . ”
Catherine Morland	for all our intimacy ! she must think me an idiot , or she could not have written so ; but perhaps this has served to make her character better known to me than mine is to her . I see what she has been about . She is a vain coquette , and her tricks have not answered . I do not believe she had ever any regard either for James or for me , and I wish I had never known her . ” “
