Character	Quote
Anne Elliot	"Ah ! You make the most of it , I know , """
Anne Elliot	"Is not this one of the ways to Winthrop ? """
Anne Elliot	"And so , I made her go . I could not bear that she should be frightened from the visit by such nonsense . What ! would I be turned back from doing a thing that I had determined to do , and that I knew to be right , by the airs and interference of such a person , or of any person I may say ? No , I have no idea of being so easily persuaded . When I have made up my mind , I have made it ; and Henrietta seemed entirely to have made up hers to call at Winthrop to - day ; and yet , she was as near giving it up , out of nonsensical complaisance ! """
Anne Elliot	"She would have turned back then , but for you ? """
Anne Elliot	"She would indeed . I am almost ashamed to say it . """
Anne Elliot	"Happy for her , to have such a mind as yours at hand ! After the hints you gave just now , which did but confirm my own observations , the last time I was in company with him , I need not affect to have no comprehension of what is going on . I see that more than a mere dutiful morning visit to your aunt was in question ; and woe betide him , and her too , when it comes to things of consequence , when they are placed in circumstances requiring fortitude and strength of mind , if she have not resolution enough to resist idle interference in such a trifle as this . Your sister is an amiable creature ; but yours is the character of decision and firmness , I see . If you value her conduct or happiness , infuse as much of your own spirit into her as you can . But this , no doubt , you have been always doing . It is the worst evil of too yielding and indecisive a character , that no influence over it can be depended on . You are never sure of a good impression being durable ; everybody may sway it . Let those who would be happy be firm . Here is a nut , """
Anne Elliot	"to exemplify : a beautiful glossy nut , which , blessed with original strength , has outlived all the storms of autumn . Not a puncture , not a weak spot anywhere . This nut , """
Anne Elliot	"while so many of his brethren have fallen and been trodden under foot , is still in possession of all the happiness that a hazel nut can be supposed capable of . """
Anne Elliot	"Mary is good - natured enough in many respects , """
Anne Elliot	"but she does sometimes provoke me excessively , by her nonsense and pride -- the Elliot pride . She has a great deal too much of the Elliot pride . We do so wish that Charles had married Anne instead . I suppose you know he wanted to marry Anne ? """
Anne Elliot	"Oh ! yes ; certainly . """
Anne Elliot	"When did that happen ? """
Anne Elliot	"Do let us have the pleasure of taking you home . Here is excellent room for three , I assure you . If we were all like you , I believe we might sit four . You must , indeed , you must . """
Anne Elliot	"Well , and I had heard of you as a very pretty girl , and what were we to wait for besides ? I do not like having such things so long in hand . I wish Frederick would spread a little more canvass , and bring us home one of these young ladies to Kellynch . Then there would always be company for them . And very nice young ladies they both are ; I hardly know one from the other . """
Anne Elliot	"Exactly like father and son ! Dear Miss Elliot , may I not say father and son ? """
Anne Elliot	"Well , my dear Penelope , you need not be so alarmed about him . I did invite him , you know . I sent him away with smiles . When I found he was really going to his friends at Thornberry Park for the whole day to - morrow , I had compassion on him . """
Anne Elliot	"Kindest regards . And you may say , that I mean to call upon her soon . Make a civil message ; but I shall only leave my card . Morning visits are never fair by women at her time of life , who make themselves up so little . If she would only wear rouge she would not be afraid of being seen ; but last time I called , I observed the blinds were let down immediately . """
Anne Elliot	"And a very good living it was , """
Anne Elliot	"only five - and - twenty miles from Uppercross , and in a very fine country : fine part of Dorsetshire . In the centre of some of the best preserves in the kingdom , surrounded by three great proprietors , each more careful and jealous than the other ; and to two of the three at least , Charles Hayter might get a special recommendation . Not that he will value it as he ought , """
Anne Elliot	"Charles is too cool about sporting . That 's the worst of him . """
Anne Elliot	"I am extremely glad , indeed , """
Anne Elliot	"particularly glad that this should happen ; and that of two sisters , who both deserve equally well , and who have always been such good friends , the pleasant prospect of one should not be dimming those of the other-- that they should be so equal in their prosperity and comfort . I hope your father and mother are quite happy with regard to both . """
Anne Elliot	"Oh ! yes . My father would be well pleased if the gentlemen were richer , but he has no other fault to find . Money , you know , coming down with money -- two daughters at once -- it can not be a very agreeable operation , and it streightens him as to many things . However , I do not mean to say they have not a right to it . It is very fit they should have daughters ' shares ; and I am sure he has always been a very kind , liberal father to me . Mary does not above half like Henrietta 's match . She never did , you know . But she does not do him justice , nor think enough about Winthrop . I can not make her attend to the value of the property . It is a very fair match , as times go ; and I have liked Charles Hayter all my life , and I shall not leave off now . """
Anne Elliot	"Such excellent parents as Mr and Mrs Musgrove , """
Anne Elliot	"should be happy in their children 's marriages . They do everything to confer happiness , I am sure . What a blessing to young people to be in such hands ! Your father and mother seem so totally free from all those ambitious feelings which have led to so much misconduct and misery , both in young and old . I hope you think Louisa perfectly recovered now ? """
Anne Elliot	"Yes , I believe I do ; very much recovered ; but she is altered ; there is no running or jumping about , no laughing or dancing ; it is quite different . If one happens only to shut the door a little hard , she starts and wriggles like a young dab - chick in the water ; and Benwick sits at her elbow , reading verses , or whispering to her , all day long . """
Anne Elliot	"That can not be much to your taste , I know , """
Anne Elliot	"but I do believe him to be an excellent young man . """
Anne Elliot	"To be sure he is . Nobody doubts it ; and I hope you do not think I am so illiberal as to want every man to have the same objects and pleasures as myself . I have a great value for Benwick ; and when one can but get him to talk , he has plenty to say . His reading has done him no harm , for he has fought as well as read . He is a brave fellow . I got more acquainted with him last Monday than ever I did before . We had a famous set - to at rat - hunting all the morning in my father 's great barns ; and he played his part so well that I have liked him the better ever since . """
Anne Elliot	"Surely , if there be constant attachment on each side , our hearts must understand each other ere long . We are not boy and girl , to be captiously irritable , misled by every moment 's inadvertence , and wantonly playing with our own happiness . """
Anne Elliot	"No , """
Anne Elliot	"it can not be Mr Elliot , I assure you . He was to leave Bath at nine this morning , and does not come back till to - morrow . """
Anne Elliot	"Oh ! Charles , I declare it will be too abominable if you do , when you promised to go . """
Anne Elliot	"No , I did not promise . I only smirked and bowed , and said the word ` happy . ' There was no promise . """
Anne Elliot	"But you must go , Charles . It would be unpardonable to fail . We were asked on purpose to be introduced . There was always such a great connexion between the Dalrymples and ourselves . Nothing ever happened on either side that was not announced immediately . We are quite near relations , you know ; and Mr Elliot too , whom you ought so particularly to be acquainted with ! Every attention is due to Mr Elliot . Consider , my father 's heir : the future representative of the family . """
Anne Elliot	"I am not one of those who neglect the reigning power to bow to the rising sun . If I would not go for the sake of your father , I should think it scandalous to go for the sake of his heir . What is Mr Elliot to me ? """
Anne Elliot	"We had better put it off . Charles , you had much better go back and change the box for Tuesday . It would be a pity to be divided , and we should be losing Miss Anne , too , if there is a party at her father 's ; and I am sure neither Henrietta nor I should care at all for the play , if Miss Anne could not be with us . """
Anne Elliot	"If it depended only on my inclination , ma'am , the party at home ( excepting on Mary 's account ) would not be the smallest impediment . I have no pleasure in the sort of meeting , and should be too happy to change it for a play , and with you . But , it had better not be attempted , perhaps . """
Anne Elliot	"You were not formerly , I know . You did not use to like cards ; but time makes many changes . """
Anne Elliot	"I am not yet so much changed , """
Anne Elliot	"To - morrow evening , to meet a few friends : no formal party . """
Anne Elliot	"I do not wonder Captain Wentworth is delighted ! You see he can not put the card out of his hand . """
