Character	Quote
William Collins	Yes , Miss Elizabeth , you will have the honour of seeing Lady Catherine de Bourgh on the ensuing Sunday at church , and I need not say you will be delighted with her . She is all affability and condescension , and I doubt not but you will be honoured with some portion of her notice when service is over . I have scarcely any hesitation in saying that she will include you and my sister Maria in every invitation with which she honours us during your stay here . Her behaviour to my dear Charlotte is charming . We dine at Rosings twice every week , and are never allowed to walk home . Her Ladyship ’s carriage is regularly ordered for us . I _ should _ say , one of her Ladyship ’s carriages , for she has several . ”
William Collins	Oh , my dear Eliza ! pray make haste and come into the dining - room , for there is such a sight to be seen ! I will not tell you what it is . Make haste , and come down this moment . ”
William Collins	I expected at least that the pigs were got into the garden , and here is nothing but Lady Catherine and her daughter ! ”
William Collins	She is abominably rude to keep Charlotte out of doors in all this wind . Why does she not come in ? ”
William Collins	Oh , Charlotte says she hardly ever does . It is the greatest of favours when Miss De Bourgh comes in . ”
William Collins	She looks sickly and cross . Yes , she will do for him very well . She will make him a very proper wife . ”
William Collins	that knowledge of what the manners of the great really are , which my situation in life has allowed me to acquire . About the court , such instances of elegant breeding are not uncommon . ” Scarcely
William Collins	The garden in which stands my humble abode is separated only by a lane from Rosings Park , her Ladyship ’s residence . ”
William Collins	I think you said she was a widow , sir ? has she any family ? ”
William Collins	She has one only daughter , the heiress of Rosings , and of very extensive property . ”
William Collins	She is a most charming young lady , indeed . Lady Catherine herself says that , in point of true beauty , Miss de Bourgh is far superior to the handsomest of her sex ; because there is that in her features which marks the young woman of distinguished birth . She is unfortunately of a sickly constitution , which has prevented her making that progress in many accomplishments which she could not otherwise have failed of , as I am informed by the lady who superintended her education , and who still resides with them . But she is perfectly amiable , and often condescends to drive by my humble abode in her little phaeton and ponies . ”
William Collins	Has she been presented ? I do not remember her name among the ladies at court . ”
William Collins	Her indifferent state of health unhappily prevents her being in town ; and by that means , as I told Lady Catherine myself one day , has deprived the British Court of its brightest ornament . Her Ladyship seemed pleased with the idea ; and you may imagine that I am happy on every occasion to offer those little delicate compliments which are always acceptable to ladies . I have more than once observed to Lady Catherine , that her charming daughter seemed born to be a duchess ; and that the most elevated rank , instead of giving her consequence , would be adorned by her . These are the kind of little things which please her Ladyship , and it is a sort of attention which I conceive myself peculiarly bound to pay . ”
William Collins	You judge very properly , ”
William Collins	and it is happy for you that you possess the talent of flattering with delicacy . May I ask whether these pleasing attentions proceed from the impulse of the moment , or are the result of previous study ? ”
William Collins	They arise chiefly from what is passing at the time ; and though I sometimes amuse myself with suggesting and arranging such little elegant compliments as may be adapted to ordinary occasions , I always wish to give them as unstudied an air as possible . ”
William Collins	I have often observed how little young ladies are interested by books of a serious stamp , though written solely for their benefit . It amazes me , I confess ; for certainly there can be nothing so advantageous to them as instruction . But I will no longer importune my young cousin . ”
William Collins	to her _ younger _ daughters , she could not take upon her to say -- she could not positively answer -- but she did not _ know _ of any prepossession;--her _ eldest _ daughter she must just mention -- she felt it incumbent on her to hint , was likely to be very soon engaged . ” Mr.
William Collins	I know not , Miss Elizabeth , ”
William Collins	whether Mrs. Collins has yet expressed her sense of your kindness in coming to us ; but I am very certain you will not leave the house without receiving her thanks for it . The favour of your company has been much felt , I assure you . We know how little there is to tempt anyone to our humble abode . Our plain manner of living , our small rooms , and few domestics , and the little we see of the world , must make Hunsford extremely dull to a young lady like yourself ; but I hope you will believe us grateful for the condescension , and that we have done everything in our power to prevent you spending your time unpleasantly . ”
William Collins	It gives me the greatest pleasure to hear that you have passed your time not disagreeably . We have certainly done our best ; and most fortunately having it in our power to introduce you to very superior society , and from our connection with Rosings , the frequent means of varying the humble home scene , I think we may flatter ourselves that your Hunsford visit can not have been entirely irksome . Our situation with regard to Lady Catherine ’s family is , indeed , the sort of extraordinary advantage and blessing which few can boast . You see on what a footing we are . You see how continually we are engaged there . In truth , I must acknowledge , that , with all the disadvantages of this humble parsonage , I should not think anyone abiding in it an object of compassion , while they are sharers of our intimacy at Rosings . ”
William Collins	am glad you are come back , Lizzy . ” Their
William Collins	It keeps him in good humour , ”
William Collins	and I am more obliged to you than I can express . ”
William Collins	So much love and eloquence ”
William Collins	My dear madam , ”
William Collins	this invitation is particularly gratifying , because it is what I have been hoping to receive ; and you may be very certain that I shall avail myself of it as soon as possible . ”
William Collins	My dear sir , ”
William Collins	I am particularly obliged to you for this friendly caution , and you may depend upon my not taking so material a step without her Ladyship ’s concurrence . ”
William Collins	You can not be too much on your guard . Risk anything rather than her displeasure ; and if you find it likely to be raised by your coming to us again , which I should think exceedingly probable , stay quietly at home , and be satisfied that _ we _ shall take no offence . ”
William Collins	Believe me , my dear sir , my gratitude is warmly excited by such affectionate attention ; and , depend upon it , you will speedily receive from me a letter of thanks for this as well as for every other mark of your regard during my stay in Hertfordshire . As for my fair cousins , though my absence may not be long enough to render it necessary , I shall now take the liberty of wishing them health and happiness , not excepting my cousin Elizabeth . ”
William Collins	Engaged to Mr. Collins ! my dear Charlotte , impossible ! ”
William Collins	Why should you be surprised , my dear Eliza ? Do you think it incredible that Mr. Collins should be able to procure any woman ’s good opinion , because he was not so happy as to succeed with you ? ”
William Collins	I see what you are feeling , ”
William Collins	you must be surprised , very much surprised , so lately as Mr. Collins was wishing to marry you . But when you have had time to think it all over , I hope you will be satisfied with what I have done . I am not romantic , you know . I never was . I ask only a comfortable home ; and , considering Mr. Collins ’s character , connections , and situation in life , I am convinced that my chance of happiness with him is as fair as most people can boast on entering the marriage state . ”
William Collins	Protested he must be entirely mistaken . ”
William Collins	Whenever she spoke in a low voice _ ” ]
William Collins	, Mr. Bennet , ” said
William Collins	is very hard to think that Charlotte Lucas should ever be mistress of this house , that _ I _ should be forced to make way for _ her _ , and live to see her take my place in it ! ” “
William Collins	dear , do not give way to such gloomy thoughts . Let us hope for better things . Let us flatter ourselves that _ I _ may be the survivor . ” This
William Collins	should not mind anything at all . ” “
William Collins	Pardon me for interrupting you , madam , ”
William Collins	but if she is really headstrong and foolish , I know not whether she would altogether be a very desirable wife to a man in my situation , who naturally looks for happiness in the marriage state . If , therefore , she actually persists in rejecting my suit , perhaps it were better not to force her into accepting me , because , if liable to such defects of temper , she could not contribute much to my felicity . ”
William Collins	Oh , Mr. Bennet , you are wanted immediately ; we are all in an uproar . You must come and make Lizzy marry Mr. Collins , for she vows she will not have him ; and if you do not make haste he will change his mind and not have _ her _ . ”
William Collins	I have not the pleasure of understanding you , ”
William Collins	Come here , child , ”
William Collins	My dear , ”
William Collins	I have two small favours to request . First , that you will allow me the free use of my understanding on the present occasion ; and , secondly , of my room . I shall be glad to have the library to myself as soon as may be . ”
William Collins	My dear madam , ”
William Collins	let us be for ever silent on this point . Far be it from me , ”
