Character	Quote
Mrs. Jennings	"Get it all out of her , my dear . She will tell you any thing if you ask . You see I can not leave Mrs. Clarke . """
Mrs. Jennings	""""
Mrs. Jennings	""""
Mrs. Jennings	""""
Mrs. Jennings	""""
Mrs. Jennings	"She had wandered away to a subject on which Elinor had nothing to say , and therefore soon judged it expedient to find her way back again to the first . """
Mrs. Jennings	""""
Mrs. Jennings	". "" This is very strange!--sure he need not wait to be older"
Mrs. Jennings	". "" I have heard"
Mrs. Jennings	", "" of the injustice your friend Mr. Ferrars has suffered from his family ; for if I understand the matter right , he has been entirely cast off by them for persevering in his engagement with a very deserving young woman.-- Have I been rightly informed?--Is it"
Mrs. Jennings	"But at least , Mamma , you can not deny the absurdity of the accusation , though you may not think it intentionally ill - natured . Colonel Brandon is certainly younger than Mrs. Jennings , but he is old enough to be MY father ; and if he were ever animated enough to be in love , must have long outlived every sensation of the kind . It is too ridiculous ! When is a man to be safe from such wit , if age and infirmity will not protect him ? """
Mrs. Jennings	"Did not you hear him complain of the rheumatism ? and is not that the commonest infirmity of declining life ? """
Mrs. Jennings	"My dearest child , """
Mrs. Jennings	"at this rate you must be in continual terror of MY decay ; and it must seem to you a miracle that my life has been extended to the advanced age of forty . """
Mrs. Jennings	"Mamma , you are not doing me justice . I know very well that Colonel Brandon is not old enough to make his friends yet apprehensive of losing him in the course of nature . He may live twenty years longer . But thirty - five has nothing to do with matrimony . """
Mrs. Jennings	"Had he been only in a violent fever , you would not have despised him half so much . Confess , Marianne , is not there something interesting to you in the flushed cheek , hollow eye , and quick pulse of a fever ? """
Mrs. Jennings	"I had none . On the contrary , if I have felt any anxiety at all on the subject , it has been in recollecting that he sometimes showed a want of pleasure and readiness in accepting my invitation , when I talked of his coming to Barton . Does Elinor expect him already ? """
Mrs. Jennings	"I have never mentioned it to her , but of course she must . """
Mrs. Jennings	"I rather think you are mistaken , for when I was talking to her yesterday of getting a new grate for the spare bedchamber , she observed that there was no immediate hurry for it , as it was not likely that the room would be wanted for some time . """
Mrs. Jennings	"How strange this is ! what can be the meaning of it ! But the whole of their behaviour to each other has been unaccountable ! How cold , how composed were their last adieus ! How languid their conversation the last evening of their being together ! In Edward 's farewell there was no distinction between Elinor and me : it was the good wishes of an affectionate brother to both . Twice did I leave them purposely together in the course of the last morning , and each time did he most unaccountably follow me out of the room . And Elinor , in quitting Norland and Edward , cried not as I did . Even now her self - command is invariable . When is she dejected or melancholy ? When does she try to avoid society , or appear restless and dissatisfied in it ? """
Mrs. Jennings	"my word , I never saw a young woman so desperately in love in my life ! MY girls were nothing to her , and yet they used to be foolish enough ; but as for Miss Marianne , she is quite an altered creature . I hope , from the bottom of my heart , he wo n't keep her waiting much longer , for it is quite grievous to see her look so ill and forlorn . Pray , when are they to be married ? "" Elinor"
Mrs. Jennings	"me , forgive me , "" throwing"
Mrs. Jennings	"know you feel for me ; I know what a heart you have ; but yet you are -- you must be happy ; Edward loves you -- what , oh what , can do away such happiness as that ? "" """
Mrs. Jennings	", many circumstances , "" said"
Mrs. Jennings	"can have no pleasure while I see you in this state . "" """
Mrs. Jennings	"you will never see me otherwise . Mine is a misery which nothing can do away . "" """
Mrs. Jennings	"must not talk so , Marianne . Have you no comforts ? no friends ? Is your loss such as leaves no opening for consolation ? Much as you suffer now , think of what you would have suffered if the discovery of his character had been delayed to a later period-- if your engagement had been carried on for months and months , as it might have been , before he chose to put an end to it . Every additional day of unhappy confidence , on your side , would have made the blow more dreadful . "" """
Mrs. Jennings	"I am monstrous glad to see you -- sorry I could not come before -- beg your pardon , but I have been forced to look about me a little , and settle my matters ; for it is a long while since I have been at home , and you know one has always a world of little odd things to do after one has been away for any time ; and then I have had Cartwright to settle with-- Lord , I have been as busy as a bee ever since dinner ! But pray , Colonel , how came you to conjure out that I should be in town today ? """
Mrs. Jennings	"I had the pleasure of hearing it at Mr. Palmer 's , where I have been dining . """
Mrs. Jennings	"Oh , you did ; well , and how do they all do at their house ? How does Charlotte do ? I warrant you she is a fine size by this time . """
Mrs. Jennings	"Mrs. Palmer appeared quite well , and I am commissioned to tell you , that you will certainly see her to - morrow . """
Mrs. Jennings	"Mr. Palmer will be so happy to see you , """
Mrs. Jennings	"What do you think he said when he heard of your coming with Mamma ? I forget what it was now , but it was something so droll ! """
Mrs. Jennings	"is charming weather for THEM indeed , "" she"
Mrs. Jennings	"can not be expected to last long . At this time of the year , and after such a series of rain , we shall certainly have very little more of it . Frosts will soon set in , and in all probability with severity . In another day or two perhaps ; this extreme mildness can hardly last longer -- nay , perhaps it may freeze tonight ! "" """
Mrs. Jennings	"any rate , "" said"
Mrs. Jennings	"dare say we shall have Sir John and Lady Middleton in town by the end of next week . "" """
Mrs. Jennings	", my dear , I 'll warrant you we do . Mary always has her own way . "" """
Mrs. Jennings	"is indeed for Mrs. Jennings ; how provoking ! "" """
Mrs. Jennings	"mama coming?-- "" """
Mrs. Jennings	"yet , "" cried"
Mrs. Jennings	"she will be here , I hope , before it is long . It is a great way , you know , from hence to Barton . "" """
Mrs. Jennings	"she must not go round by London , "" cried"
Mrs. Jennings	"shall never see her , if she goes by London . "" Elinor"
Mrs. Jennings	"Well , my dear , """
Mrs. Jennings	"and how did you travel ? """
Mrs. Jennings	"Not in the stage , I assure you , """
Mrs. Jennings	"we came post all the way , and had a very smart beau to attend us . Dr. Davies was coming to town , and so we thought we 'd join him in a post - chaise ; and he behaved very genteelly , and paid ten or twelve shillings more than we did . """
Mrs. Jennings	"Oh , oh ! """
Mrs. Jennings	"very pretty , indeed ! and the Doctor is a single man , I warrant you . """
Mrs. Jennings	"Long a time , indeed ! """
Mrs. Jennings	"I am sorry we can not see your sister , Miss Dashwood , """
