fic_id,chapter_id,para_id,text,text_tokenized
emma_40,1,1," IV A very few days had passed after this adventure , when Harriet came one morning to Emma with a small parcel in her hand , and after sitting down and hesitating , thus began : "" Miss Woodhouse -- if you are at leisure -- I have something that I should like to tell you -- a sort of confession to make -- and then , you know , it will be over . "," IV A very few days had passed after this adventure , when Harriet came one morning to Emma with a small parcel in her hand , and after sitting down and hesitating , thus began : "" Miss Woodhouse -- if you are at leisure -- I have something that I should like to tell you -- a sort of confession to make -- and then , you know , it will be over . "
emma_40,1,2,""" ",""" "
emma_40,1,3,Emma was a good deal surprized ; but begged her to speak . ,Emma was a good deal surprized ; but begged her to speak . 
emma_40,1,4,"There was a seriousness in Harriet 's manner which prepared her , quite as much as her words , for something more than ordinary . "" ","There was a seriousness in Harriet 's manner which prepared her , quite as much as her words , for something more than ordinary . "" "
emma_40,1,5,"It is my duty , and I am sure it is my wish , "" she continued , "" to have no reserves with you on this subject . ","It is my duty , and I am sure it is my wish , "" she continued , "" to have no reserves with you on this subject . "
emma_40,1,6,"As I am happily quite an altered creature in _ one _ _ respect _ , it is very fit that you should have the satisfaction of knowing it . ","As I am happily quite an altered creature in _ one _ _ respect _ , it is very fit that you should have the satisfaction of knowing it . "
emma_40,1,7,"I do not want to say more than is necessary -- I am too much ashamed of having given way as I have done , and I dare say you understand me . ","I do not want to say more than is necessary -- I am too much ashamed of having given way as I have done , and I dare say you understand me . "
emma_40,1,8,""" ",""" "
emma_40,1,9,""" Yes , "" said Emma , "" I hope I do . "" "" How I could so long a time be fancying myself ! . . . "" cried Harriet , warmly . "" ",""" Yes , "" said Emma , "" I hope I do . "" "" How I could so long a time be fancying myself ! . . . "" cried Harriet , warmly . "" "
emma_40,1,10,It seems like madness ! ,It seems like madness ! 
emma_40,1,11,"I can see nothing at all extraordinary in him now.--I do not care whether I meet him or not -- except that of the two I had rather not see him-- and indeed I would go any distance round to avoid him -- but I do not envy his wife in the least ; I neither admire her nor envy her , as I have done : she is very charming , I dare say , and all that , but I think her very ill - tempered and disagreeable -- I shall never forget her look ","I can see nothing at all extraordinary in him now.--I do not care whether I meet him or not -- except that of the two I had rather not see him-- and indeed I would go any distance round to avoid him -- but I do not envy his wife in the least ; I neither admire her nor envy her , as I have done : she is very charming , I dare say , and all that , but I think her very ill - tempered and disagreeable -- I shall never forget her look "
emma_40,1,12,the other night!--However ,the other night!--However 
emma_40,1,13,", I assure you , Miss Woodhouse , I wish her no evil.--No , let them be ever so happy together , it will not give me another moment 's pang : and to convince you that I have been speaking truth , I am now going to destroy -- ",", I assure you , Miss Woodhouse , I wish her no evil.--No , let them be ever so happy together , it will not give me another moment 's pang : and to convince you that I have been speaking truth , I am now going to destroy -- "
emma_40,1,14,"what I ought to have destroyed long ago -- what I ought never to have kept-- I know that very well ( blushing as she spoke).--However , now I will destroy it all -- and it is my particular wish to do it in your presence , that you may see how rational I am grown . Can not you guess what this parcel holds ? "" said she , with a conscious look . ","what I ought to have destroyed long ago -- what I ought never to have kept-- I know that very well ( blushing as she spoke).--However , now I will destroy it all -- and it is my particular wish to do it in your presence , that you may see how rational I am grown . Can not you guess what this parcel holds ? "" said she , with a conscious look . "
emma_40,1,15,""" Not the least in the world.--Did he ever give you any thing ? ",""" Not the least in the world.--Did he ever give you any thing ? "
emma_40,1,16,""" ",""" "
emma_40,1,17,""" No -- I can not call them gifts ; but they are things that I have valued very much . ",""" No -- I can not call them gifts ; but they are things that I have valued very much . "
emma_40,1,18,""" ",""" "
emma_40,1,19,"She held the parcel towards her , and Emma read the words _ Most _ _ precious _ _ treasures _ on the top . ","She held the parcel towards her , and Emma read the words _ Most _ _ precious _ _ treasures _ on the top . "
emma_40,1,20,Her curiosity was greatly excited . ,Her curiosity was greatly excited . 
emma_40,1,21,"Harriet unfolded the parcel , and she looked on with impatience . ","Harriet unfolded the parcel , and she looked on with impatience . "
emma_40,1,22,"Within abundance of silver paper was a pretty little Tunbridge - ware box , which Harriet opened : it was well lined with the softest cotton ; but , excepting the cotton , Emma saw only a small piece of court - plaister . ","Within abundance of silver paper was a pretty little Tunbridge - ware box , which Harriet opened : it was well lined with the softest cotton ; but , excepting the cotton , Emma saw only a small piece of court - plaister . "
emma_40,1,23,""" Now , "" said Harriet , "" you _ must _ recollect . "" ",""" Now , "" said Harriet , "" you _ must _ recollect . "" "
emma_40,1,24,""" No , indeed I do not . "" ",""" No , indeed I do not . "" "
emma_40,1,25,""" Dear me ! I should not have thought it possible you could forget what passed in this very room about court - plaister , one of the very last times we ever met in it!--It was but a very few days before I had my sore throat -- just before Mr. and Mrs. John Knightley came-- I think the very evening.--Do not you remember his cutting his finger with your new penknife , and your recommending court - plaister?-- But , as you had none about you , and knew I had , you desired me to supply him ; and so I took mine out and cut him a piece ; but it was a great deal too large , and he cut it smaller , and kept playing some time with what was left , before he gave it back to me . ",""" Dear me ! I should not have thought it possible you could forget what passed in this very room about court - plaister , one of the very last times we ever met in it!--It was but a very few days before I had my sore throat -- just before Mr. and Mrs. John Knightley came-- I think the very evening.--Do not you remember his cutting his finger with your new penknife , and your recommending court - plaister?-- But , as you had none about you , and knew I had , you desired me to supply him ; and so I took mine out and cut him a piece ; but it was a great deal too large , and he cut it smaller , and kept playing some time with what was left , before he gave it back to me . "
emma_40,1,26,"And so then , in my nonsense , I could not help making a treasure of it-- so I put it by never to be used , and looked at it now and then as a great treat . ","And so then , in my nonsense , I could not help making a treasure of it-- so I put it by never to be used , and looked at it now and then as a great treat . "
emma_40,1,27,""" ",""" "
emma_40,1,28,""" My dearest Harriet ! "" cried Emma , putting her hand before her face , and jumping up , "" you make me more ashamed of myself than I can bear . ",""" My dearest Harriet ! "" cried Emma , putting her hand before her face , and jumping up , "" you make me more ashamed of myself than I can bear . "
emma_40,1,29,Remember it ? ,Remember it ? 
emma_40,1,30,"Aye , I remember it all now ; all , except your saving this relic -- I knew nothing of that till this moment -- but the cutting the finger , and my recommending court - plaister , and saying I had none about me!--Oh ! ","Aye , I remember it all now ; all , except your saving this relic -- I knew nothing of that till this moment -- but the cutting the finger , and my recommending court - plaister , and saying I had none about me!--Oh ! "
emma_40,1,31,"my sins , my sins!--And I had plenty all the while in ","my sins , my sins!--And I had plenty all the while in "
emma_40,1,32,my pocket!--One of my senseless tricks!--I ,my pocket!--One of my senseless tricks!--I 
emma_40,1,33,deserve to be under a continual blush all the rest of my life.--Well--(sitting down again)-- go on -- what else ? ,deserve to be under a continual blush all the rest of my life.--Well--(sitting down again)-- go on -- what else ? 
emma_40,1,34,""" ",""" "
emma_40,1,35,""" And had you really some at hand yourself ? I am sure I never suspected it , you did it so naturally . ",""" And had you really some at hand yourself ? I am sure I never suspected it , you did it so naturally . "
emma_40,1,36,""" ",""" "
emma_40,1,37,""" And so you actually put this piece of court - plaister by for his sake ! "" said Emma , recovering from her state of shame and feeling divided between wonder and amusement . ",""" And so you actually put this piece of court - plaister by for his sake ! "" said Emma , recovering from her state of shame and feeling divided between wonder and amusement . "
emma_40,1,38,"And secretly she added to herself , "" Lord bless me ! ","And secretly she added to herself , "" Lord bless me ! "
emma_40,1,39,when should I ever have thought of putting by in cotton a piece of court - plaister that Frank Churchill had been pulling about ! ,when should I ever have thought of putting by in cotton a piece of court - plaister that Frank Churchill had been pulling about ! 
emma_40,1,40,"I never was equal to this . "" "" Here , "" resumed Harriet , turning to her box again , "" here is something still more valuable , I mean that _ has _ _ been _ more valuable , because this is what did really once belong to him , which the court - plaister never did . "" ","I never was equal to this . "" "" Here , "" resumed Harriet , turning to her box again , "" here is something still more valuable , I mean that _ has _ _ been _ more valuable , because this is what did really once belong to him , which the court - plaister never did . "" "
emma_40,1,41,Emma was quite eager to see this superior treasure . ,Emma was quite eager to see this superior treasure . 
emma_40,1,42,"It was the end of an old pencil,--the part without any lead . ","It was the end of an old pencil,--the part without any lead . "
emma_40,1,43,""" This was really his , "" said Harriet.--""Do not you remember one morning?--no , I dare say you do not . ",""" This was really his , "" said Harriet.--""Do not you remember one morning?--no , I dare say you do not . "
emma_40,1,44,"But one morning -- I forget exactly the day -- but perhaps it was the Tuesday or Wednesday before _ that _ _ evening _ , he wanted to make a memorandum in his pocket - book ; it was about spruce - beer . ","But one morning -- I forget exactly the day -- but perhaps it was the Tuesday or Wednesday before _ that _ _ evening _ , he wanted to make a memorandum in his pocket - book ; it was about spruce - beer . "
emma_40,1,45,"Mr. Knightley had been telling him something about brewing spruce - beer , and he wanted to put it down ; ","Mr. Knightley had been telling him something about brewing spruce - beer , and he wanted to put it down ; "
emma_40,1,46,"but when he took out his pencil , there was so little lead that he soon cut it all away , and it would not do , so you lent him another , and this was left upon the table as good for nothing . ","but when he took out his pencil , there was so little lead that he soon cut it all away , and it would not do , so you lent him another , and this was left upon the table as good for nothing . "
emma_40,1,47,"But I kept my eye on it ; and , as soon as I dared , caught it up , and never parted with it again from that moment . "" "" I do remember it , "" cried Emma ; "" I perfectly remember it.-- Talking about spruce - beer.--Oh ! yes -- Mr. Knightley and I both saying we liked it , and Mr. Elton 's seeming resolved to learn to like it too . ","But I kept my eye on it ; and , as soon as I dared , caught it up , and never parted with it again from that moment . "" "" I do remember it , "" cried Emma ; "" I perfectly remember it.-- Talking about spruce - beer.--Oh ! yes -- Mr. Knightley and I both saying we liked it , and Mr. Elton 's seeming resolved to learn to like it too . "
emma_40,1,48,"I perfectly remember it.--Stop ; Mr. Knightley was standing just here , was not he ? ","I perfectly remember it.--Stop ; Mr. Knightley was standing just here , was not he ? "
emma_40,1,49,I have an idea he was standing just here . ,I have an idea he was standing just here . 
emma_40,1,50,""" ",""" "
emma_40,1,51,""" Ah ! I do not know . ",""" Ah ! I do not know . "
emma_40,1,52,I can not recollect.--It ,I can not recollect.--It 
emma_40,1,53,is ,is 
emma_40,1,54,very odd ,very odd 
emma_40,1,55,", ",", "
emma_40,1,56,"but I can not recollect.--Mr . Elton was sitting here , I remember , much about where I am now . ""-- ","but I can not recollect.--Mr . Elton was sitting here , I remember , much about where I am now . ""-- "
emma_40,1,57,""" Well , go on . "" ",""" Well , go on . "" "
emma_40,1,58,""" Oh ! ",""" Oh ! "
emma_40,1,59,that 's all . ,that 's all . 
emma_40,1,60,"I have nothing more to shew you , or to say-- except that I am now going to throw them both behind the fire , and I wish you to see me do it . "" "" My poor dear Harriet ! ","I have nothing more to shew you , or to say-- except that I am now going to throw them both behind the fire , and I wish you to see me do it . "" "" My poor dear Harriet ! "
emma_40,1,61,"and have you actually found happiness in treasuring up these things ? "" ","and have you actually found happiness in treasuring up these things ? "" "
emma_40,1,62,""" Yes , simpleton as I was!--but I am quite ashamed of it now , and wish I could forget as easily as I can burn them . It was very wrong of me , you know , to keep any remembrances , after he was married . ",""" Yes , simpleton as I was!--but I am quite ashamed of it now , and wish I could forget as easily as I can burn them . It was very wrong of me , you know , to keep any remembrances , after he was married . "
emma_40,1,63,"I knew it was -- but had not resolution enough to part with them . "" "" But , Harriet , is it necessary to burn the court - plaister?--I have not a word to say for the bit of old pencil , but the court - plaister might be useful . ","I knew it was -- but had not resolution enough to part with them . "" "" But , Harriet , is it necessary to burn the court - plaister?--I have not a word to say for the bit of old pencil , but the court - plaister might be useful . "
emma_40,1,64,""" ",""" "
emma_40,1,65,""" I shall be happier to burn it , "" replied Harriet . ",""" I shall be happier to burn it , "" replied Harriet . "
emma_40,1,66,""" It has a disagreeable look to me . ",""" It has a disagreeable look to me . "
emma_40,1,67,"I must get rid of every thing.-- There it goes , and there is an end , thank Heaven ! of Mr. Elton . "" "" And when , "" thought Emma , "" will there be a beginning of Mr. Churchill ? "" She had soon afterwards reason to believe that the beginning was already made , and could not but hope that the gipsy , though she had _ told _ no fortune , might be proved to have made Harriet's.--About a fortnight after the alarm , they came to a sufficient explanation , and quite undesignedly . ","I must get rid of every thing.-- There it goes , and there is an end , thank Heaven ! of Mr. Elton . "" "" And when , "" thought Emma , "" will there be a beginning of Mr. Churchill ? "" She had soon afterwards reason to believe that the beginning was already made , and could not but hope that the gipsy , though she had _ told _ no fortune , might be proved to have made Harriet's.--About a fortnight after the alarm , they came to a sufficient explanation , and quite undesignedly . "
emma_40,1,68,"Emma was not thinking of it at the moment , which made the information she received more valuable . ","Emma was not thinking of it at the moment , which made the information she received more valuable . "
emma_40,1,69,"She merely said , in the course of some trivial chat , "" Well , Harriet , whenever you marry I would advise you to do so and so""--and thought no more of it , till after a minute 's silence she heard Harriet say in a very serious tone , "" I shall never marry . "" ","She merely said , in the course of some trivial chat , "" Well , Harriet , whenever you marry I would advise you to do so and so""--and thought no more of it , till after a minute 's silence she heard Harriet say in a very serious tone , "" I shall never marry . "" "
emma_40,1,70,"Emma then looked up , and immediately saw how it was ; and after a moment 's debate , as to whether it should pass unnoticed or not , replied , "" Never marry!--This is a new resolution . "" ","Emma then looked up , and immediately saw how it was ; and after a moment 's debate , as to whether it should pass unnoticed or not , replied , "" Never marry!--This is a new resolution . "" "
emma_40,1,71,""" It is one that I shall never change , however . "" ",""" It is one that I shall never change , however . "" "
emma_40,1,72,"After another short hesitation , "" I hope it does not proceed from-- I hope it is not in compliment to Mr. Elton ? "" ","After another short hesitation , "" I hope it does not proceed from-- I hope it is not in compliment to Mr. Elton ? "" "
