fic_id,chapter_id,para_id,text,text_tokenized
mansfield_24,1,1, XLVIII , XLVIII 
mansfield_24,1,2,Let other pens dwell on guilt and misery . ,Let other pens dwell on guilt and misery . 
mansfield_24,1,3,"I quit such odious subjects as soon as I can , impatient to restore everybody , not greatly in fault themselves , to tolerable comfort , and to have done with all the rest . ","I quit such odious subjects as soon as I can , impatient to restore everybody , not greatly in fault themselves , to tolerable comfort , and to have done with all the rest . "
mansfield_24,1,4,"My Fanny , indeed , at this very time , I have the satisfaction of knowing , must have been happy in spite of everything . ","My Fanny , indeed , at this very time , I have the satisfaction of knowing , must have been happy in spite of everything . "
mansfield_24,1,5,"She must have been a happy creature in spite of all that she felt , or thought she felt , for the distress of those around her . ","She must have been a happy creature in spite of all that she felt , or thought she felt , for the distress of those around her . "
mansfield_24,1,6,She had sources of delight that must force their way . ,She had sources of delight that must force their way . 
mansfield_24,1,7,"She was returned to Mansfield Park , she was useful , she was beloved ; she was safe from Mr. Crawford ; and when Sir Thomas came back she had every proof that could be given in his then melancholy state of spirits , of his perfect approbation and increased regard ; and happy as all this must make her , she would still have been happy without any of it , for Edmund was no longer the dupe of Miss Crawford . ","She was returned to Mansfield Park , she was useful , she was beloved ; she was safe from Mr. Crawford ; and when Sir Thomas came back she had every proof that could be given in his then melancholy state of spirits , of his perfect approbation and increased regard ; and happy as all this must make her , she would still have been happy without any of it , for Edmund was no longer the dupe of Miss Crawford . "
mansfield_24,1,8,It is true that Edmund was very far from happy himself . ,It is true that Edmund was very far from happy himself . 
mansfield_24,1,9,"He was suffering from disappointment and regret , grieving over what was , and wishing for what could never be . ","He was suffering from disappointment and regret , grieving over what was , and wishing for what could never be . "
mansfield_24,1,10,"She knew it was so , and was sorry ; but it was with a sorrow so founded on satisfaction , so tending to ease , and so much in harmony with every dearest sensation , that there are few who might not have been glad to exchange their greatest gaiety for it . ","She knew it was so , and was sorry ; but it was with a sorrow so founded on satisfaction , so tending to ease , and so much in harmony with every dearest sensation , that there are few who might not have been glad to exchange their greatest gaiety for it . "
mansfield_24,1,11,"Sir Thomas , poor Sir Thomas , a parent , and conscious of errors in his own conduct as a parent , was the longest to suffer . ","Sir Thomas , poor Sir Thomas , a parent , and conscious of errors in his own conduct as a parent , was the longest to suffer . "
