fic_id,chapter_id,para_id,text,text_tokenized
northanger_14,1,1," 28 Soon after this , the General found himself obliged to go to London for a week ; and he left Northanger earnestly regretting that any necessity should rob him even for an hour of Miss Morland ’s company , and anxiously recommending the study of her comfort and amusement to his children as their chief object in his absence . "," 28 Soon after this , the General found himself obliged to go to London for a week ; and he left Northanger earnestly regretting that any necessity should rob him even for an hour of Miss Morland ’s company , and anxiously recommending the study of her comfort and amusement to his children as their chief object in his absence . "
northanger_14,1,2,His departure gave Catherine the first experimental conviction that a loss may be sometimes a gain . ,His departure gave Catherine the first experimental conviction that a loss may be sometimes a gain . 
northanger_14,1,3,"The happiness with which their time now passed , every employment voluntary , every laugh indulged , every meal a scene of ease and good humour , walking where they liked and when they liked , their hours , pleasures , and fatigues at their own command , made her thoroughly sensible of the restraint which the General ’s presence had imposed , and most thankfully feel their present release from it . ","The happiness with which their time now passed , every employment voluntary , every laugh indulged , every meal a scene of ease and good humour , walking where they liked and when they liked , their hours , pleasures , and fatigues at their own command , made her thoroughly sensible of the restraint which the General ’s presence had imposed , and most thankfully feel their present release from it . "
northanger_14,1,4,"Such ease and such delights made her love the place and the people more and more every day ; and had it not been for a dread of its soon becoming expedient to leave the one , and an apprehension of not being equally beloved by the other , she would at each moment of each day have been perfectly happy ; but she was now in the fourth week of her visit ; before the General came home , the fourth week would be turned , and perhaps it might seem an intrusion if she stayed much longer . ","Such ease and such delights made her love the place and the people more and more every day ; and had it not been for a dread of its soon becoming expedient to leave the one , and an apprehension of not being equally beloved by the other , she would at each moment of each day have been perfectly happy ; but she was now in the fourth week of her visit ; before the General came home , the fourth week would be turned , and perhaps it might seem an intrusion if she stayed much longer . "
northanger_14,1,5,"This was a painful consideration whenever it occurred ; and eager to get rid of such a weight on her mind , she very soon resolved to speak to Eleanor about it at once , propose going away , and be guided in her conduct by the manner in which her proposal might be taken . ","This was a painful consideration whenever it occurred ; and eager to get rid of such a weight on her mind , she very soon resolved to speak to Eleanor about it at once , propose going away , and be guided in her conduct by the manner in which her proposal might be taken . "
northanger_14,1,6,"Aware that if she gave herself much time , she might feel it difficult to bring forward so unpleasant a subject , she took the first opportunity of being suddenly alone with Eleanor , and of Eleanor ’s being in the middle of a speech about something very different , to start forth her obligation of going away very soon . ","Aware that if she gave herself much time , she might feel it difficult to bring forward so unpleasant a subject , she took the first opportunity of being suddenly alone with Eleanor , and of Eleanor ’s being in the middle of a speech about something very different , to start forth her obligation of going away very soon . "
northanger_14,1,7,Eleanor looked and declared herself much concerned . ,Eleanor looked and declared herself much concerned . 
northanger_14,1,8,"She had “ hoped for the pleasure of her company for a much longer time — had been misled ( perhaps by her wishes ) to suppose that a much longer visit had been promised — and could not but think that if Mr. and Mrs. Morland were aware of the pleasure it was to her to have her there , they would be too generous to hasten her return . ” ","She had “ hoped for the pleasure of her company for a much longer time — had been misled ( perhaps by her wishes ) to suppose that a much longer visit had been promised — and could not but think that if Mr. and Mrs. Morland were aware of the pleasure it was to her to have her there , they would be too generous to hasten her return . ” "
northanger_14,1,9,"Catherine explained : “ Oh ! as to _ that _ , Papa and Mamma were in no hurry at all . ","Catherine explained : “ Oh ! as to _ that _ , Papa and Mamma were in no hurry at all . "
northanger_14,1,10,"As long as she was happy , they would always be satisfied . ","As long as she was happy , they would always be satisfied . "
northanger_14,1,11,” ,” 
northanger_14,1,12,"“ Then why , might she ask , in such a hurry herself to leave them ? ” ","“ Then why , might she ask , in such a hurry herself to leave them ? ” "
northanger_14,1,13,“ Oh ! because she had been there so long . ” ,“ Oh ! because she had been there so long . ” 
northanger_14,1,14,"“ Nay , if you can use such a word , I can urge you no farther . ","“ Nay , if you can use such a word , I can urge you no farther . "
northanger_14,1,15,"If you think it long — ” “ Oh ! no , I do not indeed . ","If you think it long — ” “ Oh ! no , I do not indeed . "
northanger_14,1,16,"For my own pleasure , I could stay with you as long again . ” ","For my own pleasure , I could stay with you as long again . ” "
northanger_14,1,17,"And it was directly settled that , till she had , her leaving them was not even to be thought of . ","And it was directly settled that , till she had , her leaving them was not even to be thought of . "
northanger_14,1,18,"In having this cause of uneasiness so pleasantly removed , the force of the other was likewise weakened . ","In having this cause of uneasiness so pleasantly removed , the force of the other was likewise weakened . "
