fic_id,chapter_id,para_id,text,text_tokenized
pride_12,1,1, XXIV . , XXIV . 
pride_12,1,2,"Miss Bingley ’s letter arrived , and put an end to doubt . ","Miss Bingley ’s letter arrived , and put an end to doubt . "
pride_12,1,3,"The very first sentence conveyed the assurance of their being all settled in London for the winter , and concluded with her brother ’s regret at not having had time to pay his respects to his friends in Hertfordshire before he left the country . Hope was over , entirely over ; and when Jane could attend to the rest of the letter , she found little , except the professed affection of the writer , that could give her any comfort . ","The very first sentence conveyed the assurance of their being all settled in London for the winter , and concluded with her brother ’s regret at not having had time to pay his respects to his friends in Hertfordshire before he left the country . Hope was over , entirely over ; and when Jane could attend to the rest of the letter , she found little , except the professed affection of the writer , that could give her any comfort . "
pride_12,1,4,Miss Darcy ’s praise occupied the chief of it . ,Miss Darcy ’s praise occupied the chief of it . 
pride_12,1,5,"Her many attractions were again dwelt on ; and Caroline boasted joyfully of their increasing intimacy , and ventured to predict the accomplishment of the wishes which had been unfolded in her former letter . ","Her many attractions were again dwelt on ; and Caroline boasted joyfully of their increasing intimacy , and ventured to predict the accomplishment of the wishes which had been unfolded in her former letter . "
pride_12,1,6,"She wrote also with great pleasure of her brother ’s being an inmate of Mr. Darcy ’s house , and mentioned with raptures some plans of the latter with regard to new furniture . ","She wrote also with great pleasure of her brother ’s being an inmate of Mr. Darcy ’s house , and mentioned with raptures some plans of the latter with regard to new furniture . "
pride_12,1,7,"Elizabeth , to whom Jane very soon communicated the chief of all this , heard it in silent indignation . ","Elizabeth , to whom Jane very soon communicated the chief of all this , heard it in silent indignation . "
pride_12,1,8,Her heart was divided between concern for her sister and resentment against all others . ,Her heart was divided between concern for her sister and resentment against all others . 
pride_12,1,9,"To Caroline ’s assertion of her brother ’s being partial to Miss Darcy , she paid no credit . ","To Caroline ’s assertion of her brother ’s being partial to Miss Darcy , she paid no credit . "
pride_12,1,10,"That he was really fond of Jane , she doubted no more than she had ever done ; and much as she had always been disposed to like him , she could not think without anger , hardly without contempt , on that easiness of temper , that want of proper resolution , which now made him the slave of his designing friends , and led him to sacrifice his own happiness to the caprice of their inclinations . ","That he was really fond of Jane , she doubted no more than she had ever done ; and much as she had always been disposed to like him , she could not think without anger , hardly without contempt , on that easiness of temper , that want of proper resolution , which now made him the slave of his designing friends , and led him to sacrifice his own happiness to the caprice of their inclinations . "
