fic_id,chapter_id,para_id,text,text_tokenized
sense_1,1,1, 2 Mrs. John Dashwood now installed herself mistress of Norland ; and her mother and sisters - in - law were degraded to the condition of visitors . , 2 Mrs. John Dashwood now installed herself mistress of Norland ; and her mother and sisters - in - law were degraded to the condition of visitors . 
sense_1,1,2,"As such , however , they were treated by her with quiet civility ; and by her husband with as much kindness as he could feel towards anybody beyond himself , his wife , and their child . ","As such , however , they were treated by her with quiet civility ; and by her husband with as much kindness as he could feel towards anybody beyond himself , his wife , and their child . "
sense_1,1,3,"He really pressed them , with some earnestness , to consider Norland as their home ; and , as no plan appeared so eligible to Mrs. Dashwood as remaining there till she could accommodate herself with a house in the neighbourhood , his invitation was accepted . ","He really pressed them , with some earnestness , to consider Norland as their home ; and , as no plan appeared so eligible to Mrs. Dashwood as remaining there till she could accommodate herself with a house in the neighbourhood , his invitation was accepted . "
sense_1,1,4,"A continuance in a place where everything reminded her of former delight , was exactly what suited her mind ","A continuance in a place where everything reminded her of former delight , was exactly what suited her mind "
sense_1,1,5,. ,. 
sense_1,1,6,"In seasons of cheerfulness , no temper could be more cheerful than hers , or possess , in a greater degree , that sanguine expectation of happiness which is happiness itself . But in sorrow she must be equally carried away by her fancy , and as far beyond consolation as in pleasure she was beyond alloy . ","In seasons of cheerfulness , no temper could be more cheerful than hers , or possess , in a greater degree , that sanguine expectation of happiness which is happiness itself . But in sorrow she must be equally carried away by her fancy , and as far beyond consolation as in pleasure she was beyond alloy . "
sense_1,1,7,Mrs. John Dashwood did not at all approve of what her husband intended to do for his sisters . To take three thousand pounds from the fortune of their dear little boy would be impoverishing him to the most dreadful degree . ,Mrs. John Dashwood did not at all approve of what her husband intended to do for his sisters . To take three thousand pounds from the fortune of their dear little boy would be impoverishing him to the most dreadful degree . 
sense_1,1,8,She begged him to think again on the subject . ,She begged him to think again on the subject . 
sense_1,1,9,"How could he answer it to himself to rob his child , and his only child too , of so large a sum ? ","How could he answer it to himself to rob his child , and his only child too , of so large a sum ? "
sense_1,1,10,"And what possible claim could the Miss Dashwoods , who were related to him only by half blood , which she considered as no relationship at all , have on his generosity to so large an amount . It was very well known that no affection was ever supposed to exist between the children of any man by different marriages ; and why was he to ruin himself , and their poor little Harry , by giving away all his money to his half sisters ? ","And what possible claim could the Miss Dashwoods , who were related to him only by half blood , which she considered as no relationship at all , have on his generosity to so large an amount . It was very well known that no affection was ever supposed to exist between the children of any man by different marriages ; and why was he to ruin himself , and their poor little Harry , by giving away all his money to his half sisters ? "
sense_1,1,11,""" It was my father 's last request to me , "" replied her husband , "" that I should assist his widow and daughters . ",""" It was my father 's last request to me , "" replied her husband , "" that I should assist his widow and daughters . "
sense_1,1,12,""" "" He did not know what he was talking of , I dare say ; ten to one but he was light - headed at the time . ",""" "" He did not know what he was talking of , I dare say ; ten to one but he was light - headed at the time . "
sense_1,1,13,"Had he been in his right senses , he could not have thought of such a thing as begging you to give away half your fortune from your own child . ","Had he been in his right senses , he could not have thought of such a thing as begging you to give away half your fortune from your own child . "
sense_1,1,14,""" ",""" "
sense_1,1,15,""" He did not stipulate for any particular sum , my dear Fanny ; he only requested me , in general terms , to assist them , and make their situation more comfortable than it was in his power to do . ",""" He did not stipulate for any particular sum , my dear Fanny ; he only requested me , in general terms , to assist them , and make their situation more comfortable than it was in his power to do . "
sense_1,1,16,Perhaps it would have been as well if he had left it wholly to myself . ,Perhaps it would have been as well if he had left it wholly to myself . 
sense_1,1,17,He could hardly suppose I should neglect them . ,He could hardly suppose I should neglect them . 
sense_1,1,18,"But as he required the promise , I could not do less than give it ; at least I thought so at the time . ","But as he required the promise , I could not do less than give it ; at least I thought so at the time . "
sense_1,1,19,"The promise , therefore , was given , and must be performed . Something must be done for them whenever they leave Norland and settle in a new home . "" "" Well , then , LET something be done for them ; but THAT something need not be three thousand pounds . ","The promise , therefore , was given , and must be performed . Something must be done for them whenever they leave Norland and settle in a new home . "" "" Well , then , LET something be done for them ; but THAT something need not be three thousand pounds . "
sense_1,1,20,"Consider , "" she added , "" that when the money is once parted with , it never can return . ","Consider , "" she added , "" that when the money is once parted with , it never can return . "
sense_1,1,21,"Your sisters will marry , and it will be gone for ever . If , indeed , it could be restored to our poor little boy-- "" "" Why , to be sure , "" said her husband , very gravely , "" that would make great difference . ","Your sisters will marry , and it will be gone for ever . If , indeed , it could be restored to our poor little boy-- "" "" Why , to be sure , "" said her husband , very gravely , "" that would make great difference . "
sense_1,1,22,The time may come when Harry will regret that so large a sum was parted with . ,The time may come when Harry will regret that so large a sum was parted with . 
sense_1,1,23,"If he should have a numerous family , for instance , it would be a very convenient addition . ","If he should have a numerous family , for instance , it would be a very convenient addition . "
sense_1,1,24,""" "" To be sure it would . ",""" "" To be sure it would . "
sense_1,1,25,""" ",""" "
sense_1,1,26,""" Perhaps , then , it would be better for all parties , if the sum were diminished one half.--Five hundred pounds would be a prodigious increase to their fortunes ! "" "" Oh ! ",""" Perhaps , then , it would be better for all parties , if the sum were diminished one half.--Five hundred pounds would be a prodigious increase to their fortunes ! "" "" Oh ! "
sense_1,1,27,beyond anything great ! ,beyond anything great ! 
sense_1,1,28,"What brother on earth would do half so much for his sisters , even if REALLY his sisters ! ","What brother on earth would do half so much for his sisters , even if REALLY his sisters ! "
sense_1,1,29,"And as it is -- only half blood!--But you have such a generous spirit ! "" "" ","And as it is -- only half blood!--But you have such a generous spirit ! "" "" "
sense_1,1,30,"I would not wish to do any thing mean , "" he replied . ","I would not wish to do any thing mean , "" he replied . "
sense_1,1,31,""" One had rather , on such occasions , do too much than too little . ",""" One had rather , on such occasions , do too much than too little . "
sense_1,1,32,"No one , at least , can think I have not done enough for them : even themselves , they can hardly expect more . "" ","No one , at least , can think I have not done enough for them : even themselves , they can hardly expect more . "" "
