Character	MostCommon	C1	C2	C3	C4	C5
Anna Weston	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse
Augusta Elton	Philip Elton	Philip Elton	Philip Elton	Philip Elton	Philip Elton	Philip Elton
Emma Woodhouse	Harriet Smith	Harriet Smith	Harriet Smith	Jane Fairfax	Harriet Smith	Harriet Smith
Frank Churchill	Captain Wentworth	Captain Wentworth	Captain Wentworth	John Willoughby	Captain Wentworth	John Willoughby
George Knightley	Frank Churchill	Frank Churchill	Frank Churchill	Frank Churchill	Frank Churchill	Frank Churchill
Harriet Smith	Isabella Knightley	Isabella Knightley	Emma Woodhouse	Isabella Knightley	Isabella Knightley	Emma Woodhouse
Isabella Knightley	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse
Jane Fairfax	Fanny Price	Fanny Price	Fanny Price	Fanny Price	Fanny Price	Fanny Price
John Knightley	Jane Fairfax	Jane Fairfax	Jane Fairfax	Sir Thomas Bertram	John Knightley	Mr. Yates
Miss Bates	Mr. Weston	Mr. Weston	Mr. Weston	Augusta Elton	Augusta Elton	Mr. Weston
Mr. Weston	George Knightley	George Knightley	Anna Weston	George Knightley	Frank Churchill	Frank Churchill
Mr. Woodhouse	Mr. Perry	Mr. Perry	Mr. Perry	Mr. Perry	Mr. Perry	Mr. Perry
Mr. Perry	Dr. Grant	Dr. Grant	Dr. Grant	Dr. Grant	Mrs. Cole	Dr. Grant
Mrs. Cole	Miss Bates	Miss Bates	Miss Bates	Miss Bates	Miss Bates	Miss Bates
Philip Elton	Augusta Elton	Augusta Elton	Augusta Elton	Augusta Elton	Augusta Elton	Augusta Elton
Robert Martin	John Willoughby	Philip Elton	John Willoughby	John Willoughby	John Willoughby	John Willoughby
Dr. Grant	Mrs. Grant	Mrs. Grant	Mrs. Grant	Mrs. Grant	Mrs. Grant	Mrs. Grant
Edmund Bertram	Edward Ferrars	Edward Ferrars	Edward Ferrars	Edward Ferrars	Edward Ferrars	Edward Ferrars
Fanny Price	Henry Crawford	Henry Crawford	Henry Crawford	Henry Crawford	Henry Crawford	Henry Crawford
Henry Crawford	John Willoughby	John Willoughby	John Willoughby	John Willoughby	John Willoughby	John Willoughby
Julia Bertram	Maria Bertram	Maria Bertram	Maria Bertram	Maria Bertram	Maria Bertram	Maria Bertram
Lady Bertram	Maria Bertram	Maria Bertram	Maria Bertram	Maria Bertram	Maria Bertram	Maria Bertram
Maria Bertram	Mary Crawford	Mary Crawford	Mary Crawford	Mary Crawford	Mary Crawford	Mary Crawford
Mary Crawford	John Willoughby	John Willoughby	John Willoughby	John Willoughby	John Willoughby	John Willoughby
Lieutenant Price	William Price	William Price	William Price	William Price	William Price	William Price
Mr. Rushworth	Mr. Yates	Mr. Yates	Mr. Yates	Mr. Yates	Mr. Yates	Mr. Yates
Mr. Yates	Mr. Rushworth	John Thorpe	Mr. Rushworth	Mr. Rushworth	Mr. Rushworth	John Thorpe
Mrs. Grant	Mrs. Norris	Mrs. Norris	Mrs. Jennings	Mrs. Norris	Mrs. Norris	Mrs. Jennings
Mrs. Norris	Fanny Dashwood	Fanny Dashwood	Fanny Dashwood	Fanny Dashwood	Fanny Dashwood	Fanny Dashwood
Mrs. Price	Mrs. Morland	Mrs. Morland	Mrs. Morland	Mrs. Morland	Mrs. Morland	Mrs. Morland
Mrs. Rushworth	Maria Bertram	Maria Bertram	Maria Bertram	Maria Bertram	Maria Bertram	Maria Bertram
Sir Thomas Bertram	Sir Walter Elliot	Sir Walter Elliot	General Tilney	Sir Walter Elliot	Sir Walter Elliot	Sir Walter Elliot
Susan Price	Fanny Price	Fanny Price	Fanny Price	Fanny Price	Fanny Price	Fanny Price
Tom Bertram	William Price	William Price	William Price	William Price	William Price	William Price
William Price	Tom Bertram	Tom Bertram	Tom Bertram	Tom Bertram	Tom Bertram	Tom Bertram
Catherine Morland	Elizabeth Bennet	Anne Elliot	Elizabeth Bennet	Elizabeth Bennet	Elizabeth Bennet	Elizabeth Bennet
Eleanor Tilney	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood
Frederick Tilney	Henry Tilney	Henry Tilney	Henry Tilney	Henry Tilney	Henry Tilney	Henry Tilney
