Character	MostCommon	C1	C2	C3	C4	C5
Anna Weston	Mrs. Gardiner	Mrs. Gardiner	Mrs. Gardiner	Miss Bates	Mrs. Gardiner	Emma Woodhouse
Augusta Elton	Caroline Bingley	Caroline Bingley	Caroline Bingley	Caroline Bingley	Lady Catherine de Bourgh	Mary Musgrove
Emma Woodhouse	Elizabeth Bennet	Elizabeth Bennet	Elizabeth Bennet	Elizabeth Bennet	Elizabeth Bennet	Elizabeth Bennet
Frank Churchill	Henry Crawford	Henry Crawford	Henry Crawford	Henry Crawford	Henry Crawford	Henry Crawford
George Knightley	Edmund Bertram	Edmund Bertram	Edmund Bertram	Edmund Bertram	Fitzwilliam Darcy	Colonel Brandon
Harriet Smith	Catherine Morland	Catherine Morland	Catherine Morland	Catherine Morland	Catherine Morland	Catherine Morland
Isabella Knightley	Emma Woodhouse	Emma Woodhouse	Emma Woodhouse	Elinor Dashwood	Emma Woodhouse	Emma Woodhouse
Jane Fairfax	Fanny Price	Fanny Price	Fanny Price	Fanny Price	Fanny Price	Fanny Price
John Knightley	Mr. Weston	Mr. Weston	Mr. Weston	Mr. Bennet	Mr. Weston	Mr. Weston
Miss Bates	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings
Mr. Weston	Sir John Middleton	Sir John Middleton	Charles Bingley	Sir John Middleton	Charles Bingley	Sir John Middleton
Mr. Woodhouse	Mr. Perry	Mr. Bennet	Mr. Perry	Mr. Perry	Mr. Perry	Mr. Perry
Mr. Perry	Dr. Grant	Dr. Grant	Dr. Grant	Dr. Grant	Dr. Grant	Dr. Grant
Mrs. Cole	Miss Bates	Miss Bates	Mrs. Jennings	Mrs. Jennings	Miss Bates	Anna Weston
Philip Elton	William Collins	William Collins	John Willoughby	William Collins	William Collins	William Collins
Robert Martin	Charles Bingley	Edward Ferrars	Charles Bingley	Charles Bingley	Edward Ferrars	Charles Bingley
Dr. Grant	William Collins	Mr. Perry	Philip Elton	William Collins	William Collins	Mr. Hurst
Edmund Bertram	Edward Ferrars	Edward Ferrars	Edward Ferrars	Edward Ferrars	Edward Ferrars	Edward Ferrars
Fanny Price	Elinor Dashwood	Anne Elliot	Elinor Dashwood	Elinor Dashwood	Anne Elliot	Elinor Dashwood
Henry Crawford	John Willoughby	John Willoughby	John Willoughby	John Willoughby	John Willoughby	John Willoughby
Julia Bertram	Maria Bertram	Maria Bertram	Caroline Bingley	Maria Bertram	Maria Bertram	Maria Bertram
Lady Bertram	Lady Middleton	Lady Middleton	Lady Middleton	Lady Middleton	Lady Middleton	Lady Middleton
Maria Bertram	Mary Crawford	Mary Crawford	Mary Crawford	Mary Crawford	Mary Crawford	Mary Crawford
Mary Crawford	Caroline Bingley	Caroline Bingley	Caroline Bingley	Caroline Bingley	Caroline Bingley	Henry Crawford
Lieutenant Price	Captain Wentworth	Captain Wentworth	William Price	William Price	Captain Wentworth	Captain Wentworth
Mr. Rushworth	William Collins	William Collins	Sir William Lucas	William Collins	William Collins	William Collins
Mr. Yates	John Thorpe	John Thorpe	John Thorpe	John Willoughby	John Thorpe	John Thorpe
Mrs. Grant	Anna Weston	Mrs. Jennings	Anna Weston	Anna Weston	Lady Middleton	Lady Bertram
Mrs. Norris	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Catherine de Bourgh	Lady Catherine de Bourgh
Mrs. Price	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet
Mrs. Rushworth	Maria Bertram	Maria Bertram	Lady Catherine de Bourgh	Augusta Elton	Mary Crawford	Caroline Bingley
Sir Thomas Bertram	Sir Walter Elliot	Sir Walter Elliot	Sir Walter Elliot	Sir Walter Elliot	Sir Walter Elliot	Sir Walter Elliot
Susan Price	Fanny Price	Eleanor Tilney	Elinor Dashwood	Fanny Price	Catherine Morland	Fanny Price
Tom Bertram	John Willoughby	John Willoughby	John Willoughby	John Willoughby	John Willoughby	John Willoughby
William Price	Captain Wentworth	Captain Wentworth	Captain Wentworth	Frederick Tilney	Captain Wentworth	Frederick Tilney
Catherine Morland	Marianne Dashwood	Harriet Smith	Marianne Dashwood	Marianne Dashwood	Harriet Smith	Marianne Dashwood
Eleanor Tilney	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood
Frederick Tilney	John Willoughby	John Willoughby	John Willoughby	John Willoughby	Henry Crawford	John Willoughby
General Tilney	Sir Thomas Bertram	Sir Thomas Bertram	Sir Thomas Bertram	Sir Thomas Bertram	Sir Thomas Bertram	Sir Thomas Bertram
Henry Tilney	Fitzwilliam Darcy	Fitzwilliam Darcy	George Knightley	George Knightley	Edmund Bertram	Fitzwilliam Darcy
Isabella Thorpe	Lucy Steele	Augusta Elton	Lucy Steele	Caroline Bingley	Lydia Bennet	Lucy Steele
James Morland	Charles Bingley	Charles Bingley	Charles Bingley	Charles Bingley	Charles Bingley	Charles Bingley
John Thorpe	William Collins	William Collins	George Wickham	John Willoughby	William Collins	William Collins
Mr. Allen	Mr. Weston	Mr. Weston	Mr. Weston	Mr. Weston	Mr. Weston	Mr. Weston
Mrs. Allen	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings	Mrs. Jennings
Mrs. Morland	Mrs. Dashwood	Mrs. Dashwood	Mrs. Dashwood	Mrs. Dashwood	Mrs. Dashwood	Mrs. Gardiner
Mrs. Thorpe	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet	Mrs. Bennet
Admiral Croft	Colonel Brandon	Colonel Brandon	Colonel Brandon	Colonel Brandon	Captain Harville	Captain Harville
Anne Elliot	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood	Elinor Dashwood
Captain Benwick	Edward Ferrars	Captain Wentworth	Edward Ferrars	Edward Ferrars	Edward Ferrars	Captain Wentworth
Captain Harville	Colonel Brandon	Captain Benwick	Colonel Brandon	Colonel Brandon	Colonel Brandon	Captain Wentworth
Charles Hayter	Edward Ferrars	Edward Ferrars	Edward Ferrars	Edward Ferrars	Edward Ferrars	Captain Harville
Charles Musgrove	Charles Bingley	Charles Bingley	John Knightley	Charles Bingley	Charles Bingley	Mr. Weston
