dataset,Top_in_group,comparison,category,exclude,novel,character,top,topNovel
gpt4-plain,1,gender,F,0,E,Anna Weston,Emma Woodhouse,E
gpt4-plain,0,gender,F,0,E,Augusta Elton,Philip Elton,E
gpt4-plain,1,gender,F,0,E,Emma Woodhouse,Harriet Smith,E
gpt4-plain,1,gender,F,0,E,Harriet Smith,Isabella Knightley,E
gpt4-plain,1,gender,F,0,E,Isabella Knightley,Emma Woodhouse,E
gpt4-plain,1,gender,F,0,E,Jane Fairfax,Fanny Price,MP
gpt4-plain,0,gender,F,0,E,Miss Bates,Mr. Weston,E
gpt4-plain,1,gender,F,0,E,Mrs. Cole,Miss Bates,E
gpt4-plain,0,gender,F,0,MP,Fanny Price,Henry Crawford,MP
gpt4-plain,1,gender,F,0,MP,Julia Bertram,Maria Bertram,MP
gpt4-plain,1,gender,F,0,MP,Lady Bertram,Maria Bertram,MP
gpt4-plain,1,gender,F,0,MP,Maria Bertram,Mary Crawford,MP
gpt4-plain,0,gender,F,0,MP,Mary Crawford,John Willoughby,S&S
gpt4-plain,1,gender,F,0,MP,Mrs. Grant,Mrs. Norris,MP
gpt4-plain,1,gender,F,0,MP,Mrs. Norris,Fanny Dashwood,S&S
gpt4-plain,1,gender,F,0,MP,Mrs. Price,Mrs. Morland,N
gpt4-plain,1,gender,F,0,MP,Mrs. Rushworth,Maria Bertram,MP
gpt4-plain,1,gender,F,0,MP,Susan Price,Fanny Price,MP
gpt4-plain,1,gender,F,0,N,Catherine Morland,Elizabeth Bennet,P&P
gpt4-plain,1,gender,F,0,N,Eleanor Tilney,Elinor Dashwood,S&S
gpt4-plain,0,gender,F,0,N,Isabella Thorpe,John Thorpe,N
gpt4-plain,0,gender,F,0,N,Mrs. Allen,Mr. Allen,N
gpt4-plain,1,gender,F,0,N,Mrs. Morland,Mrs. Allen,N
gpt4-plain,1,gender,F,0,N,Mrs. Thorpe,Mrs. Morland,N
gpt4-plain,1,gender,F,0,P,Anne Elliot,Elizabeth Bennet,P&P
gpt4-plain,1,gender,F,0,P,Elizabeth Elliot,Anne Elliot,P
gpt4-plain,1,gender,F,0,P,Henrietta Musgrove,Louisa Musgrove,P
gpt4-plain,1,gender,F,0,P,Lady Russell,Lady Catherine de Bourgh,P&P
gpt4-plain,1,gender,F,0,P,Louisa Musgrove,Henrietta Musgrove,P
gpt4-plain,1,gender,F,0,P,Mary Musgrove,Mary Musgrove,P
gpt4-plain,1,gender,F,0,P,Mrs. Clay,Mrs. Thorpe,N
gpt4-plain,0,gender,F,0,P,Mrs. Croft,Admiral Croft,P
gpt4-plain,1,gender,F,0,P,Mrs. Harville,Mrs. Musgrove,P
gpt4-plain,0,gender,F,0,P,Mrs. Musgrove,Mr. Musgrove,P
gpt4-plain,1,gender,F,0,P,Mrs. Smith,Mrs. Clay,P
gpt4-plain,1,gender,F,0,P&P,Caroline Bingley,Lady Catherine de Bourgh,P&P
gpt4-plain,1,gender,F,0,P&P,Charlotte Lucas,Charlotte Palmer,S&S
gpt4-plain,1,gender,F,0,P&P,Elizabeth Bennet,Emma Woodhouse,E
gpt4-plain,1,gender,F,0,P&P,Georgiana Darcy,Jane Bennet,P&P
gpt4-plain,1,gender,F,0,P&P,Jane Bennet,Jane Fairfax,E
gpt4-plain,1,gender,F,0,P&P,Kitty Bennet,Lydia Bennet,P&P
gpt4-plain,1,gender,F,0,P&P,Lady Catherine de Bourgh,Lady Lucas,P&P
gpt4-plain,1,gender,F,0,P&P,Lady Lucas,Lady Catherine de Bourgh,P&P
gpt4-plain,0,gender,F,0,P&P,Lydia Bennet,George Wickham,P&P
gpt4-plain,1,gender,F,0,P&P,Mary Bennet,Margaret Dashwood,S&S
gpt4-plain,1,gender,F,0,P&P,Mrs. Bennet,Mrs. Jennings,S&S
gpt4-plain,1,gender,F,0,P&P,Mrs. Gardiner,Charlotte Lucas,P&P
gpt4-plain,1,gender,F,0,P&P,Mrs. Hurst,Caroline Bingley,P&P
gpt4-plain,1,gender,F,0,P&P,Mrs. Phillips,Mrs. Bennet,P&P
gpt4-plain,1,gender,F,0,S&S,Anne Steele,Lucy Steele,S&S
gpt4-plain,0,gender,F,0,S&S,Charlotte Palmer,Thomas Palmer,S&S
gpt4-plain,1,gender,F,0,S&S,Elinor Dashwood,Fanny Dashwood,S&S
