dataset,Top_in_group,comparison,category,exclude,novel,character,top,topNovel
gpt4-reasoning,1,gender,F,0,E,Anna Weston,Mrs. Gardiner,P&P
gpt4-reasoning,1,gender,F,0,E,Augusta Elton,Caroline Bingley,P&P
gpt4-reasoning,1,gender,F,0,E,Emma Woodhouse,Elizabeth Bennet,P&P
gpt4-reasoning,1,gender,F,0,E,Harriet Smith,Catherine Morland,N
gpt4-reasoning,1,gender,F,0,E,Isabella Knightley,Emma Woodhouse,E
gpt4-reasoning,1,gender,F,0,E,Jane Fairfax,Fanny Price,MP
gpt4-reasoning,1,gender,F,0,E,Miss Bates,Mrs. Jennings,S&S
gpt4-reasoning,1,gender,F,0,E,Mrs. Cole,Miss Bates,E
gpt4-reasoning,1,gender,F,0,MP,Fanny Price,Elinor Dashwood,S&S
gpt4-reasoning,1,gender,F,0,MP,Julia Bertram,Maria Bertram,MP
gpt4-reasoning,1,gender,F,0,MP,Lady Bertram,Lady Middleton,S&S
gpt4-reasoning,1,gender,F,0,MP,Maria Bertram,Mary Crawford,MP
gpt4-reasoning,1,gender,F,0,MP,Mary Crawford,Caroline Bingley,P&P
gpt4-reasoning,1,gender,F,0,MP,Mrs. Grant,Anna Weston,E
gpt4-reasoning,1,gender,F,0,MP,Mrs. Norris,Lady Catherine de Bourgh,P&P
gpt4-reasoning,1,gender,F,0,MP,Mrs. Price,Mrs. Bennet,P&P
gpt4-reasoning,1,gender,F,0,MP,Mrs. Rushworth,Maria Bertram,MP
gpt4-reasoning,1,gender,F,0,MP,Susan Price,Fanny Price,MP
gpt4-reasoning,1,gender,F,0,N,Catherine Morland,Marianne Dashwood,S&S
gpt4-reasoning,1,gender,F,0,N,Eleanor Tilney,Elinor Dashwood,S&S
gpt4-reasoning,1,gender,F,0,N,Isabella Thorpe,Lucy Steele,S&S
gpt4-reasoning,1,gender,F,0,N,Mrs. Allen,Mrs. Jennings,S&S
gpt4-reasoning,1,gender,F,0,N,Mrs. Morland,Mrs. Dashwood,S&S
gpt4-reasoning,1,gender,F,0,N,Mrs. Thorpe,Mrs. Bennet,P&P
