dataset,In_Percent,category,exclude,novel,character,simIn,simOut
gpt4,0.16666666666666666,deceiver,0,E,Frank Churchill,4,20
gpt4,0.25,deceiver,0,P&P,George Wickham,5,15
gpt4,0.21739130434782608,deceiver,0,S&S,John Willoughby,5,18
gpt4,0.26666666666666666,deceiver,0,MP,Henry Crawford,4,11
gpt4,0.25,deceiver,0,N,John Thorpe,5,15
gpt4,0.1,deceiver,0,P,William Elliot,1,9
gpt4,0.2777777777777778,hero,0,E,George Knightley,5,13
gpt4,0.05,hero,0,MP,Edmund Bertram,1,19
gpt4,0.1,hero,0,N,Henry Tilney,1,9
gpt4,0.125,hero,0,P,Captain Wentworth,2,14
gpt4,0.3,hero,0,P&P,Fitzwilliam Darcy,6,14
gpt4,0.23076923076923078,hero,0,S&S,Colonel Brandon,6,20
gpt4,0.1,hero,0,S&S,Edward Ferrars,1,9
gpt4,0.0,heroine,0,E,Emma Woodhouse,0,16
gpt4,0.25,heroine,0,MP,Fanny Price,5,15
gpt4,0.4,heroine,0,N,Catherine Morland,6,9
gpt4,0.4,heroine,0,P,Anne Elliot,6,9
gpt4,0.42857142857142855,heroine,0,P&P,Elizabeth Bennet,6,8
gpt4,0.2857142857142857,heroine,0,S&S,Elinor Dashwood,6,15
gpt4,0.3,heroine,0,S&S,Marianne Dashwood,6,14
gpt4,0.058823529411764705,parent,0,E,Mr. Woodhouse,1,16
gpt4,0.21739130434782608,parent,0,MP,Lady Bertram,5,18
gpt4,0.0,parent,0,MP,Lieutenant Price,0,27
gpt4,0.2222222222222222,parent,0,MP,Mrs. Norris,4,14
gpt4,0.25,parent,0,MP,Mrs. Price,5,15
gpt4,0.3125,parent,0,MP,Sir Thomas Bertram,5,11
gpt4,0.09523809523809523,parent,0,N,Mrs. Morland,2,19
gpt4,0.13043478260869565,parent,0,P,Lady Russell,3,20
gpt4,0.07407407407407407,parent,0,P,Sir Walter Elliot,2,25
gpt4,0.0,parent,0,P&P,Mr. Bennet,0,10
gpt4,0.2,parent,0,P&P,Mrs. Bennet,3,12
gpt4,0.17647058823529413,parent,0,S&S,Mrs. Dashwood,3,14
gpt4,0.1111111111111111,rival,0,E,Harriet Smith,2,16
gpt4,0.05555555555555555,rival,0,E,Jane Fairfax,1,17
gpt4,0.1111111111111111,rival,0,MP,Mary Crawford,2,16
gpt4,0.0,rival,0,P,Louisa Musgrove,0,12
gpt4,0.09090909090909091,rival,0,P&P,Caroline Bingley,1,10
gpt4,0.15,rival,0,S&S,Lucy Steele,3,17
gpt4,0.14285714285714285,sibling,0,E,Isabella Knightley,3,18
gpt4,0.125,sibling,0,MP,Susan Price,3,21
gpt4,0.15,sibling,0,MP,William Price,3,17
gpt4,0.041666666666666664,sibling,0,N,James Morland,1,23
gpt4,0.047619047619047616,sibling,0,P,Elizabeth Elliot,1,20
gpt4,0.05,sibling,0,P,Mary Musgrove,1,19
gpt4,0.16666666666666666,sibling,0,P&P,Jane Bennet,3,15
gpt4,0.26666666666666666,sibling,0,P&P,Kitty Bennet,4,11
gpt4,0.17647058823529413,sibling,0,P&P,Lydia Bennet,3,14
gpt4,0.15,sibling,0,P&P,Mary Bennet,3,17
gpt4,0.05263157894736842,sibling,0,S&S,John Dashwood,1,18
gpt4,0.1,sibling,0,S&S,Margaret Dashwood,1,9
gpt4,0.2,wooer,0,MP,Henry Crawford,3,12
gpt4,0.15,wooer,0,N,John Thorpe,3,17
gpt4,0.0,wooer,0,P,William Elliot,0,10
gpt4,0.07142857142857142,wooer,0,E,Philip Elton,1,13
gpt4,0.047619047619047616,wooer,0,P,Charles Musgrove,1,20
gpt4,0.13333333333333333,wooer,0,P&P,William Collins,2,13
gpt4,0.3076923076923077,deceiver,1,E,Frank Churchill,4,9
gpt4,0.25,deceiver,1,P&P,George Wickham,5,15
gpt4,0.22727272727272727,deceiver,1,S&S,John Willoughby,5,17
gpt4,0.5714285714285714,deceiver,1,MP,Henry Crawford,4,3
gpt4,0.2777777777777778,deceiver,1,N,John Thorpe,5,13
gpt4,0.1,deceiver,1,P,William Elliot,1,9
gpt4,0.38461538461538464,hero,1,E,George Knightley,5,8
gpt4,0.1,hero,1,MP,Edmund Bertram,1,9
gpt4,0.1,hero,1,N,Henry Tilney,1,9
gpt4,0.16666666666666666,hero,1,P,Captain Wentworth,2,10
gpt4,0.3157894736842105,hero,1,P&P,Fitzwilliam Darcy,6,13
gpt4,0.20833333333333334,hero,1,S&S,Colonel Brandon,5,19
gpt4,0.1,hero,1,S&S,Edward Ferrars,1,9
gpt4,0.0,heroine,1,E,Emma Woodhouse,0,2
gpt4,0.2631578947368421,heroine,1,MP,Fanny Price,5,14
gpt4,0.6666666666666666,heroine,1,N,Catherine Morland,6,3
gpt4,0.5,heroine,1,P,Anne Elliot,6,6
gpt4,0.46153846153846156,heroine,1,P&P,Elizabeth Bennet,6,7
gpt4,0.25,heroine,1,S&S,Elinor Dashwood,5,15
gpt4,0.2777777777777778,heroine,1,S&S,Marianne Dashwood,5,13
gpt4,0.5,parent,1,E,Mr. Woodhouse,1,1
gpt4,0.1111111111111111,parent,1,MP,Lady Bertram,2,16
gpt4,0.0,parent,1,MP,Lieutenant Price,0,26
gpt4,0.23076923076923078,parent,1,MP,Mrs. Norris,3,10
gpt4,0.21052631578947367,parent,1,MP,Mrs. Price,4,15
gpt4,0.25,parent,1,MP,Sir Thomas Bertram,2,6
gpt4,0.10526315789473684,parent,1,N,Mrs. Morland,2,17
gpt4,0.14285714285714285,parent,1,P,Lady Russell,3,18
gpt4,0.06666666666666667,parent,1,P,Sir Walter Elliot,1,14
gpt4,0.0,parent,1,P&P,Mr. Bennet,0,10
gpt4,0.2727272727272727,parent,1,P&P,Mrs. Bennet,3,8
gpt4,0.5,parent,1,S&S,Mrs. Dashwood,3,3
gpt4,0.125,rival,1,E,Harriet Smith,1,7
gpt4,0.06666666666666667,rival,1,E,Jane Fairfax,1,14
gpt4,0.2222222222222222,rival,1,MP,Mary Crawford,2,7
gpt4,-1,rival,1,P,Louisa Musgrove,0,0
gpt4,0.1111111111111111,rival,1,P&P,Caroline Bingley,1,8
gpt4,0.16666666666666666,rival,1,S&S,Lucy Steele,3,15
gpt4,0.25,sibling,1,E,Isabella Knightley,3,9
gpt4,0.15384615384615385,sibling,1,MP,Susan Price,2,11
gpt4,0.15384615384615385,sibling,1,MP,William Price,2,11
gpt4,0.07142857142857142,sibling,1,N,James Morland,1,13
gpt4,0.0,sibling,1,P,Elizabeth Elliot,0,13
gpt4,0.05,sibling,1,P,Mary Musgrove,1,19
gpt4,0.17647058823529413,sibling,1,P&P,Jane Bennet,3,14
gpt4,0.16666666666666666,sibling,1,P&P,Kitty Bennet,1,5
gpt4,0.15384615384615385,sibling,1,P&P,Lydia Bennet,2,11
gpt4,0.15,sibling,1,P&P,Mary Bennet,3,17
gpt4,0.05555555555555555,sibling,1,S&S,John Dashwood,1,17
gpt4,0.1,sibling,1,S&S,Margaret Dashwood,1,9
gpt4,0.42857142857142855,wooer,1,MP,Henry Crawford,3,4
gpt4,0.16666666666666666,wooer,1,N,John Thorpe,3,15
gpt4,0.0,wooer,1,P,William Elliot,0,10
gpt4,0.16666666666666666,wooer,1,E,Philip Elton,1,5
gpt4,0.0,wooer,1,P,Charles Musgrove,0,10
gpt4,0.15384615384615385,wooer,1,P&P,William Collins,2,11
