Character	MostCommon	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50
Anna Weston	Emma Woodhouse	Emma Woodhouse	Frank Churchill	George Knightley	Isabella Knightley	Jane Fairfax	Mr. Weston	Mr. Woodhouse	Philip Elton	Robert Martin	Edmund Bertram	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Jane Fairfax	Mr. Weston	Mr. Woodhouse	Philip Elton	Robert Martin	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Mr. Weston	Emma Woodhouse	George Knightley	Mr. Weston	Mr. Woodhouse	Philip Elton	Robert Martin	Dr. Grant	Edmund Bertram	Fanny Price	Henry Crawford	Emma Woodhouse	George Knightley	Isabella Knightley	Mr. Weston	Mr. Woodhouse	Philip Elton	Robert Martin	Edmund Bertram	Fanny Price	Sir Thomas Bertram
Augusta Elton	Emma Woodhouse	Emma Woodhouse	Philip Elton	Mrs. Norris	Mrs. Thorpe	Elizabeth Elliot	Lady Russell	Mrs. Clay	Sir Walter Elliot	Lady Catherine de Bourgh	William Collins	Caroline Bingley	Charlotte Lucas	Lady Catherine de Bourgh	Mrs. Hurst	Mr. Hurst	Mrs. Phillips	Anne Steele	Charlotte Palmer	Fanny Dashwood	Lucy Steele	Philip Elton	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Emma Woodhouse	Philip Elton	Mary Crawford	Mrs. Norris	Mrs. Thorpe	Lady Russell	Mrs. Clay	Lady Catherine de Bourgh	Mrs. Hurst	Fanny Dashwood
Emma Woodhouse	George Knightley	Frank Churchill	George Knightley	Harriet Smith	Jane Fairfax	Miss Bates	Mr. Weston	Mr. Woodhouse	Mr. Perry	Mrs. Cole	Philip Elton	Frank Churchill	George Knightley	Harriet Smith	Jane Fairfax	Miss Bates	Mr. Woodhouse	Philip Elton	Robert Martin	Dr. Grant	Edmund Bertram	Frank Churchill	George Knightley	Harriet Smith	Jane Fairfax	John Knightley	Miss Bates	Mr. Weston	Mr. Woodhouse	Mr. Perry	Philip Elton	Anna Weston	Augusta Elton	George Knightley	Harriet Smith	Jane Fairfax	Miss Bates	Mr. Weston	Mr. Woodhouse	Philip Elton	Robert Martin	Anna Weston	Augusta Elton	George Knightley	Harriet Smith	Jane Fairfax	Miss Bates	Mr. Woodhouse	Philip Elton	Robert Martin	Dr. Grant
Frank Churchill	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Henry Crawford	Augusta Elton	Mary Crawford	Emma Woodhouse	Julia Bertram	Frank Churchill	Maria Bertram	George Knightley	Mr. Rushworth	Harriet Smith	Mr. Yates	Isabella Knightley	John Thorpe	Jane Fairfax	Captain Benwick	John Knightley	Captain Wentworth	Miss Bates	John Willoughby	Anna Weston	Miss Bates	Augusta Elton	Mrs. Cole	Emma Woodhouse	Philip Elton	Frank Churchill	Edmund Bertram	George Knightley	Henry Crawford	Harriet Smith	Mary Crawford	Isabella Knightley	Mr. Yates	Jane Fairfax	John Thorpe	John Knightley	Captain Benwick	Miss Bates	John Willoughby	Anna Weston	Henry Crawford	Augusta Elton	Mary Crawford	Emma Woodhouse	Mr. Rushworth	Frank Churchill	Mr. Yates	George Knightley	John Thorpe	Harriet Smith	Captain Benwick	Isabella Knightley	Captain Harville	Jane Fairfax	Captain Wentworth	John Knightley	George Wickham	Miss Bates	John Willoughby	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
George Knightley	Frank Churchill	Frank Churchill	Jane Fairfax	John Knightley	Edmund Bertram	Fanny Price	Henry Crawford	Sir Thomas Bertram	Tom Bertram	Henry Tilney	Captain Wentworth	Frank Churchill	John Knightley	Mr. Weston	Edmund Bertram	Sir Thomas Bertram	General Tilney	Elizabeth Elliot	Captain Wentworth	Fitzwilliam Darcy	Colonel Brandon	Frank Churchill	Jane Fairfax	John Knightley	Mr. Woodhouse	Edmund Bertram	Henry Crawford	Sir Thomas Bertram	Henry Tilney	Anne Elliot	Fitzwilliam Darcy	Frank Churchill	Jane Fairfax	John Knightley	Edmund Bertram	Fanny Price	Henry Crawford	Sir Thomas Bertram	Tom Bertram	Henry Tilney	Captain Wentworth	Frank Churchill	John Knightley	Mr. Weston	Mr. Woodhouse	Edmund Bertram	Sir Thomas Bertram	Henry Tilney	Charles Musgrove	Elizabeth Elliot	Fitzwilliam Darcy
Harriet Smith	Emma Woodhouse	Emma Woodhouse	Isabella Knightley	Jane Fairfax	Robert Martin	Fanny Price	Julia Bertram	Maria Bertram	Susan Price	Catherine Morland	Isabella Thorpe	Emma Woodhouse	Isabella Knightley	Jane Fairfax	Robert Martin	Fanny Price	Julia Bertram	Maria Bertram	Susan Price	Catherine Morland	Isabella Thorpe	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Emma Woodhouse	Isabella Knightley	Jane Fairfax	Robert Martin	Fanny Price	Julia Bertram	Maria Bertram	Susan Price	Henrietta Musgrove	Louisa Musgrove	Emma Woodhouse	Isabella Knightley	Jane Fairfax	Robert Martin	Fanny Price	Julia Bertram	Maria Bertram	Susan Price	Catherine Morland	Isabella Thorpe
Isabella Knightley	Jane Fairfax	Jane Fairfax	John Knightley	Mr. Woodhouse	Fanny Price	Maria Bertram	Susan Price	Catherine Morland	Mrs. Morland	Henrietta Musgrove	Jane Bennet	Anna Weston	Harriet Smith	Jane Fairfax	John Knightley	Mr. Woodhouse	Mr. Perry	Philip Elton	Robert Martin	Dr. Grant	Edmund Bertram	Anna Weston	Harriet Smith	Jane Fairfax	John Knightley	Mr. Woodhouse	Mr. Perry	Mrs. Cole	Philip Elton	Robert Martin	Dr. Grant	Anna Weston	Harriet Smith	Jane Fairfax	John Knightley	Mr. Woodhouse	Edmund Bertram	Fanny Price	Julia Bertram	Lady Bertram	Maria Bertram	Harriet Smith	Jane Fairfax	John Knightley	Mr. Woodhouse	Edmund Bertram	Fanny Price	Julia Bertram	Maria Bertram	Susan Price	William Price
Jane Fairfax	Edmund Bertram	Emma Woodhouse	Isabella Knightley	Edmund Bertram	Fanny Price	Julia Bertram	Lady Bertram	Maria Bertram	Mary Crawford	Mrs. Grant	Mrs. Norris	Emma Woodhouse	Isabella Knightley	Edmund Bertram	Fanny Price	Julia Bertram	Maria Bertram	Mary Crawford	Mrs. Grant	Susan Price	Catherine Morland	Frank Churchill	Edmund Bertram	Fanny Price	Mary Crawford	Catherine Morland	Eleanor Tilney	Henry Tilney	Anne Elliot	Elizabeth Bennet	Elinor Dashwood	Emma Woodhouse	Isabella Knightley	Jane Fairfax	Edmund Bertram	Fanny Price	Julia Bertram	Maria Bertram	Mary Crawford	Susan Price	Catherine Morland	Emma Woodhouse	Isabella Knightley	Edmund Bertram	Fanny Price	Julia Bertram	Lady Bertram	Maria Bertram	Mary Crawford	Mrs. Grant	Eleanor Tilney
John Knightley	George Knightley	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Frank Churchill	George Knightley	Isabella Knightley	Jane Fairfax	Miss Bates	Mr. Woodhouse	Robert Martin	Edmund Bertram	Sir Thomas Bertram	Elizabeth Elliot	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	George Knightley	Augusta Elton	Isabella Knightley	Emma Woodhouse	Mr. Woodhouse	Frank Churchill	Sir Thomas Bertram	George Knightley	Sir Walter Elliot	Harriet Smith	Mr. Bennet	Isabella Knightley	Mrs. Bennet	Jane Fairfax	Lady Middleton	John Knightley	Sir John Middleton	Miss Bates	Thomas Palmer	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Miss Bates	Augusta Elton	Augusta Elton	Mrs. Cole	Mrs. Norris	Mr. Allen	Mrs. Allen	Mrs. Morland	Mrs. Thorpe	Mrs. Musgrove	Mrs. Smith	Mrs. Phillips	Augusta Elton	Mrs. Cole	Mrs. Norris	Mrs. Price	Mrs. Allen	Mrs. Thorpe	Mrs. Musgrove	Mrs. Bennet	Mrs. Phillips	Mrs. Jennings	Augusta Elton	Miss Bates	Mrs. Cole	Philip Elton	Mrs. Norris	Mrs. Price	Mrs. Thorpe	Mrs. Clay	Mrs. Smith	Mrs. Phillips	Augusta Elton	Miss Bates	Mrs. Cole	Mrs. Grant	Mrs. Norris	Mrs. Price	Mrs. Allen	Mrs. Thorpe	Mrs. Clay	Mrs. Phillips	Augusta Elton	Mrs. Cole	Mary Crawford	Mrs. Grant	Mrs. Norris	Mrs. Allen	Mrs. Thorpe	Mrs. Clay	Mrs. Gardiner	Mrs. Phillips
Mr. Weston	George Knightley	Frank Churchill	George Knightley	Isabella Knightley	Jane Fairfax	John Knightley	Mr. Woodhouse	Mr. Perry	Mrs. Cole	Philip Elton	Robert Martin	Emma Woodhouse	George Knightley	Isabella Knightley	John Knightley	Mr. Woodhouse	Mr. Perry	Mrs. Cole	Philip Elton	Robert Martin	Dr. Grant	Frank Churchill	George Knightley	Harriet Smith	Jane Fairfax	Miss Bates	Mr. Woodhouse	Mrs. Cole	Philip Elton	Robert Martin	Dr. Grant	Frank Churchill	George Knightley	Mr. Woodhouse	Philip Elton	Robert Martin	Dr. Grant	Edmund Bertram	Mr. Rushworth	Sir Thomas Bertram	Elizabeth Elliot	Frank Churchill	George Knightley	Isabella Knightley	John Knightley	Mr. Woodhouse	Mr. Perry	Philip Elton	Robert Martin	Mrs. Cole	Miss Bates
Mr. Woodhouse	Emma Woodhouse	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Emma Woodhouse	George Knightley	Isabella Knightley	John Knightley	Mr. Weston	Mr. Perry	Philip Elton	Robert Martin	Lieutenant Price	Mr. Rushworth	Emma Woodhouse	George Knightley	Harriet Smith	Isabella Knightley	Miss Bates	Mr. Weston	Mr. Perry	Mrs. Cole	Philip Elton	Robert Martin	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mr. Perry	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mrs. Cole	Augusta Elton	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Augusta Elton	Miss Bates	Mrs. Cole	Mr. Rushworth	Mrs. Norris	Mrs. Thorpe	Mrs. Clay	Mrs. Harville	Mrs. Musgrove	Mrs. Phillips	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Philip Elton	Augusta Elton	Augusta Elton	Emma Woodhouse	Frank Churchill	Jane Fairfax	Mrs. Cole	Robert Martin	Edmund Bertram	Henry Crawford	Mary Crawford	Mr. Rushworth	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Jane Fairfax	Mrs. Cole	Robert Martin	Edmund Bertram	Julia Bertram	Mary Crawford	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Jane Fairfax	Mrs. Cole	Robert Martin	Dr. Grant	Edmund Bertram	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Jane Fairfax	Mrs. Cole	Robert Martin	Dr. Grant	Edmund Bertram	Augusta Elton	Frank Churchill	Jane Fairfax	Mrs. Cole	Robert Martin	Dr. Grant	Edmund Bertram	Henry Crawford	Julia Bertram	Mary Crawford
Robert Martin	Harriet Smith	Emma Woodhouse	Harriet Smith	Philip Elton	Robert Martin	Edmund Bertram	Fanny Price	Julia Bertram	Maria Bertram	Mr. Rushworth	Susan Price	Frank Churchill	Harriet Smith	Jane Fairfax	Miss Bates	Mrs. Cole	Philip Elton	Dr. Grant	Edmund Bertram	Henry Crawford	Harriet Smith	Philip Elton	Dr. Grant	Edmund Bertram	Mr. Rushworth	Mr. Yates	Sir Thomas Bertram	Tom Bertram	Charles Hayter	Charles Musgrove	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Emma Woodhouse
